Current Date:,8/15/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
8/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.012,.008,C,C,.010,.010,.012,.018,.028,.035,.043,.050,.057,.051,.047,.045,.041,.037,.030,.025,.021,.018,.017,.016,.028,.057,12
,CHULA VISTA,.016,.014,C,C,.006,.007,.013,.016,.018,M,M,M,.026,.024,.022,.022,.023,.022,.022,.023,.022,.022,.023,.023,.019,.026,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.019,.019,C,C,C,.012,.015,.017,.021,M,.038,.042,.037,.036,.034,.032,.031,.026,.023,.021,.020,.019,.018,.019,.024,.042,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.006,C,C,.003,.002,.014,.017,.019,.023,.030,.029,.028,M,.026,.025,.025,.024,.023,.021,.019,.017,.015,.016,.018,.030,10
,OTAY MESA DVN,.016,.014,C,C,.015,.014,.016,.017,.020,<,.030,.035,.035,M,.031,.028,.026,.025,.022,.019,.021,.020,.020,.019,.022,.035,11
,PENDLETON,.016,.017,C,C,.007,.007,.012,.022,.025,.029,.031,M,M,.025,.027,.025,.025,.026,.027,.027,.028,.027,.025,.025,.022,.031,10
02 NOX PPM,ALPINE,.004,.005,C,C,.004,.006,.007,.008,.005,.005,.004,.003,.003,.003,.003,.003,.002,.002,.003,.004,.004,.005,.005,.004,.004,.008,07
,CARMEL MT RCH,.009,.011,.019,.018,.029,.028,.008,.017,.026,.021,.025,.020,.018,.018,.015,.017,.016,.016,.017,.016,.017,.011,.011,.009,.017,.029,04
,CHULA VISTA,.004,.004,C,C,.010,.010,.008,.007,.008,M,M,M,.002,.002,.002,.002,.002,.002,.002,.002,.001,.001,.001,.001,.004,.010,04
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,.002,C,C,C,.008,.006,.006,.008,M,.004,.006,.003,.002,.002,.003,.008,.012,.008,.006,.005,.004,.005,.004,.005,.012,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.010,C,C,.018,.029,.008,.005,.007,.009,.005,.003,.003,M,.002,.002,.002,.003,.003,.003,.004,.004,.005,.004,.006,.029,05
,OTAY MESA DVN,.002,.003,C,C,.002,.003,.003,.003,.005,<,.005,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,.002,.002,.005,08
,PENDLETON,.006,.004,C,C,.012,.016,.009,.004,.011,.005,.002,M,M,.003,.003,.007,.005,.005,.001,.002,.001,.001,.001,.001,.005,.016,05
03 NO2 PPM,ALPINE,.004,.005,C,C,.004,.005,.005,.005,.004,.004,.004,.003,.003,.003,.002,.002,.002,.002,.003,.004,.004,.005,.005,.004,.004,.005,01
,CARMEL MT RCH,.005,.007,.009,.009,.011,.011,.005,.007,.009,.009,.012,.009,.007,.007,.006,.006,.007,.007,.007,.007,.008,.005,.005,.005,.008,.012,10
,CHULA VISTA,.004,.004,C,C,.010,.009,.006,.005,.005,M,M,M,.001,.001,.001,.001,.002,.001,.002,.001,.001,.001,.001,.001,.003,.010,04
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,.002,C,C,C,.007,.005,.004,.005,M,.003,.004,.002,.002,.001,.002,.004,.004,.005,.005,.005,.003,.004,.004,.004,.007,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.009,C,C,.012,.014,.005,.004,.005,.006,.003,.002,.002,M,.002,.002,.002,.002,.002,.003,.004,.004,.004,.004,.005,.014,05
,OTAY MESA DVN,.002,.003,C,C,.002,.003,.002,.002,.003,<,.004,.002,.001,.001,.001,.001,.001,.001,.000,.001,.001,.001,.001,.001,.002,.004,10
,PENDLETON,.005,.004,C,C,.010,.010,.006,.003,.004,.002,.001,M,M,.001,.001,.003,.002,.002,.001,.001,.001,.001,.001,.001,.003,.010,04
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.002,.003,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,07
,CARMEL MT RCH,.004,.004,.010,.009,.018,.017,.003,.010,.016,.012,.013,.011,.010,.012,.009,.011,.009,.009,.009,.009,.009,.006,.006,.004,.010,.018,04
,CHULA VISTA,.000,.000,C,C,.001,.001,.002,.002,.003,M,M,M,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.003,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,.001,.002,.003,M,.001,.002,.001,.001,.001,.001,.004,.008,.003,.000,.000,.000,.000,.000,.001,.008,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
