Current Date:,8/7/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
8/6/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,OTAY MESA DVN,.000,.000,C,C,.001,.004,.002,.003,.003,.002,.001,.000,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,05
,PENDLETON,.000,.000,C,C,.003,.017,.004,.003,.009,.001,.000,.000,.001,.003,.003,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,.017,05
06 CO PPM,CARMEL MT RCH,.5,.4,C,C,C,.5,.9,.8,.6,.6,.5,.5,.5,.6,.5,.4,.5,.6,.5,.5,.6,.6,.5,.7,.6,.9,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,24,25,25,25,24,24,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,23,25,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,25,25,26,26,26,26,26,26,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,24,25,25,24,25,25,25,25,25,24,24,23,23,23,23,23,23,23,23,23,24,24,24,24,24,25,01
,PENDLETON,23,23,24,24,24,24,23,23,23,23,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,24,02
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,7.7,10.7,15.1,7.3,5.7,7.7,7.0,5.2,5.3,5.1,6.0,10.8,15.7,16.1,11.2,9.4,12.3,12.3,14.4,11.5,12.7,10.4,12.5,15.0,10.2,16.1,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,8.8,9.1,10.6,16.5,15.4,14.3,16.3,22.9,M,M,16.4,17.8,13.3,11.0,12.9,19.4,9.9,11.8,10.1,10.3,11.9,9.2,13.3,8.8,13.1,22.9,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,27.5,24.6,19.5,30.4,8.2,35.7,17.4,32.9,33.4,21.4,26.8,21.1,20.0,14.6,16.4,11.6,11.0,9.0,10.4,10.0,11.4,14.4,16.3,23.1,19.4,35.7,05
,PENDLETON,4.8,11.2,12.5,10.0,12.4,14.8,12.7,11.5,13.7,11.0,11.3,M,M,6.5,6.9,8.9,8.3,10.1,9.7,13.1,9.3,9.1,8.3,8.4,10.2,14.8,05
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,101,332,337,85,96,92,105,171,252,271,298,295,291,275,261,273,280,304,316,0,85,18,98,93,197,337,02
,CHULA VISTA,124,117,109,133,195,122,33,15,350,259,261,258,257,253,252,254,252,245,236,228,240,199,135,157,195,350,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,105,101,133,117,85,110,336,335,231,265,248,263,269,241,249,256,222,260,229,172,166,176,112,96,199,336,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,39,342,40,38,23,354,126,69,247,220,227,232,259,250,279,285,284,297,284,295,82,141,131,109,194,354,05
,OTAY MESA DVN,19,28,13,18,351,90,356,320,303,294,298,295,291,295,294,292,295,294,302,338,335,329,24,117,233,356,06
,PENDLETON,33,35,37,58,65,61,70,120,251,270,271,263,262,262,261,265,265,249,237,210,223,171,67,78,170,271,10
13 SIGTHETA °,ALPINE,18,31,28,26,18,18,16,25,30,29,27,27,30,33,28,31,29,22,20,26,21,22,36,17,25,36,22
,CHULA VISTA,13,19,10,22,35,24,51,60,70,30,23,22,24,22,20,23,21,20,19,18,16,23,19,32,27,70,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,47,57,50,37,45,54,47,53,67,41,34,24,22,25,26,23,20,18,16,15,17,24,17,50,35,67,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,13,10,9,22,40,40,44,66,60,27,19,21,24,22,20,16,15,14,8,6,25,16,14,25,24,66,07
,OTAY MESA DVN,47,35,22,30,39,31,17,21,29,20,18,13,13,15,13,13,12,12,12,12,26,12,24,35,22,47,00
,PENDLETON,15,14,16,16,13,12,14,38,11,15,14,12,14,13,13,14,13,15,18,18,21,17,21,11,16,38,07
14 VWSP MPH,ALPINE,1.0,1.2,.5,1.0,1.5,1.7,2.5,1.4,2.3,3.8,4.9,4.8,5.5,5.7,5.4,4.6,4.6,4.4,2.6,1.0,1.3,.8,1.1,1.8,2.7,5.7,13
,CHULA VISTA,1.0,1.1,1.9,1.4,.7,1.6,1.0,1.0,.2,3.7,5.8,6.2,5.9,6.0,6.0,5.8,5.8,4.4,3.7,2.3,2.1,1.1,.8,.6,2.9,6.2,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.5,.5,.8,.5,.3,.2,.4,.8,1.0,2.8,4.3,6.0,7.0,6.3,5.7,6.0,6.6,5.5,4.3,4.0,2.1,1.6,1.7,.8,2.9,7.0,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.9,1.2,2.2,.8,.3,1.7,.5,.9,.9,4.8,6.8,6.9,7.4,7.2,7.3,7.1,7.2,6.4,4.5,3.6,.3,1.6,2.3,1.4,3.5,7.4,12
,OTAY MESA DVN,1.0,1.1,1.0,.1,.5,.5,2.0,2.0,3.0,4.3,6.5,8.4,8.2,7.9,8.3,8.6,8.3,7.3,5.2,3.2,1.5,1.3,1.0,1.2,3.9,8.6,15
,PENDLETON,2.6,3.1,3.0,3.7,4.9,4.6,5.0,.6,4.9,4.6,5.0,5.4,5.8,5.5,5.5,5.5,4.8,4.0,2.9,3.1,1.7,1.7,1.0,3.5,3.9,5.8,12
15 SWSP MPH,ALPINE,1.1,1.6,.6,1.2,1.6,1.8,2.6,2.2,2.8,4.3,5.4,5.3,6.2,6.6,6.0,5.4,5.2,4.6,2.8,1.2,1.4,1.1,1.3,1.9,3.1,6.6,13
,CHULA VISTA,1.1,1.2,1.9,1.6,1.2,1.9,1.7,1.7,1.6,4.2,6.3,6.8,6.4,6.5,6.3,6.3,6.2,4.7,3.9,2.5,2.2,1.3,.9,.7,3.3,6.8,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.6,.6,1.0,.5,1.2,.3,.8,1.6,2.1,3.5,5.2,6.5,7.5,6.9,6.3,6.5,7.2,5.8,5.0,4.2,2.2,1.7,1.8,.9,3.3,7.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
