Current Date:,9/1/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
8/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.035,.038,C,C,.040,.037,.038,.027,.035,.045,.130,.068,.079,.079,.076,.072,.065,.054,.042,.033,.029,.024,.018,.023,.049,.130,10
,CHULA VISTA,.002,.006,.004,.006,.002,.006,.016,.034,M,.041,.047,.047,.041,.041,.038,.038,.039,.037,.036,.036,.036,.036,.035,.032,.028,.047,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.013,.013,C,C,C,.012,.017,.025,.032,.039,.055,.061,.065,.062,.062,.055,.046,.039,.035,.033,.031,.032,.033,.032,.037,.065,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.008,C,C,.003,.005,.020,.034,.033,.038,.049,.052,.048,.047,.045,.043,.041,.041,.034,.033,.035,.035,.033,.033,.032,.052,11
,OTAY MESA DVN,.021,.019,C,C,.021,.021,.019,.023,.034,.042,.053,.055,.051,.046,.046,.043,.040,.039,.034,.033,.032,.032,.032,.031,.034,.055,11
,PENDLETON,.020,.022,C,C,.015,.015,.019,.023,.036,.040,.044,M,M,M,.045,.048,.042,.038,.039,.040,.038,.029,.021,.018,.031,.048,15
02 NOX PPM,ALPINE,.006,.005,C,C,.006,.012,.011,.030,M,M,M,M,.007,.006,.005,.005,.005,.007,.008,.009,.008,.008,.010,.011,.009,.030,07
,CARMEL MT RCH,.012,.017,C,C,C,.032,.048,.037,.027,.026,.029,.040,.031,.029,.023,.019,.022,.021,.019,.018,.021,.013,.007,.006,.024,.048,06
,CHULA VISTA,.021,.014,.014,.011,.020,.021,.016,.004,M,.006,.003,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,.003,.007,.021,00
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.009,.008,C,C,C,.011,.011,.011,.011,.012,.009,.010,.006,.005,.004,.005,.005,.005,.005,.004,.004,.003,.002,.002,.007,.012,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,.015,C,C,.027,.027,.015,.007,.013,.012,.008,.005,.004,.004,.004,.003,.004,.004,.005,.003,.003,.003,.005,.004,.008,.027,04
,OTAY MESA DVN,.005,.005,C,C,.004,.005,.007,.009,.003,.005,.006,.003,.001,.001,.002,.001,.001,.001,.002,.001,.001,.002,.001,.002,.003,.009,07
,PENDLETON,.010,.006,C,C,.008,.010,.007,.007,.007,.005,.001,M,M,M,.001,.001,.001,.000,.000,.001,.002,.007,.012,.012,.005,.012,22
03 NO2 PPM,ALPINE,.004,.002,C,C,.002,.008,.006,.018,M,M,M,M,.007,.005,.004,.004,.004,.006,.007,.008,.007,.006,.008,.009,.006,.018,07
,CARMEL MT RCH,.009,.013,C,C,C,.019,.021,.018,.015,.016,.017,.024,.018,.018,.014,.011,.013,.013,.011,.011,.012,.009,.005,.005,.014,.024,11
,CHULA VISTA,.017,.013,.012,.010,.016,.016,.013,.004,M,.004,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.003,.005,.017,00
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.009,.008,C,C,C,.010,.009,.008,.008,.008,.007,.009,.005,.005,.004,.004,.004,.005,.005,.004,.004,.003,.003,.002,.006,.010,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.015,C,C,.022,.021,.011,.005,.009,.009,.007,.004,.003,.003,.003,.003,.003,.004,.005,.003,.003,.003,.005,.004,.007,.022,04
,OTAY MESA DVN,.004,.005,C,C,.004,.005,.006,.007,.002,.004,.005,.002,.001,.001,.002,.001,.001,.001,.002,.001,.001,.002,.001,.002,.003,.007,07
,PENDLETON,.010,.006,C,C,.008,.009,.006,.005,.004,.004,.001,M,M,M,.001,.001,.000,.000,.000,.001,.001,.007,.011,.011,.005,.011,22
04 NO PPM,ALPINE,.002,.003,C,C,.003,.005,.004,.012,M,M,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.002,.002,.002,.012,07
,CARMEL MT RCH,.003,.004,C,C,C,.013,.027,.019,.012,.011,.012,.016,.013,.011,.008,.008,.009,.009,.008,.007,.008,.004,.001,.001,.010,.027,06
,CHULA VISTA,.005,.001,.002,.001,.004,.005,.003,.001,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,00
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,.002,.003,.003,.003,.002,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.003,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.006,.006,.003,.001,.003,.003,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.006,04
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.001,.003,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,07
,PENDLETON,.000,.000,C,C,.001,.001,.001,.002,.002,.002,.000,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.001,.002,07
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.5,.7,.6,.4,.4,.4,.6,.6,.7,.5,.4,.7,.7,.6,.6,.6,.4,.3,.3,.5,.7,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,26,25,25,25,26,24,23,24,23,21,23,23,24,24,24,24,24,24,25,25,25,25,24,26,02
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,24,24,24,23,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,27,27,27,27,26,27,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,00
