Current Date:,8/6/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
8/5/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.047,C,C,.052,.050,.050,.050,.049,.051,.054,.061,.066,.072,.071,.068,.064,.060,.056,.051,.042,.038,.040,.046,.052,.054,.072,12
,CHULA VISTA,.017,C,C,.019,.017,.015,.015,.018,.025,.033,.039,.041,.040,.040,.037,.035,.036,.034,.030,.028,.024,.021,.017,.013,.027,.041,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.017,C,C,C,.009,.009,.012,.018,.029,.042,.050,.060,.064,.059,.059,.056,.051,.048,.043,.036,.029,.023,.021,.017,.035,.064,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,C,C,.009,.013,.011,.012,.015,.025,.038,.044,.041,.043,.042,.048,.049,.043,.043,.039,.029,.022,.019,.005,.004,.027,.049,15
,OTAY MESA DVN,.016,C,C,.014,.012,.012,.013,.015,.025,.038,.046,.050,.052,.049,.046,.043,.040,.037,.034,.028,.026,.023,.021,.017,.029,.052,12
,PENDLETON,.019,C,C,P,,P,.012,.014,.017,.016,.022,.028,.035,.035,.034,.036,.032,.030,.039,.039,.032,.028,.018,.019,.026,.039,18
02 NOX PPM,ALPINE,.002,C,C,.001,.002,.002,.002,.003,.003,.003,.004,.004,.003,.003,.003,.002,.002,.002,.003,.005,.004,.004,.003,.001,.003,.005,19
,CARMEL MT RCH,.009,C,C,C,.014,.016,.028,.022,.017,.015,.013,.012,.012,.014,.008,.009,.010,.011,.012,.014,.018,.023,.011,.023,.015,.028,06
