Current Date:,8/18/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
8/17/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.007,.009,C,C,.003,.002,.006,.012,.026,.037,.051,.064,.072,.069,.066,.065,.061,.051,.039,.032,.027,.023,.021,.017,.034,.072,12
,CHULA VISTA,.026,.025,C,C,.022,.021,.018,.018,.023,.027,M,M,M,.038,.034,.033,.033,.027,.028,.029,.030,.031,.030,.029,.027,.038,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.019,.018,C,C,C,.018,.019,.021,.025,.035,.046,.051,M,.050,.049,.052,.050,.042,.032,.028,.025,.023,.022,.025,.032,.052,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.020,.021,C,C,.020,.022,.021,.021,.025,.032,.034,.037,.040,.039,.042,.038,.037,.032,.029,.026,.027,.027,.025,.025,.029,.042,14
,OTAY MESA DVN,.022,.021,C,C,.019,.019,.017,.019,.024,.030,.039,M,M,M,M,.035,.036,.035,.029,.026,.026,.027,.026,.027,.026,.039,10
,PENDLETON,.024,.024,.025,.017,.016,.020,.020,.024,.025,.027,.027,.030,.029,.031,.033,.033,.030,.030,.028,.029,.029,.029,.030,.031,.026,.033,14
02 NOX PPM,ALPINE,.011,.009,C,C,.013,.023,.027,.023,.009,.008,.007,.005,.005,.004,.005,.004,.004,.004,.005,.005,.006,.006,.005,.006,.009,.027,06
,CARMEL MT RCH,.008,.007,C,C,C,.037,.033,.030,.029,.029,.023,.027,.022,.025,.020,.019,.018,.015,.016,.014,.014,.010,.009,.009,.020,.037,05
,CHULA VISTA,.001,.001,C,C,.003,.004,.006,.008,.006,.007,M,M,M,.002,.002,.003,.002,.002,.002,.002,.001,.001,.001,.002,.003,.008,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.005,C,C,C,.011,.007,.008,.009,.007,.006,.007,M,.006,.006,.005,.005,.004,.004,.005,.005,.005,.005,.004,.006,.011,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.002,C,C,.004,.003,.006,.009,.009,.009,.005,.005,.005,.004,.004,.004,.003,.002,.002,.005,.004,.005,.005,.004,.005,.009,07
,OTAY MESA DVN,.001,.001,C,C,.002,.003,.003,.004,.004,.007,.005,.004,.003,.002,.002,.001,.001,.001,.001,.001,.002,.002,.002,.002,.002,.007,09
,PENDLETON,.001,.001,.001,.006,.008,.004,.005,.003,.003,.002,.002,.001,.004,.006,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.008,04
03 NO2 PPM,ALPINE,.010,.008,C,C,.011,.012,.012,.011,.006,.006,.006,.005,.005,.004,.004,.004,.004,.004,.005,.005,.005,.006,.005,.006,.007,.012,05
,CARMEL MT RCH,.005,.005,C,C,C,.014,.014,.012,.012,.014,.012,.013,.011,.012,.010,.011,.010,.008,.008,.008,.008,.006,.005,.006,.010,.014,05
,CHULA VISTA,.001,.001,C,C,.003,.004,.005,.006,.004,.005,M,M,M,.001,.001,.002,.002,.002,.002,.002,.001,.001,.001,.002,.002,.006,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.005,C,C,C,.009,.005,.005,.006,.005,.005,.006,M,.005,.005,.004,.004,.004,.004,.004,.005,.005,.005,.004,.005,.009,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.002,C,C,.004,.003,.005,.006,.007,.006,.004,.004,.004,.003,.003,.003,.003,.002,.002,.005,.004,.005,.005,.004,.004,.007,08
,OTAY MESA DVN,.001,.001,C,C,.002,.002,.003,.002,.003,.005,.004,.004,.002,.002,.001,.001,.001,.001,.001,.001,.002,.002,.001,.001,.002,.005,09
,PENDLETON,.001,.001,.001,.006,.007,.004,.004,.002,.001,.001,.001,.001,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.007,04
04 NO PPM,ALPINE,.000,.000,C,C,.002,.011,.016,.012,.003,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.016,06
,CARMEL MT RCH,.003,.002,C,C,C,.023,.019,.017,.016,.015,.011,.014,.012,.014,.011,.009,.008,.007,.007,.006,.006,.004,.003,.003,.010,.023,05
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.002,.002,.002,M,M,M,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.002,.001,.003,.003,.002,.001,.001,M,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.001,.003,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.003,.003,.002,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,07
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.001,.001,.001,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,09
,PENDLETON,.000,.000,.000,.000,.000,.000,.001,.001,.002,.001,.001,.000,.002,.004,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,13
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.6,.6,.4,.5,.5,.4,.5,.5,.6,.5,.4,.5,.6,.5,.5,.4,.4,.4,.4,.5,.6,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,24,24,24,24,23,23,24,24,24,24,24,24,24,24,24,24,24,25,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,24,24,24,24,24,24,24,24,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,27,27,26,26,26,26,27,27,27,27,25,25,27,26,26,26,26,26,27,27,27,27,27,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,24,24,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,27,26,26,27,27,26,26,26,26,26,25,24,24,24,24,25,25,25,26,26,26,26,26,26,27,01
,PENDLETON,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,23,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,9.9,12.2,12.0,8.9,12.0,11.4,14.5,12.0,9.9,13.3,14.5,17.3,18.6,17.1,14.5,20.0,15.9,13.7,18.0,10.8,13.6,14.3,16.7,15.0,14.0,20.0,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,13.7,11.2,11.2,15.3,10.9,13.9,11.3,14.3,16.4,16.9,15.7,15.2,16.2,14.7,13.4,13.3,14.1,12.1,15.3,17.7,15.9,19.3,20.3,19.0,14.8,20.3,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,16.3,15.9,9.9,11.1,10.6,16.8,17.5,15.0,17.1,14.3,14.9,12.1,14.1,8.6,13.8,10.7,8.7,9.0,12.5,11.9,16.3,19.2,15.7,11.5,13.4,19.2,21
,PENDLETON,5.6,12.8,10.9,10.9,11.3,9.8,8.8,8.7,10.0,13.0,11.8,10.0,10.8,9.5,9.5,9.5,9.8,12.0,9.2,7.3,11.2,13.3,10.3,7.2,10.1,13.3,21
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,120,6,93,110,299,150,129,262,296,282,292,281,288,270,276,271,286,244,256,305,294,291,341,245,237,341,22
,CHULA VISTA,275,295,293,283,277,280,54,287,268,263,268,257,251,253,268,266,256,261,262,276,260,268,288,284,262,295,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,231,208,176,230,303,350,93,316,309,285,252,253,229,237,243,267,252,265,268,265,239,185,170,297,247,350,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,274,272,274,282,305,10,50,140,307,282,236,250,265,240,270,273,275,279,286,291,285,274,313,292,251,313,22
,OTAY MESA DVN,317,336,330,321,323,319,326,335,305,289,299,298,288,298,290,292,291,286,292,284,274,326,324,288,305,336,01
,PENDLETON,238,225,192,351,13,357,271,241,245,245,247,249,248,253,251,249,242,245,245,234,245,238,211,229,240,357,05
13 SIGTHETA °,ALPINE,53,47,61,56,59,53,41,28,32,38,39,35,33,30,32,30,25,26,24,24,34,26,23,46,37,61,02
,CHULA VISTA,23,20,22,22,20,20,40,51,31,24,23,24,24,24,24,23,21,21,20,16,19,24,21,19,24,51,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,21,31,24,31,23,23,49,38,43,51,43,28,25,24,23,25,25,22,18,17,21,15,45,27,29,51,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,9,8,9,13,31,70,57,42,41,23,20,20,19,22,21,19,14,11,10,9,10,8,9,21,70,06
,OTAY MESA DVN,15,19,13,17,24,15,28,57,29,21,19,20,19,15,16,14,14,14,13,11,10,19,19,10,19,57,07
,PENDLETON,56,23,34,24,27,51,32,16,14,14,11,12,13,11,11,12,15,13,16,25,19,19,21,21,21,56,00
14 VWSP MPH,ALPINE,.5,.9,.4,.3,.1,.3,1.1,2.0,2.7,2.9,3.7,4.6,5.4,6.4,5.5,5.2,5.2,4.0,2.6,1.8,1.0,1.2,1.0,.2,2.5,6.4,13
,CHULA VISTA,2.4,2.2,1.8,1.7,2.3,1.8,1.1,1.0,3.7,5.5,6.2,6.6,6.6,6.9,6.4,6.9,5.9,5.2,4.3,3.9,3.4,2.9,2.9,2.8,3.9,6.9,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.9,1.8,1.4,1.3,2.0,2.1,.4,1.8,2.4,2.6,4.1,6.0,7.5,7.8,6.7,7.0,5.8,6.0,5.2,4.1,2.4,3.6,1.5,2.4,3.7,7.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.5,3.4,2.8,2.8,2.6,1.8,.7,1.0,3.2,4.1,8.3,8.4,7.9,9.9,8.0,7.8,7.0,7.3,5.6,4.7,4.1,3.3,3.0,2.9,4.8,9.9,13
,OTAY MESA DVN,3.1,2.7,3.4,2.8,2.1,2.7,1.8,1.3,3.8,5.9,6.6,7.4,8.5,9.3,8.8,8.8,8.2,7.3,6.3,5.4,4.7,3.2,3.8,4.0,5.1,9.3,13
,PENDLETON,.9,1.8,1.2,1.8,1.3,.3,1.1,3.2,5.0,6.0,6.8,7.8,7.7,8.6,8.5,6.8,6.0,5.5,4.5,2.2,3.2,2.9,2.3,2.3,4.1,8.6,13
15 SWSP MPH,ALPINE,1.1,1.2,.6,.9,.6,.5,1.3,2.4,3.1,3.6,4.5,5.5,6.3,7.3,6.4,5.9,5.6,4.7,2.9,2.0,1.2,1.3,1.2,.7,3.0,7.3,13
,CHULA VISTA,2.5,2.3,1.9,1.8,2.5,2.0,1.4,2.2,4.2,5.9,6.8,7.2,7.3,7.5,6.9,7.5,6.3,5.6,4.6,4.1,3.7,3.3,3.1,3.0,4.3,7.5,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.3,2.1,1.5,1.6,2.3,2.4,1.5,2.4,2.9,3.5,5.3,6.8,8.2,8.5,7.3,7.7,6.4,6.5,5.5,4.3,2.7,3.8,1.8,2.8,4.2,8.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.6,3.4,2.9,2.9,2.6,2.2,1.7,2.6,4.1,5.0,8.8,9.3,8.3,10.5,9.1,8.3,7.4,7.6,5.7,4.7,4.1,3.3,3.0,2.9,5.2,10.5,13
,OTAY MESA DVN,3.4,2.9,3.5,3.0,2.6,2.8,2.1,2.1,4.2,6.3,6.9,7.9,9.0,9.6,9.2,9.1,8.5,7.6,6.5,5.5,4.8,3.5,4.1,4.2,5.4,9.6,13
,PENDLETON,1.2,1.9,1.6,2.1,1.5,1.6,1.9,3.3,5.1,6.2,6.9,8.0,7.9,8.7,8.6,6.9,6.2,5.7,4.7,2.5,3.4,3.1,2.7,2.6,4.3,8.7,13
16 AMBTEMP °F,ALPINE,66.3,65.8,65.5,65.9,65.3,65.1,68.2,73.7,76.6,80.9,84.5,88.1,90.2,89.8,88.4,86.4,84.0,79.8,75.0,72.1,71.0,69.8,68.8,68.7,75.4,90.2,12
,CARMEL MT RCH,68.4,68.2,68.2,68.2,68.5,69.3,70.8,73.5,75.6,79.5,82.4,84.0,84.2,84.3,83.0,82.1,80.9,77.7,74.1,72.2,71.6,71.4,70.7,70.5,75.0,84.3,13
,CHULA VISTA,71.0,70.8,71.0,71.3,71.4,71.6,72.1,73.8,75.7,77.0,77.9,78.0,78.1,77.7,77.7,77.5,76.8,75.4,74.2,73.6,73.3,73.3,73.3,73.2,74.4,78.1,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,71.1,70.5,69.9,70.0,70.3,70.6,71.3,74.7,78.7,82.3,85.0,86.3,86.4,85.6,85.5,85.4,84.0,81.2,77.7,75.6,74.9,73.5,72.9,73.0,77.4,86.4,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
