Current Date:,8/24/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,14.5,15.4,15.7,12.7,16.0,12.2,14.9,15.6,12.0,9.0,10.8,14.5,M,M,M,16.1,14.7,11.8,17.2,14.1,16.0,25.3,24.0,21.4,15.4,25.3,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,13.5,11.5,14.4,12.6,14.9,15.1,13.8,18.2,14.1,15.0,17.3,13.8,13.2,15.9,15.0,17.8,13.6,17.7,20.8,19.4,23.0,19.6,21.6,22.0,16.4,23.0,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,16.3,18.1,11.3,9.9,12.4,14.5,17.3,17.3,20.2,16.7,16.9,18.6,15.5,11.9,22.2,15.4,13.5,16.1,16.3,15.7,21.6,27.0,24.2,24.0,17.2,27.0,21
,PENDLETON,8.2,13.8,12.7,11.7,10.8,15.7,10.0,11.3,11.4,16.6,14.1,9.4,13.5,10.2,11.4,14.1,17.7,15.4,15.9,16.8,16.2,14.9,12.0,15.4,13.3,17.7,16
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,89,95,86,334,66,42,199,255,270,276,288,278,258,267,280,266,261,251,260,261,335,319,246,150,226,335,20
,CHULA VISTA,70,31,21,45,339,14,69,75,278,267,262,263,262,262,262,268,252,261,268,279,276,278,269,2,195,339,04
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,307,166,67,307,325,119,132,274,318,268,262,248,257,265,260,262,263,247,236,240,251,264,253,359,248,359,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,264,181,318,312,249,338,305,354,240,238,254,266,281,280,276,276,281,284,289,286,277,276,280,320,280,354,07
,OTAY MESA DVN,338,322,4,30,66,42,23,3,316,290,297,298,297,290,292,292,289,292,284,286,290,275,279,20,217,338,00
,PENDLETON,23,43,54,53,41,48,59,66,244,247,250,262,264,263,262,254,246,268,269,299,311,271,300,9,184,311,20
13 SIGTHETA °,ALPINE,46,25,32,36,24,34,37,31,27,32,32,30,27,31,28,29,27,30,22,23,20,20,24,32,29,46,00
,CHULA VISTA,52,49,35,35,34,36,42,56,58,24,23,24,22,22,23,23,21,22,20,18,21,21,25,36,31,58,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,42,47,53,40,26,49,52,48,41,48,35,29,26,27,24,25,21,23,17,22,32,18,31,45,34,53,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,55,40,35,51,38,50,44,52,37,23,23,22,19,20,17,16,15,8,8,7,6,8,15,26,55,01
,OTAY MESA DVN,22,20,22,30,40,32,21,30,25,32,18,13,20,19,17,19,15,14,10,10,12,13,12,52,22,52,23
,PENDLETON,8,14,13,13,14,13,16,43,46,13,11,11,10,10,10,11,14,14,15,23,20,20,26,9,17,46,08
14 VWSP MPH,ALPINE,.2,.2,.4,.3,.5,.7,.4,1.5,3.0,3.8,4.3,4.7,6.0,6.0,6.1,5.7,5.7,3.8,2.6,1.3,1.0,1.1,.9,.7,2.5,6.1,14
,CHULA VISTA,.7,1.1,1.5,1.2,1.6,1.8,1.0,1.0,2.5,5.5,6.7,6.9,7.6,7.9,7.3,6.6,6.6,5.0,4.2,3.5,3.2,3.2,2.1,1.0,3.7,7.9,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.9,1.1,.1,2.6,1.4,2.0,1.4,1.0,2.5,3.2,4.3,5.9,6.8,6.2,7.0,6.2,6.4,5.2,4.5,2.9,2.1,3.1,2.1,.8,3.3,7.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.9,.6,1.7,1.4,.4,1.3,.8,1.5,3.0,5.3,7.6,8.0,8.7,8.7,8.2,8.2,7.8,6.8,6.1,4.1,4.1,3.0,1.9,1.3,4.3,8.7,12
,OTAY MESA DVN,2.9,3.8,2.6,2.1,1.5,1.8,2.7,2.1,3.8,4.1,8.1,9.3,8.0,9.0,8.4,7.3,7.9,7.2,6.0,5.1,3.8,3.0,4.0,1.2,4.8,9.3,11
,PENDLETON,2.9,3.3,3.0,3.0,2.8,3.8,4.2,1.9,3.1,5.4,6.3,6.8,7.4,7.7,7.4,7.4,7.0,3.9,2.8,2.5,2.4,1.5,1.2,2.2,4.2,7.7,13
15 SWSP MPH,ALPINE,.5,.7,.5,.7,.6,1.2,1.0,1.8,3.4,4.4,4.9,5.4,6.9,6.9,6.7,6.4,6.4,4.5,2.9,1.4,1.1,1.2,1.2,1.0,3.0,6.9,12
,CHULA VISTA,1.1,1.7,1.7,1.6,2.0,2.1,1.6,1.6,3.4,6.1,7.2,7.5,8.2,8.5,8.0,7.1,7.0,5.3,4.5,3.7,3.4,3.4,2.4,1.5,4.2,8.5,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.2,1.8,1.1,2.9,1.8,2.3,2.3,2.3,3.4,4.3,5.2,6.6,7.5,7.0,7.6,6.9,6.9,5.6,4.7,3.2,2.6,3.3,2.4,2.2,4.0,7.6,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.1,1.4,2.2,2.0,1.6,1.8,1.7,2.8,4.0,6.3,8.7,8.7,9.3,9.2,8.8,8.6,8.1,7.0,6.2,4.1,4.2,3.0,1.9,1.5,4.8,9.3,12
,OTAY MESA DVN,3.4,4.1,3.0,2.3,2.1,2.2,2.9,3.4,4.2,4.5,8.5,9.6,8.6,9.4,8.8,7.7,8.2,7.5,6.1,5.2,3.9,3.1,4.0,1.9,5.2,9.6,11
,PENDLETON,3.0,3.6,3.2,3.2,2.9,3.9,4.4,2.6,3.5,5.5,6.4,7.0,7.6,7.8,7.5,7.5,7.2,4.1,3.0,2.7,2.6,1.6,1.7,2.2,4.4,7.8,13
16 AMBTEMP °F,ALPINE,63.3,63.1,62.7,62.7,61.7,62.8,65.5,71.7,77.1,80.4,84.1,87.4,88.8,87.7,86.3,83.8,80.8,76.3,71.2,68.4,66.6,64.9,63.7,62.9,72.7,88.8,12
,CARMEL MT RCH,66.6,66.2,66.9,67.7,68.2,68.2,68.4,70.3,73.9,77.7,81.3,81.9,81.7,82.0,81.4,80.8,78.3,75.2,71.1,69.1,68.3,67.7,67.2,66.9,72.8,82.0,13
,CHULA VISTA,71.5,71.5,71.4,71.4,71.3,71.1,71.5,72.6,75.8,77.4,77.8,77.6,77.6,77.9,77.3,76.7,75.3,73.6,71.9,71.3,71.0,71.0,71.0,71.3,73.6,77.9,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,70.5,70.3,70.3,70.2,69.9,69.8,70.3,72.1,76.8,80.5,84.0,85.5,86.0,85.9,84.8,83.7,81.9,79.2,75.5,73.2,71.4,70.6,70.4,70.5,76.0,86.0,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,70.2,70.4,70.4,70.3,70.4,70.5,71.1,73.9,76.6,79.5,80.6,80.7,80.3,79.8,79.2,78.8,76.9,74.5,71.8,70.2,69.6,69.2,69.4,69.7,73.9,80.7,11
,OTAY MESA DVN,69.0,69.3,69.0,68.5,68.4,68.4,68.6,70.3,73.7,78.4,80.2,79.4,79.9,78.8,78.2,77.4,76.0,73.6,70.9,69.1,68.6,68.5,68.9,69.2,72.6,80.2,10
,PENDLETON,70.4,69.9,70.0,69.8,69.5,69.9,71.0,73.1,75.9,76.8,77.7,77.8,77.8,77.2,76.7,76.7,76.1,74.5,73.2,72.9,72.8,72.4,72.2,71.9,73.6,77.8,11
17 RELHUM %,ALPINE,96,96,95,93,96,89,86,72,56,50,44,38,37,40,41,45,50,60,72,78,83,88,93,95,71,96,00
,EL CAJON LES,81,82,81,81,82,82,81,76,66,59,50,49,48,48,50,52,53,56,64,71,77,79,80,79,68,82,01
,KEARNY MESA,85,84,84,83,83,83,81,74,66,61,60,60,59,60,60,58,63,70,77,82,83,85,85,84,74,85,00
18 PRES mmHg,KEARNY MESA,748,748,748,748,748,748,749,749,749,749,749,748,748,748,747,747,747,747,747,747,748,748,748,747,748,749,06
19 SOLAR W/M2,KEARNY MESA,-3,-3,-3,-3,-3,6,94,385,560,719,827,881,873,807,691,528,334,132,6,-3,-3,-3,-3,-3,284,881,11
28 SO2 Tr PPB,EL CAJON LES,.1,.1,C,C,C,.0,.0,.1,.1,M,.1,.2,.1,.1,.1,.1,.1,.2,.2,.2,.1,.1,.1,.1,.1,.2,11
29 CO Tr PPB,EL CAJON LES,297.0,280.1,C,C,C,274.9,300.6,338.0,363.7,M,333.2,290.2,277.7,255.1,273.6,279.3,294.9,341.6,401.5,448.4,446.8,416.8,414.2,422.8,337.5,448.4,19
