Current Date:,8/2/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
8/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.014,.020,C,C,.026,.019,.021,.029,.040,.045,.052,.066,.072,.066,.057,.048,.043,.038,.033,.029,.025,.022,.019,.017,.036,.072,12
,CHULA VISTA,.026,.026,C,C,.018,.017,.022,.018,.025,.031,.037,.042,.034,.033,.030,.028,.030,.026,.026,.027,.028,.028,.028,.026,.027,.042,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.017,.017,C,C,C,.009,.014,.019,.026,M,M,.055,.035,.047,.041,.039,.041,.033,.028,.022,.021,.021,.019,.020,.027,.055,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.019,.019,C,C,.014,.013,.024,.023,.028,.032,.039,.043,.038,.035,.035,.039,.034,.031,.028,.024,.021,.020,.021,.023,.027,.043,11
,OTAY MESA DVN,.022,.020,C,C,.015,.017,.020,.021,.026,.033,.037,.047,.049,.039,.035,.033,.033,.030,.026,.024,.024,.022,.024,.023,.028,.049,12
,PENDLETON,.019,.013,C,C,.006,.009,.019,.024,.026,M,M,M,M,.031,.032,.031,.032,.034,.032,.031,.030,.030,.030,.030,.025,.034,17
02 NOX PPM,ALPINE,.009,.007,C,C,.005,.016,.013,.009,.005,.005,.004,.003,.003,.003,.003,.002,.002,.002,.003,.005,.005,.005,.006,.006,.006,.016,05
,CARMEL MT RCH,.021,.019,C,C,C,.044,.038,.021,.035,.028,.024,.025,.021,.025,.019,.018,.018,.020,.016,.018,.018,.016,.010,.010,.022,.044,05
,CHULA VISTA,.002,.002,C,C,.005,.008,.007,.014,.011,.007,.004,.005,.005,.004,.004,.003,.003,.002,.002,.001,.001,.001,.001,.002,.004,.014,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.004,C,C,C,.013,.010,.013,.014,M,M,.004,.063,.008,.002,.001,.002,.002,.003,.004,.003,.003,.004,.003,.008,.063,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.005,C,C,.010,.014,.006,.010,.009,.011,.006,.005,.004,.004,.003,.005,.004,.004,.004,.006,.005,.005,.007,.004,.006,.014,05
,OTAY MESA DVN,.003,.003,C,C,.004,.005,.004,.006,.008,.008,.006,.004,.003,.002,.002,.002,.002,.001,.001,.001,.001,.002,.002,.001,.003,.008,08
,PENDLETON,.007,.013,C,C,.020,.020,.009,.005,.014,M,M,M,M,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.001,.005,.020,04
03 NO2 PPM,ALPINE,.009,.006,C,C,.005,.013,.010,.007,.004,.004,.004,.003,.003,.003,.003,.002,.002,.002,.003,.005,.005,.005,.006,.006,.005,.013,05
,CARMEL MT RCH,.014,.012,C,C,C,.018,.016,.011,.016,.014,.013,.015,.010,.011,.009,.009,.009,.010,.008,.010,.010,.008,.006,.007,.011,.018,05
,CHULA VISTA,.002,.001,C,C,.005,.007,.005,.010,.008,.005,.003,.004,.003,.002,.002,.002,.002,.001,.002,.001,.001,.001,.001,.001,.003,.010,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.010,.007,.008,.009,M,M,.003,.062,.007,.001,.000,.001,.001,.003,.004,.003,.003,.004,.003,.007,.062,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.005,C,C,.010,.011,.005,.007,.006,.008,.004,.004,.003,.003,.003,.004,.003,.003,.004,.006,.004,.005,.007,.004,.005,.011,05
,OTAY MESA DVN,.002,.003,C,C,.004,.004,.003,.004,.005,.006,.005,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,.002,.001,.002,.006,09
,PENDLETON,.007,.012,C,C,.017,.016,.006,.003,.005,M,M,M,M,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.001,.004,.017,04
04 NO PPM,ALPINE,.000,.000,C,C,.000,.003,.003,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,05
,CARMEL MT RCH,.007,.007,C,C,C,.025,.022,.010,.018,.014,.011,.010,.011,.014,.010,.009,.009,.010,.008,.008,.009,.008,.004,.004,.011,.025,05
,CHULA VISTA,.000,.000,C,C,.000,.001,.001,.005,.003,.002,.001,.001,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.005,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.003,.003,.005,.005,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.005,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.002,.001,.003,.002,.003,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.003,07
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.001,.002,.002,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,07
,PENDLETON,.000,.001,C,C,.003,.003,.003,.002,.009,M,M,M,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.009,08
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.6,.6,.3,.4,.4,.4,.5,.5,.5,.4,.3,.6,.6,.5,.4,.4,.4,.3,.3,.4,.6,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,24,24,25,24,24,25,25,24,24,23,23,23,23,23,23,24,24,24,24,24,24,24,25,24,23,25,02
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,25,25,25,25,25,25,25,25,26,25,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,26,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,26,26,27,27,27,27,26,25,26,25,26,26,26,26,26,26,27,27,27,27,27,27,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,22,25,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,00
,OTAY MESA DVN,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,00
,PENDLETON,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,22,23,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,5.7,11.0,6.4,8.1,8.5,9.7,11.0,7.4,7.7,6.1,6.9,9.7,12.9,13.4,15.6,9.2,9.3,8.5,8.8,6.6,13.2,7.3,5.9,7.3,9.0,15.6,14
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,8.5,5.8,11.2,7.7,6.7,10.1,9.8,10.4,10.3,9.6,8.5,9.3,8.8,8.3,10.1,7.4,7.4,9.8,7.8,6.2,5.5,4.9,10.4,10.9,8.5,11.2,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,5.8,5.1,6.6,4.2,8.4,8.6,12.9,13.3,11.6,7.3,10.0,8.4,5.3,7.0,5.8,16.2,4.6,8.4,7.4,4.6,7.0,14.8,8.8,7.7,8.3,16.2,15
,PENDLETON,5.7,7.8,8.8,12.8,10.7,9.6,9.9,10.4,9.1,8.6,6.5,5.3,6.1,6.3,5.7,6.9,6.4,5.2,6.9,6.4,9.5,7.5,6.5,7.9,7.7,12.8,03
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,7,12,9,70,73,137,261,278,264,279,271,288,294,273,246,263,258,286,281,290,300,87,297,201,209,300,20
,CHULA VISTA,297,271,316,274,248,259,298,340,260,262,271,262,266,265,259,264,258,260,254,244,238,251,253,249,267,340,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
