Current Date:,3/23/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/22/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.051,.050,C,C,.049,.042,.041,.038,.041,.044,M,.048,M,.042,.057,.055,.056,.053,.048,.045,.048,.049,.048,.046,.047,.057,14
,CHULA VISTA,.016,.013,C,C,.011,.009,.004,.007,.021,.034,.035,.043,.058,.067,.066,.061,.060,.056,.049,.034,.022,.006,.006,.017,.031,.067,13
,DOWNTOWN SES,.009,.011,C,C,.004,.002,.002,.014,.025,.029,.036,.041,.051,.062,.063,.057,.057,.053,.047,.044,.020,.015,.010,.014,.030,.063,14
,EL CAJON LES,.006,.005,C,C,C,.002,C,C,C,.029,.043,.050,.056,.060,.057,.057,.056,.052,.047,.029,.027,.037,.029,.021,.036,.060,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.024,.020,C,C,.009,.008,.009,.014,.027,.040,.044,.049,.058,.058,.059,.063,.063,.059,.052,.034,.031,.033,.036,.035,.037,.063,15
,OTAY MESA DVN,.012,.013,C,C,.023,.014,.019,.008,.022,.036,M,M,M,.063,.069,.067,.061,.060,.051,.049,.048,.036,.014,.029,.036,.069,14
,PENDLETON,.027,.022,C,C,.011,.010,.016,.019,.023,.035,.034,.045,.051,<,.058,.061,.065,.063,.060,.055,.038,.028,.037,.032,.037,.065,16
02 NOX PPM,ALPINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPB,ALPINE,1.8,1.2,C,C,1.4,2.8,3.2,4.7,4.1,2.1,M,1.9,M,1.0,1.9,1.8,2.0,2.2,4.3,4.5,2.2,1.3,1.5,1.0,2.3,4.7,07
,CARMEL MT RCH,22.2,19.9,C,C,27.3,30.1,22.6,13.8,20.5,28.9,24.0,18.4,15.0,14.5,14.0,15.8,15.8,18.6,22.6,32.8,49.2,39.3,30.8,18.8,23.4,49.2,20
,CHULA VISTA,12.2,13.1,C,C,14.3,18.5,24.7,25.1,18.0,9.7,16.2,20.1,9.3,7.1,5.1,7.8,8.1,10.6,14.0,21.4,29.3,38.6,34.4,24.2,17.3,38.6,21
,DOWNTOWN SES,20.0,17.6,C,C,21.1,25.9,25.6,20.0,16.0,18.9,20.4,17.7,15.9,9.7,7.5,9.4,10.9,14.0,15.5,14.7,31.9,30.4,34.6,27.3,19.3,34.6,22
,EL CAJON LES,14.0,13.9,C,C,C,13.9,C,C,C,13.8,5.9,4.6,6.6,3.6,2.6,2.8,3.5,6.6,13.6,20.7,16.2,4.3,7.9,10.5,9.1,20.7,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8.2,10.1,C,C,22.2,25.7,21.8,18.2,9.6,8.0,10.9,11.4,5.6,3.9,5.0,5.0,5.9,6.4,8.6,21.0,19.9,17.0,12.9,8.0,12.0,25.7,05
,OTAY MESA DVN,20.0,17.8,C,C,10.0,17.6,14.4,28.9,14.8,6.4,M,M,M,7.5,3.6,2.4,3.3,4.4,8.8,5.9,3.1,17.6,35.8,14.8,12.4,35.8,22
,PENDLETON,3.6,7.6,C,C,12.3,11.0,10.9,6.9,6.8,4.6,5.8,2.7,4.1,<,3.0,1.6,1.5,1.4,1.8,3.6,18.8,23.8,12.9,9.6,7.3,23.8,21
04 NO PPB,ALPINE,.038,.035,C,C,.090,.247,1.221,1.530,1.404,.585,M,.638,M,.287,.362,.291,.215,.202,.373,.031,.055,.031,.263,.037,.397,1.530,07
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,3.003,7.868,C,C,2.353,3.406,13.286,40.887,9.239,2.182,M,M,M,1.217,.387,.186,.117,-.044,.820,-.121,.015,.557,-.009,-.046,4.490,40.887,07
,PENDLETON,-.125,.638,C,C,1.599,1.896,3.063,3.620,4.017,2.046,2.583,.675,2.216,<,.456,.067,-.064,-.143,-.169,-.110,.756,.054,-.146,.144,1.099,4.017,08
06 CO PPM,CARMEL MT RCH,.4,.4,C,C,.8,.8,.5,.4,.5,.6,.6,.6,.5,.6,.6,.5,.6,.7,.7,.8,1.0,.9,.8,.5,.6,1.0,20
10 INTMP °C,ALPINE,26,27,27,27,27,26,27,26,25,25,25,25,25,24,25,25,25,25,25,25,26,26,26,26,26,27,01
,CARMEL MT RCH,25,25,25,26,26,25,25,25,25,25,25,24,24,25,24,24,24,24,25,25,25,25,25,26,25,26,03
,CHULA VISTA,25,25,25,25,24,24,24,25,26,27,26,26,26,26,26,26,26,26,26,26,26,27,27,27,26,27,09
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,25,25,24,25,25,25,25,24,24,24,25,25,25,25,25,25,26,00
,EL CAJON LES,25,24,25,25,24,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,24,25,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,03
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,25,25,25,24,24,24,24,24,25,25,25,25,25,25,26,00
,PENDLETON,25,25,25,25,25,25,25,25,25,25,24,24,24,<,24,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,7.5,6.6,8.3,7.3,5.2,1.2,2.2,-.1,-4.6,-3.8,-2.6,.7,.7,.3,3.7,2.5,2.1,3.4,1.9,5.9,9.3,7.4,7.9,4.6,3.2,9.3,20
,DOWNTOWN SES,15.4,14.7,11.8,8.1,9.5,11.2,15.5,8.6,14.0,10.9,13.6,16.1,7.9,9.9,17.9,5.9,11.1,9.5,10.3,11.7,12.8,15.5,10.0,8.4,11.6,17.9,14
,EL CAJON LES,9.4,9.6,11.2,8.7,9.2,9.1,10.9,16.3,M,M,M,M,2.3,7.1,7.2,2.5,.9,2.8,3.2,7.0,7.0,5.5,5.3,6.2,7.0,16.3,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,25.8,28.2,8.2,8.3,10.6,13.0,7.8,21.4,8.7,4.7,.9,4.0,8.8,8.1,6.6,3.5,2.6,4.6,7.7,9.8,4.5,11.0,21.0,7.3,9.8,28.2,01
,PENDLETON,9.5,9.8,10.1,8.8,8.4,6.9,10.6,8.1,6.5,10.3,12.0,12.6,12.9,12.1,12.7,12.9,15.0,12.8,11.5,14.0,15.0,14.1,11.1,9.0,11.1,15.0,16
12 VWDR °,ALPINE,59,90,80,70,69,79,96,295,280,296,296,299,308,327,302,291,276,299,335,54,71,81,91,74,0,335,18
,CHULA VISTA,46,47,92,57,93,81,57,60,29,60,278,257,255,255,245,235,275,305,228,48,62,97,100,72,0,305,17
,DOWNTOWN SES,347,25,356,2,25,40,65,111,94,239,277,317,293,278,283,313,277,290,341,6,10,322,26,32,0,356,02
,EL CAJON LES,266,207,200,242,231,201,136,307,352,36,283,300,268,275,268,279,277,315,303,240,95,84,85,104,0,352,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,1,47,40,49,29,40,90,133,151,192,252,281,284,281,286,291,315,304,331,8,350,35,49,58,0,350,20
,OTAY MESA DVN,120,132,357,0,99,118,348,150,338,41,140,275,290,297,296,305,308,307,360,3,38,71,117,59,0,360,18
,PENDLETON,32,52,62,73,62,33,52,29,61,231,239,250,274,<,292,277,277,234,233,207,111,52,43,57,0,292,14
13 SIGTHETA °,ALPINE,61,17,17,25,33,35,21,65,27,29,34,34,31,30,30,27,28,24,23,24,30,18,20,21,29,65,07
,CHULA VISTA,38,17,27,31,23,26,32,65,43,66,34,19,21,20,23,26,32,28,26,26,33,32,26,31,31,66,09
