Current Date:,3/11/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/10/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,CARMEL MT RCH,25,24,25,25,25,25,24,25,25,25,25,24,25,25,25,24,25,25,25,26,26,25,25,25,25,26,19
,CHULA VISTA,25,24,25,25,25,24,24,24,24,25,25,M,26,27,26,26,27,26,26,26,26,25,25,24,25,27,13
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,25,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,24,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,24,24,25,25,25,03
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,26,26,26,26,26,26,00
,PENDLETON,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,11.3,10.7,12.7,11.4,15.3,15.5,16.5,17.3,15.5,17.7,15.1,15.3,9.6,7.2,9.3,12.9,12.0,12.0,9.9,10.8,17.8,17.7,18.5,13.1,13.5,18.5,22
,EL CAJON LES,12.3,12.2,9.5,8.2,10.3,7.5,6.3,7.3,6.5,9.7,10.4,11.6,8.6,11.9,11.0,9.9,10.6,14.7,12.2,12.2,17.7,16.7,12.7,12.8,10.9,17.7,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,6.0,9.0,11.2,6.9,5.1,11.5,12.6,13.4,11.5,11.2,10.4,12.8,11.3,9.5,13.3,9.2,12.4,12.2,11.8,12.9,10.9,18.7,23.8,26.4,12.2,26.4,23
,PENDLETON,11.1,13.1,10.4,12.0,11.0,13.3,14.6,10.2,14.3,14.1,15.0,18.2,10.2,13.7,15.1,15.2,15.6,13.1,17.8,12.9,14.1,10.8,9.4,10.1,13.1,18.2,11
12 VWDR °,ALPINE,150,122,54,124,115,124,133,135,153,147,206,277,285,290,278,282,289,297,313,78,92,84,67,37,0,313,18
,CHULA VISTA,150,152,157,124,120,134,138,125,128,137,144,M,236,251,260,272,277,293,331,351,88,35,95,75,0,351,19
,DOWNTOWN SES,173,173,188,177,126,138,134,121,141,173,188,220,215,238,259,282,301,317,346,354,23,68,1,0,0,354,19
,EL CAJON LES,102,126,99,96,122,139,146,136,120,134,180,202,229,223,237,262,283,301,303,298,120,83,78,104,0,303,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,154,145,152,127,123,132,129,133,134,149,175,198,225,239,255,295,297,309,333,23,24,88,28,45,0,333,18
,OTAY MESA DVN,140,147,142,143,138,143,152,143,137,142,138,172,239,281,282,294,277,275,330,133,93,50,88,99,0,330,18
,PENDLETON,124,126,111,106,110,105,88,96,125,190,207,213,240,256,268,281,280,290,303,356,69,124,125,87,0,356,19
13 SIGTHETA °,ALPINE,29,19,50,32,12,13,13,13,18,21,40,38,30,36,28,27,24,26,44,23,33,47,24,27,28,50,02
