,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPB,ALPINE,1.4,C,C,2.1,1.1,1.0,.9,2.2,1.1,1.3,1.1,1.0,1.0,1.1,1.3,1.5,1.5,2.8,5.4,6.1,3.3,2.6,2.1,1.8,1.9,6.1,19
,CARMEL MT RCH,7.9,C,C,5.7,7.6,6.8,6.7,2.2,1.3,3.5,8.4,6.3,8.0,8.7,7.9,8.8,6.8,8.0,11.0,18.0,19.4,18.3,29.0,19.7,10.0,29.0,22
,CHULA VISTA,1.5,C,C,8.5,6.5,7.4,8.1,9.0,4.8,3.0,3.9,1.1,1.0,1.1,.8,.8,1.2,3.4,4.3,8.9,18.0,22.6,13.8,13.5,6.5,22.6,21
,DOWNTOWN SES,2.9,C,C,7.3,8.3,7.2,9.6,7.2,4.4,2.7,2.5,6.3,1.9,1.7,1.7,1.5,1.7,4.6,5.2,8.1,15.4,21.3,28.1,25.3,7.9,28.1,22
,EL CAJON LES,4.8,C,C,C,13.0,10.7,13.3,9.8,2.1,1.3,2.1,1.4,1.6,1.8,2.5,2.7,3.6,3.7,8.3,8.2,8.2,12.8,8.3,6.4,6.0,13.3,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.8,C,C,4.3,6.5,4.9,5.4,4.1,2.1,2.2,1.8,2.2,2.8,1.9,1.7,1.6,1.8,2.5,4.2,10.1,17.2,17.0,14.6,7.1,5.4,17.2,20
,OTAY MESA DVN,.7,C,C,2.5,1.9,2.0,2.2,5.3,.7,2.2,3.5,3.7,1.5,1.6,1.6,2.2,1.9,.6,1.5,2.1,1.7,3.1,3.1,5.9,2.3,5.9,23
,PENDLETON,,,,,,,,,,,,,P,1.1,.7,.4,.6,.4,2.5,6.9,25.7,18.6,4.0,4.4,5.9,25.7,20
04 NO PPB,ALPINE,.015,C,C,.044,.025,.026,.205,.752,.242,.399,.231,.180,.164,.170,.184,.304,.193,.118,.067,.199,.350,.219,.059,.034,.190,.752,07
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,-.229,C,C,-.267,-.272,-.239,-.137,.963,-.072,.412,.960,.752,.005,.063,.037,.270,.105,-.214,-.264,-.220,-.223,-.046,-.129,.230,.068,.963,07
,PENDLETON,,,,,,,,,,,,,P,-.023,-.119,-.188,-.181,-.210,-.218,-.206,.195,.763,-.116,-.062,-.033,.763,21
06 CO PPM,CARMEL MT RCH,.4,C,C,.2,.2,.3,.3,.2,.2,.2,.6,.4,.5,.5,.5,.5,.6,.6,.6,.6,.6,.5,.9,.5,.5,.9,22
10 INTMP °C,ALPINE,26,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,26,27,01
,CARMEL MT RCH,23,23,24,23,23,23,23,23,23,24,25,25,25,25,25,25,25,25,25,25,24,24,24,23,24,25,10
,CHULA VISTA,23,23,23,23,23,23,23,23,24,26,27,26,26,26,26,26,26,26,27,27,26,26,26,25,25,27,10
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,25,25,24,24,24,24,24,24,24,25,25,25,25,26,26,25,26,00
,EL CAJON LES,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,25,25,25,25,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,24,24,24,25,25,24,24,24,24,25,25,25,25,25,25,25,25,25,24,24,24,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,25,25,25,26,26,27,27,27,26,27,00
,PENDLETON,,,,,,,,,,,,,P,24,24,24,24,25,25,25,25,25,25,25,25,25,17
11 PM2.5 µg/M3,ALPINE,.7,2.7,2.8,-.3,-2.4,.4,3.2,3.1,6.7,6.8,4.7,3.9,3.2,2.1,5.9,9.3,5.9,8.5,8.6,13.5,7.9,7.8,7.0,5.0,4.8,13.5,19
,DOWNTOWN SES,3.4,5.0,5.0,6.5,7.0,5.1,6.6,7.5,6.0,7.9,9.3,8.1,8.4,6.3,5.2,2.6,2.2,3.7,7.0,8.2,7.0,9.5,19.6,19.3,7.3,19.6,22
,EL CAJON LES,4.1,2.3,3.6,3.8,1.9,4.4,5.5,4.4,3.5,7.1,6.2,6.2,8.6,8.8,6.6,3.5,5.9,4.3,9.0,30.9,10.4,16.4,9.2,7.1,7.2,30.9,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,-.4,1.6,2.3,2.1,2.3,4.8,4.2,2.5,2.0,6.1,4.9,2.8,1.2,2.5,3.7,1.2,1.9,2.9,1.4,2.4,.9,1.1,2.5,1.7,2.4,6.1,09
,PENDLETON,,,,,,,,,,,,,7.0,8.0,6.0,4.9,4.5,4.2,2.6,2.9,5.0,7.9,4.1,1.3,4.8,8.0,13
12 VWDR °,ALPINE,203,280,335,94,87,105,105,130,191,284,236,271,271,216,234,231,241,265,290,123,102,58,37,31,0,335,02
,CHULA VISTA,295,314,124,106,102,101,104,107,126,190,245,243,245,251,246,248,257,278,256,177,128,86,90,64,0,314,01
,DOWNTOWN SES,275,306,316,38,68,81,68,81,117,177,198,211,216,231,219,235,241,295,306,342,27,3,69,43,0,342,19
,EL CAJON LES,112,88,39,120,343,216,239,292,98,184,227,342,177,209,210,223,218,233,205,179,100,69,100,96,0,343,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,271,66,67,92,93,72,85,108,131,149,188,201,241,233,242,248,251,303,296,332,62,43,51,48,0,332,19
,OTAY MESA DVN,312,335,35,128,115,137,138,148,152,182,238,218,291,268,255,250,265,284,314,45,69,51,55,54,0,335,01
,PENDLETON,,,,,,,,,,,,,P,234,238,247,250,280,327,325,69,54,37,45,0,327,18
13 SIGTHETA °,ALPINE,35,26,19,21,16,13,14,16,39,44,43,37,49,42,27,26,30,27,34,35,24,23,33,16,29,49,12
,CHULA VISTA,18,49,25,10,13,12,12,16,23,43,30,24,24,22,25,21,19,23,17,32,10,21,23,49,23,49,01
,DOWNTOWN SES,22,35,31,22,14,15,14,19,33,33,22,21,23,21,22,20,26,39,25,24,29,25,12,16,23,39,17
,EL CAJON LES,37,16,40,50,56,46,13,34,46,51,51,49,54,25,27,25,24,22,15,23,18,61,14,18,34,61,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7,36,7,10,11,7,7,11,19,35,42,28,19,19,18,15,18,14,5,41,13,14,10,5,17,42,10
,OTAY MESA DVN,26,18,11,22,11,12,12,12,25,46,34,29,17,15,18,17,13,10,25,21,15,20,10,10,19,46,09
,PENDLETON,,,,,,,,,,,,,P,16,16,12,13,16,11,31,8,9,8,9,14,31,19
14 VWSP MPH,ALPINE,1.0,1.2,1.3,1.6,1.8,2.2,2.7,3.1,2.0,1.6,2.4,3.1,2.4,2.4,4.1,5.1,4.2,2.5,1.6,.9,1.0,.7,.4,.9,.0,5.1,15
,CHULA VISTA,7.2,1.0,2.2,2.5,3.9,4.5,4.8,4.4,4.5,2.3,4.5,6.4,7.0,7.8,7.2,7.4,6.2,3.5,2.3,.6,1.9,1.1,2.4,1.3,.0,7.8,13
,DOWNTOWN SES,5.5,2.3,1.9,1.5,3.3,3.4,3.2,3.5,3.4,4.0,5.6,7.4,7.5,7.9,7.1,6.9,5.0,2.6,3.1,2.0,.6,.6,2.0,2.6,.0,7.9,13
,EL CAJON LES,1.0,1.6,.6,.2,.6,.3,1.4,.5,1.3,.9,1.5,2.1,3.3,6.2,6.1,6.1,6.0,2.8,2.4,2.2,2.0,.7,1.7,2.3,.0,6.2,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,5.5,2.3,3.8,3.4,2.9,4.7,3.4,4.4,5.4,3.8,3.1,5.8,9.3,9.1,8.8,9.1,7.0,5.1,4.8,.9,1.9,1.4,3.3,4.8,.0,9.3,12
,OTAY MESA DVN,2.8,3.8,2.7,3.3,3.3,4.1,3.6,3.5,3.7,1.9,2.5,3.5,6.9,7.2,7.1,7.5,8.2,5.3,2.4,1.4,1.5,.9,2.4,2.4,.0,8.2,16
,PENDLETON,,,,,,,,,,,,,P,7.6,6.7,8.1,7.5,4.0,3.2,.6,1.2,3.5,6.6,5.7,.0,8.1,15
15 SWSP MPH,ALPINE,1.3,1.3,1.4,1.9,1.9,2.3,2.8,3.3,2.5,2.5,3.5,4.0,3.7,3.6,4.6,5.6,5.3,2.9,2.0,1.2,1.2,1.0,.6,1.0,2.6,5.6,15
,CHULA VISTA,7.7,1.9,2.4,2.6,4.1,4.6,4.9,4.6,4.8,3.4,5.2,7.0,7.6,8.4,7.9,7.8,6.6,3.9,2.5,1.0,2.0,1.2,2.5,1.5,4.4,8.4,13
,DOWNTOWN SES,6.1,2.7,2.2,2.4,3.4,3.6,3.3,3.7,3.9,4.5,6.2,7.9,8.2,8.5,7.7,7.4,5.6,3.1,3.5,2.3,.9,1.1,2.1,2.7,4.3,8.5,13
,EL CAJON LES,1.3,1.6,1.3,.5,.8,1.0,1.5,.9,1.9,3.0,2.3,3.0,5.3,7.0,7.1,6.8,6.6,3.0,2.5,2.4,2.4,1.0,1.8,2.4,2.8,7.1,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.6,3.2,3.8,3.5,3.0,4.8,3.5,4.5,5.9,4.6,4.1,6.6,9.8,9.6,9.3,9.4,7.4,5.3,4.8,2.1,2.0,1.5,3.3,4.8,5.1,9.8,12
,OTAY MESA DVN,3.4,4.3,2.8,3.5,3.3,4.2,3.7,3.6,4.0,2.9,3.7,4.5,7.4,7.5,7.5,7.9,8.6,5.4,3.0,1.5,1.5,1.0,2.4,2.5,4.2,8.6,16
,PENDLETON,,,,,,,,,,,,,P,7.9,7.0,8.3,7.6,4.5,3.4,.7,1.2,3.6,6.7,5.8,5.2,8.3,15
16 AMBTEMP °F,ALPINE,41.8,41.7,41.2,40.4,40.2,39.5,39.7,43.2,46.0,46.7,49.0,50.9,51.9,52.4,52.0,52.5,51.9,48.9,46.7,45.1,44.4,44.0,43.1,43.0,45.7,52.5,15
,CARMEL MT RCH,47.5,46.3,46.1,45.7,44.9,45.0,45.6,48.3,52.0,54.1,54.8,57.9,57.5,58.7,58.4,57.7,56.5,53.9,52.0,50.6,49.5,48.6,47.3,46.3,51.1,58.7,13
,CHULA VISTA,52.5,49.6,48.3,48.2,48.3,48.1,48.0,51.4,55.0,57.1,58.3,58.2,59.9,59.6,59.4,58.8,57.6,56.3,55.0,54.1,52.5,51.1,50.4,48.5,53.6,59.9,12
,DOWNTOWN SES,52.9,52.1,52.6,51.2,49.1,48.7,48.7,51.5,55.5,57.8,59.0,59.3,59.9,59.5,59.4,58.7,58.3,57.3,56.1,55.2,54.6,53.2,51.9,51.2,54.7,59.9,12
,EL CAJON LES,47.5,45.9,45.0,44.5,44.1,44.4,43.7,46.4,52.2,56.6,56.3,59.7,62.1,61.5,61.4,60.5,58.8,56.2,53.7,51.9,50.2,48.6,46.6,45.6,51.8,62.1,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,49.9,47.4,45.1,44.4,44.5,44.4,44.9,49.5,53.8,56.2,58.2,59.6,59.4,59.0,59.5,58.6,57.6,55.5,52.6,51.5,49.3,48.5,47.5,47.4,51.8,59.6,11
,OTAY MESA DVN,48.4,47.4,47.1,46.8,46.9,48.0,48.0,49.4,53.1,55.2,57.0,57.7,56.1,57.0,56.3,57.7,56.8,53.2,51.2,50.4,49.6,49.4,48.4,48.2,51.6,57.7,11
,PENDLETON,,,,,,,,,,,,,P,61.7,62.2,61.0,59.8,57.6,55.6,55.2,54.4,51.9,48.8,48.0,56.0,62.2,14
17 RELHUM %,ALPINE,100,100,100,100,100,100,100,93,86,79,72,58,53,51,58,61,65,71,79,86,86,86,90,92,82,100,00
,EL CAJON LES,90,94,97,98,99,98,99,97,77,61,54,45,43,46,47,48,48,52,59,66,72,76,80,81,72,99,04
,KEARNY MESA,78,85,93,95,95,96,95,86,73,66,51,49,58,58,57,57,53,63,74,77,82,85,88,89,75,96,05
18 PRES mmHg,EL CAJON LES,753,753,753,753,753,753,754,754,755,755,755,755,754,754,754,754,754,754,754,754,755,755,755,755,754,755,08
,KEARNY MESA,754,754,754,754,754,754,755,755,756,756,756,756,756,755,755,755,755,755,755,755,756,756,756,756,755,756,08
19 SOLAR W/M2,EL CAJON LES,-1,0,0,0,1,1,34,191,387,613,338,841,978,711,628,419,218,35,-2,-2,-2,-1,-1,-1,224,978,12
,KEARNY MESA,0,0,0,0,0,0,46,210,468,680,883,1008,994,639,673,489,263,58,0,0,0,0,0,0,267,1008,11
25 NOY,EL CAJON LES,4.63,6.96,8.53,10.60,C,C,17.12,17.25,3.32,2.27,3.13,2.66,3.16,3.33,4.01,4.18,4.75,4.66,8.60,9.08,8.22,13.39,8.23,6.28,7.01,17.25,07
26 NOY-NO,EL CAJON LES,4.56,6.87,8.42,9.74,C,C,11.96,9.29,2.52,1.81,2.67,2.21,2.67,2.80,3.27,3.48,4.12,4.28,7.75,8.49,8.15,12.63,7.93,6.11,5.98,12.63,21
27 NO Trace,EL CAJON LES,.06,.08,.10,.86,C,C,5.16,7.95,.79,.45,.45,.45,.49,.52,.74,.69,.63,.37,.84,.59,.07,.76,.29,.17,1.02,7.95,07
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.0,.0,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.1,.1,.1,.0,.0,.0,.0,.1,08
29 CO Tr PPB,EL CAJON LES,208.6,C,C,C,263.7,267.7,341.2,346.4,177.6,157.4,164.3,154.2,181.4,178.1,173.9,178.9,182.3,201.1,280.5,406.8,293.2,377.1,260.1,223.6,238.9,406.8,19
BCarbon ug/m3,10TH AVE MARINE TERM,.03,.04,.06,.07,.31,.30,.31,.32,5.61,.60,.27,.27,.11,.11,.09,.10,.08,.13,.09,.15,.44,.23,1.23,3.28,.59,5.61,08
,ALPINE,.41,.07,.08,.07,.05,.04,.04,.07,.03,.05,.03,.04,.05,.07,.11,.11,.10,.11,.47,.53,.20,.19,.17,.13,.13,.53,19
,CHICANO PARK,.10,.10,.18,.30,.34,.38,.57,.43,.25,.17,.18,.21,.15,.16,.15,.15,.27,.24,.38,.42,.46,.94,1.77,1.64,.41,1.77,22
,DOWNTOWN SES,.09,.13,.24,.17,.18,.16,.32,.33,.18,.11,.11,.12,.07,.11,.07,.07,.08,.15,.20,.35,.54,.79,1.41,1.49,.31,1.49,23
,OCEANVIEW BLVD,.11,.19,.57,.26,.19,.24,.27,.25,.14,.13,.14,.14,.11,.11,.11,.11,.11,.15,.33,.82,1.04,1.24,1.77,1.44,.42,1.77,22
,SAN YSIDRO,.05,.14,.20,.21,.41,.86,1.34,1.10,.56,.44,.18,.10,.07,.08,.09,.10,.10,.11,.18,.25,.40,.58,<,<,.34,1.34,06
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
