Current Date:,12/20/2023,8:28 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/16/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.046,.048,C,C,.048,.049,.047,.046,.043,.042,.045,.048,.049,.051,.052,.051,.046,.045,.043,.043,.045,.043,.046,.047,.046,.052,14
,CHULA VISTA,.021,.023,C,C,.025,.023,.018,P,,P,P,P,.041,.046,.045,.044,.039,.020,.009,.008,.006,.017,.019,.015,.024,.046,13
,DOWNTOWN SES,.001,.023,C,C,.013,.021,.018,.015,.017,.022,.015,.027,.039,.044,.038,.039,.033,.032,.009,.004,.002,.005,.005,.002,.019,.044,13
,EL CAJON LES,.003,.002,C,C,C,.002,.002,.003,.005,.015,.023,.038,.046,.049,.050,.046,.046,.032,.021,.010,.015,.009,.004,.003,.020,.050,14
,KEARNY MESA,.034,.035,C,C,.035,.035,.034,.029,.030,.033,.040,.043,.047,.048,.049,.049,.042,.037,.031,.026,.034,.033,.034,.030,.036,.049,14
,OTAY MESA DVN,.045,.042,C,C,.044,.042,.041,.039,.040,.040,.045,.045,.049,.049,.048,.049,.046,.041,.026,.012,.008,.025,.040,.019,.037,.049,12
,PENDLETON,.027,.026,.028,.029,.030,.029,.029,.023,.023,.031,.032,.036,.037,.036,.037,.027,.025,.030,.023,.021,.024,.026,.027,.027,.028,.037,12
03 NO2 PPB,ALPINE,1.9,.9,C,C,.8,.9,1.8,2.7,4.9,4.4,2.2,1.4,1.2,1.5,1.7,3.1,9.3,6.6,6.5,4.8,3.4,3.4,2.0,1.2,3.0,9.3,16
,CARMEL MT RCH,29.3,30.9,C,C,17.7,35.5,24.8,34.6,34.4,16.7,13.2,16.6,16.1,12.0,12.8,11.2,18.2,23.2,30.8,28.8,22.1,16.3,32.1,27.5,22.9,35.5,05
,CHULA VISTA,13.3,12.1,C,C,8.8,11.5,17.0,P,,P,P,P,<,5.2,5.3,7.4,11.3,24.5,33.2,31.5,34.2,22.1,18.5,18.6,17.1,34.2,20
,DOWNTOWN SES,37.8,13.6,C,C,18.1,13.2,17.7,21.8,20.5,17.9,38.3,23.4,12.0,7.2,13.3,11.0,17.0,17.8,36.2,40.2,40.6,36.7,32.0,36.6,23.7,40.6,20
,EL CAJON LES,23.7,24.8,C,C,C,21.0,20.9,21.4,23.4,20.5,18.0,9.0,3.7,2.4,4.2,5.9,5.8,15.2,19.6,26.4,20.7,24.9,26.9,27.9,17.4,27.9,23
,KEARNY MESA,6.0,3.9,C,C,3.9,5.7,7.2,12.4,10.1,9.4,8.6,5.9,6.2,4.8,3.8,3.6,9.6,11.5,17.0,19.9,11.9,10.8,7.1,9.2,8.5,19.9,19
,OTAY MESA DVN,1.2,1.4,C,C,1.5,3.0,4.1,4.6,2.2,3.1,1.5,3.4,1.9,5.4,4.8,2.6,4.4,5.9,23.3,34.2,35.7,18.3,2.9,22.6,8.5,35.7,20
,PENDLETON,7.4,7.0,5.9,6.1,4.9,6.1,7.4,9.9,7.8,5.6,5.1,5.0,4.1,5.0,12.1,22.4,29.5,20.6,26.6,25.5,18.4,12.1,9.9,7.4,11.3,29.5,16
