,PENDLETON,16.4,13.8,C,C,10.8,13.0,11.2,20.7,12.9,10.8,8.5,5.9,5.4,5.4,2.3,2.3,2.7,3.0,10.9,21.6,14.9,9.2,15.8,17.2,10.6,21.6,19
,SAN YSIDRO,23.7,22.8,C,C,26.7,26.1,26.8,33.6,46.1,49.6,38.4,13.8,8.6,6.4,7.5,9.5,14.2,21.7,26.0,26.9,25.0,20.2,25.0,21.7,23.6,49.6,09
04 NO PPB,ALPINE,.0,.0,C,C,.0,.0,.1,1.8,5.4,2.2,1.3,1.1,1.4,2.5,2.0,.7,.3,.8,.3,1.1,.3,.0,.0,.0,.9,5.4,08
,OTAY MESA DVN,28.0,24.0,C,C,5.5,7.3,13.3,24.8,14.1,42.2,21.1,12.4,M,3.4,2.6,2.0,.6,.5,1.8,1.7,.4,1.5,.8,1.5,9.9,42.2,09
,PENDLETON,.4,.1,C,C,.2,1.3,1.2,14.8,6.9,3.7,2.0,1.0,.8,1.5,.1,.0,.0,.0,.0,.6,.6,.3,.3,.7,1.6,14.8,07
06 CO PPM,CARMEL MT RCH,.5,.6,C,C,.7,.5,.6,.8,.5,.5,.5,.6,.6,.6,.7,.6,.4,.3,.2,.2,.2,.2,.2,.2,.5,.8,07
,SAN YSIDRO,.6,.6,C,C,1.3,1.5,1.6,1.9,2.4,1.7,1.0,.4,.3,.3,.3,.3,.4,.5,.7,.6,.6,.4,.6,.7,.9,2.4,08
07 H2S PPB,SAN YSIDRO,.3,.0,.2,4.8,1.4,.6,.9,3.8,11.3,7.9,1.4,.0,.0,.0,.0,.0,.0,.0,.7,.1,.0,.0,.0,.0,1.3,11.3,08
10 INTMP °C,ALPINE,26,26,26,26,26,26,25,26,26,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,00
,CARMEL MT RCH,25,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,24,25,00
,CHULA VISTA,23,23,23,24,24,24,24,24,25,24,23,24,23,24,25,25,25,24,23,23,24,23,23,24,24,25,08
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,00
,EL CAJON LES,26,26,26,26,26,27,26,26,26,25,26,26,26,26,26,25,25,25,25,26,26,26,26,26,26,27,05
,KEARNY MESA,25,25,25,24,24,24,24,23,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,25,25,26,27,25,26,26,25,24,24,24,25,25,25,25,25,25,24,24,24,24,25,26,25,27,04
,PENDLETON,23,24,24,24,24,23,24,24,23,24,24,24,24,24,24,24,25,25,25,25,26,26,25,25,24,26,20
,SAN YSIDRO,23,23,23,23,24,23,24,23,23,23,23,23,23,24,24,25,25,24,24,23,23,23,23,23,23,25,15
11 PM2.5 µg/M3,ALPINE,5.5,5.2,3.8,5.2,5.0,5.2,4.4,4.2,4.5,3.8,3.7,5.0,8.5,12.9,12.2,9.9,10.1,12.3,10.7,11.7,8.4,6.5,13.0,13.7,7.7,13.7,23
,CARMEL MT RCH,7.7,8.0,10.0,7.5,7.1,6.8,7.0,8.6,8.7,9.1,9.8,11.6,9.3,8.7,9.5,9.0,7.5,7.9,7.9,8.2,8.7,8.2,8.8,10.6,8.5,11.6,11
,CHULA VISTA,13.6,9.5,15.4,23.5,32.3,31.0,33.3,26.2,35.4,29.7,20.9,11.1,M,M,M,9.5,9.2,9.3,10.6,14.3,15.2,16.2,16.2,12.3,18.7,35.4,08
,DOWNTOWN SES,14.4,15.9,17.9,15.0,15.9,18.9,19.2,21.4,23.5,18.1,12.3,6.7,6.6,7.6,7.7,8.0,8.3,8.2,8.5,8.5,9.7,16.4,19.1,17.8,13.5,23.5,08
,EL CAJON LES,18.2,18.6,17.1,15.8,12.3,12.3,11.4,12.0,13.6,11.0,14.4,15.0,17.3,9.4,8.9,7.9,8.4,9.3,10.5,15.4,20.5,21.2,19.7,18.8,14.1,21.2,21
,KEARNY MESA,11.9,11.4,12.0,8.7,7.8,11.7,11.2,10.8,12.3,13.2,13.1,11.1,9.4,8.6,8.1,7.7,7.8,7.9,8.1,9.1,9.3,8.7,8.4,8.9,9.8,13.2,09
,OTAY MESA DVN,47.2,54.9,58.6,44.3,34.8,42.4,48.6,54.0,38.8,53.3,42.5,24.0,20.1,11.8,9.5,11.8,12.8,13.9,21.0,18.7,18.8,15.1,18.4,19.6,30.6,58.6,02
,PENDLETON,8.4,8.1,7.0,5.3,5.6,5.3,5.4,9.8,7.5,6.5,8.7,8.7,7.6,7.8,7.1,7.6,8.8,9.3,9.1,10.3,10.2,10.1,13.5,13.4,8.3,13.5,22
,SAN YSIDRO,13.4,12.2,31.3,65.2,54.8,40.2,38.4,60.8,78.0,54.3,34.8,17.5,10.3,8.2,9.2,8.9,9.5,10.9,15.6,17.4,10.9,11.0,12.3,13.7,26.6,78.0,08
12 VWDR °,ALPINE,95,88,121,120,110,92,70,352,109,238,273,268,276,280,263,303,345,354,41,79,347,351,1,119,0,354,17
,CHULA VISTA,90,81,88,79,67,69,95,93,93,138,238,251,244,235,238,227,218,208,186,104,84,60,67,79,0,251,11
,DOWNTOWN SES,87,87,89,49,80,53,88,82,101,158,182,210,204,214,209,212,175,179,177,176,148,70,42,76,0,214,13
,EL CAJON LES,229,233,191,232,115,245,112,239,309,301,M,M,M,M,M,M,203,224,140,113,130,231,249,165,0,309,08
,KEARNY MESA,89,74,84,62,58,73,100,77,134,153,168,183,205,203,204,202,169,168,143,111,78,70,52,105,0,205,12
,OTAY MESA DVN,127,92,109,131,16,85,105,133,20,183,218,222,248,250,242,260,260,309,22,39,49,40,45,53,0,309,17
,PENDLETON,70,72,60,55,68,61,62,66,70,74,158,195,209,214,199,183,176,169,118,74,59,81,98,78,0,214,13
13 SIGTHETA °,ALPINE,13,27,35,14,56,23,26,38,32,23,28,30,29,33,30,30,25,55,47,27,42,33,33,33,32,56,04
,CHULA VISTA,23,20,50,41,23,26,17,12,14,34,31,20,18,22,21,22,21,26,17,17,14,23,16,13,23,50,02
,DOWNTOWN SES,16,36,26,43,25,26,18,16,17,24,17,21,20,20,17,19,19,16,14,12,19,15,12,15,20,43,03
,EL CAJON LES,39,49,50,48,43,34,45,51,57,49,M,M,M,M,M,M,19,15,14,11,22,14,19,28,34,57,08
,KEARNY MESA,9,12,8,10,10,12,22,13,17,18,25,23,22,17,17,18,11,12,16,11,4,7,8,17,14,25,10
,OTAY MESA DVN,56,42,39,20,12,22,50,30,30,28,40,29,27,18,16,11,15,22,30,39,41,38,12,13,28,56,00
,PENDLETON,8,9,11,8,9,10,11,11,11,13,19,16,16,13,17,15,12,11,18,10,12,11,9,9,12,19,10
14 VWSP MPH,ALPINE,1.4,.8,1.4,2.3,.7,.9,.6,1.0,.5,2.1,3.1,3.5,4.0,3.6,3.7,3.1,1.2,.3,.6,.8,.9,1.2,1.1,1.0,.0,4.0,12
,CHULA VISTA,2.1,1.7,1.4,1.0,1.1,.6,3.4,5.6,4.4,1.8,3.1,6.2,7.8,6.8,6.8,5.7,3.6,1.3,1.6,1.2,1.5,1.0,2.3,3.4,.0,7.8,12
,DOWNTOWN SES,2.6,1.8,2.4,1.1,1.9,2.3,3.7,4.5,4.7,4.1,5.9,7.0,6.7,7.7,7.3,5.9,6.2,4.9,5.9,6.3,3.4,2.9,3.7,3.5,.0,7.7,13
,EL CAJON LES,.7,.3,.4,.3,.7,.6,.6,.2,.2,.5,M,M,M,M,M,M,3.1,1.9,1.2,1.7,.4,.5,.5,.6,.0,3.1,16
,KEARNY MESA,3.1,3.0,3.4,2.5,3.8,3.4,2.2,3.6,3.8,6.1,5.7,5.8,6.3,7.8,7.9,6.3,6.3,4.5,3.3,2.3,2.8,2.9,3.8,2.1,.0,7.9,14
,OTAY MESA DVN,1.1,1.0,1.1,1.2,3.9,1.5,1.1,2.1,.7,2.5,2.6,3.5,5.0,6.9,6.6,6.6,3.4,1.1,1.2,1.3,1.5,1.6,4.6,4.6,.0,6.9,13
,PENDLETON,6.3,7.7,6.1,6.8,6.9,7.2,7.1,7.3,7.1,6.0,4.3,6.2,6.3,6.0,5.9,5.1,4.5,3.8,2.4,2.7,4.2,5.7,4.2,3.9,.0,7.7,01
15 SWSP MPH,ALPINE,1.4,.9,1.5,2.4,.8,1.0,.9,1.3,1.3,2.5,3.4,3.9,4.6,4.2,4.3,3.9,1.4,.6,1.3,.8,.9,1.4,1.3,1.5,2.0,4.6,12
,CHULA VISTA,2.3,1.8,1.7,1.3,1.3,.7,3.5,5.8,4.6,2.7,4.0,6.6,8.1,7.4,7.3,6.1,3.9,1.4,1.8,1.3,1.6,1.0,2.4,3.5,3.4,8.1,12
,DOWNTOWN SES,2.7,2.0,2.6,1.4,2.1,2.5,3.9,4.7,5.0,4.6,6.4,7.6,7.2,8.2,7.6,6.3,6.5,5.1,6.0,6.4,4.5,3.0,3.8,3.6,4.7,8.2,13
,EL CAJON LES,.8,.7,.7,.6,.8,.6,.6,.3,.5,1.0,M,M,M,M,M,M,3.3,2.0,1.3,1.8,.8,.5,.6,1.3,1.0,3.3,16
,KEARNY MESA,3.2,3.3,3.6,2.6,4.0,3.5,2.3,3.7,4.3,6.5,6.3,6.3,6.8,8.2,8.3,6.7,6.4,4.7,3.8,2.6,2.8,3.0,4.0,2.1,4.5,8.3,14
,OTAY MESA DVN,1.6,1.6,1.5,1.7,4.0,2.3,1.2,2.4,1.4,2.9,3.3,4.1,5.6,7.6,6.9,6.7,3.6,1.9,1.4,1.3,2.0,1.8,4.7,4.8,3.2,7.6,13
,PENDLETON,6.3,7.8,6.3,7.0,7.0,7.4,7.3,7.5,7.3,6.2,5.5,6.5,6.6,6.1,6.2,5.3,4.6,3.9,2.8,2.8,4.3,5.9,4.3,4.0,5.8,7.8,01
16 AMBTEMP °F,ALPINE,57.7,57.6,56.5,56.6,57.3,55.6,55.7,56.0,60.4,63.7,64.7,65.4,65.4,65.1,64.6,60.5,56.5,54.3,51.4,50.6,48.5,48.8,48.2,46.4,57.0,65.4,11
,CARMEL MT RCH,50.7,49.6,47.3,48.2,46.1,46.0,45.7,47.6,51.4,57.2,61.9,65.2,67.3,68.6,67.4,64.1,60.3,56.5,54.9,54.2,55.0,55.4,55.5,55.3,55.5,68.6,13
,CHULA VISTA,52.4,51.7,48.6,47.1,47.0,47.8,48.5,50.7,55.7,60.5,63.1,64.3,64.1,64.0,63.2,62.2,59.4,57.8,56.5,55.3,54.4,52.9,52.8,53.6,55.6,64.3,11
,DOWNTOWN SES,56.3,54.5,52.6,52.3,52.1,51.7,53.1,54.3,57.7,61.4,62.6,62.8,63.2,62.4,61.9,61.4,60.0,59.0,59.0,58.6,58.0,56.7,56.0,55.6,57.6,63.2,12
,EL CAJON LES,45.8,44.4,42.5,41.5,40.0,39.3,38.3,40.9,46.9,54.2,61.1,65.6,67.7,66.3,64.7,62.5,59.3,56.9,54.1,52.1,52.4,52.0,53.2,53.8,52.3,67.7,12
,KEARNY MESA,51.3,50.0,48.3,46.9,48.1,51.0,52.5,53.9,57.4,60.6,63.1,64.7,65.2,64.8,62.9,61.5,59.1,57.5,55.8,54.4,54.0,54.4,55.7,55.7,56.2,65.2,12
,OTAY MESA DVN,53.1,52.5,51.3,50.1,49.1,49.7,50.3,50.7,53.7,59.0,63.2,67.0,68.9,67.4,66.1,63.4,58.5,56.0,54.8,54.2,53.4,53.8,53.2,53.0,56.4,68.9,12
,PENDLETON,47.5,47.9,47.8,47.7,46.2,47.4,47.4,47.6,51.6,57.8,61.3,61.9,62.4,62.5,62.1,61.1,60.0,59.4,58.7,57.1,55.6,55.8,56.1,56.3,55.0,62.5,13
,SAN YSIDRO,49.4,48.1,46.6,46.1,45.6,46.1,45.6,49.4,55.4,60.6,64.7,67.1,66.4,65.2,64.1,62.7,60.4,59.1,58.1,57.5,57.2,54.3,53.1,51.6,55.6,67.1,11
17 RELHUM %,ALPINE,26,23,20,21,18,19,17,17,17,15,15,19,23,31,47,66,79,83,89,80,94,100,100,100,47,100,21
,EL CAJON LES,93,96,100,100,97,95,94,87,70,46,38,42,49,60,66,72,81,87,93,95,95,95,93,92,81,100,02
,KEARNY MESA,100,100,100,99,74,91,93,90,85,67,61,59,61,65,70,72,80,85,88,91,93,92,90,90,83,100,00
18 PRES mmHg,EL CAJON LES,747,747,746,746,746,746,747,747,747,747,747,746,745,745,745,746,746,746,747,747,748,748,748,748,747,748,20
,KEARNY MESA,748,747,747,747,747,747,747,747,748,748,748,747,746,746,746,747,747,747,748,748,749,749,749,749,747,749,20
19 SOLAR W/M2,EL CAJON LES,-3,-2,-3,-3,-3,-2,1,26,56,247,500,552,528,454,327,158,14,-4,-4,-3,-1,-1,0,0,118,552,11
,KEARNY MESA,1,0,1,0,1,1,4,63,251,465,576,618,596,510,372,192,29,1,0,0,0,0,1,0,153,618,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,0,4,9,19,26,29,27,24,16,8,1,0,0,0,0,0,0,0,7,29,11
25 NOY,EL CAJON LES,38.74,33.76,29.56,25.37,28.98,C,C,56.06,49.97,30.33,M,M,M,M,M,M,6.22,9.04,9.47,16.35,18.15,23.73,21.18,20.11,26.06,56.06,07
26 NOY-NO,EL CAJON LES,24.70,23.92,20.73,17.87,18.61,C,C,20.48,21.42,17.94,M,M,M,M,M,M,5.00,8.21,8.79,15.01,16.58,19.67,18.66,19.29,17.30,24.70,00
27 NO Trace,EL CAJON LES,14.03,9.84,8.82,7.49,10.36,C,C,35.58,28.55,12.39,M,M,M,M,M,M,1.21,.83,.68,1.33,1.56,4.06,2.52,.82,8.75,35.58,07
28 SO2 Tr PPB,EL CAJON LES,.2,.2,C,C,C,.2,.2,.3,.3,.2,.3,.3,.3,.2,.1,.1,.0,.0,.0,.0,.3,.2,.1,.1,.1,.3,07
29 CO Tr PPB,EL CAJON LES,829.4,812.5,C,C,C,659.4,681.7,872.2,834.3,570.3,533.7,362.5,369.6,253.3,203.3,187.7,226.2,274.1,305.1,385.8,491.9,564.7,515.8,487.7,496.2,872.2,07
BCarbon ug/m3,10TH AVE MARINE TERM,2.47,<,<,.98,1.73,2.67,3.02,<,4.26,3.01,<,<,<,.20,.47,.26,.41,<,.45,.09,.29,1.52,1.26,1.44,1.44,4.26,08
,BOSTON AVE,.96,1.09,1.05,1.01,1.42,2.32,2.89,2.60,3.04,1.84,1.51,.54,.45,.36,.32,.34,.26,.41,.41,.31,.80,1.37,1.75,1.51,1.19,3.04,08
,CHICANO PARK,<,1.08,<,<,1.11,1.79,2.50,2.47,2.77,1.54,1.28,.44,.32,.38,<,<,.15,<,.29,.11,.66,1.35,1.51,1.34,1.17,2.77,08
,DOWNTOWN SES,1.44,<,.83,.80,<,2.17,<,1.87,2.23,1.33,.97,<,<,<,<,.12,.14,.23,.18,.13,.34,1.05,<,.98,.93,2.23,08
,OCEANVIEW BLVD,1.94,1.04,.78,<,.99,1.47,1.98,1.75,2.30,1.40,.94,.36,.18,.18,.24,.29,.20,.21,.32,.52,.77,.92,1.31,1.15,.92,2.30,08
,SAN YSIDRO,3.71,2.07,<,<,<,<,5.95,8.85,11.69,7.54,3.68,1.28,.65,.37,.41,.43,.58,1.07,2.07,<,.94,.98,<,1.39,2.98,11.69,08
PM10 STD,ALPINE,19.0,18.6,12.8,17.4,16.3,15.6,13.9,13.8,18.5,16.2,14.2,18.1,29.5,39.6,40.1,31.9,30.4,33.0,29.1,31.0,16.2,8.3,21.2,24.3,22.0,40.1,14
,CARMEL MT RCH,22.0,25.4,44.5,26.6,22.5,19.4,23.8,30.8,25.2,25.9,27.7,34.2,32.5,34.2,36.5,39.1,22.0,20.8,20.6,20.8,22.5,23.7,24.2,25.6,27.1,44.5,02
,CHULA VISTA,20.9,14.3,32.4,51.0,66.3,66.2,70.7,62.3,80.1,73.5,51.1,32.7,M,M,M,25.2,24.8,26.4,28.7,31.3,32.8,34.4,32.5,26.8,42.1,80.1,08
,DOWNTOWN SES,24.2,24.8,29.8,24.6,29.8,40.2,38.6,42.6,50.9,41.4,33.4,20.4,18.7,21.2,21.8,22.6,22.9,21.9,23.1,24.1,25.8,39.7,41.2,36.8,30.0,50.9,08
,EL CAJON LES,32.7,29.5,24.5,21.3,20.9,23.8,24.9,30.9,34.4,30.3,39.8,39.3,45.9,27.9,28.2,25.9,23.7,26.5,26.7,31.5,35.3,35.5,34.9,35.4,30.4,45.9,12
,KEARNY MESA,16.5,18.7,24.1,21.6,21.9,25.9,23.3,22.5,26.1,31.4,32.5,30.8,26.0,26.1,25.4,21.7,20.4,21.3,21.0,22.6,22.2,21.6,22.2,23.7,23.7,32.5,10
,OTAY MESA DVN,135.7,181.1,145.8,106.5,91.2,111.4,133.9,141.4,136.0,202.1,153.5,104.0,77.3,60.2,51.9,50.1,49.1,58.5,187.5,133.7,72.9,40.6,55.8,47.3,105.3,202.1,09
,PENDLETON,20.5,21.8,18.9,14.0,15.5,14.5,15.9,24.7,19.3,25.1,25.6,25.3,20.2,21.8,20.1,22.3,25.2,28.5,25.3,26.4,23.7,24.0,28.5,28.4,22.3,28.5,17
,SAN YSIDRO,31.5,27.2,75.4,135.3,100.0,84.6,86.3,150.8,204.2,157.4,83.7,46.4,34.2,27.3,29.2,27.4,28.9,32.7,39.5,41.3,28.2,29.1,31.0,38.2,65.4,204.2,08
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
