Current Date:,12/11/2023,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/10/2023
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,C,C,.050,.051,.051,.050,.048,.047,.047,.047,.046,.048,.049,.050,.051,.049,.043,.048,.051,.052,.053,.052,.052,.049,.053,21
,CHULA VISTA,.022,C,C,.024,.026,.024,.021,.021,.020,.035,.039,.036,.037,.040,.041,.037,.036,.033,.026,.007,.010,.021,.024,.017,.027,.041,14
,DOWNTOWN SES,.002,C,C,.018,.017,.013,.016,.019,.018,.032,.030,.033,.041,.040,.037,.040,.037,.037,.024,.010,.003,.002,.005,.006,.021,.041,12
,EL CAJON LES,.003,C,C,C,.002,.002,.002,.005,.012,.017,.027,.035,.045,.048,.049,.046,.040,.024,.016,.008,.013,.005,.005,.004,.019,.049,14
,KEARNY MESA,.034,.032,.034,.035,.035,.037,.033,.035,.039,.042,.044,.044,.048,.050,.048,.046,.043,.040,.039,.034,.031,.030,.028,.029,.037,.050,13
,OTAY MESA DVN,.043,C,C,.044,.043,.044,.043,.042,.043,.046,.045,.045,.046,.047,.045,.041,.037,.030,.014,.008,.007,.022,.030,.021,.035,.047,13
,PENDLETON,.042,C,C,.036,.036,.035,.034,.036,.037,.034,.038,.043,.043,.040,.039,.041,.040,.029,.017,.015,.023,.021,.017,.022,.032,.043,11
03 NO2 PPB,ALPINE,1.0,C,C,.5,.5,.4,.6,1.1,2.2,1.7,1.6,2.1,1.7,1.7,1.9,3.1,4.2,8.2,3.5,2.2,1.8,1.4,1.4,1.2,2.0,8.2,17
,CARMEL MT RCH,14.7,C,C,6.3,7.4,28.3,25.6,16.0,17.8,19.8,15.4,9.0,10.0,11.0,10.2,12.8,14.8,17.9,18.6,19.1,18.1,11.6,20.9,30.8,16.1,30.8,23
,CHULA VISTA,14.2,C,C,11.1,9.2,10.1,13.6,15.9,15.4,7.5,5.7,11.9,12.6,12.4,12.4,14.7,12.7,14.8,19.2,31.2,25.6,16.2,12.7,16.4,14.3,31.2,19
,DOWNTOWN SES,30.0,C,C,15.7,14.6,17.8,19.2,15.2,16.0,9.9,16.3,12.5,7.8,9.9,14.6,7.7,9.5,10.7,21.6,33.9,37.9,38.9,34.4,28.4,19.2,38.9,21
,EL CAJON LES,22.6,C,C,C,19.9,18.7,18.5,18.0,16.8,17.6,13.5,9.8,4.0,3.2,3.6,4.8,8.8,20.5,23.1,27.0,20.0,24.2,23.4,23.4,16.2,27.0,19
,KEARNY MESA,5.6,7.1,5.2,4.7,4.8,4.3,7.0,4.7,3.2,2.4,2.0,3.6,1.9,1.5,3.1,3.5,6.0,7.4,8.8,12.3,14.2,14.2,12.5,10.1,6.2,14.2,20
,OTAY MESA DVN,1.4,C,C,1.4,1.7,2.0,4.6,2.7,2.6,1.1,1.6,1.8,3.0,4.2,7.5,11.5,11.9,16.6,31.2,38.4,40.2,19.4,11.2,22.7,10.8,40.2,20
,PENDLETON,3.4,C,C,4.0,4.1,4.6,5.4,4.4,4.2,5.3,4.8,3.0,4.4,6.9,9.3,7.2,7.6,18.4,28.7,26.2,17.6,14.5,17.0,11.1,9.6,28.7,18
,SAN YSIDRO,7.0,C,C,6.1,12.1,7.5,9.8,11.8,11.8,13.4,9.3,8.0,8.6,8.1,8.4,11.0,15.4,20.1,29.3,28.4,33.1,38.6,41.8,39.1,17.2,41.8,22
04 NO PPB,ALPINE,.0,C,C,.0,.0,.0,.0,.0,.3,.1,.1,.3,.1,.1,.1,.1,.2,.9,.0,.0,.2,.0,.0,.0,.1,.9,17
,OTAY MESA DVN,.3,C,C,.2,.2,.3,.4,1.3,.7,.4,.5,.6,.9,1.1,1.6,1.6,.9,.3,.7,1.8,2.2,.4,2.2,.4,.8,2.2,20
,PENDLETON,.0,C,C,.0,.0,.0,.0,.2,.5,1.2,1.0,.6,.7,1.4,1.9,.5,.1,16.5,3.1,.4,.1,.1,.3,.3,1.3,16.5,17
06 CO PPM,CARMEL MT RCH,.3,C,C,.2,.2,.6,.5,.4,.5,.6,.5,.6,.7,.7,.7,.7,.7,.6,.5,.5,.5,.3,.5,.9,.5,.9,23
,SAN YSIDRO,.2,C,C,.1,.2,.2,.2,.2,.3,.3,.3,.2,.2,.3,.3,.3,.4,.5,.8,.6,.8,1.3,1.7,1.4,.5,1.7,22
07 H2S PPB,SAN YSIDRO,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,1.2,1.4,2.3,10.6,12.0,12.0,7.4,3.6,7.6,9.5,10.5,3.2,12.0,17
10 INTMP °C,ALPINE,26,26,26,26,26,26,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,00
,CARMEL MT RCH,25,24,24,24,24,24,24,24,24,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,24,25,00
,CHULA VISTA,24,24,24,24,24,24,24,24,24,25,26,26,25,25,25,25,26,26,26,25,25,24,23,23,25,26,10
,DOWNTOWN SES,25,25,25,26,26,26,26,26,26,24,24,24,24,24,23,23,24,24,24,24,25,25,25,25,25,26,03
,EL CAJON LES,25,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,01
,KEARNY MESA,23,23,23,22,25,23,22,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,25,04
,OTAY MESA DVN,25,24,24,26,26,24,26,26,24,24,25,25,25,23,24,23,23,23,23,24,25,25,24,25,24,26,03
,PENDLETON,25,25,24,24,23,24,24,24,24,25,24,24,24,24,24,24,25,25,25,25,25,25,25,24,24,25,00
,SAN YSIDRO,23,23,23,23,23,23,23,23,23,23,23,24,24,25,24,23,25,25,24,24,23,23,23,23,23,25,13
11 PM2.5 µg/M3,ALPINE,1.7,1.5,1.4,1.1,1.3,.9,.9,1.1,1.0,.9,.9,1.1,1.3,1.3,1.4,1.7,2.5,3.1,2.6,2.6,2.5,2.4,2.1,1.7,1.6,3.1,17
,CARMEL MT RCH,3.6,2.7,2.9,3.0,3.2,3.6,3.2,3.3,3.2,3.3,2.1,2.6,2.7,2.7,2.8,2.7,2.8,3.3,3.0,3.2,5.4,4.3,3.7,4.5,3.2,5.4,20
