,SAN YSIDRO,.2,.2,C,C,.3,.3,.3,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.1,.1,.2,.2,.3,04
07 H2S PPB,SAN YSIDRO,4.9,3.0,3.0,11.9,7.8,2.2,1.0,.0,.0,.6,.0,.0,.0,.0,.0,.0,.0,.0,.0,2.3,3.8,4.7,7.6,8.2,2.5,11.9,03
10 INTMP °C,ALPINE,24,24,24,24,24,24,24,24,24,25,26,27,27,27,27,27,27,27,27,27,26,26,26,26,26,27,11
,CARMEL MT RCH,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,CHULA VISTA,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,DOWNTOWN SES,24,24,25,24,24,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,02
,EL CAJON LES,25,25,25,25,25,25,25,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,08
,KEARNY MESA,26,25,25,25,25,25,26,25,26,26,25,25,25,25,25,26,26,26,25,25,25,26,25,26,25,26,00
,OTAY MESA DVN,25,25,24,24,24,23,23,23,24,24,24,24,23,23,23,23,23,24,24,24,24,24,24,23,24,25,00
,PENDLETON,24,24,25,25,25,25,25,25,25,25,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,25,02
,SAN YSIDRO,25,25,25,26,26,26,26,26,26,24,23,25,24,23,24,23,23,24,26,25,25,25,25,25,25,26,03
11 PM2.5 µg/M3,ALPINE,7.8,7.9,8.0,7.8,7.9,8.4,10.7,11.3,11.5,12.0,12.4,12.3,12.3,13.6,13.2,12.7,12.2,14.1,16.1,13.1,12.4,12.8,13.6,15.0,11.6,16.1,18
,CARMEL MT RCH,7.3,8.0,8.3,9.1,9.5,7.9,9.7,11.4,12.8,12.5,12.1,13.4,12.2,11.2,10.5,9.9,10.1,8.4,7.8,7.4,6.7,6.4,6.4,6.4,9.3,13.4,11
,CHULA VISTA,7.6,8.0,7.7,9.7,9.3,9.0,9.9,11.5,12.3,13.2,13.5,13.3,12.5,13.1,11.9,10.8,9.8,8.6,6.8,7.0,6.6,6.3,6.6,7.5,9.6,13.5,10
,DOWNTOWN SES,7.2,7.8,8.1,8.4,9.1,10.1,10.8,12.6,12.0,12.3,12.8,10.3,11.5,12.4,10.1,7.9,7.6,6.7,8.0,7.7,7.5,7.2,7.3,7.1,9.2,12.8,10
,EL CAJON LES,8.2,8.7,8.7,9.0,9.0,9.8,11.6,11.9,12.1,11.9,11.0,11.9,11.3,11.3,11.0,10.2,9.8,9.9,8.3,7.5,7.4,7.6,7.7,7.8,9.7,12.1,08
,KEARNY MESA,7.2,7.4,7.9,8.9,9.6,10.0,12.3,13.3,14.3,14.9,13.9,11.5,12.5,11.1,16.0,12.8,10.7,9.8,8.5,6.7,6.8,6.1,6.1,6.4,10.1,16.0,14
,OTAY MESA DVN,11.3,11.5,11.6,11.9,11.3,11.8,12.1,12.7,13.1,14.0,16.2,16.7,15.3,13.5,13.0,12.4,11.7,10.5,8.4,10.9,11.8,11.4,9.6,9.6,12.1,16.7,11
,PENDLETON,7.9,8.1,12.7,19.9,10.3,9.2,9.2,9.4,9.2,8.7,8.9,9.1,7.8,7.4,7.5,9.6,10.4,9.6,8.0,6.9,7.2,7.2,8.0,8.6,9.2,19.9,03
,SAN YSIDRO,12.9,13.5,12.8,11.4,10.9,11.2,11.0,12.7,15.2,18.3,M,M,13.2,12.3,12.1,10.9,10.2,8.1,7.4,8.0,6.6,6.4,6.5,7.3,10.8,18.3,09
12 VWDR °,ALPINE,123,47,110,341,129,12,278,245,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,341,03
,CHULA VISTA,201,206,211,224,252,218,189,283,250,238,246,254,265,264,248,249,250,250,250,239,242,240,241,242,0,283,07
,DOWNTOWN SES,196,201,191,177,235,168,197,200,199,203,219,214,218,241,227,198,194,207,209,190,205,195,221,186,0,241,13
,EL CAJON LES,194,193,207,308,348,12,258,218,304,305,268,255,252,256,238,225,234,259,258,221,199,195,190,175,0,348,04
,KEARNY MESA,297,303,309,331,305,351,312,131,175,220,239,234,226,258,270,245,249,243,263,294,287,290,296,280,0,351,05
,OTAY MESA DVN,334,338,326,333,314,292,279,315,286,273,278,281,275,278,277,276,282,282,290,295,299,318,327,338,0,338,01
,PENDLETON,158,166,163,149,108,96,183,209,216,233,246,250,260,255,247,244,228,226,225,230,265,230,170,217,0,265,20
13 SIGTHETA °,ALPINE,48,62,51,66,45,62,34,36,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51,66,03
,CHULA VISTA,20,21,25,26,45,56,55,40,51,30,26,22,28,23,28,25,22,22,24,22,15,17,22,25,29,56,05
,DOWNTOWN SES,27,28,31,26,37,40,24,24,21,21,23,23,21,27,20,18,18,22,25,15,21,18,24,27,24,40,05
,EL CAJON LES,12,17,28,25,17,25,45,47,75,64,50,31,28,28,27,27,29,20,21,17,14,17,19,17,29,75,08
,KEARNY MESA,6,7,9,10,28,33,51,52,49,52,25,19,21,20,18,20,19,17,12,8,5,7,6,5,21,52,07
,OTAY MESA DVN,11,11,12,12,18,19,32,26,31,20,18,14,16,17,18,17,17,12,11,21,23,16,11,13,17,32,06
,PENDLETON,13,11,11,10,7,19,40,17,13,10,9,10,14,12,11,13,16,17,18,35,40,33,33,18,18,40,06
14 VWSP MPH,ALPINE,1.9,1.3,1.0,1.0,2.6,1.1,3.1,3.1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,3.1,06
,CHULA VISTA,2.6,2.3,1.8,1.8,1.3,.8,1.0,1.7,2.0,4.2,6.0,6.3,5.5,6.6,5.8,5.7,5.8,5.1,3.6,2.4,2.8,2.5,1.8,1.6,.0,6.6,13
,DOWNTOWN SES,2.2,2.1,2.2,2.0,1.4,1.7,3.3,2.9,4.3,5.7,6.6,7.8,8.4,7.0,7.9,7.8,6.8,5.5,3.7,4.1,3.3,3.5,2.2,1.9,.0,8.4,12
,EL CAJON LES,3.4,2.5,1.6,1.4,3.0,1.7,.8,1.6,.8,1.7,2.8,7.1,6.7,7.0,6.9,6.0,4.7,6.5,4.7,3.6,3.7,3.1,2.1,2.8,.0,7.1,11
,KEARNY MESA,3.4,2.9,2.9,3.3,1.9,1.8,1.5,2.2,2.6,3.1,7.5,9.1,8.3,8.5,7.8,7.9,6.8,6.5,4.9,4.4,4.2,3.6,4.0,3.3,.0,9.1,11
,OTAY MESA DVN,3.2,2.9,3.6,2.8,2.7,3.3,2.7,3.8,4.5,5.8,8.3,9.8,8.5,9.2,8.3,8.1,7.7,8.3,7.3,4.0,3.0,3.7,3.8,3.3,.0,9.8,11
,PENDLETON,3.6,2.4,2.2,2.3,2.3,1.6,1.3,4.1,6.0,7.3,7.7,8.2,7.2,7.8,7.4,6.2,5.9,4.9,3.9,2.4,1.8,1.8,2.2,2.9,.0,8.2,11
15 SWSP MPH,ALPINE,4.5,4.3,4.2,4.1,4.1,4.0,5.6,5.1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,4.5,5.6,06
,CHULA VISTA,2.7,2.5,2.1,2.0,2.0,1.7,1.6,2.5,2.8,4.8,6.7,6.8,6.2,7.2,6.5,6.3,6.2,5.5,3.9,2.7,2.9,2.6,2.0,2.0,3.8,7.2,13
,DOWNTOWN SES,2.4,2.3,2.5,2.3,1.6,2.2,3.6,3.2,4.6,6.2,7.2,8.4,9.0,7.7,8.4,8.3,7.2,6.0,4.2,4.3,3.6,3.6,2.4,2.2,4.7,9.0,12
,EL CAJON LES,3.5,2.7,1.9,2.6,3.2,2.0,1.6,2.5,2.1,3.0,3.8,7.9,7.6,7.8,7.8,6.7,5.4,6.8,5.0,4.3,3.8,3.3,2.5,3.0,4.2,7.9,11
,KEARNY MESA,3.5,3.0,3.0,3.4,3.1,2.0,2.4,3.0,3.8,4.6,8.1,9.6,8.9,9.5,8.2,8.5,7.3,6.8,5.1,4.5,4.2,3.6,4.1,3.4,5.2,9.6,11
,OTAY MESA DVN,3.3,3.0,3.7,2.9,2.8,3.5,3.4,4.2,5.1,6.2,8.6,10.1,8.8,9.6,8.7,8.5,8.0,8.5,7.5,4.5,3.4,3.9,3.9,3.4,5.6,10.1,11
,PENDLETON,3.7,2.5,2.3,2.4,2.3,1.8,2.0,4.3,6.1,7.5,7.8,8.3,7.4,7.9,7.6,6.4,6.2,5.1,4.1,2.7,2.5,2.2,2.5,3.0,4.5,8.3,11
16 AMBTEMP °F,ALPINE,66.7,66.2,66.6,66.5,67.0,66.5,67.4,70.3,M,M,82.8,85.0,86.3,84.6,83.9,82.7,80.2,78.4,74.4,71.1,70.3,71.7,71.9,72.6,74.2,86.3,12
,CARMEL MT RCH,64.5,63.7,63.4,63.3,63.3,63.7,65.4,69.5,73.3,78.4,82.0,81.5,82.8,83.0,81.2,79.4,79.5,74.8,70.5,67.4,66.9,65.6,64.7,64.1,71.3,83.0,13
,CHULA VISTA,67.1,67.1,67.0,67.1,66.9,67.1,67.5,68.2,71.2,73.8,74.1,73.9,74.3,74.0,73.7,73.3,71.7,69.7,68.0,67.2,66.8,66.5,66.5,66.7,69.6,74.3,12
,DOWNTOWN SES,66.7,66.8,66.9,67.0,67.1,67.3,67.8,68.7,71.0,72.7,73.7,74.2,74.7,74.5,73.6,71.4,70.3,69.5,68.2,67.2,66.5,66.2,66.1,66.3,69.4,74.7,12
,EL CAJON LES,66.4,65.8,65.6,66.2,66.3,66.6,67.9,70.9,74.7,80.9,84.4,85.3,84.2,84.2,82.8,81.6,80.8,77.7,74.0,71.2,69.6,68.3,67.4,66.4,73.7,85.3,11
,KEARNY MESA,64.6,64.8,65.5,66.0,65.9,66.3,67.9,71.4,74.7,78.3,79.1,77.7,77.7,77.6,76.7,76.4,74.9,72.2,69.4,67.3,66.0,65.1,64.5,64.5,70.6,79.1,10
,OTAY MESA DVN,63.6,63.3,63.5,64.1,64.8,65.3,66.6,70.7,76.3,79.3,81.9,79.7,80.1,78.8,78.1,77.2,76.3,72.4,68.2,66.1,65.1,64.6,63.9,63.4,70.6,81.9,10
,PENDLETON,66.9,66.8,66.7,66.5,66.5,66.8,67.8,68.6,69.5,70.3,70.8,71.7,71.8,71.8,71.3,70.4,69.1,68.3,67.5,67.0,66.8,66.7,66.8,66.7,68.5,71.8,12
,SAN YSIDRO,66.2,66.5,66.8,66.8,66.9,66.8,67.0,68.0,70.5,74.5,74.7,75.5,75.4,74.3,74.1,73.2,71.7,69.4,67.2,66.6,66.3,66.1,65.8,65.6,69.4,75.5,11
17 RELHUM %,ALPINE,78,79,78,79,78,79,77,72,M,M,48,44,43,46,47,49,53,57,64,70,71,68,68,66,64,79,01
,EL CAJON LES,89,90,91,89,88,87,85,78,70,59,52,52,53,53,55,57,58,62,70,77,81,84,86,89,73,91,02
,KEARNY MESA,95,94,93,92,92,92,87,78,71,63,63,66,67,67,68,68,71,77,82,87,91,93,95,96,81,96,23
18 PRES mmHg,EL CAJON LES,748,748,748,748,748,748,748,749,749,749,748,748,748,748,748,748,748,748,748,748,749,749,749,749,748,749,07
,KEARNY MESA,749,748,748,748,748,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,750,750,750,749,750,21
19 SOLAR W/M2,EL CAJON LES,0,0,1,2,2,42,193,453,646,810,925,975,985,913,793,646,427,203,37,-1,-1,-1,-1,0,335,985,12
,KEARNY MESA,-1,-1,-1,-1,0,27,233,449,647,808,928,990,987,932,693,654,461,238,55,-1,-1,-1,-1,-1,337,990,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,2,10,24,35,44,51,54,55,51,43,34,22,10,2,0,0,0,0,0,18,55,12
25 NOY,EL CAJON LES,5.42,5.97,5.47,5.64,5.55,C,C,7.39,8.85,9.77,8.17,10.26,6.73,6.31,6.75,6.25,6.74,6.95,7.23,7.17,6.65,6.97,7.01,6.91,7.00,10.26,11
26 NOY-NO,EL CAJON LES,5.39,5.95,5.44,5.64,5.41,C,C,5.44,6.66,7.81,7.16,8.75,5.94,5.58,5.76,5.40,5.79,6.14,6.85,7.00,6.48,6.88,6.94,6.86,6.33,8.75,11
27 NO Trace,EL CAJON LES,.02,.02,.02,.00,.14,C,C,1.95,2.18,1.96,1.01,1.51,.79,.72,.98,.84,.95,.80,.37,.16,.16,.09,.07,.05,.67,2.18,08
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.1,.1,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.1,11
29 CO Tr PPB,EL CAJON LES,189.0,188.3,C,C,C,194.9,211.5,205.2,235.7,277.7,270.8,278.7,217.0,205.1,196.5,191.4,205.7,224.5,231.2,230.3,219.1,214.2,214.2,187.9,218.5,278.7,11
BCarbon ug/m3,10TH AVE MARINE TERM,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
,ALPINE,.33,.32,.37,.32,.36,<,<,.46,.43,.42,.41,.40,.43,<,<,<,<,<,1.09,.71,<,.70,.77,<,.50,1.09,18
,BOSTON AVE,.20,.18,.22,.23,.33,.53,.46,.46,.45,.59,.46,.33,.29,.31,.28,.28,.25,.19,.26,.24,.36,.24,.31,.26,.32,.59,09
,CHICANO PARK,.16,<,<,<,<,<,<,?,<,.49,<,.33,.35,<,.37,.31,<,.23,.27,.34,.58,<,<,.27,.34,.58,20
,DOWNTOWN SES,.22,<,.19,.18,.20,.22,<,.34,.38,.39,.36,.21,<,.23,.19,.16,.15,.15,<,.26,.33,<,.28,.27,.25,.39,09
,OCEANVIEW BLVD,.16,.18,.20,<,<,.32,<,.41,<,.53,.44,.23,.23,.24,.23,<,.27,.25,.28,.26,.31,.26,.29,<,.28,.53,09
,OTAY MESA DVN,.25,.23,.20,.20,.19,.20,.20,.24,.46,.59,.63,.62,.50,.34,.25,.25,.24,.27,.16,.84,.91,.43,.23,.22,.36,.91,20
,SAN YSIDRO,.96,.60,<,<,.39,.44,.56,.32,.43,.69,<,.49,.29,<,.76,.40,.24,.16,.35,.22,.19,.16,.19,.24,.40,.96,00
PM10 STD,ALPINE,19.5,19.6,20.2,20.8,19.5,22.3,34.1,28.4,33.3,36.4,33.4,33.5,33.2,34.7,32.0,34.4,32.8,32.2,35.2,27.7,27.8,27.9,31.2,33.5,29.3,36.4,09
,CARMEL MT RCH,17.7,19.4,20.1,21.8,23.7,20.3,30.4,31.6,37.6,38.7,33.6,44.8,39.8,31.6,31.2,25.4,27.0,20.8,18.6,17.5,14.9,14.8,16.9,15.6,25.5,44.8,11
,CHULA VISTA,18.1,19.3,18.2,26.8,26.1,21.4,24.2,26.3,26.5,30.2,25.1,26.8,25.6,27.4,24.4,21.7,20.5,19.6,16.6,16.4,16.3,16.1,16.2,18.1,21.9,30.2,09
,DOWNTOWN SES,17.8,17.7,18.6,19.1,21.0,22.7,23.4,48.0,30.2,26.1,24.5,23.8,26.4,25.8,22.7,18.8,17.7,17.1,21.2,19.3,20.0,18.7,19.1,17.4,22.3,48.0,07
,EL CAJON LES,16.8,17.0,17.4,19.4,19.7,21.1,25.2,25.3,25.6,28.4,26.4,28.2,25.3,24.7,22.3,22.5,20.7,19.7,18.7,17.0,16.9,15.9,16.4,17.6,21.1,28.4,09
,KEARNY MESA,16.3,16.3,18.2,20.6,21.0,22.6,26.9,30.6,34.6,39.6,37.5,27.9,28.8,26.4,31.0,26.4,23.6,21.3,19.8,16.4,16.6,15.6,14.8,15.5,23.6,39.6,09
,OTAY MESA DVN,23.0,22.7,23.8,25.6,24.3,24.9,26.3,25.5,29.5,40.1,53.2,46.6,48.3,37.9,33.2,30.1,28.2,23.2,21.9,27.0,33.7,32.8,27.4,26.6,30.6,53.2,10
,PENDLETON,21.6,21.6,38.9,67.0,27.3,25.9,22.5,23.1,23.1,19.6,21.7,25.2,22.3,22.0,19.8,20.9,18.8,18.3,17.0,14.3,15.0,14.8,18.1,20.6,23.3,67.0,03
,SAN YSIDRO,28.7,29.3,28.4,27.0,25.3,26.7,25.2,25.9,30.8,39.1,M,M,28.2,25.0,25.8,23.1,22.4,20.2,18.5,19.3,17.7,16.4,16.4,16.9,24.3,39.1,09
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
