Current Date:,7/23/2024,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
7/22/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.035,.046,C,C,.042,.037,.036,.035,.049,.051,.060,.068,.071,.070,.067,.064,.061,.055,.044,.033,.028,.029,.030,.028,.047,.071,12
,CHULA VISTA,.024,.023,C,C,.014,.012,.021,.021,.028,.031,.035,.041,.042,.041,.040,.039,.039,.034,.034,.034,.032,.031,.027,.026,.030,.042,12
,DOWNTOWN SES,.020,.015,C,C,.012,.009,.014,.020,.025,.030,.032,.036,.037,.042,.039,.037,.031,.029,.027,.030,.031,.027,.018,.019,.026,.042,13
,EL CAJON LES,.017,.016,C,C,C,.010,M,M,M,.035,.039,.047,.051,.050,.053,.049,.044,.037,.030,.027,.026,.024,.022,.019,.033,.053,14
,KEARNY MESA,.019,.010,C,C,.012,.011,.021,.019,.025,.033,.038,.044,.044,.045,.046,.040,.033,.032,.029,.026,.023,.020,.021,.018,.027,.046,14
,OTAY MESA DVN,.019,.019,C,C,.017,.016,.017,.020,.026,.032,.041,.048,.051,.048,.047,.047,.044,.041,.035,.032,.030,.027,.025,.024,.032,.051,12
,PENDLETON,.014,.014,C,C,.007,.009,.017,.021,.026,.029,.034,M,M,.038,.036,.036,.033,.033,.034,.035,.029,.027,.025,.028,.026,.038,13
03 NO2 PPB,ALPINE,6.0,2.4,C,C,2.9,6.0,7.7,9.8,4.3,4.2,5.0,4.2,3.9,3.7,3.6,3.4,3.5,4.1,6.2,7.2,8.1,8.0,7.1,8.6,5.4,9.8,07
,CARMEL MT RCH,9.2,10.0,C,C,14.0,18.3,20.5,17.2,15.9,13.6,12.9,12.1,12.1,M,12.9,12.5,12.3,9.9,11.3,12.6,11.3,9.7,10.3,8.6,12.7,20.5,06
,CHULA VISTA,3.3,4.0,C,C,6.5,9.6,5.6,6.6,3.4,3.5,3.7,3.5,2.8,2.9,3.0,3.0,2.7,2.5,2.5,2.8,3.3,3.6,6.4,5.4,4.1,9.6,05
,DOWNTOWN SES,8.0,11.1,C,C,12.1,15.2,13.3,9.0,6.4,4.5,5.6,6.5,5.3,5.8,6.9,6.5,3.8,4.6,5.8,4.4,4.9,8.0,14.9,11.7,7.9,15.2,05
,EL CAJON LES,.0,.0,C,C,C,.0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,.0,00
,KEARNY MESA,5.1,8.9,C,C,9.9,11.6,5.0,9.0,8.7,3.8,3.2,2.5,2.3,2.2,2.9,2.8,2.1,1.9,2.4,4.0,7.5,6.5,5.1,4.2,5.0,11.6,05
,OTAY MESA DVN,2.8,2.6,C,C,3.5,4.6,4.2,6.7,6.0,3.4,2.6,2.4,1.9,2.1,1.7,1.6,1.7,1.6,2.0,2.8,2.9,3.0,2.8,3.0,2.9,6.7,07
,PENDLETON,5.8,5.9,C,C,12.2,11.3,7.6,7.7,3.0,3.9,1.3,1.0,2.5,2.0,1.8,.5,.4,.7,.6,.9,.6,.6,2.4,.6,3.3,12.2,04
,SAN YSIDRO,3.4,4.5,C,C,7.4,9.2,5.6,4.9,4.5,4.6,5.2,3.9,3.2,2.8,3.0,3.4,3.6,3.8,5.0,5.1,4.4,5.1,4.4,3.5,4.5,9.2,05
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,.4,.6,.6,.5,.4,.4,.4,.4,.5,M,.6,.5,.5,.4,.5,.4,.4,.3,.3,.3,.4,.6,05
,SAN YSIDRO,.1,.2,C,C,.3,.3,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.3,04
07 H2S PPB,SAN YSIDRO,.0,8.9,.0,.0,.0,.0,.0,1.6,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.7,.0,9.3,25.8,22.8,2.8,25.8,22
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,26,26,27,27,27,28,28,28,28,28,27,27,26,26,26,26,26,28,13
,CARMEL MT RCH,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,CHULA VISTA,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,08
,DOWNTOWN SES,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
,EL CAJON LES,50,50,50,50,50,50,M,M,M,M,M,25,26,25,25,25,25,25,25,25,25,25,25,26,33,50,00
,KEARNY MESA,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,25,25,26,26,26,25,26,00
,OTAY MESA DVN,23,23,23,23,23,22,22,23,23,24,24,24,25,24,24,24,25,24,24,25,25,25,25,24,24,25,12
,PENDLETON,24,24,25,25,25,25,24,24,25,25,25,25,26,25,25,24,24,24,24,24,24,24,24,24,25,26,12
,SAN YSIDRO,25,25,25,25,25,25,25,25,26,25,24,24,25,24,24,23,23,24,24,24,25,26,26,26,25,26,08
11 PM2.5 µg/M3,ALPINE,10.1,9.9,9.6,10.0,10.2,10.3,10.4,10.2,M,M,M,13.8,14.6,15.2,14.9,14.3,14.1,13.1,12.5,11.9,11.8,12.5,12.6,12.5,12.1,15.2,13
,CARMEL MT RCH,8.1,8.1,8.7,8.7,8.5,9.3,10.7,11.6,12.0,13.2,M,M,M,13.0,12.8,12.3,11.2,10.4,9.8,8.7,8.2,7.2,7.7,8.1,9.9,13.2,09
,CHULA VISTA,8.0,7.9,8.0,8.8,8.8,8.5,9.9,11.6,13.6,14.6,17.5,17.5,15.2,13.1,12.7,13.2,13.3,12.4,11.9,12.6,12.5,11.7,11.0,9.4,11.8,17.5,10
,DOWNTOWN SES,7.7,8.5,8.4,8.4,9.0,9.4,11.2,10.8,11.9,12.1,12.9,13.8,11.5,11.3,10.7,11.0,9.7,10.4,9.2,7.6,8.4,9.4,9.3,10.2,10.1,13.8,11
,EL CAJON LES,8.2,8.5,8.7,8.8,9.0,9.6,M,M,M,12.0,12.2,12.6,12.3,11.8,10.8,11.0,10.4,9.8,9.4,10.7,10.1,9.9,9.8,9.7,10.2,12.6,11
,KEARNY MESA,13.7,9.8,8.5,9.6,9.6,9.7,10.1,12.2,13.4,14.9,15.9,15.1,15.0,13.9,14.4,12.6,10.9,11.3,9.4,8.8,9.7,9.0,9.8,9.5,11.5,15.9,10
,OTAY MESA DVN,10.6,10.6,11.5,10.8,10.6,12.2,12.4,18.9,17.2,15.1,16.7,19.3,18.9,16.3,14.0,13.3,13.8,12.9,12.4,13.7,13.9,13.7,14.2,13.9,14.0,19.3,11
,PENDLETON,8.6,8.6,9.0,8.9,8.6,9.2,10.0,11.3,10.1,9.8,10.0,9.6,9.6,11.2,8.3,8.6,7.6,7.0,8.5,8.8,8.9,10.4,10.9,8.7,9.2,11.3,07
,SAN YSIDRO,8.5,8.6,8.0,7.8,7.7,8.2,10.0,12.3,14.6,16.8,22.0,20.9,17.9,14.3,12.2,13.0,12.3,12.0,13.0,13.9,13.4,13.3,11.8,9.3,12.5,22.0,10
12 VWDR °,ALPINE,101,80,317,81,348,70,284,262,232,281,295,297,295,298,293,302,296,306,313,321,102,100,93,131,0,348,04
,CHULA VISTA,320,299,190,179,145,131,246,238,250,256,261,262,251,252,247,254,250,245,248,255,289,306,300,268,0,320,00
,DOWNTOWN SES,5,16,203,181,116,98,182,196,192,191,191,202,215,226,220,214,195,193,196,210,195,205,284,320,0,320,23
,EL CAJON LES,156,142,193,152,149,166,M,M,M,270,253,265,256,244,247,226,220,241,219,203,194,182,310,320,0,320,23
,KEARNY MESA,314,355,283,275,298,280,269,212,212,224,230,230,231,250,279,234,233,245,234,214,178,310,286,294,0,355,01
,OTAY MESA DVN,322,307,309,327,285,332,318,250,279,280,283,281,280,279,274,281,280,279,289,308,319,312,331,285,0,332,05
,PENDLETON,43,31,32,38,51,62,310,228,210,236,248,247,247,248,243,229,221,202,184,164,165,167,168,217,0,310,06
13 SIGTHETA °,ALPINE,39,27,53,34,44,50,51,31,39,28,30,30,24,28,27,26,26,26,25,30,39,42,60,29,35,60,22
,CHULA VISTA,45,52,63,38,34,31,30,45,26,23,28,25,23,26,23,26,25,20,20,25,32,22,18,20,30,63,02
,DOWNTOWN SES,50,61,38,54,39,40,62,20,16,18,17,22,20,24,29,23,17,16,19,22,19,32,42,20,30,62,06
,EL CAJON LES,37,39,45,47,47,26,M,M,M,32,28,24,26,25,26,26,22,22,18,15,37,35,45,29,31,47,03
,KEARNY MESA,17,26,19,32,42,65,67,74,25,22,23,22,19,21,27,19,19,18,15,17,35,7,12,7,27,74,07
,OTAY MESA DVN,16,28,52,38,37,34,28,34,15,14,13,14,13,14,16,16,14,13,9,10,14,26,22,13,21,52,02
,PENDLETON,13,27,10,16,21,15,33,19,13,11,8,8,8,8,10,11,15,15,15,16,12,12,41,19,16,41,22
14 VWSP MPH,ALPINE,1.4,1.3,.6,.5,1.2,.8,1.4,2.5,2.6,4.0,4.5,4.9,5.2,5.5,5.4,5.2,4.8,4.2,3.2,2.2,.4,1.1,.3,1.6,.0,5.5,13
,CHULA VISTA,1.1,.4,.8,1.1,1.2,1.3,1.5,2.2,5.4,5.8,5.3,6.2,6.5,6.1,6.3,5.7,5.3,5.5,4.9,2.8,2.0,2.4,2.5,2.9,.0,6.5,12
,DOWNTOWN SES,.8,.5,1.5,.8,.7,1.0,.8,4.2,6.4,7.4,8.0,7.4,7.2,6.8,6.2,7.3,7.4,6.8,5.5,3.5,2.8,1.6,1.0,2.7,.0,8.0,10
,EL CAJON LES,1.4,1.4,1.0,1.6,.8,2.2,M,M,M,4.3,4.8,6.3,6.4,6.6,6.2,6.1,6.2,5.3,5.5,5.2,2.2,1.9,.7,1.7,.0,6.6,13
