Current Date:,7/27/2024,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
7/26/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.036,.040,C,C,.035,.035,.035,.039,.046,.053,.065,.069,.067,.061,.055,.055,.058,.050,.042,.034,.027,.021,.014,.018,.043,.069,11
,CHULA VISTA,.017,.017,C,C,.018,.018,.019,.023,.027,.033,.037,.036,.040,.039,.039,.033,.033,.032,.032,.029,.028,.028,.027,.027,.028,.040,12
,DOWNTOWN SES,.021,.021,C,C,.020,.018,.016,.019,.025,.027,.031,.034,.033,.034,.034,.032,.030,.026,.024,.022,.018,.019,.020,.023,.024,.034,11
,EL CAJON LES,.014,.014,C,C,C,M,M,.020,.027,.040,.050,.056,.054,.051,.050,.047,.042,.033,.029,.023,.022,.022,.020,.018,.033,.056,11
,KEARNY MESA,.020,.021,C,C,.024,.022,.022,.024,.027,.036,.041,.041,.038,.039,.040,.042,.039,.033,.032,.027,.024,.024,.023,.025,.030,.042,15
,OTAY MESA DVN,.020,.019,C,C,.016,.015,.015,.018,.026,.036,.050,.055,.043,.043,.043,.041,.037,.035,.031,.028,.028,.026,.025,.024,.030,.055,11
,PENDLETON,.020,.014,C,C,.023,.020,.022,.029,.029,.029,.029,.034,.034,.031,.024,.031,.031,.031,.032,.031,.034,.035,.033,.033,.028,.035,21
03 NO2 PPB,ALPINE,3.3,2.2,C,C,3.1,2.6,5.4,7.8,4.2,5.4,5.0,4.2,3.7,3.4,3.0,3.3,4.4,6.7,6.8,7.1,8.8,10.7,13.5,11.2,5.7,13.5,22
,CARMEL MT RCH,11.3,11.5,10.1,13.4,15.5,16.9,19.5,17.7,21.4,21.8,18.4,16.0,15.1,17.3,16.0,11.3,11.8,10.3,10.8,11.8,10.4,12.4,11.2,10.1,14.2,21.8,09
,CHULA VISTA,8.1,7.4,C,C,7.3,7.2,7.8,7.7,6.9,5.4,4.6,4.0,3.5,3.9,3.7,3.0,3.0,3.9,3.3,4.3,3.6,3.1,3.9,3.1,4.9,8.1,00
,DOWNTOWN SES,5.2,5.3,C,C,6.5,8.5,13.9,13.0,11.3,12.2,11.0,9.0,8.3,7.9,7.5,9.1,8.2,9.2,16.6,12.0,14.6,13.7,11.6,6.8,10.0,16.6,18
,EL CAJON LES,7.0,6.5,C,C,C,M,M,6.4,8.5,7.5,7.2,6.3,4.7,3.1,3.3,5.4,5.1,6.2,7.0,7.3,6.5,5.2,5.3,4.7,5.9,8.5,08
,KEARNY MESA,2.9,2.8,C,C,3.3,4.1,4.2,6.2,8.9,6.8,3.7,3.9,3.2,2.9,2.5,1.6,1.8,1.7,2.7,3.1,2.9,3.4,3.8,3.6,3.6,8.9,08
,OTAY MESA DVN,3.7,3.6,C,C,4.2,4.2,3.9,6.1,6.8,5.9,3.8,2.4,1.7,1.7,1.6,1.6,1.5,1.8,2.0,2.2,1.9,1.8,1.5,1.6,2.9,6.8,08
,PENDLETON,5.1,7.1,C,C,4.9,8.5,8.0,2.1,3.1,5.2,9.4,3.5,3.1,3.5,11.1,.6,.5,.8,.8,2.0,1.2,.8,1.3,.9,3.7,11.1,14
,SAN YSIDRO,3.8,4.7,C,C,6.6,7.5,7.2,4.5,4.7,3.5,3.3,2.5,3.0,3.1,2.9,2.3,2.7,3.7,4.3,5.9,5.9,4.9,4.7,3.4,4.3,7.5,05
06 CO PPM,CARMEL MT RCH,.3,.2,.3,.3,.4,.5,.7,.5,.5,.7,.5,.5,.6,.7,.7,.7,.6,.5,.5,.5,.4,.4,.3,.4,.5,.7,06
,SAN YSIDRO,.2,.2,C,C,.3,.3,.3,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.3,.3,.2,.2,.2,.2,.2,.3,04
07 H2S PPB,SAN YSIDRO,7.2,13.3,3.5,6.1,12.2,9.2,5.4,3.4,.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,.6,8.8,9.7,6.4,3.5,5.9,3.9,13.3,01
10 INTMP °C,ALPINE,26,26,26,25,25,25,25,25,25,26,26,26,27,28,28,28,28,28,28,27,26,26,25,25,26,28,13
,CARMEL MT RCH,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,CHULA VISTA,24,24,24,24,24,24,24,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,09
,DOWNTOWN SES,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,06
,EL CAJON LES,47,47,48,49,49,50,41,33,31,29,29,32,32,31,32,32,33,33,33,32,31,30,30,29,36,50,05
,KEARNY MESA,26,26,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,26,00
,OTAY MESA DVN,25,25,25,25,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,PENDLETON,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,SAN YSIDRO,25,25,26,26,24,26,26,25,25,24,23,24,25,23,23,23,23,23,25,24,24,25,25,25,24,26,02
11 PM2.5 µg/M3,ALPINE,7.7,7.3,7.1,7.3,7.4,6.4,6.5,7.6,7.5,9.4,10.6,9.4,8.4,8.8,7.9,8.2,9.2,11.5,12.9,13.3,13.3,13.2,12.7,12.5,9.4,13.3,19
,CARMEL MT RCH,9.4,9.7,8.5,7.8,8.8,9.7,11.2,12.9,12.9,13.5,13.1,13.4,12.4,10.8,10.9,12.2,13.1,12.4,11.7,12.2,9.7,9.3,9.3,9.4,11.0,13.5,09
,CHULA VISTA,8.9,9.6,9.9,10.0,9.4,10.3,11.6,13.0,14.1,15.0,16.8,15.8,16.9,16.5,17.1,17.9,18.0,16.5,14.9,15.4,13.3,10.7,9.2,9.1,13.3,18.0,16
,DOWNTOWN SES,8.6,9.0,9.3,9.5,9.8,10.6,10.7,11.5,11.4,11.8,13.1,13.1,13.3,12.2,12.0,13.1,12.7,12.8,30.7,11.4,9.9,9.6,9.3,10.2,11.9,30.7,18
,EL CAJON LES,11.7,11.1,11.3,11.2,11.0,M,M,13.0,12.5,12.4,11.1,11.1,11.3,10.1,10.0,11.1,12.9,13.9,13.5,14.0,14.4,13.1,12.1,11.2,12.0,14.4,20
,KEARNY MESA,8.0,8.6,8.9,9.0,8.8,9.7,12.1,11.9,12.7,12.8,M,M,13.8,14.7,14.9,15.1,14.4,13.4,13.4,9.8,8.9,8.7,8.5,8.8,11.2,15.1,15
,OTAY MESA DVN,9.9,10.5,12.3,11.2,10.6,9.1,11.4,16.7,19.5,16.7,17.1,16.8,12.7,12.3,12.1,13.9,15.6,16.2,15.5,13.9,13.7,13.1,11.7,10.5,13.4,19.5,08
,PENDLETON,7.9,10.2,9.8,10.0,10.1,8.9,8.8,9.2,9.7,10.6,10.7,11.0,10.3,9.4,10.3,10.1,9.7,8.9,9.2,12.8,12.4,12.7,15.7,15.6,10.5,15.7,22
,SAN YSIDRO,10.0,9.9,9.5,10.0,10.7,11.4,12.2,13.9,15.5,16.1,16.8,14.5,14.1,14.4,14.1,14.9,13.3,13.6,13.8,13.8,13.1,11.8,9.6,9.2,12.7,16.8,10
12 VWDR °,ALPINE,94,64,113,304,94,107,120,233,258,275,278,279,265,262,246,261,265,310,316,337,223,219,175,39,0,337,19
,CHULA VISTA,216,266,228,228,215,215,126,244,257,267,273,256,251,260,261,250,252,239,237,260,257,246,247,251,0,273,10
,DOWNTOWN SES,314,329,323,338,330,349,354,292,267,266,273,268,269,275,276,275,274,289,287,281,269,275,294,356,0,356,23
,EL CAJON LES,166,172,178,168,157,168,185,223,259,256,212,239,259,271,250,217,215,206,206,203,203,215,184,162,0,271,13
,KEARNY MESA,286,285,297,319,295,288,301,258,229,240,242,253,268,274,289,295,288,294,291,289,285,279,287,295,0,319,03
,OTAY MESA DVN,329,305,288,315,287,303,312,262,282,283,282,277,282,278,279,278,281,279,280,296,273,301,310,335,0,335,23
,PENDLETON,28,329,324,352,336,347,267,248,244,241,246,257,254,251,258,258,248,224,207,176,186,189,172,169,0,352,03
