,EL CAJON LES,5.5,5.5,C,C,C,9.4,8.3,7.2,6.3,4.4,3.7,3.1,2.4,2.4,<,<,<,P,<,<,5.9,6.1,7.5,8.5,5.7,9.4,05
,KEARNY MESA,4.3,3.8,C,C,7.0,7.1,5.6,5.1,5.9,5.7,3.9,3.6,3.9,3.8,3.3,3.2,3.0,3.1,3.8,5.3,5.5,6.0,4.6,5.1,4.6,7.1,05
,OTAY MESA DVN,2.1,2.3,C,C,3.9,<,5.3,3.7,4.9,<,3.5,2.0,2.0,2.3,2.3,2.1,2.0,2.4,2.7,3.3,3.9,3.6,3.1,2.5,2.9,5.3,06
,PENDLETON,11.2,9.9,C,C,10.6,10.7,6.7,11.8,2.4,M,M,M,M,M,M,M,.5,.7,.6,.8,.7,.5,.7,.8,4.5,11.8,07
04 NO PPB,ALPINE,.0,.0,C,C,.2,.3,1.0,3.1,.6,.4,.2,.1,.1,.1,.1,.1,.2,.1,.0,.0,.0,.0,.0,.0,.3,3.1,07
,OTAY MESA DVN,.1,.1,C,C,.9,1.1,2.4,1.8,2.5,2.9,1.2,.6,.6,.7,.8,1.2,.6,.5,.3,.1,.2,.2,.1,.1,.8,2.9,09
,PENDLETON,.0,.0,C,C,.9,1.8,3.0,22.5,2.6,M,M,M,M,M,M,M,.0,.0,.0,.0,.0,.0,.0,.0,2.0,22.5,07
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,.4,.7,.6,.5,.5,.4,.5,.5,.5,.5,.5,.5,.6,.5,.5,.5,.4,.3,.3,.2,.4,.7,05
10 INTMP °C,ALPINE,25,25,26,26,25,26,25,25,25,24,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,26,02
,CARMEL MT RCH,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,CHULA VISTA,25,25,25,25,25,25,25,25,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,08
,DOWNTOWN SES,25,25,26,26,25,25,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,02
,EL CAJON LES,24,24,24,24,24,24,25,24,24,24,25,30,34,36,39,41,43,44,43,41,38,37,36,35,32,44,17
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,<,26,26,<,<,25,25,25,24,25,24,23,24,25,25,26,26,26,26,25,26,00
,PENDLETON,26,26,26,26,26,26,26,26,26,27,28,28,28,28,28,27,26,26,25,25,26,26,26,26,26,28,10
11 PM2.5 µg/M3,ALPINE,7.7,6.3,6.3,5.9,3.7,5.1,6.0,5.3,3.9,4.0,6.7,6.7,6.5,8.1,7.0,7.5,4.7,5.1,3.2,.7,4.3,4.1,4.1,4.8,5.3,8.1,13
,DOWNTOWN SES,5.2,5.5,5.3,5.6,5.9,6.2,6.6,6.7,8.1,8.5,6.7,6.2,6.3,6.1,5.1,4.8,5.0,5.0,5.2,5.4,8.2,6.8,6.0,6.6,6.1,8.5,09
,EL CAJON LES,5.8,5.3,3.4,6.6,5.6,4.8,6.0,5.8,6.8,4.6,8.2,7.2,5.4,14.2,7.3,2.7,7.1,7.0,3.9,-.3,-3.4,.1,2.6,5.1,5.0,14.2,13
,OTAY MESA DVN,3.5,2.3,5.6,7.3,6.7,8.9,8.9,9.9,M,M,M,M,M,M,,,,,,,,,,,6.6,9.9,07
,PENDLETON,7.6,7.1,7.4,8.4,6.3,9.0,7.0,10.2,7.2,8.4,5.9,6.1,5.6,2.4,2.2,5.8,3.8,7.9,7.1,5.6,6.0,7.1,4.7,2.7,6.3,10.2,07
12 VWDR °,ALPINE,73,42,26,109,24,65,143,244,266,281,294,303,292,292,286,275,293,280,302,321,181,194,84,93,0,321,19
,CHULA VISTA,297,302,124,148,1,346,313,280,258,258,258,268,281,275,272,269,266,272,265,268,265,269,291,212,0,346,05
,DOWNTOWN SES,328,335,335,334,335,346,318,302,277,273,276,283,282,276,287,284,285,281,306,313,311,308,331,327,0,346,05
,EL CAJON LES,131,174,140,148,7,7,350,301,267,252,245,256,262,262,255,252,250,259,257,284,258,240,255,183,0,350,06
,KEARNY MESA,330,330,302,329,351,348,343,342,346,300,301,307,315,315,311,312,322,311,311,304,312,312,327,325,0,351,04
,OTAY MESA DVN,332,351,348,304,356,<,342,319,<,<,299,295,291,293,294,295,286,291,285,294,330,293,271,281,0,356,04
,PENDLETON,354,329,335,350,352,1,309,262,267,268,270,269,267,269,262,264,275,281,290,304,302,309,308,322,0,354,00
13 SIGTHETA °,ALPINE,53,49,34,22,21,23,35,31,28,32,28,29,29,28,31,29,27,31,34,26,39,22,45,52,32,53,00
,CHULA VISTA,30,23,26,23,36,29,40,55,25,20,19,20,19,20,21,20,19,19,20,17,18,18,18,26,24,55,07
,DOWNTOWN SES,22,23,15,19,17,20,34,35,30,21,18,19,17,16,17,14,23,20,25,21,26,25,20,26,22,35,07
,EL CAJON LES,18,24,19,47,29,25,40,68,49,46,36,27,23,24,24,22,23,17,23,23,19,26,25,28,29,68,07
,KEARNY MESA,8,14,6,9,12,11,18,26,34,18,17,18,17,18,18,16,14,12,10,9,8,9,10,10,14,34,08
,OTAY MESA DVN,23,26,13,24,16,<,29,30,<,<,15,14,15,14,14,12,13,13,14,14,35,17,11,31,19,35,20
,PENDLETON,13,13,13,14,14,12,23,18,16,15,16,16,14,16,15,15,17,17,16,13,14,12,11,13,15,23,06
14 VWSP MPH,ALPINE,1.1,.4,.4,.7,.7,.6,1.1,2.3,3.6,4.3,5.5,5.6,6.0,6.3,5.6,5.6,5.1,4.2,2.4,1.3,.7,.4,.3,.3,.0,6.3,13
,CHULA VISTA,.9,.1,.3,.3,.6,.5,1.2,1.7,4.5,5.6,7.3,8.7,9.0,8.3,7.4,7.4,7.3,7.1,4.9,3.3,3.1,3.3,2.5,.4,.0,9.0,12
,DOWNTOWN SES,2.7,2.4,3.0,3.2,3.0,2.2,2.6,2.6,4.2,6.0,7.9,9.2,9.7,9.1,8.7,9.6,7.4,7.2,4.7,3.9,3.2,3.7,3.6,2.4,.0,9.7,12
,EL CAJON LES,1.4,1.2,1.2,.5,.5,1.1,.9,.8,1.7,3.0,4.3,6.6,7.2,7.1,6.9,6.6,7.0,7.5,4.6,2.3,2.7,1.6,2.1,1.8,.0,7.5,17
,KEARNY MESA,3.5,2.6,3.3,3.0,2.9,4.0,3.9,3.6,3.5,6.8,8.8,10.6,10.6,10.3,9.9,9.3,9.7,9.0,7.1,4.5,5.3,5.1,4.0,2.8,.0,10.6,11
,OTAY MESA DVN,1.9,1.6,1.9,1.3,2.1,<,1.0,2.1,<,<,7.3,10.0,10.0,10.5,9.9,9.9,10.2,8.9,6.7,4.8,1.5,2.8,2.1,.8,.0,10.5,13
,PENDLETON,1.1,2.5,2.3,2.7,2.4,2.1,1.4,3.9,4.5,5.7,6.8,8.3,7.9,7.1,7.9,7.3,5.2,3.9,3.6,3.9,3.6,4.9,4.7,3.3,.0,8.3,11
15 SWSP MPH,ALPINE,1.3,1.0,1.4,.7,1.0,.8,1.4,2.7,4.0,5.0,6.1,6.3,6.7,7.0,6.4,6.3,5.7,4.8,3.0,1.5,1.1,.6,.6,.7,3.2,7.0,13
,CHULA VISTA,1.0,.1,.3,.3,.7,.6,1.7,2.3,4.9,6.0,7.7,9.2,9.5,8.9,8.0,7.8,7.8,7.5,5.2,3.6,3.3,3.5,2.6,1.0,4.3,9.5,12
,DOWNTOWN SES,2.9,2.5,3.1,3.3,3.1,2.4,3.1,3.1,4.6,6.4,8.2,9.7,10.1,9.5,9.1,9.9,8.1,7.6,5.2,4.2,3.5,4.2,3.8,2.6,5.4,10.1,12
,EL CAJON LES,1.6,1.4,1.3,.8,1.1,1.3,1.3,1.3,2.6,4.1,5.3,7.5,7.8,7.7,7.7,7.3,7.6,7.8,5.0,2.9,2.8,1.8,2.7,2.0,3.9,7.8,12
,KEARNY MESA,3.6,2.8,3.4,3.1,3.0,4.1,4.1,3.9,4.1,7.3,9.2,11.1,11.1,10.8,10.4,9.7,10.1,9.2,7.2,4.6,5.3,5.2,4.1,2.9,6.3,11.1,11
,OTAY MESA DVN,2.1,1.8,1.9,1.6,2.1,<,1.2,2.7,<,<,7.5,10.3,10.4,10.8,10.2,10.1,10.5,9.1,7.0,5.1,2.0,3.1,2.2,1.0,5.4,10.8,13
,PENDLETON,1.2,2.5,2.4,2.8,2.5,2.2,1.7,4.0,4.6,5.9,7.1,8.6,8.2,7.3,8.2,7.6,5.5,4.1,3.8,4.0,3.7,5.0,4.8,3.4,4.6,8.6,11
16 AMBTEMP °F,ALPINE,70.5,70.5,70.7,69.8,70.1,70.4,73.8,76.2,79.1,81.3,83.7,85.0,86.4,85.8,85.4,85.2,83.4,80.5,76.2,73.1,72.1,71.3,71.0,70.3,76.7,86.4,12
,CARMEL MT RCH,67.3,67.3,67.6,66.8,66.9,67.5,68.8,72.6,76.8,80.7,82.6,82.8,81.2,82.4,83.7,83.2,81.3,77.8,74.6,72.4,70.7,68.9,67.7,67.6,74.1,83.7,14
,CHULA VISTA,70.1,70.0,69.6,69.3,69.3,69.5,71.4,74.2,76.6,78.0,78.9,78.7,79.0,79.2,79.5,77.8,76.3,75.7,73.4,72.7,71.6,70.9,70.9,70.9,73.9,79.5,14
,DOWNTOWN SES,70.1,70.0,69.8,69.6,69.6,70.0,71.7,74.0,76.7,78.1,78.3,77.7,77.6,78.0,78.6,77.5,76.6,75.3,73.4,72.7,72.1,71.2,71.1,70.9,73.8,78.6,14
,EL CAJON LES,69.4,69.2,68.8,68.9,68.6,70.1,73.2,76.6,81.4,85.1,87.9,88.7,88.6,88.4,89.1,88.6,87.1,83.9,79.5,77.6,75.7,74.4,72.6,71.2,78.5,89.1,14
,KEARNY MESA,68.5,68.6,68.1,68.0,68.8,69.6,71.2,73.9,78.5,81.9,82.8,81.9,80.8,81.6,82.4,81.9,79.3,76.4,73.1,71.3,70.4,69.7,69.7,69.1,74.5,82.8,10
,OTAY MESA DVN,67.0,66.9,67.3,66.5,66.5,<,69.7,73.2,<,<,82.0,81.4,81.1,81.2,81.9,80.7,78.2,75.1,71.9,69.5,69.1,68.0,67.2,66.9,72.9,82.0,10
,PENDLETON,70.0,69.4,68.8,68.2,68.0,68.1,70.1,71.9,73.4,74.8,75.6,75.9,76.4,77.1,77.6,77.5,76.1,74.0,72.1,70.7,70.2,69.6,69.0,68.8,72.2,77.6,14
17 RELHUM %,ALPINE,55,54,54,55,54,53,46,43,40,39,36,38,37,37,37,36,36,39,46,50,52,53,54,56,46,56,23
,EL CAJON LES,85,86,87,86,86,82,75,66,52,45,39,40,37,38,36,34,35,38,45,47,55,61,72,77,59,87,02
,KEARNY MESA,93,94,95,96,95,95,90,80,66,61,54,57,62,56,49,51,57,64,78,87,89,92,94,94,77,96,03
18 PRES mmHg,EL CAJON LES,749,749,749,749,749,749,750,750,749,749,749,749,749,748,748,748,748,748,748,748,749,749,749,749,749,750,06
,KEARNY MESA,751,750,750,750,750,751,751,751,751,751,751,751,750,750,750,750,750,749,750,750,750,750,750,750,750,751,00
19 SOLAR W/M2,EL CAJON LES,2,3,3,3,3,49,215,415,607,772,891,970,965,900,773,584,383,200,27,3,3,3,3,3,324,970,11
,KEARNY MESA,0,0,0,0,0,55,214,439,640,806,938,996,986,922,806,638,435,214,37,0,0,0,0,0,339,996,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,2,8,17,25,33,38,41,41,38,32,24,15,7,1,0,0,0,0,0,13,41,11
25 NOY,EL CAJON LES,4.94,5.07,4.72,5.32,5.45,C,C,9.74,8.36,6.19,5.15,4.44,3.36,3.37,<,<,<,P,<,<,5.49,5.77,6.69,7.86,5.74,9.74,07
26 NOY-NO,EL CAJON LES,4.92,5.04,4.70,5.24,5.31,C,C,5.82,5.79,4.77,4.18,3.75,2.63,2.91,<,<,<,P,<,<,5.34,5.58,6.64,7.74,5.02,7.74,23
27 NO Trace,EL CAJON LES,.02,.03,.02,.08,.14,C,C,3.92,2.57,1.42,.97,.69,.72,.46,<,<,<,P,<,<,.14,.18,.04,.11,.71,3.92,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.1,.1,.1,.1,.2,.1,.1,<,<,<,P,<,<,.1,.1,.1,.0,.0,.2,11
29 CO Tr PPB,EL CAJON LES,151.6,157.2,C,C,C,223.9,235.9,235.5,231.3,205.4,175.6,158.6,127.9,112.6,<,<,C,C,<,<,223.3,264.8,286.9,212.5,200.2,286.9,22
BCarbon ug/m3,10TH AVE MARINE TERM,.13,.12,.10,.09,.10,.19,.40,.31,.46,.36,.28,.26,.31,.30,.26,.24,.34,.58,.45,.50,.33,.35,.24,.22,.29,.58,17
,BOSTON AVE,.20,2.51,.65,.23,.36,.60,.62,.76,.97,.64,.47,.41,.46,.49,.44,.34,.36,.36,.45,.48,.45,.46,.37,.40,.56,2.51,01
,CHICANO PARK,.12,1.05,.11,.14,.22,.34,.32,.52,.47,.33,.22,.26,.31,.29,.19,.26,.21,.20,.31,.41,.36,.42,.26,.15,.31,1.05,01
,DOWNTOWN SES,.13,.51,.09,.10,.12,.20,.22,.23,.35,.35,.27,.30,.26,.29,.26,.24,.21,.19,.29,.19,.42,.29,.20,.21,.25,.51,01
,OCEANVIEW BLVD,.14,.32,.67,.14,.28,.35,.33,.32,.47,.41,.29,.32,.35,.38,.32,.32,.26,.23,.26,.24,.39,.30,.19,.15,.31,.67,02
,SAN YSIDRO,.14,.13,.14,.14,.20,.28,.37,.33,.28,.17,.19,.16,.13,.12,.15,.17,.12,.14,.20,.24,.29,.15,.13,.09,.19,.37,06
PM10 STD,DOWNTOWN SES,12.7,12.4,12.3,12.4,13.1,16.1,18.7,17.3,25.6,28.5,22.2,18.9,22.3,19.0,16.7,15.8,13.1,12.8,12.8,13.1,17.9,14.2,13.1,13.8,16.4,28.5,09
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,-.48,.00,.00,.00,.00,.00,-.02,.00,00
