Current Date:,3/30/2019,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
3/29/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,.039,.042,.042,.043,.044,.046,.048,.05,.052,.053,.054,.053,.052,.05,.049,.048,.047,.046,.045,.044,.045,.048,.048,0.046,0.054,11
,CHULA VISTA,.011,.016,.02,.022,.025,.029,.034,.039,.043,.046,.048,.05,.05,.049,.045,.04,.035,.03,.025,.021,.017,.014,.013,.015,0.03,0.05,11
,EL CAJON LES,,,,.026,.029,.032,.038,.044,.048,.051,.053,.055,.055,.055,.052,.049,.046,.042,.038,.036,.033,,,,0.043,0.055,11
,KEARNY MESA,.012,.016,.019,.022,.025,.03,.035,.041,.045,.048,.05,.05,.049,.047,.043,.04,.036,.032,.029,.027,.025,.023,.023,.021,0.032,0.05,10
,OTAY MESA DVN,.021,,,,,,,,,,.046,.046,.046,.046,.045,.044,.042,.04,.036,.034,.033,.03,.028,.026,0.037,0.046,10
,PENDLETON,.016,.018,.021,.023,.026,.029,.034,.039,.044,.047,.048,.048,.048,.045,.042,.039,.034,.03,.027,.024,.022,.021,.018,.016,0.031,0.048,10
