Current Date:,3/27/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/26/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.054,.056,C,C,.055,.053,.055,.043,.043,.058,.053,.055,.057,.067,.072,.064,.059,.053,.047,.037,.040,.039,.032,.034,.051,.072,14
,CHULA VISTA,.008,.009,C,C,.001,.000,.003,.012,.023,.029,.032,M,.050,.051,.049,.046,.049,.043,.044,.040,.036,.030,.031,.017,.028,.051,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.020,.018,C,C,C,.003,.004,.011,.017,.027,.044,M,M,M,M,M,.054,.050,.042,.038,.030,.034,.035,.027,.028,.054,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.031,.022,C,C,.006,.011,.016,.018,.030,.038,.040,.041,M,M,.055,.053,.045,.040,.038,.036,.035,.033,.025,.023,.031,.055,14
,OTAY MESA DVN,.024,.020,C,C,.020,.009,.005,.012,M,M,.034,M,M,M,M,.048,.043,.040,.036,.031,.030,.031,.028,.029,.027,.048,15
,PENDLETON,.018,.022,C,C,.008,.007,.006,.014,.024,.031,.034,.042,.044,.040,.045,.047,.042,.044,.037,.040,.034,.011,.014,.018,.028,.047,15
02 NOX PPM,ALPINE,.003,.003,C,C,.006,.004,.004,.021,.015,.003,.006,.006,.006,.005,.005,.008,.008,.009,.009,.012,.010,.007,.010,.008,.008,.021,07
,CARMEL MT RCH,.034,.026,C,C,C,.071,.048,.034,.064,.043,.039,.031,.027,.028,.027,.021,.021,.018,.018,.026,.024,.017,.016,.012,.031,.071,05
,CHULA VISTA,.015,.014,C,C,.021,.028,.050,.023,.017,.018,.020,M,.006,.004,.004,.004,.006,.005,.008,.010,.009,.011,.008,.014,.014,.050,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,.004,C,C,C,.025,.037,.023,.022,.025,.013,M,M,M,M,M,.008,.009,.008,.010,.012,.012,.009,.009,.014,.037,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.007,C,C,.027,.024,.020,.021,.016,.009,.009,.010,M,M,.006,.006,.006,.005,.007,.009,.006,.006,.010,.009,.011,.027,04
,OTAY MESA DVN,.006,.009,C,C,.006,.017,.027,.019,M,M,.011,M,M,M,M,M,M,M,M,M,M,M,M,M,.014,.027,06
,PENDLETON,.008,.007,C,C,.017,.018,.056,.012,.011,.010,.004,.005,.012,.022,.010,.014,.016,.004,.007,.005,.007,.033,.020,.008,.014,.056,06
03 NO2 PPM,ALPINE,.003,.002,C,C,.005,.004,.004,.014,.012,.002,.005,.005,.005,.004,.004,.007,.008,.009,.009,.012,.009,.007,.009,.008,.007,.014,07
,CARMEL MT RCH,.028,.023,C,C,C,.026,.020,.017,.028,.022,.020,.019,.016,.017,.016,.013,.014,.012,.013,.019,.018,.013,.013,.010,.018,.028,00
,CHULA VISTA,.014,.013,C,C,.015,.013,.017,.014,.011,.013,.014,M,.005,.003,.003,.003,.005,.004,.007,.009,.008,.010,.007,.013,.010,.017,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.005,C,C,C,.015,.016,.014,.014,.017,.012,M,M,M,M,M,.007,.009,.009,.011,.012,.013,.010,.009,.011,.017,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.007,C,C,.024,.019,.015,.015,.012,.007,.007,.008,M,M,.005,.005,.005,.004,.007,.009,.005,.006,.010,.009,.009,.024,04
,OTAY MESA DVN,.006,.007,C,C,.006,.016,.017,.013,M,M,.008,M,M,M,M,M,M,M,M,M,M,M,M,M,.010,.017,06
,PENDLETON,.007,.007,C,C,.014,.013,.017,.007,.007,.006,.003,.004,.006,.012,.007,.011,.014,.004,.007,.005,.007,.028,.019,.008,.010,.028,21
04 NO PPM,ALPINE,.000,.000,C,C,.001,.001,.000,.006,.004,.000,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.006,07
,CARMEL MT RCH,.005,.004,C,C,C,.045,.027,.017,.036,.021,.019,.013,.012,.011,.011,.008,.007,.006,.005,.007,.006,.005,.003,.003,.013,.045,05
,CHULA VISTA,.001,.002,C,C,.006,.015,.033,.009,.006,.005,.006,M,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.005,.033,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,-.001,-.001,C,C,C,.009,.021,.009,.008,.008,.002,M,M,M,M,M,.001,.000,-.001,-.001,-.001,-.001,.000,-.001,.003,.021,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.003,.006,.004,.005,.004,.002,.002,.002,M,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.006,05
,OTAY MESA DVN,.000,.002,C,C,.000,.001,.010,.006,M,M,.003,M,M,M,M,M,M,M,M,M,M,M,M,M,.003,.010,06
,PENDLETON,.000,.000,C,C,.004,.005,.039,.005,.003,.004,.001,.001,.005,.010,.003,.003,.002,.000,.000,.000,.000,.004,.001,.000,.004,.039,06
06 CO PPM,CARMEL MT RCH,.5,.4,C,C,C,1.1,.6,.5,.7,.5,.5,.5,.5,.5,.6,.5,.5,.5,.5,.5,.5,.4,.4,.3,.5,1.1,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,27,27,26,26,26,25,25,24,23,23,23,24,23,24,24,25,25,25,26,26,26,25,27,03
,CARMEL MT RCH,26,26,26,27,27,27,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,03
,CHULA VISTA,25,24,24,24,24,23,23,23,24,25,26,25,25,26,26,26,26,25,25,25,25,25,25,25,25,26,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,26,26,27,27,26,26,26,26,26,26,26,26,26,26,26,27,27,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,26,26,25,25,25,25,25,25,25,24,24,24,24,24,25,25,25,25,25,25,25,25,26,03
,OTAY MESA DVN,26,26,26,27,27,27,26,27,27,27,27,26,25,25,25,25,25,25,25,25,25,25,25,25,26,27,03
,PENDLETON,25,25,25,26,26,25,25,25,25,24,24,24,23,23,23,24,24,24,24,24,25,25,25,25,25,26,03
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,7.6,6.6,9.3,8.6,13.7,10.3,10.3,13.4,12.4,7.9,4.8,5.5,8.6,11.6,11.7,14.3,14.2,12.3,16.2,12.7,12.4,12.3,11.8,8.8,10.7,16.2,18
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,9.3,11.5,11.7,9.5,10.7,12.6,12.1,21.1,17.6,12.8,14.1,12.4,16.6,17.3,19.6,11.4,7.9,5.3,9.8,7.6,11.1,21.1,14.3,12.6,12.9,21.1,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,22.1,19.5,29.0,14.3,12.0,36.7,41.8,30.8,39.1,24.4,12.9,13.3,13.3,18.6,15.4,9.0,10.8,14.9,13.9,12.2,14.5,11.3,15.1,12.8,19.0,41.8,06
,PENDLETON,6.0,7.5,7.6,5.3,4.2,7.3,10.4,10.9,11.7,11.2,10.7,10.9,10.8,14.6,12.6,11.0,10.6,8.3,6.0,4.6,7.5,8.8,5.2,3.0,8.6,14.6,13
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,24,58,93,330,266,111,105,294,297,284,273,251,263,250,249,234,273,302,333,103,307,360,100,84,219,360,21
,CHULA VISTA,57,73,71,57,120,104,72,1,2,326,283,264,272,268,263,266,262,257,283,274,286,332,346,26,190,346,22
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,101,101,103,163,110,350,258,144,337,279,290,10,279,268,253,262,265,265,269,325,230,315,360,68,225,360,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,14,359,353,6,24,7,42,331,317,320,309,295,286,293,295,298,285,288,293,289,302,330,358,327,251,359,01
,OTAY MESA DVN,110,61,102,46,43,118,142,333,288,306,309,315,291,285,281,287,290,295,339,295,18,323,349,114,223,349,22
,PENDLETON,35,53,55,41,61,57,58,56,338,260,240,246,265,262,266,266,275,273,262,274,320,53,359,39,184,359,22
