Current Date:,3/11/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/10/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.032,C,C,.036,.036,.034,.036,.041,.046,.046,.045,.045,.046,.047,.048,.048,.047,.045,.043,.042,.043,.041,.038,.034,.041,.048,14
,CHULA VISTA,.017,C,C,.021,.022,.018,.020,.025,.034,.042,.043,.044,.048,.048,.049,.047,.047,.045,.042,.034,.022,.014,.020,.021,.032,.049,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.015,C,C,C,.016,.007,.007,.020,.026,.033,.044,.045,.047,.049,.048,.049,.047,.045,.044,.036,.024,.015,.012,.006,.030,.049,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,C,C,.027,.021,.018,.010,.016,.028,.042,.044,.044,.047,.047,.048,.047,.047,.042,.038,.036,.018,.020,.021,.023,.031,.048,14
,OTAY MESA DVN,.036,C,C,.026,.025,.022,.030,.028,.033,.042,.041,.042,.041,.043,.043,.043,.043,.041,.038,.036,.036,.036,.035,.029,.035,.043,13
,PENDLETON,.027,C,C,.021,.020,.019,.019,.019,.022,.032,.038,.042,.044,.046,.047,.048,.046,.045,.045,.034,.032,.025,.026,.026,.032,.048,15
02 NOX PPM,ALPINE,.004,C,C,.002,.001,.002,.002,.003,.001,.001,.001,.002,.002,.001,.001,.002,.003,.003,.004,.003,.002,.002,.003,.003,.002,.004,00
,CARMEL MT RCH,.013,C,C,C,.013,.025,.014,.007,.005,.008,.014,.014,.012,.012,.013,.013,.014,.014,.016,.017,.020,.018,.032,.029,.015,.032,22
,CHULA VISTA,.014,C,C,.006,.006,.007,.009,.009,.006,.003,.004,.004,.003,.002,.002,.002,.002,.003,.004,.009,.016,.021,.013,.010,.007,.021,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.010,C,C,C,.005,.012,.018,.005,.004,.006,.002,.001,.001,.001,.002,.003,.002,.003,.002,.007,.012,.015,.015,.018,.007,.018,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,C,C,.003,.004,.008,.014,.009,.004,.001,.001,.002,.002,.001,.001,.001,.001,.002,.003,.005,.014,.011,.008,.006,.005,.014,06
,OTAY MESA DVN,.000,C,C,.003,.004,.004,.002,.001,.001,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.001,.000,.001,.004,.001,.004,04
,PENDLETON,.002,C,C,.003,.002,.003,.004,.004,.003,.007,.002,.001,.000,.000,.000,.000,.000,.000,.000,.006,.007,.011,.005,.003,.003,.011,21
