,EL CAJON LES,.001,.001,C,C,C,.005,.006,.003,.001,.001,.001,.001,.002,M,.004,.004,.004,.004,.008,.010,.013,.014,.008,.009,.005,.014,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.001,.005,.012,.011,.014,.015,.013,.010,.006,.008,.009,.005,.004,.004,.004,.005,.006,.007,.015,.013,.017,.010,.009,.009,.017,21
,OTAY MESA DVN,.000,.000,C,C,.004,.006,.007,.006,.005,.003,M,.004,.004,.003,.002,.002,.001,.002,.003,.003,.003,.008,.010,.003,.004,.010,22
,PENDLETON,.000,.000,C,C,.008,.007,.018,.014,.009,M,M,M,M,M,M,M,.002,.001,.001,.010,.015,.015,.013,.005,.008,.018,06
03 NO2 PPM,ALPINE,.001,.001,C,C,.004,.004,.007,.005,.004,.002,.001,.001,.001,.002,.002,.004,.005,.005,.006,.004,.005,.004,.004,.002,.003,.007,06
,CARMEL MT RCH,.002,.005,C,C,C,.005,.005,.004,M,M,.021,.013,.014,.015,.013,.012,.011,.016,.023,.025,.025,.025,.026,.017,.015,.026,22
,CHULA VISTA,.001,.001,C,C,.010,.015,.024,.021,.013,.013,.006,.003,.001,.001,.002,.002,.003,.005,.009,.011,.026,.028,.028,.024,.011,.028,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.001,C,C,C,.005,.005,.002,.001,.001,.001,.001,.001,M,.003,.003,.003,.004,.008,.010,.012,.014,.008,.009,.005,.014,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.001,.004,.011,.011,.013,.013,.010,.008,.005,.006,.007,.004,.003,.004,.003,.004,.005,.007,.014,.013,.017,.009,.009,.008,.017,21
,OTAY MESA DVN,.000,.000,C,C,.004,.006,.007,.005,.004,.002,M,.003,.003,.003,.002,.001,.001,.002,.003,.003,.003,.008,.010,.003,.003,.010,22
,PENDLETON,.000,.000,C,C,.007,.007,.014,.010,.005,M,M,M,M,M,M,M,.002,.001,.001,.010,.015,.013,.011,.005,.007,.015,20
04 NO PPM,ALPINE,.000,.000,C,C,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.001,.001,.001,.000,.000,.001,.000,.000,.000,.000,.000,.001,04
,CARMEL MT RCH,.001,.003,C,C,C,.001,.001,.001,M,M,.020,.011,.012,.013,.011,.009,.007,.008,.008,.008,.005,.005,.008,.003,.007,.020,10
,CHULA VISTA,.001,.001,C,C,.001,.001,.003,.008,.005,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.001,.002,.008,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.000,.000,.000,.000,.001,M,.001,.001,.001,.000,.000,.000,.001,.000,.000,.000,.000,.001,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,.000,.000,.000,.001,.002,.003,.002,.001,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,07
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,.001,.001,.001,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,PENDLETON,.000,.000,C,C,.001,.001,.005,.005,.004,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.002,.001,.000,.001,.005,06
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.2,.2,.2,M,M,.4,.3,.3,.4,.4,.4,.4,.6,.7,.6,.6,.6,.7,.4,.4,.7,18
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,24,25,25,25,24,24,24,24,24,24,25,25,26,25,25,25,25,26,26,26,26,25,25,25,26,13
,CARMEL MT RCH,26,26,26,26,27,26,26,26,25,23,24,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,04
,CHULA VISTA,26,27,27,27,27,27,27,27,27,27,26,26,25,26,26,26,26,26,26,26,27,26,27,27,26,27,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,27,26,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,25,25,25,25,25,26,26,25,25,24,25,24,25,25,25,25,25,25,25,25,25,25,26,00
,OTAY MESA DVN,27,27,27,27,26,26,27,27,26,26,26,26,25,26,27,27,26,26,25,26,26,26,26,26,26,27,00
,PENDLETON,26,26,26,26,26,26,26,25,26,25,24,24,24,24,24,24,24,25,25,25,25,26,26,26,25,26,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,-1.1,4.0,6.5,5.5,3.2,4.1,5.4,4.4,8.3,9.1,9.1,10.6,11.8,8.1,6.7,10.9,9.8,9.0,10.5,10.7,9.5,6.1,5.2,6.3,7.2,11.8,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,7.9,10.5,9.9,8.3,9.4,6.9,13.1,11.1,10.4,9.7,7.1,8.4,8.9,13.1,16.9,13.7,12.6,11.8,8.8,12.2,16.6,13.8,9.6,8.9,10.8,16.9,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,15.0,14.0,14.0,10.3,12.7,18.0,21.1,13.4,14.5,14.8,10.7,M,M,19.3,20.3,17.5,16.1,9.1,8.7,17.3,14.3,21.4,15.5,19.2,15.3,21.4,21
,PENDLETON,12.8,15.8,12.5,9.6,7.8,7.2,10.3,9.7,8.9,13.3,9.6,12.7,11.3,15.6,10.2,7.0,11.1,14.4,10.9,10.6,11.4,7.4,8.3,6.1,10.6,15.8,01
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,248,238,202,131,125,115,123,138,134,172,253,288,306,287,273,265,277,295,330,4,53,74,71,86,187,330,18
,CHULA VISTA,284,273,185,130,135,117,122,135,151,128,241,252,247,257,253,255,280,265,259,135,117,84,79,59,185,284,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,253,211,145,139,124,131,128,137,123,161,175,252,278,255,236,220,259,276,321,354,110,115,119,95,192,354,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,258,234,158,136,130,115,103,133,95,122,174,242,239,240,243,272,288,304,310,16,347,30,27,49,178,347,20
,OTAY MESA DVN,293,297,138,125,132,130,126,126,126,130,166,307,282,280,280,280,289,286,335,60,32,118,96,28,186,335,18
,PENDLETON,267,250,179,106,82,73,88,53,119,175,189,210,237,258,269,283,298,306,309,335,19,24,39,46,176,335,19
13 SIGTHETA °,ALPINE,31,24,23,16,13,11,15,14,18,50,36,37,39,40,30,26,23,22,22,18,51,47,46,44,29,51,20
,CHULA VISTA,19,19,27,12,13,13,13,15,25,23,38,24,25,23,24,22,22,20,31,16,11,26,25,25,21,38,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,19,16,21,9,9,23,16,17,23,27,58,67,59,25,22,25,20,18,17,19,64,35,36,44,29,67,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,11,22,11,11,10,10,12,16,16,28,41,18,22,17,17,13,10,6,14,8,17,18,8,15,41,11
,OTAY MESA DVN,12,16,29,8,8,9,12,9,13,19,27,55,25,19,16,16,14,11,21,14,28,14,22,48,19,55,11
,PENDLETON,15,13,16,12,12,12,14,15,20,18,17,15,14,11,14,18,18,15,12,18,15,9,13,13,15,20,08
14 VWSP MPH,ALPINE,5.0,5.0,2.7,2.3,4.3,3.8,3.0,5.0,3.8,2.1,3.9,3.5,3.5,4.3,4.6,5.8,4.9,3.8,1.7,3.3,1.0,.9,.7,1.1,3.3,5.8,15
,CHULA VISTA,7.6,4.6,1.7,3.5,4.1,4.1,4.5,5.6,5.3,3.8,3.7,6.6,6.9,7.2,6.5,6.6,6.1,3.8,1.5,1.4,2.0,.8,.9,1.6,4.2,7.6,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,6.1,3.4,3.0,6.5,3.6,2.7,2.6,5.9,4.0,4.4,2.6,1.4,2.0,6.5,7.0,6.6,6.7,4.5,4.3,1.8,.6,.5,1.0,1.3,3.7,7.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9.6,5.5,2.2,3.8,4.7,4.8,5.1,5.7,5.7,5.7,4.4,3.4,8.2,7.3,8.2,8.6,8.0,4.6,3.2,4.0,5.1,2.4,3.7,4.0,5.3,9.6,00
,OTAY MESA DVN,8.2,4.4,2.1,5.3,8.5,7.4,7.3,7.8,9.1,7.5,4.9,1.9,6.5,8.1,8.9,8.2,8.4,6.1,1.4,2.4,1.4,2.4,1.6,2.5,5.5,9.1,08
,PENDLETON,8.6,8.2,3.1,4.6,6.5,6.9,5.1,5.2,5.2,6.8,7.1,9.1,9.2,7.9,5.4,4.6,5.9,8.4,6.5,3.2,3.0,6.5,4.4,4.4,6.1,9.2,12
15 SWSP MPH,ALPINE,5.7,5.5,3.1,2.4,4.4,3.9,3.2,5.1,3.9,2.9,4.7,4.4,4.4,5.1,5.4,6.4,5.3,4.0,2.0,3.7,1.7,1.3,.8,1.6,3.8,6.4,15
,CHULA VISTA,8.0,5.0,2.6,3.6,4.2,4.2,4.6,5.9,5.8,4.1,4.7,7.2,7.6,7.8,7.1,7.1,6.5,4.1,2.1,1.5,2.0,.9,1.0,1.7,4.6,8.0,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,6.4,3.7,3.3,6.6,3.7,3.0,2.7,6.2,4.3,4.9,3.9,4.1,3.7,7.1,7.5,7.2,7.4,5.1,4.5,2.0,1.3,.6,1.1,1.6,4.2,7.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9.8,5.6,3.0,3.9,4.8,4.9,5.2,5.9,5.9,6.1,5.0,4.3,8.8,7.9,8.6,9.4,8.3,4.6,3.2,4.3,5.2,2.8,4.0,4.0,5.6,9.8,00
,OTAY MESA DVN,8.4,4.6,2.7,5.4,8.5,7.5,7.6,7.9,9.3,7.9,5.8,3.7,7.0,8.5,9.4,8.6,8.7,6.3,2.3,2.5,2.5,2.5,2.0,3.1,5.9,9.4,14
,PENDLETON,9.2,8.3,3.7,4.8,6.7,7.1,5.2,5.4,5.7,7.1,7.5,9.4,9.6,8.0,5.5,4.9,6.2,8.6,6.6,3.5,3.2,6.6,4.5,4.5,6.3,9.6,12
16 AMBTEMP °F,ALPINE,47.2,45.1,43.8,43.0,42.5,43.2,44.6,45.9,48.1,52.6,55.8,57.5,58.6,60.5,61.6,58.8,55.4,53.7,49.8,48.8,48.4,47.4,47.1,46.6,50.3,61.6,14
,CARMEL MT RCH,50.2,49.3,48.3,47.7,48.2,48.9,49.6,50.9,53.2,56.7,58.1,61.0,62.1,63.6,63.2,61.8,59.8,57.7,55.9,54.5,53.3,52.0,50.4,49.4,54.4,63.6,13
,CHULA VISTA,54.2,53.6,53.2,52.0,52.0,52.6,53.4,55.3,57.3,58.4,60.1,61.7,62.0,61.7,61.3,60.8,59.9,58.8,57.6,56.2,55.0,53.7,52.3,51.5,56.4,62.0,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,52.4,50.4,49.3,49.1,48.4,49.6,50.6,52.9,55.4,57.0,59.8,62.4,64.7,65.8,64.7,63.8,62.5,60.2,58.0,56.9,54.3,52.4,50.9,49.7,55.9,65.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,52.4,51.7,51.4,50.5,51.3,51.7,51.4,54.1,56.5,58.1,60.0,60.8,61.8,61.9,62.3,61.6,60.1,58.4,57.1,54.9,53.1,52.5,51.2,50.8,55.7,62.3,14
,OTAY MESA DVN,52.3,51.1,50.5,50.9,50.8,51.2,51.5,52.4,54.5,56.4,59.0,60.9,61.6,62.7,61.5,60.8,58.9,56.4,54.7,54.3,53.8,52.5,52.6,51.8,55.1,62.7,13
,PENDLETON,55.9,55.5,54.8,53.8,52.5,52.4,52.9,53.6,57.2,58.9,60.6,61.1,61.3,61.2,61.1,60.8,60.5,59.0,57.8,57.1,55.7,52.4,51.5,51.4,56.6,61.3,12
17 RELHUM %,ALPINE,98,99,98,97,95,88,84,84,81,67,59,52,48,45,45,61,70,73,86,89,89,92,89,85,78,99,01
,EL CAJON LES,87,83,84,82,84,82,81,78,74,69,58,48,41,48,54,56,56,60,62,66,75,81,85,87,70,87,00
,KEARNY MESA,81,78,81,85,82,83,86,81,77,70,64,60,64,63,62,63,65,65,68,73,78,79,82,83,74,86,06
18 PRES mmHg,KEARNY MESA,745,745,745,745,745,746,746,747,748,748,748,748,747,747,747,747,747,748,748,749,749,750,750,750,747,750,21
19 SOLAR W/M2,KEARNY MESA,1,0,0,0,0,1,46,241,303,466,538,545,855,770,633,454,249,56,1,0,1,0,0,0,215,855,12
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,M,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.1,14
29 CO Tr PPB,EL CAJON LES,157.9,160.3,C,C,C,233.2,245.1,198.9,186.0,183.5,187.0,176.9,197.2,M,234.0,235.7,231.5,219.9,260.7,320.6,350.9,365.3,286.4,299.5,236.5,365.3,21
