03 NO2 PPM,ALPINE,.003,.002,C,C,.002,.003,.003,.002,.001,.002,.002,.002,.002,.001,.001,.002,.002,.002,.002,.003,.002,.002,.002,.002,.002,.003,00
,CARMEL MT RCH,.003,.006,C,C,C,.011,.025,.017,.018,.013,.011,M,M,M,M,.007,.008,.009,.010,.011,.016,.021,.021,.018,.013,.025,06
,CHULA VISTA,.003,.001,C,C,.010,.016,.020,.009,.008,.006,.003,.002,.002,.002,.002,.001,.002,.003,.004,.004,.004,.011,.014,.013,.006,.020,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.001,C,C,C,.014,.012,.005,.005,.003,.001,.001,M,.001,.001,.001,.001,.002,.002,.003,.004,.008,.008,.011,.004,.014,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.001,C,C,.007,.016,.013,.006,.004,.004,.002,.002,.002,.002,.002,.002,.002,.002,.002,.003,.006,.008,.010,.009,.005,.016,05
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.005,.005,C,C,.007,.007,.009,.005,.005,.007,.003,.001,.002,.001,.001,.003,.001,.002,.002,.001,.011,.021,.018,.010,.006,.021,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,CARMEL MT RCH,.002,.006,C,C,C,.007,.050,.026,.029,.015,.014,M,M,M,M,.008,.007,.009,.007,.006,.009,.006,.003,.004,.012,.050,06
,CHULA VISTA,.001,.002,C,C,.003,.006,.033,.006,.006,.004,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,.001,.001,.001,.001,.004,.033,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,-.001,-.001,C,C,C,.010,.009,.003,.002,.001,.000,.000,M,.000,.000,.000,.000,-.001,-.001,-.001,-.001,-.001,-.001,-.001,.001,.010,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.006,.009,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.009,06
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.000,.000,C,C,.001,.004,.009,.005,.003,.014,.002,.000,.000,.001,.000,.001,.000,.000,.000,.000,.000,.000,.001,.001,.002,.014,09
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.4,.9,.5,.5,.4,.4,C,M,M,M,.3,.3,.4,.4,.4,.4,.5,.5,.5,.4,.9,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,27,26,26,26,26,25,24,23,24,23,24,24,24,24,25,24,26,26,26,26,26,26,25,27,02
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,27,27,27,26,27,21
,CHULA VISTA,26,26,26,26,26,27,27,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,25,26,26,27,05
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,27,26,27,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,27,26,27,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,28,27,27,27,27,27,26,26,26,26,26,26,25,25,26,27,27,27,27,27,28,05
,PENDLETON,25,25,25,25,25,26,25,24,24,24,23,23,23,23,23,24,24,24,24,24,25,25,25,25,24,26,05
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,4.1,2.3,.6,1.4,3.0,2.8,1.4,1.4,-.8,-2.0,.7,2.2,2.2,1.9,.4,1.2,2.6,1.8,3.7,3.6,3.8,4.9,3.7,2.4,2.0,4.9,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.2,-.2,2.6,3.3,.8,.2,.8,5.3,3.7,1.8,2.4,2.4,3.8,5.4,4.4,1.9,3.1,4.1,5.1,8.7,5.4,1.7,1.0,3.7,3.0,8.7,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.7,7.4,8.0,2.8,1.2,7.6,18.3,27.9,10.4,6.0,11.3,8.6,3.7,2.8,3.6,4.3,6.5,4.9,2.9,2.5,6.2,4.7,8.4,7.0,7.2,27.9,07
,PENDLETON,1.9,-.2,-.1,3.2,3.3,1.8,2.8,3.6,7.1,5.7,3.3,4.0,2.6,2.7,3.3,2.4,3.6,4.6,4.3,2.3,3.2,4.6,4.7,3.7,3.2,7.1,08
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,199,252,256,273,31,7,5,327,316,293,304,293,286,280,284,280,290,286,282,250,276,242,234,117,236,327,07
,CHULA VISTA,336,341,328,2,11,17,332,299,285,276,280,283,278,282,273,281,285,294,307,336,339,5,35,54,232,341,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,309,300,270,114,109,109,90,33,339,327,M,296,302,310,294,293,286,290,277,290,292,231,115,13,230,339,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,303,334,315,326,350,359,298,287,315,326,299,296,297,285,282,282,293,297,287,291,295,31,71,40,273,359,05
,OTAY MESA DVN,333,340,334,0,10,15,129,211,319,331,310,291,294,289,286,283,284,284,290,331,345,346,42,46,239,346,21
,PENDLETON,15,24,40,46,31,24,40,52,246,243,255,264,266,268,264,273,286,291,304,307,321,320,38,61,178,321,20
13 SIGTHETA °,ALPINE,29,25,23,28,35,29,27,29,31,26,27,30,27,29,29,29,27,25,24,26,20,25,32,22,27,35,04
,CHULA VISTA,20,20,18,14,14,15,57,34,41,35,21,18,19,20,19,20,18,17,17,18,16,16,13,17,22,57,06
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,19,18,24,28,39,15,63,41,68,27,M,20,23,25,30,32,18,18,17,20,20,23,28,57,29,68,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,11,14,10,9,12,16,22,20,44,23,18,17,17,16,18,15,11,11,9,7,8,50,7,16,17,50,21
,OTAY MESA DVN,13,19,11,15,13,40,10,35,30,21,17,13,15,15,14,14,11,11,10,16,11,14,35,10,17,40,05
,PENDLETON,12,14,9,9,10,9,13,46,20,13,12,10,12,13,10,17,18,18,15,12,10,11,15,11,14,46,07
14 VWSP MPH,ALPINE,.5,.7,1.3,1.2,.3,.7,2.0,2.7,3.2,4.6,5.1,6.3,6.4,6.2,5.7,5.5,6.0,4.6,2.2,2.0,2.9,1.4,.4,.8,3.0,6.4,12
,CHULA VISTA,3.4,3.5,2.1,1.7,2.5,1.6,.4,2.6,2.6,4.6,8.8,10.4,10.3,10.7,8.9,9.5,9.7,8.8,5.0,3.9,2.8,1.9,1.5,.8,4.9,10.7,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,4.8,3.4,1.5,1.0,1.3,1.7,.3,.7,.8,5.5,M,10.0,9.0,9.1,6.1,6.5,9.2,7.6,5.4,3.9,2.9,.9,.8,.1,4.0,10.0,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6.0,4.4,5.1,3.3,2.9,2.5,2.2,3.0,2.4,5.8,10.1,10.7,11.9,11.0,9.0,11.0,11.6,9.6,7.1,5.3,3.4,.7,2.6,1.1,5.9,11.9,12
,OTAY MESA DVN,3.4,3.5,3.8,4.9,4.0,1.5,3.8,1.1,3.4,7.6,10.8,13.1,14.0,13.8,13.9,13.3,13.2,10.0,6.5,4.1,3.3,3.1,1.6,3.2,6.7,14.0,12
,PENDLETON,3.7,3.9,4.5,4.5,4.8,5.8,3.4,1.9,2.9,4.3,5.9,6.8,6.4,6.1,6.5,6.0,6.1,6.0,8.2,8.9,5.3,4.4,3.2,3.1,5.1,8.9,19
15 SWSP MPH,ALPINE,.9,.8,1.4,1.3,.4,.8,2.2,3.1,3.6,5.1,5.6,7.1,7.1,6.9,6.4,6.1,6.6,5.1,2.4,2.3,3.1,1.5,.7,1.2,3.4,7.1,11
,CHULA VISTA,3.6,3.8,2.2,1.9,2.6,1.7,.6,3.0,3.3,5.4,9.5,10.9,10.8,11.3,9.4,10.0,10.2,9.2,5.2,4.1,2.9,2.1,1.5,.8,5.3,11.3,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,5.1,3.6,1.7,1.2,1.3,1.7,.7,.9,2.1,6.3,M,10.8,10.0,10.1,7.2,7.5,9.6,8.1,5.8,4.2,3.1,1.1,.8,.4,4.5,10.8,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6.2,4.6,5.1,3.4,3.1,2.8,2.3,3.2,3.1,6.2,10.7,11.1,12.5,11.6,9.4,11.4,11.8,9.8,7.2,5.3,3.5,1.4,2.6,1.2,6.2,12.5,12
,OTAY MESA DVN,3.5,3.7,3.9,5.0,4.1,2.6,4.0,1.8,3.8,8.0,11.7,13.5,14.5,14.4,14.4,13.7,13.4,10.2,6.6,4.5,3.4,3.2,1.8,3.3,7.0,14.5,12
,PENDLETON,3.9,4.2,4.6,4.6,4.9,5.9,3.5,2.2,3.1,4.4,6.1,6.9,6.5,6.2,6.6,6.3,6.4,6.4,8.4,9.1,5.4,4.5,3.3,3.2,5.3,9.1,19
16 AMBTEMP °F,ALPINE,52.6,52.8,52.3,51.7,50.5,49.2,51.2,55.8,58.2,60.1,61.6,64.9,65.9,65.9,65.0,64.8,61.8,56.6,51.9,51.8,51.4,50.7,49.3,48.4,56.0,65.9,12
,CARMEL MT RCH,56.3,56.2,56.0,55.0,54.6,54.4,55.8,57.8,60.4,63.0,64.9,65.5,65.8,66.3,66.0,64.8,62.5,59.7,56.7,55.6,54.8,53.6,52.5,50.9,58.7,66.3,13
,CHULA VISTA,60.7,60.1,59.6,58.5,57.1,55.8,56.5,60.2,63.0,65.2,66.5,67.1,66.9,67.4,66.0,64.9,63.4,61.4,59.6,58.4,57.5,56.7,55.6,54.4,60.9,67.4,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,59.6,58.4,56.9,55.3,54.1,52.8,54.7,58.9,63.5,67.0,68.7,69.6,69.8,69.6,69.7,69.3,65.6,62.1,59.1,57.8,56.7,55.6,53.7,52.6,60.9,69.8,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,59.1,59.1,58.3,57.0,56.5,55.6,56.1,58.6,61.7,64.7,65.5,65.3,65.6,65.2,65.1,63.9,61.7,59.6,57.3,55.5,55.5,54.5,52.8,52.4,59.4,65.6,12
,OTAY MESA DVN,58.9,58.4,57.2,56.4,55.8,55.3,55.3,58.7,61.0,64.3,66.1,66.0,67.0,66.6,66.3,64.6,62.2,59.9,57.2,55.9,55.1,54.3,53.5,53.0,59.5,67.0,12
,PENDLETON,56.5,55.0,53.9,54.3,54.8,53.4,54.4,57.8,60.1,61.1,62.7,63.7,63.9,63.8,64.0,63.6,62.9,61.9,59.8,59.0,57.9,57.1,55.7,53.7,58.8,64.0,14
17 RELHUM %,ALPINE,92,92,93,94,94,95,88,72,65,62,54,44,43,42,42,38,53,66,79,83,86,88,91,92,73,95,05
,EL CAJON LES,82,85,87,89,90,92,89,79,66,53,44,40,41,40,36,39,50,60,73,77,81,83,86,87,69,92,05
,KEARNY MESA,91,89,91,94,95,93,94,91,77,65,62,66,60,61,59,67,76,81,87,86,89,91,92,93,81,95,04
18 PRES mmHg,KEARNY MESA,751,751,751,751,751,751,752,752,752,753,753,753,752,752,751,751,751,751,752,752,753,753,753,752,752,753,09
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,5,111,251,493,695,827,857,823,771,671,503,252,73,2,0,0,0,0,0,264,857,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,138.6,138.6,C,C,C,353.9,324.4,259.5,237.3,202.3,174.8,C,M,152.3,158.9,179.9,162.7,154.0,173.7,179.6,194.5,244.5,238.7,295.2,208.6,353.9,05
