Current Date:,3/16/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/15/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.051,.050,C,C,.049,.048,.049,.049,.048,.050,.051,.053,.052,.054,.049,.050,.052,.051,.044,.050,.053,.050,.049,.048,.050,.054,13
,CHULA VISTA,.025,.024,C,C,.023,.014,.005,.003,.011,.026,.038,.032,.047,.050,M,M,.044,.043,.036,.014,.004,.006,.008,.020,.023,.050,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.012,.011,C,C,C,.002,.003,.005,.011,.016,.043,.049,.053,.051,.053,.054,.053,.055,.047,.027,.022,.018,.028,.023,.030,.055,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.033,.022,C,C,.019,.013,.012,.012,.036,.043,.046,M,M,M,M,.051,.052,.055,.051,.039,.027,.033,.033,.032,.033,.055,17
,OTAY MESA DVN,.035,.039,C,C,.033,.038,.034,.034,.035,.035,.039,.036,.035,.043,.048,.050,.048,.042,.036,.040,.043,.039,.038,.032,.038,.050,15
,PENDLETON,.035,.037,C,C,.035,.034,.032,.035,.039,.041,.044,.042,.043,.040,.045,.051,.051,.050,.053,.042,.033,.032,.032,.031,.039,.053,18
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.002,.002,.002,.002,.002,.002,.002,.002,.001,.007,.007,.005,.006,.011,.007,.004,.004,.002,.002,.003,.011,18
,CARMEL MT RCH,.029,.036,C,C,C,.036,.006,.005,.006,.001,.002,.002,M,.002,.021,.018,.018,.015,.016,.023,.033,.028,.032,.028,.018,.036,01
,CHULA VISTA,.012,.010,C,C,.009,.011,.018,.037,.061,.025,.012,.025,.006,.005,M,M,.012,.014,.017,.032,.042,.036,.031,.020,.022,.061,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.016,.016,C,C,C,.036,.049,.069,.059,.042,.008,.005,.002,.005,.005,.004,.005,.004,.010,.019,.018,.019,.010,.010,.020,.069,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.014,C,C,.018,.028,.029,.040,.012,.007,.006,M,M,M,M,.007,.008,.005,.006,.014,.019,.014,.013,.010,.014,.040,07
,OTAY MESA DVN,.005,.002,C,C,.007,.005,.004,.006,.003,.005,.004,.009,.013,.006,.003,.001,.002,.007,.009,.007,.004,.007,.007,.010,.006,.013,12
,PENDLETON,.004,.003,C,C,.006,.006,.012,.009,.006,.006,.005,.005,.005,.011,.010,.004,.002,.006,.002,.008,.014,.012,.010,.006,.007,.014,20
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.002,.001,.002,.002,.002,.002,.001,.002,.001,.005,.005,.004,.006,.011,.006,.004,.003,.002,.002,.003,.011,18
,CARMEL MT RCH,.025,.030,C,C,C,.022,.005,.005,.004,.001,.001,.002,M,.002,.012,.011,.011,.010,.013,.020,.031,.025,.029,.023,.014,.031,20
,CHULA VISTA,.009,.008,C,C,.007,.009,.012,.014,.028,.015,.009,.017,.004,.003,M,M,.009,.012,.016,.030,.037,.033,.029,.019,.016,.037,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.015,.015,C,C,C,.020,.021,.023,.025,.024,.006,.003,.002,.003,.004,.003,.004,.004,.010,.019,.018,.018,.010,.009,.012,.025,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.014,C,C,.017,.025,.023,.024,.009,.006,.005,M,M,M,M,.006,.007,.005,.006,.014,.019,.013,.013,.010,.012,.025,05
,OTAY MESA DVN,.005,.002,C,C,.007,.004,.003,.004,.003,.003,.003,.007,.010,.004,.002,.001,.001,.007,.009,.007,.004,.007,.007,.010,.005,.010,12
,PENDLETON,.004,.003,C,C,.006,.006,.010,.007,.004,.004,.004,.004,.004,.008,.007,.003,.002,.004,.002,.008,.014,.012,.009,.005,.006,.014,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.000,.001,.001,.000,.001,.000,.001,.000,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,14
,CARMEL MT RCH,.004,.007,C,C,C,.014,.001,.001,.002,.000,.001,.001,M,.001,.008,.008,.007,.006,.004,.003,.003,.003,.002,.004,.004,.014,05
,CHULA VISTA,.003,.002,C,C,.002,.002,.006,.023,.033,.010,.003,.008,.002,.002,M,M,.002,.002,.001,.002,.006,.003,.002,.001,.006,.033,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.001,C,C,C,.016,.028,.046,.034,.018,.002,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.001,.000,.001,.007,.046,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.003,.007,.016,.003,.002,.001,M,M,M,M,.002,.001,.000,.000,.000,.000,.000,.000,.000,.002,.016,07
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.001,.002,.001,.001,.001,.002,.003,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,12
,PENDLETON,.000,.000,C,C,.001,.000,.002,.002,.002,.002,.001,.001,.001,.003,.002,.001,.000,.002,.000,.000,.000,.000,.001,.000,.001,.003,13
06 CO PPM,CARMEL MT RCH,.4,.4,C,C,C,.4,.2,.1,.1,.1,.1,C,M,.1,.3,.3,.3,.4,.5,.6,.6,.6,.7,.6,.4,.7,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,24,25,26,26,26,26,26,25,26,19
,CARMEL MT RCH,26,26,26,26,27,27,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,04
,CHULA VISTA,27,27,27,27,27,27,26,26,24,25,25,26,26,26,26,26,26,26,26,26,27,27,27,27,26,27,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,28,27,28,28,27,27,27,27,27,27,27,26,26,26,26,26,26,26,27,27,27,27,27,28,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,24,24,24,24,24,25,25,24,24,24,24,24,25,25,25,25,26,26,25,25,25,26,20
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,28,27,27,27,26,26,25,25,25,25,26,26,26,26,26,28,10
,PENDLETON,25,25,25,25,25,25,24,25,25,24,24,24,24,24,24,24,24,24,25,25,25,26,26,26,25,26,21
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,.9,1.0,.4,2.4,3.5,2.0,1.9,3.6,2.2,-.8,-2.7,-.8,.1,-1.3,.0,5.4,3.4,1.5,5.0,4.0,3.8,10.3,16.2,6.7,2.8,16.2,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,7.2,5.1,6.7,7.7,5.3,4.9,6.3,11.2,10.4,8.7,4.9,.9,.5,1.7,1.2,2.1,2.6,1.8,3.3,6.0,10.3,10.9,10.0,7.8,5.7,11.2,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,5.5,2.5,6.5,7.2,7.9,4.9,5.0,4.9,5.1,6.6,5.6,2.6,.8,2.9,5.6,6.7,3.8,3.3,2.6,1.1,9.1,9.1,7.1,4.4,5.0,9.1,20
,PENDLETON,-.6,-2.5,-2.8,-.7,-1.0,-1.8,-2.5,.0,.6,-2.5,-2.3,.1,1.8,3.0,M,3.5,1.5,1.8,2.9,1.7,3.7,5.5,4.1,2.5,.6,5.5,21
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,352,351,359,16,28,34,40,343,294,293,297,297,336,290,223,270,275,266,279,96,53,65,91,82,210,359,02
,CHULA VISTA,79,75,82,90,91,62,101,2,34,335,264,256,262,267,259,250,245,272,279,106,121,92,68,67,157,335,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,110,133,205,132,192,129,135,219,256,107,268,224,210,238,253,262,288,281,270,120,98,101,99,83,184,288,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,41,29,51,35,39,359,73,63,349,258,267,12,265,266,271,288,298,309,318,356,41,59,75,47,174,359,05
,OTAY MESA DVN,64,113,40,68,45,37,15,16,290,331,280,274,278,294,295,287,280,306,9,19,82,108,110,67,155,331,09
,PENDLETON,35,36,37,35,38,34,35,41,35,30,32,299,285,296,307,300,282,214,250,103,60,85,47,41,123,307,14
13 SIGTHETA °,ALPINE,47,47,41,44,35,41,35,63,40,36,30,37,49,39,26,28,42,23,59,50,18,18,20,26,37,63,07
,CHULA VISTA,40,25,23,61,28,52,35,49,52,43,36,24,21,20,21,22,21,19,41,28,41,15,25,25,32,61,03
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,53,55,50,56,49,54,37,67,35,40,25,52,58,26,22,22,22,16,24,44,24,49,27,31,39,67,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
