Current Date:,3/15/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/14/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.040,.047,C,C,.049,.049,.049,P,.047,.049,.050,.051,.052,.053,.053,.053,.052,.053,.053,.052,.050,.050,.051,.050,.050,.053,13
,CHULA VISTA,.019,.017,C,C,.012,.009,.003,.008,.024,.036,P,.043,.044,.047,.051,.054,.051,.049,.040,.033,.018,.006,.010,.019,.028,.054,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.018,.016,C,C,C,.002,.003,.005,.016,.041,.045,.050,.054,.055,.054,.054,.056,.052,.042,.044,.029,.018,.017,.018,.032,.056,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.032,.023,.018,.017,.015,.005,.016,.025,.039,.045,.046,.049,.048,P,.052,.052,.050,.048,.044,.040,.038,.035,.036,.033,.035,.052,14
,OTAY MESA DVN,.029,.026,C,C,.033,.025,.024,.028,.034,.040,.044,.046,P,.048,.048,.047,.046,.044,.036,.040,.029,.031,.031,.029,.036,.048,13
,PENDLETON,.026,.029,C,C,.031,.032,.029,.039,.040,.043,.045,.047,.045,P,.052,.054,.055,.054,.052,.050,.029,.028,.029,.033,.040,.055,16
02 NOX PPM,ALPINE,.003,.001,C,C,.002,.002,.001,P,.002,.001,.002,.002,.002,.001,.001,.002,.002,.001,.001,.001,.003,.003,.001,.002,.002,.003,00
,CARMEL MT RCH,.022,.025,C,C,C,.007,.005,.003,.008,.002,.002,.002,.003,.008,.013,.017,.018,.025,.020,.014,.006,.027,.019,.014,.012,.027,21
,CHULA VISTA,.013,.011,C,C,.018,.027,.063,.061,.027,.013,M,.010,.008,.009,.007,.006,.007,.009,.008,.009,.011,.016,.019,.016,.018,.063,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.006,C,C,C,.033,.048,.061,.046,.006,.006,.003,.002,M,M,.006,.004,.005,.009,.005,.013,.017,.016,.014,.016,.061,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.008,.010,.010,.014,.026,.019,.014,.006,.002,.002,.002,.004,P,.006,.006,.007,.008,.008,.009,.008,.009,.009,.008,.009,.026,05
,OTAY MESA DVN,.006,.010,C,C,.003,.013,.018,.012,.009,.004,.001,.002,P,.003,.002,.002,.003,.004,.006,.004,.015,.010,.008,.010,.007,.018,06
,PENDLETON,.005,.006,C,C,.008,.009,.014,.008,.008,.005,.005,.003,.006,P,.003,.002,.002,.002,.003,.004,.023,.016,.012,.006,.007,.023,20
03 NO2 PPM,ALPINE,.002,.001,C,C,.001,.002,.001,P,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.002,.001,.001,.001,.002,00
,CARMEL MT RCH,.018,.017,C,C,C,.006,.004,.002,.005,.001,.001,.001,.002,.005,.008,.010,.011,.018,.016,.011,.005,.023,.017,.012,.009,.023,21
,CHULA VISTA,.012,.010,C,C,.017,.023,.030,.028,.015,.008,M,.009,.007,.008,.006,.005,.006,.008,.007,.008,.009,.012,.012,.011,.012,.030,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.006,C,C,C,.016,.016,.018,.019,.004,.004,.002,.001,M,M,.004,.003,.005,.009,.005,.012,.016,.015,.014,.009,.019,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.008,.010,.010,.014,.020,.016,.010,.005,.002,.002,.002,.003,P,.005,.005,.006,.008,.008,.009,.008,.009,.009,.008,.008,.020,05
,OTAY MESA DVN,.006,.010,C,C,.003,.011,.014,.008,.007,.003,.001,.001,P,.002,.002,.002,.003,.004,.006,.004,.015,.010,.008,.010,.006,.015,20
,PENDLETON,.005,.005,C,C,.007,.009,.010,.006,.006,.004,.004,.003,.004,P,.003,.001,.002,.002,.003,.004,.021,.016,.012,.006,.006,.021,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.000,P,.001,.000,.001,.000,.000,.000,.000,.000,.001,.000,.000,.000,.001,.001,.000,.001,.000,.001,05
,CARMEL MT RCH,.004,.007,C,C,C,.002,.001,.001,.003,.000,.001,.001,.001,.003,.005,.007,.007,.007,.004,.002,.001,.005,.002,.001,.003,.007,01
,CHULA VISTA,.001,.001,C,C,.002,.004,.033,.034,.012,.005,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.004,.006,.005,.006,.034,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.001,C,C,C,.017,.033,.042,.027,.002,.002,.001,.000,M,M,.001,.001,.000,.000,.000,.000,.001,.001,.001,.007,.042,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,.000,.000,.001,.006,.003,.004,.001,.000,.000,.000,.001,P,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.006,05
,OTAY MESA DVN,.000,.000,C,C,.000,.002,.005,.003,.002,.001,.000,.001,P,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,06
,PENDLETON,.000,.001,C,C,.000,.001,.004,.002,.003,.001,.001,.001,.002,P,.001,.000,.000,.000,.000,.000,.001,.001,.001,.000,.001,.004,06
06 CO PPM,CARMEL MT RCH,.4,.4,C,C,C,.2,.2,.1,.2,.1,C,.1,.1,.2,.2,.3,.3,.5,.4,.3,.2,.6,.5,.3,.3,.6,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,25,25,24,24,P,24,25,24,25,24,24,25,25,25,25,25,26,26,26,26,26,25,26,19
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,24,25,25,25,24,25,25,25,26,25,26,26,26,25,26,00
,CHULA VISTA,27,27,27,27,27,26,26,26,27,27,P,26,26,26,26,26,26,26,26,26,27,27,27,27,26,27,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,27,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,24,24,24,25,25,26,25,24,24,P,24,24,25,25,25,26,26,26,26,26,25,26,09
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,27,P,M,26,26,25,24,24,25,25,26,26,26,26,27,00
,PENDLETON,25,25,25,25,25,25,24,24,24,25,25,24,24,P,24,24,24,25,25,25,26,26,26,25,25,26,20
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,4.4,1.8,3.8,1.3,-1.3,.3,.1,-.5,.3,5.2,4.7,2.5,-2.2,-4.1,-.8,-.4,-3.0,-1.2,1.9,4.2,2.9,2.1,.6,-.6,.9,5.2,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,6.7,5.1,5.6,4.5,3.3,7.1,7.6,14.1,11.0,6.6,4.0,2.1,3.0,3.3,M,3.2,1.4,3.4,10.2,5.3,4.9,7.1,5.5,5.2,5.6,14.1,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,17.6,16.4,12.2,8.7,15.4,10.4,7.0,10.6,9.5,5.4,3.9,4.3,1.9,.7,3.5,5.0,4.8,3.6,3.1,3.2,6.8,6.7,10.0,10.1,7.5,17.6,00
,PENDLETON,5.2,6.8,8.2,8.8,5.1,1.5,1.7,.0,.8,.2,-1.8,-.3,1.9,1.8,2.4,1.9,.7,.3,.0,4.9,5.8,2.1,-1.7,-.1,2.3,8.8,03
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,96,24,329,281,216,81,74,P,84,76,89,130,175,327,353,6,82,85,83,67,315,342,37,24,147,353,14
,CHULA VISTA,102,85,74,48,89,76,77,7,359,240,P,275,287,277,280,300,303,331,347,355,120,128,100,112,190,359,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,88,112,243,109,153,183,107,287,313,304,344,353,343,326,255,246,275,280,110,106,115,120,93,215,212,353,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,53,55,62,59,42,10,54,70,96,94,113,39,290,P,279,282,290,287,320,24,60,83,347,49,133,347,22
,OTAY MESA DVN,117,57,66,33,80,60,37,22,348,312,268,116,P,134,147,141,195,282,100,99,3,31,98,48,121,348,08
,PENDLETON,39,49,59,60,51,58,58,43,45,44,40,36,319,P,310,307,317,318,301,185,61,33,61,29,123,319,12
13 SIGTHETA °,ALPINE,33,22,36,48,71,80,49,56,77,43,68,22,51,60,36,46,38,32,31,57,66,53,54,51,49,80,05
,CHULA VISTA,29,35,32,40,35,43,36,22,28,53,29,26,24,21,21,21,18,18,18,35,17,27,28,23,28,53,09
