,EL CAJON LES,.009,.007,C,C,C,.013,.014,.006,.004,.006,.003,.006,M,.002,.003,.002,.004,.003,.003,.005,.007,.008,.006,.004,.006,.014,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,.010,C,C,.017,.021,.017,.013,.014,M,.007,.008,.003,.006,.006,.006,.004,.004,.005,.005,.006,.006,.006,.005,.009,.021,05
,OTAY MESA DVN,.008,.005,C,C,.006,.024,.035,.008,.019,.008,.012,.008,.004,M,.002,.002,.001,.001,.001,.002,.002,.003,.003,.004,.008,.035,06
,PENDLETON,.005,.006,C,C,.010,.013,.012,.013,.005,.008,.005,.005,.004,.002,.004,.003,.000,.001,.001,.008,.017,.013,.013,.008,.007,.017,20
03 NO2 PPM,ALPINE,.004,.003,C,C,.005,.005,.003,.004,.004,.003,.002,.002,.003,.003,.001,.004,.002,.003,.004,.002,.002,.002,.002,.002,.003,.005,04
,CARMEL MT RCH,.012,.011,C,C,C,.008,.010,.008,.006,.004,.002,.019,.013,.011,.009,.016,.009,.012,.010,.010,.012,.010,.011,.007,.010,.019,11
,CHULA VISTA,.012,.009,C,C,.011,.012,.021,.024,.025,M,M,M,M,M,M,.003,.002,.003,.004,.006,.010,.006,.004,.002,.010,.025,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.008,.007,C,C,C,.012,.010,.006,.004,.004,.002,.005,M,.002,.003,.002,.003,.003,.003,.005,.007,.007,.005,.004,.005,.012,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.009,C,C,.016,.019,.016,.012,.012,M,.005,.006,.003,.005,.005,.004,.003,.004,.005,.005,.006,.006,.006,.005,.008,.019,05
,OTAY MESA DVN,.008,.005,C,C,.006,.019,.022,.007,.016,.006,.009,.006,.003,M,.002,.001,.001,.001,.001,.002,.002,.002,.003,.003,.006,.022,06
,PENDLETON,.005,.006,C,C,.009,.011,.010,.010,.004,.006,.004,.005,.004,.002,.003,.002,.000,.001,.001,.008,.017,.014,.012,.008,.006,.017,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.000,.000,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.002,.001,C,C,C,.001,.001,.002,.001,.001,.001,.015,.009,.008,.004,.012,.008,.008,.006,.005,.007,.005,.003,.002,.005,.015,11
,CHULA VISTA,.001,.001,C,C,.002,.001,.005,.007,.013,M,M,M,M,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.013,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.000,C,C,C,.001,.004,.000,.000,.002,.000,.001,M,.000,.000,.000,.001,.000,.000,.000,.000,.001,.000,.000,.001,.004,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.001,.001,.001,.001,M,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,10
,OTAY MESA DVN,.000,.000,C,C,.000,.005,.014,.001,.003,.001,.002,.001,.001,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.014,06
,PENDLETON,.000,.000,C,C,.001,.002,.002,.003,.001,.002,.001,.001,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.001,.000,.001,.003,07
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.2,.2,.2,.2,.2,.1,.4,.3,.3,.2,.5,.4,.5,.4,.4,.4,.3,.4,.3,.3,.5,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,26,26,26,25,25,24,25,25,25,26,26,26,26,26,26,25,26,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,25,25,26,26,25,25,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,27,27,27,27,27,27,27,27,26,25,26,26,26,26,26,26,26,26,26,26,27,27,27,27,26,27,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,26,25,25,25,24,24,25,26,26,25,25,25,26,25,26,26,25,25,26,07
,OTAY MESA DVN,26,26,26,26,27,27,27,27,26,25,26,27,26,27,27,27,26,26,27,27,27,27,27,27,27,27,04
,PENDLETON,25,25,25,25,25,25,25,25,25,24,24,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,8.2,9.0,8.8,10.8,8.9,8.7,8.3,5.2,3.1,3.6,2.8,3.5,2.1,2.5,3.1,1.5,1.3,3.3,3.9,2.4,1.9,1.7,5.0,3.7,4.7,10.8,03
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,10.0,13.6,14.3,15.2,11.5,11.1,12.0,8.9,9.6,5.4,12.0,15.5,5.2,3.7,2.2,3.8,6.5,5.4,2.8,4.5,5.6,5.3,8.3,6.9,8.3,15.5,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,15.8,12.9,13.9,12.6,12.5,28.8,21.4,9.3,13.1,11.0,17.9,15.5,3.5,4.6,6.3,4.3,1.3,.2,1.6,.1,7.3,6.6,9.0,6.3,9.8,28.8,05
,PENDLETON,5.8,7.6,7.1,5.2,3.9,6.7,13.9,8.9,4.6,3.2,1.2,1.1,2.0,.3,-1.0,-2.2,-2.3,2.8,4.3,1.6,-1.5,-2.0,.6,4.5,3.1,13.9,06
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,321,329,108,294,26,322,293,117,269,127,310,269,228,247,322,178,189,168,212,296,291,274,235,255,237,329,01
,CHULA VISTA,97,98,85,72,91,84,324,201,147,157,241,228,228,235,286,281,275,272,295,312,319,282,259,285,215,324,06
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,120,104,155,21,21,103,174,101,76,1,88,201,217,286,275,160,238,265,281,294,244,214,182,204,168,294,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,56,73,73,53,89,83,124,144,90,89,153,196,236,298,179,226,266,277,288,286,269,237,243,241,178,298,13
,OTAY MESA DVN,46,106,128,55,131,139,121,139,164,176,205,243,233,231,258,315,292,303,294,318,351,19,95,91,186,351,20
,PENDLETON,88,71,60,63,70,67,54,76,182,198,216,194,181,201,230,223,219,254,300,321,349,357,44,79,171,357,21
13 SIGTHETA °,ALPINE,36,27,52,32,51,29,42,60,35,47,42,43,30,29,27,25,49,20,36,23,22,22,24,24,34,60,07
,CHULA VISTA,22,17,20,41,19,21,43,40,27,33,27,23,23,22,19,30,22,33,23,19,35,39,18,17,26,43,06
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,31,41,62,25,63,53,36,17,30,22,68,48,30,23,25,31,21,16,18,21,16,15,21,30,32,68,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,36,9,7,8,7,8,11,11,18,24,33,22,24,23,19,21,11,11,9,6,10,8,8,13,15,36,00
,OTAY MESA DVN,16,9,29,37,13,10,29,15,12,24,33,30,15,17,17,14,13,14,28,18,12,38,25,44,21,44,23
,PENDLETON,10,13,10,11,12,12,12,20,19,19,13,17,23,17,13,12,12,13,15,13,12,16,11,15,14,23,12
14 VWSP MPH,ALPINE,.7,.8,.8,.7,.0,.9,.3,.7,.6,.5,1.5,2.0,3.3,4.7,5.1,2.6,2.5,3.3,.3,3.9,2.4,2.3,2.7,4.4,2.0,5.1,14
,CHULA VISTA,1.5,2.3,2.5,.6,2.1,1.5,.5,1.3,1.4,2.1,3.8,7.2,7.7,9.0,8.6,4.0,5.3,2.8,5.0,3.0,1.0,1.3,1.3,2.7,3.3,9.0,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.9,1.8,.5,.7,.0,.2,.8,3.0,.9,3.8,.4,2.4,5.6,8.0,6.9,3.2,6.0,5.4,5.1,2.3,2.1,2.4,3.1,1.5,2.8,8.0,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.2,3.0,2.6,3.0,2.0,2.4,5.1,6.3,3.9,4.9,4.4,7.3,7.8,6.7,5.8,7.5,9.4,6.2,4.9,4.9,3.5,3.7,3.8,3.5,4.8,9.4,16
,OTAY MESA DVN,2.6,4.4,2.5,.7,2.6,3.1,1.6,4.5,3.6,4.3,3.9,6.1,9.6,10.4,11.8,9.7,8.8,5.6,2.3,3.8,2.8,.9,.9,1.0,4.5,11.8,14
,PENDLETON,4.6,4.5,4.2,4.3,3.8,4.1,3.8,3.4,6.0,6.2,9.2,7.6,8.3,6.8,10.8,8.3,8.8,8.8,6.3,5.6,3.4,2.6,3.5,2.8,5.7,10.8,14
15 SWSP MPH,ALPINE,2.2,1.2,1.0,1.2,.1,1.1,.6,1.5,1.4,1.5,2.3,2.5,4.3,7.2,5.7,3.1,3.6,3.5,2.1,4.2,2.6,2.5,3.0,4.9,2.6,7.2,13
,CHULA VISTA,1.6,2.4,2.6,.9,2.2,1.6,1.1,1.5,1.7,2.8,4.3,7.9,8.4,9.7,9.5,4.6,5.7,3.1,5.4,3.2,1.1,1.4,1.4,2.8,3.6,9.7,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.7,2.1,1.7,1.5,.0,.3,2.0,3.2,1.7,4.2,2.4,3.8,6.3,10.0,7.7,4.7,6.5,5.6,5.4,2.5,2.4,2.6,3.2,1.9,3.5,10.0,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.1,3.0,2.7,3.0,2.0,2.5,5.4,6.5,4.3,5.4,5.3,7.8,11.0,7.5,6.2,8.5,9.6,6.4,5.0,4.9,3.7,3.8,3.9,3.6,5.2,11.0,12
,OTAY MESA DVN,3.0,4.5,3.9,1.6,2.6,3.2,2.3,4.7,3.7,4.8,5.3,6.8,10.1,11.2,13.2,10.0,9.0,5.9,2.6,4.1,3.0,1.0,1.0,1.5,5.0,13.2,14
,PENDLETON,4.7,4.6,4.3,4.4,3.9,4.2,3.9,3.6,6.3,6.5,9.5,7.9,10.2,7.7,11.1,8.4,8.9,9.2,6.7,5.7,3.5,2.7,3.6,3.0,6.0,11.1,14
16 AMBTEMP °F,ALPINE,49.2,49.7,49.2,49.6,49.8,50.3,50.8,51.3,52.0,52.9,55.7,56.6,57.4,57.7,52.7,50.4,53.0,50.3,49.9,49.6,48.7,48.7,48.5,48.6,51.4,57.7,13
,CARMEL MT RCH,54.3,54.3,53.6,54.6,55.2,55.4,55.4,55.6,55.8,57.4,61.8,63.1,63.2,54.4,56.2,60.4,58.1,56.6,55.0,54.6,54.2,54.2,53.0,53.3,56.2,63.2,12
,CHULA VISTA,55.2,55.4,55.8,56.0,56.8,57.3,57.2,57.2,58.3,61.6,61.8,64.2,64.9,65.7,59.7,57.0,59.1,58.8,58.2,56.9,55.8,55.8,55.4,55.9,58.3,65.7,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,51.7,51.8,52.9,53.7,53.7,54.1,54.7,55.9,56.4,58.5,60.8,62.6,64.2,63.4,57.7,56.2,59.6,57.9,57.0,55.8,54.8,54.5,53.6,53.3,56.5,64.2,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,53.0,53.2,54.4,54.6,55.4,56.3,56.9,57.3,56.6,59.8,63.0,63.3,62.3,55.6,56.6,60.8,59.4,57.8,56.1,55.0,55.0,55.7,55.6,54.9,57.0,63.3,11
,OTAY MESA DVN,53.4,53.7,55.1,54.6,55.8,55.3,55.5,57.4,57.8,59.6,62.3,63.3,63.4,64.8,62.7,57.8,57.9,56.9,55.9,55.4,54.3,54.2,53.2,53.0,57.2,64.8,13
,PENDLETON,57.2,57.1,56.4,56.3,56.7,57.0,57.0,58.3,60.7,61.9,62.8,61.2,58.3,61.1,62.3,60.7,59.6,60.0,58.9,57.8,56.4,56.0,54.4,53.4,58.4,62.8,10
17 RELHUM %,ALPINE,96,98,98,95,94,89,87,77,75,77,68,68,67,68,75,88,76,85,90,96,97,96,97,98,86,98,01
,EL CAJON LES,90,91,89,87,87,87,85,80,79,74,66,65,62,58,73,80,70,79,80,83,86,88,90,90,80,91,01
,KEARNY MESA,91,92,91,92,90,87,85,71,82,76,68,69,70,86,82,69,77,86,89,91,91,89,89,89,83,92,01
18 PRES mmHg,KEARNY MESA,747,747,747,747,747,747,748,748,749,749,749,748,748,748,748,748,748,748,749,749,749,750,750,750,748,750,21
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,0,26,33,134,430,701,610,515,121,320,494,124,60,0,0,1,0,0,0,149,701,10
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,295.2,282.6,C,C,C,368.7,371.4,291.4,256.5,262.4,228.1,270.1,M,209.4,231.5,216.5,248.9,200.5,206.5,237.4,255.7,268.5,257.4,234.2,259.6,371.4,06
