Current Date:,3/31/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/30/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.046,.044,C,C,.051,.054,.046,.049,.050,.053,.057,.059,.064,.065,.065,.067,.066,.063,.059,.056,.056,.047,.049,.056,.055,.067,15
,CHULA VISTA,.014,.019,C,C,.019,.014,.015,.017,.028,.038,.044,.052,.057,.063,.063,.063,.063,.062,.058,.052,.043,.038,.022,.012,.038,.063,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.027,.026,C,C,C,.003,.007,.014,.026,.043,.051,.059,.061,.064,.067,.066,.067,.063,.058,.053,.045,.035,.030,.020,.042,.067,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.028,.028,C,C,.020,.016,.014,.025,.044,.048,.047,.052,.059,.063,.062,.065,.064,.062,.057,.057,.041,.043,.041,.037,.044,.065,15
,OTAY MESA DVN,.031,.022,C,C,.025,.027,.019,.017,.034,.037,.044,.046,.053,.057,.061,.059,.057,.053,.052,.050,.039,.026,.029,.043,.040,.061,14
,PENDLETON,.023,.019,C,C,.014,.012,.012,.021,.033,.040,.040,.044,.046,.047,.046,.053,.063,.057,.051,.042,.035,.032,.030,.032,.036,.063,16
02 NOX PPM,ALPINE,.004,.003,C,C,.002,.002,.004,.003,.002,.003,.003,.003,.003,.003,.003,.003,.003,.003,.006,.005,.005,.006,.004,.002,.003,.006,18
,CARMEL MT RCH,.022,.031,C,C,C,.016,.040,.057,.038,.024,.020,.022,.018,.018,.016,.018,.019,.020,.020,.017,.033,.017,.034,.027,.025,.057,07
,CHULA VISTA,.021,.015,C,C,.012,.016,.017,.025,.020,.020,.012,.007,.009,.008,.009,.009,.009,.008,.010,.013,.018,.016,.023,.029,.015,.029,23
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.003,C,C,C,.021,.027,.026,.019,.008,.006,.004,.003,.002,.003,.003,.003,.005,.007,.009,.010,.009,.009,.015,.009,.027,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.007,C,C,.011,.012,.015,.011,.006,.006,.005,.005,.003,.004,.005,.005,.005,.006,.006,.008,.013,.010,.010,.011,.008,.015,06
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.005,.007,C,C,.008,.008,.011,.010,.006,.004,.005,.004,.004,.007,.014,.009,.005,.007,.005,.008,.012,.012,.012,.011,.008,.014,14
03 NO2 PPM,ALPINE,.004,.003,C,C,.002,.002,.003,.003,.002,.002,.002,.003,.003,.003,.003,.002,.002,.003,.006,.005,.005,.006,.004,.002,.003,.006,18
,CARMEL MT RCH,.020,.027,C,C,C,.013,.021,.024,.021,.014,.012,.013,.011,.012,.011,.013,.014,.016,.016,.016,.031,.017,.029,.024,.018,.031,20
,CHULA VISTA,.020,.014,C,C,.011,.014,.013,.016,.013,.014,.008,.005,.007,.006,.007,.007,.007,.007,.009,.012,.016,.015,.022,.027,.012,.027,23
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,.004,C,C,C,.016,.016,.014,.013,.007,.005,.004,.003,.003,.003,.003,.004,.005,.008,.009,.011,.010,.010,.015,.008,.016,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.007,C,C,.011,.011,.012,.008,.005,.005,.004,.004,.003,.003,.004,.004,.005,.005,.006,.007,.013,.010,.009,.011,.007,.013,20
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.005,.007,C,C,.007,.008,.008,.007,.004,.003,.004,.003,.003,.006,.011,.007,.004,.007,.005,.008,.011,.012,.012,.011,.007,.012,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.003,.004,C,C,C,.003,.019,.033,.017,.010,.008,.008,.007,.006,.005,.005,.004,.004,.004,.001,.002,.000,.004,.002,.007,.033,07
,CHULA VISTA,.001,.001,C,C,.001,.002,.004,.009,.006,.006,.003,.002,.002,.002,.002,.002,.001,.001,.001,.001,.002,.001,.001,.001,.002,.009,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,-.001,-.001,C,C,C,.006,.011,.012,.006,.001,.000,.000,.000,-.001,-.001,.000,.000,-.001,.000,-.001,-.001,-.001,-.001,.000,.001,.012,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.003,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,06
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.000,.000,C,C,.001,.001,.003,.003,.001,.001,.001,.001,.001,.001,.003,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,06
