Current Date:,4/1/2019,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
3/31/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.051,.051,.052,.053,.053,.053,.054,.057,.06,.062,.064,.065,.065,.065,.066,.065,.063,.061,.059,.057,.057,.056,.053,.05,0.058,0.066,14
,CHULA VISTA,.025,.029,.031,.033,.037,.041,.047,.053,.057,.06,.063,.065,.065,.061,.055,.05,.044,.039,.034,.03,.027,.025,.022,.02,0.042,0.065,11
,EL CAJON LES,,,.018,.024,.028,.036,.044,.053,.06,.066,.07,.071,.07,.068,.065,.059,.053,.047,.041,.037,.035,,,,0.049,0.071,11
,KEARNY MESA,.031,.032,.035,.037,.041,.045,.05,.056,.062,.066,.068,.069,.067,.064,.061,.057,.054,.05,.047,.045,.044,.042,.038,.032,0.049,0.069,11
,OTAY MESA DVN,.031,.034,.035,.037,.039,.043,.048,.052,.055,.057,.059,.06,.059,.058,.054,.051,.047,.044,.041,.039,.037,.035,.035,.035,0.045,0.06,11
,PENDLETON,.027,.028,.028,.03,.032,.036,.04,.044,.048,.051,.053,.055,.056,.055,.053,.05,.048,.044,.043,.041,.039,.034,.03,.027,0.041,0.056,12
