Current Date:,11/6/2020,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
11/5/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.047,.046,.044,.044,.045,.045,.045,.046,.047,.046,.045,.044,.043,.041,.039,.038,.036,.036,.037,.038,.038,.037,.037,.037,0.041,0.047,00
,CHULA VISTA,.016,.014,.015,.017,.02,.022,.025,.029,.033,.036,.036,.034,.031,.029,.028,.026,.023,.021,.02,.02,.022,.017,.012,.009,0.023,0.036,09
,DOWNTOWN SES,.009,.009,.009,.009,.011,.014,.018,.022,.026,.027,.027,.029,.027,.025,.024,.024,.023,.023,.024,.025,.027,.022,.018,.012,0.02,0.029,11
,EL CAJON LES,,,,.009,.014,.018,.025,.03,.035,.038,.04,.04,.037,.032,.028,.026,.023,.021,.019,.018,.019,,,,0.026,0.04,10
,KEARNY MESA,.026,.023,.019,.021,.023,.025,.028,.032,.035,.037,.038,.035,.03,.024,.02,.016,.017,.015,.014,.015,.016,.017,.015,.012,0.023,0.038,10
,OTAY MESA DVN,,,,,,.035,.037,.038,.041,.044,.043,.038,.033,.027,.023,.021,.017,.013,.009,.009,.01,.01,.008,,0.025,0.044,09
,PENDLETON,.014,.014,.015,.018,.02,.023,.024,.026,.03,.03,.028,.024,.019,.015,.015,.015,.014,.015,.016,.018,.021,.022,.019,.014,0.019,0.03,08
