Current Date:,11/18/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/17/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.046,.044,C,C,.045,.044,.039,.035,.037,.044,.045,.044,.047,.052,.054,.047,.042,.041,.040,.039,.041,.042,.037,.036,.042,.054,14
,CHULA VISTA,.020,.011,C,C,.020,.012,.011,.007,.010,.030,.038,.041,.042,.049,.054,.053,.049,.035,.036,.028,.009,.006,.015,.023,.027,.054,14
,DOWNTOWN SES,.007,.013,C,C,.014,.011,.008,.005,.006,.014,.021,.029,.039,.042,.047,.053,.046,.039,.032,.011,.016,.021,.043,.022,.024,.053,15
,EL CAJON LES,.002,.001,C,C,C,.001,.002,.005,.011,.024,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.006,.024,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.031,.026,C,C,.026,.012,.007,.010,.023,.030,.041,.048,.047,.049,.051,.053,.048,.041,.026,.019,.022,.020,.024,.015,.030,.053,15
,OTAY MESA DVN,.016,.021,C,C,.019,.018,.015,.020,.026,.033,.032,M,M,.050,.052,.053,.051,.042,,.017,.034,.038,.037,.033,.031,.053,15
,PENDLETON,.020,.022,C,C,.024,.018,.015,.017,.022,.029,.030,.035,.043,.037,.040,.047,.055,.053,.052,.031,.030,.018,.020,.028,.031,.055,16
02 NOX PPM,ALPINE,.002,.002,C,C,.001,.002,.005,.006,.007,.003,.003,.002,.004,.005,.006,.010,.007,.013,.011,.006,.006,.006,.003,.006,.005,.013,17
,CARMEL MT RCH,.046,.035,C,C,.064,.074,.080,.048,.104,.031,.008,.037,.037,.037,.034,.040,.047,.054,.039,.044,.038,.038,.026,.031,.045,.104,08
,CHULA VISTA,.013,.019,C,C,.011,.021,.026,.059,.053,.017,.015,.019,.021,.015,.013,.011,.014,.022,.017,.019,.037,.048,.032,.019,.024,.059,07
,DOWNTOWN SES,.034,.022,C,C,.017,.022,.040,.080,.099,.075,.050,.037,.024,.022,.021,.013,.021,.017,.019,.036,.030,.021,.009,.016,.033,.099,08
,EL CAJON LES,.035,.035,C,C,C,.039,.045,.054,.045,.024,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.040,.054,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.011,C,C,.012,.027,.049,.059,.026,.028,.014,.009,.015,.010,.015,.013,.016,.022,.033,.035,.030,.028,.019,.027,.023,.059,07
,OTAY MESA DVN,.023,.017,C,C,.019,.024,.029,.022,.010,.009,.024,M,M,.021,.015,.013,.009,.014,,.038,.020,.016,.011,.009,.018,.038,19
,PENDLETON,.016,.013,C,C,.009,.013,.018,.020,.020,.012,.014,.009,.005,.033,.028,.018,.003,.003,.004,.014,.012,.024,.025,.013,.015,.033,13
03 NO2 PPM,ALPINE,.002,.002,C,C,.001,.002,.004,.005,.006,.002,.003,.002,.003,.004,.005,.009,.007,.012,.009,.006,.006,.006,.003,.006,.005,.012,17
,CARMEL MT RCH,.035,.028,C,C,.036,.035,.035,.028,.039,.018,.006,.021,.022,.023,.022,.027,.035,.039,.033,.040,.035,.033,.024,.028,.029,.040,19
,CHULA VISTA,.013,.019,C,C,.011,.020,.021,.031,.028,.013,.012,.015,.017,.013,.011,.010,.014,.022,.017,.019,.033,.040,.030,.019,.019,.040,21
,DOWNTOWN SES,.027,.020,C,C,.017,.021,.026,.032,.035,.038,.031,.025,.019,.017,.018,.012,.021,.017,.019,.034,.029,.021,.009,.016,.023,.038,09
,EL CAJON LES,.027,.026,C,C,C,.021,.022,.024,.025,.017,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.023,.027,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,.011,C,C,.012,.026,.032,.030,.019,.020,.011,.008,.012,.008,.013,.013,.016,.022,.031,.035,.030,.027,.019,.026,.020,.035,19
,OTAY MESA DVN,.020,.015,C,C,.013,.016,.020,.016,.008,.007,.017,M,M,.018,.013,.012,.009,.013,,.036,.016,.016,.011,.009,.015,.036,19
,PENDLETON,.014,.012,C,C,.008,.012,.015,.014,.013,.009,.008,.006,.005,.016,.015,.011,.003,.003,.004,.014,.012,.022,.022,.013,.011,.022,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,.001,.000,.000,.000,.001,.000,.000,.001,.000,.001,.001,.000,.000,.000,.000,.001,.000,.001,06
,CARMEL MT RCH,.011,.007,C,C,.028,.039,.045,.020,.064,.013,.002,.016,.015,.014,.012,.013,.012,.015,.007,.004,.002,.006,.001,.003,.016,.064,08
,CHULA VISTA,.000,.000,C,C,.000,.001,.005,.028,.026,.004,.003,.004,.005,.002,.001,.001,.000,.000,.000,.000,.005,.007,.002,.000,.004,.028,07
,DOWNTOWN SES,.007,.001,C,C,.000,.002,.014,.048,.064,.037,.019,.012,.005,.004,.003,.001,.000,.000,.000,.002,.001,.000,.000,.000,.010,.064,08
,EL CAJON LES,.008,.008,C,C,C,.018,.023,.030,.020,.008,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.016,.030,07
