Current Date:,3/21/2021,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
3/20/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.021,.021,.023,.024,.026,.029,.032,.035,.038,.042,.044,.045,.045,.044,.043,.041,.039,.038,.036,.036,.037,.038,.04,.042,0.035,0.045,11
,CHULA VISTA,.024,.024,.024,.025,.027,.029,.033,.036,.039,.041,.043,.044,.045,.044,.04,.037,.034,.031,.029,.027,.024,.021,.021,.02,0.031,0.045,12
,DOWNTOWN SES,.025,.024,.023,.024,.025,.027,.031,.034,.037,.039,.042,.044,.045,.044,.042,.039,.036,.033,.032,.03,.025,.021,.019,.018,0.031,0.045,12
,EL CAJON LES,,,,.023,.025,.027,.031,.035,.039,.042,.044,.045,.044,.043,.041,.037,.033,.029,.026,.024,,,,,0.034,0.045,11
,KEARNY MESA,.022,.022,.022,.024,.026,.028,.032,.036,.039,.042,.043,.044,.044,.042,.039,.036,.034,.031,.03,.028,.025,.023,.022,.02,0.031,0.044,11
,OTAY MESA DVN,.016,.016,.016,.018,.02,.024,.028,.032,.036,.039,.041,.043,.043,.042,.04,.038,.036,.034,.033,.032,.029,.027,.024,.022,0.03,0.043,11
,PENDLETON,.027,.028,.029,.03,.03,.032,.034,.036,.038,.04,.042,.043,.044,.044,.04,.037,.035,.032,.03,.028,.023,.02,.019,.018,0.032,0.044,12
