,KEARNY MESA,.008,.009,C,C,.006,.007,.013,.026,.009,.003,.002,.001,.001,.004,.006,.007,.006,.005,.011,.030,.021,.017,.007,.006,.009,.030,19
,OTAY MESA DVN,.002,.002,C,C,.003,.005,.006,.010,.002,.003,.005,.005,.004,.006,.007,.005,.006,.005,.007,.008,.010,.006,.007,.005,.005,.010,07
,PENDLETON,,,,<,<,<,.010,.011,.036,M,.008,.004,.001,.003,.004,.003,.002,.002,.011,.033,.040,.013,.010,.011,.012,.040,20
03 NO2 PPM,ALPINE,.003,.002,C,C,.001,.003,.004,.005,.006,.003,.009,.003,.004,.002,.003,.001,.002,.007,.008,.006,.004,.004,.004,.002,.004,.009,10
,CARMEL MT RCH,.008,.015,C,C,.026,.026,.040,.041,.020,.008,.009,.009,.013,.004,.013,.015,.015,.017,.019,.022,.017,.040,.037,.020,.020,.041,07
,CHULA VISTA,.009,.009,C,C,.003,.014,.029,.022,.019,.007,.002,.002,.001,.004,.005,.003,.005,.005,.007,.014,.035,.033,.018,.013,.012,.035,20
,DOWNTOWN SES,.030,.028,C,C,.008,.012,.017,.029,.018,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.020,.030,00
,EL CAJON LES,.018,.019,C,C,C,.020,.021,.021,.020,.016,.010,.002,.001,.000,.001,.004,.007,.008,.009,.014,.018,.019,.018,.018,.013,.021,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.009,C,C,.006,.008,.013,.019,.007,.003,.002,.001,.001,.003,.005,.006,.006,.005,.011,.029,.021,.017,.007,.007,.009,.029,19
,OTAY MESA DVN,.001,.001,C,C,.002,.004,.004,.007,.001,.002,.002,.003,.002,.003,.004,.004,.005,.005,.007,.008,.009,.006,.006,.005,.004,.009,20
,PENDLETON,,,,<,<,<,.010,.009,.016,M,.006,.004,.002,.003,.004,.003,.003,.002,.012,.033,.035,.014,.010,.010,.010,.035,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,.002,.002,.013,.005,.001,.003,.004,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.013,10
,CARMEL MT RCH,.000,.002,C,C,.003,.014,.031,.036,.011,.003,.005,.006,.008,.002,.008,.011,.009,.008,.008,.005,.000,.014,.007,.001,.009,.036,07
,CHULA VISTA,.000,.000,C,C,.000,.000,.006,.008,.009,.002,.001,.001,.000,.001,.001,.001,.001,.000,.000,.000,.001,.001,.000,.000,.002,.009,08
,DOWNTOWN SES,.003,.004,C,C,.000,.000,.002,.017,.007,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.005,.017,07
,EL CAJON LES,.001,.001,C,C,C,.010,.015,.020,.017,.009,.005,.001,.000,.000,.000,.001,.001,.000,.000,.000,.000,.001,.001,.001,.004,.020,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.006,.002,.000,.000,.000,.000,.001,.001,.001,.001,.000,.000,.001,.000,.000,.000,.000,.001,.006,07
,OTAY MESA DVN,.000,.000,C,C,.001,.002,.002,.003,.001,.002,.002,.002,.001,.003,.003,.001,.001,.001,.000,.001,.001,.000,.001,.000,.001,.003,07
,PENDLETON,,,,<,<,<,.001,.002,.020,M,.002,.000,-.001,.000,.000,.000,-.001,-.001,-.001,.000,.005,-.001,-.001,.001,.001,.020,08
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.7,1.0,.8,.4,.2,.2,.3,.4,.2,.5,.5,.6,.7,.5,.6,.3,.8,.8,.4,.5,1.0,06
10 INTMP °C,ALPINE,27,27,26,27,26,27,27,26,25,24,24,23,24,24,24,24,24,24,24,25,25,25,26,26,25,27,00
,CARMEL MT RCH,27,27,27,27,27,26,26,26,26,25,25,24,25,25,25,24,25,25,25,26,26,26,26,26,26,27,00
,CHULA VISTA,25,25,25,26,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,26,03
,DOWNTOWN SES,26,26,26,26,26,26,26,26,25,24,24,23,23,22,22,23,23,24,24,24,25,25,25,26,25,26,00
,EL CAJON LES,25,25,25,25,26,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,26,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,24,24,24,25,26,25,25,24,25,25,25,25,25,26,25,26,26,26,26,25,26,09
,OTAY MESA DVN,26,25,26,26,26,26,26,26,26,25,25,25,24,24,24,23,23,23,24,25,25,26,26,26,25,26,00
,PENDLETON,,,,<,<,<,24,24,25,25,24,23,24,24,24,24,24,25,25,25,25,26,25,26,25,26,21
11 PM2.5 µg/M3,ALPINE,3.3,2.8,-.9,-.5,.0,-1.8,-2.4,-.7,-1.6,-5.2,4.5,4.2,1.4,7.6,4.6,-1.2,-2.2,1.0,2.9,3.9,3.4,4.9,3.9,2.8,1.4,7.6,13
,DOWNTOWN SES,14.7,12.2,9.5,6.9,4.7,2.9,2.4,4.9,4.0,3.4,3.0,3.1,1.9,2.1,2.9,-.2,3.1,4.4,4.7,3.9,5.5,12.6,13.7,10.0,5.6,14.7,00
,EL CAJON LES,9.1,9.3,10.3,8.6,7.2,8.7,9.7,8.8,7.8,5.6,2.9,2.1,1.8,-.3,-1.2,3.7,7.2,4.6,4.9,6.1,5.7,9.4,9.8,15.8,6.5,15.8,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,5.3,-2.1,-1.3,-2.9,-1.4,3.6,6.0,13.3,24.6,16.7,39.4,14.5,10.3,13.8,12.7,6.8,-.9,.4,2.2,4.5,15.7,5.8,3.4,3.5,8.0,39.4,10
,PENDLETON,.5,1.5,.3,.2,.0,-1.9,-1.2,3.3,3.4,1.6,.8,-.6,-2.4,-1.7,-.1,2.2,3.4,2.2,1.5,3.0,2.8,2.0,1.7,1.9,1.0,3.4,08
12 VWDR °,ALPINE,21,16,265,121,75,355,316,348,303,314,92,103,101,141,335,342,331,326,52,291,314,313,297,8,0,355,05
,CHULA VISTA,57,75,86,98,87,57,67,26,0,105,132,118,107,194,255,256,270,257,263,120,90,84,44,58,0,270,16
,DOWNTOWN SES,45,24,40,38,39,39,36,96,59,252,276,252,287,237,252,277,289,296,314,353,68,21,328,12,0,353,19
,EL CAJON LES,126,190,240,136,117,232,123,38,266,339,316,345,51,91,162,222,270,287,242,128,111,105,98,78,0,345,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,51,53,56,70,62,60,65,87,116,154,115,89,128,249,243,279,306,304,288,54,40,49,59,52,0,306,16
,OTAY MESA DVN,132,131,119,116,124,106,119,119,95,102,111,119,118,123,123,303,300,288,351,52,42,20,25,27,0,351,18
,PENDLETON,,,,<,<,<,59,64,49,67,99,205,202,216,303,305,305,316,344,36,46,55,51,53,0,344,18
13 SIGTHETA °,ALPINE,39,43,63,48,54,35,59,50,41,44,50,57,65,44,46,31,27,30,38,51,41,52,42,77,47,77,23
,CHULA VISTA,41,40,28,10,11,40,23,17,20,40,18,22,42,33,19,18,20,17,22,13,14,48,24,36,26,48,21
,DOWNTOWN SES,76,65,47,35,10,13,48,37,76,47,17,30,21,24,22,14,21,19,21,26,36,22,51,63,35,76,00
,EL CAJON LES,62,64,70,48,58,43,35,76,46,45,38,54,50,47,43,27,19,18,24,35,47,28,66,48,45,76,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,7,7,7,6,7,9,14,15,37,53,42,M,54,19,13,11,9,9,54,12,5,8,8,18,54,13
,OTAY MESA DVN,20,16,13,10,12,9,11,18,13,14,14,13,13,17,15,23,16,16,20,30,46,14,27,26,18,46,20
,PENDLETON,<,<,<,<,<,<,11,10,14,18,43,16,16,20,19,15,16,14,17,46,13,12,11,10,18,46,19
14 VWSP MPH,ALPINE,1.4,1.2,.6,.4,.3,1.6,1.3,.2,1.5,1.5,2.8,3.6,1.7,4.0,3.9,4.3,4.1,2.1,1.1,1.7,2.2,.9,.7,.6,.0,4.3,15
,CHULA VISTA,1.3,2.2,1.3,3.8,7.5,2.2,2.2,2.7,2.9,2.7,9.0,9.2,4.5,2.7,7.7,7.0,5.7,4.8,2.3,1.8,1.4,1.1,2.7,1.8,.0,9.2,11
,DOWNTOWN SES,.5,1.2,1.4,3.1,6.2,5.5,3.5,1.1,.5,.8,4.7,3.9,6.2,5.9,5.7,7.0,5.6,5.6,3.3,1.7,.6,1.1,.4,.2,.0,7.0,15
,EL CAJON LES,.8,.4,.4,.3,.7,.5,.8,.2,.6,.6,2.2,2.2,2.2,1.9,4.4,5.2,6.2,3.5,2.0,.7,.8,1.1,.1,.1,.0,6.2,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.6,5.4,6.2,4.6,6.4,7.1,6.0,2.9,5.5,3.0,2.5,3.3,1.5,4.7,8.0,9.3,7.6,7.3,3.1,.2,2.8,4.8,4.5,4.5,.0,9.3,15
,OTAY MESA DVN,7.7,11.8,10.8,10.6,12.5,12.2,9.8,8.0,16.1,16.3,15.9,15.8,13.7,13.2,10.9,9.4,6.2,4.3,2.5,.6,1.0,4.6,3.0,3.7,.0,16.3,09
,PENDLETON,,,,<,<,<,8.1,9.6,7.0,4.7,.7,6.5,6.1,5.9,7.6,9.3,7.4,5.2,1.7,.3,3.5,4.9,6.3,6.3,.0,9.6,07
15 SWSP MPH,ALPINE,1.7,2.1,1.8,.7,.9,2.1,2.2,2.8,3.0,4.0,4.7,5.0,3.9,4.9,4.8,4.8,4.6,2.5,1.8,2.3,2.9,1.6,1.0,1.3,2.8,5.0,11
,CHULA VISTA,1.6,2.5,1.9,3.9,7.6,2.5,2.3,2.8,3.1,5.0,9.4,9.9,5.7,7.3,8.1,7.4,6.0,5.0,2.5,1.9,1.5,1.2,2.8,2.1,4.3,9.9,11
,DOWNTOWN SES,.7,1.6,2.2,3.4,6.3,5.6,4.5,1.5,1.7,2.5,4.9,4.4,6.6,6.6,6.6,7.3,6.2,6.1,3.7,1.9,.7,1.4,.7,1.2,3.7,7.3,15
,EL CAJON LES,1.1,1.4,.9,.5,.8,.6,1.0,.3,.7,1.1,2.7,3.5,3.3,3.3,5.0,6.8,6.6,3.9,2.6,.7,.8,1.1,.3,.2,2.1,6.8,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.7,5.5,6.3,4.7,6.5,7.2,6.1,3.0,5.9,3.9,3.9,4.5,4.7,6.3,8.5,10.2,7.7,7.4,3.1,.6,2.9,4.9,4.5,4.5,5.3,10.2,15
,OTAY MESA DVN,8.7,12.3,11.1,10.8,12.7,12.4,10.1,9.0,16.5,16.7,16.4,16.2,14.0,13.8,11.6,10.1,6.6,4.7,2.7,1.0,1.6,4.7,3.4,4.0,9.6,16.7,09
,PENDLETON,,,,<,<,<,8.3,9.8,7.3,5.2,5.0,6.7,6.4,6.4,8.0,9.6,7.7,5.4,1.8,.4,3.6,5.0,6.4,6.4,6.1,9.8,07
16 AMBTEMP °F,ALPINE,50.6,51.4,51.7,51.4,51.6,51.8,51.6,55.1,58.0,62.4,66.4,67.8,69.2,70.4,69.7,69.2,66.7,62.7,59.5,56.5,54.5,53.1,53.2,53.1,58.7,70.4,13
,CARMEL MT RCH,52.4,50.1,50.1,50.5,49.6,48.0,50.3,55.0,61.7,66.5,69.2,71.4,73.7,75.7,76.2,72.8,66.9,62.9,59.9,58.3,55.5,54.3,52.5,50.6,59.8,76.2,14
,CHULA VISTA,50.3,49.8,47.3,49.1,54.5,49.8,48.9,54.2,59.8,68.5,72.3,74.1,75.8,73.9,68.4,67.0,65.8,63.9,60.7,58.3,56.1,53.2,54.0,52.6,59.5,75.8,12
,DOWNTOWN SES,50.4,49.0,48.6,48.9,50.7,51.7,51.7,53.4,62.3,66.9,69.6,72.3,74.1,72.7,71.9,68.1,67.2,64.3,61.9,60.0,58.0,55.8,52.8,51.3,59.7,74.1,12
,EL CAJON LES,44.8,43.0,41.8,40.3,38.6,37.7,37.6,43.4,51.2,61.6,69.3,73.1,74.5,76.4,77.4,76.2,72.5,68.1,62.3,57.8,54.3,51.2,48.7,46.7,56.2,77.4,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,49.2,47.8,48.1,45.9,46.1,45.9,48.3,55.2,63.1,66.8,70.6,74.2,75.5,75.9,75.3,71.2,67.5,62.0,58.1,55.8,54.4,51.6,52.0,51.8,58.8,75.9,13
,OTAY MESA DVN,56.9,57.5,56.2,55.0,56.3,55.6,57.4,60.9,66.2,68.7,70.7,72.0,73.7,74.2,75.2,70.5,66.4,61.9,58.6,56.5,55.2,55.6,56.0,56.5,62.2,75.2,14
,PENDLETON,,,,<,<,<,50.2,52.9,62.7,68.5,70.9,67.8,68.0,67.7,67.6,66.0,65.5,62.8,61.0,59.0,56.6,54.4,52.1,51.4,61.4,70.9,10
17 RELHUM %,ALPINE,29,17,11,11,11,11,10,10,11,8,6,6,6,6,7,7,8,14,11,12,13,19,16,13,11,29,00
,EL CAJON LES,51,57,57,57,60,63,65,50,36,19,11,8,7,7,7,11,16,20,26,32,36,40,42,43,34,65,06
,KEARNY MESA,40,35,29,33,34,34,27,22,13,10,7,7,6,8,9,17,20,27,31,31,30,33,31,31,24,40,00
18 PRES mmHg,EL CAJON LES,754,754,754,754,754,754,754,754,754,754,754,753,752,751,751,750,750,750,751,751,751,751,750,750,752,754,00
,KEARNY MESA,755,755,755,755,755,755,755,755,755,755,755,754,753,753,752,752,752,752,752,752,752,752,751,751,753,755,00
19 SOLAR W/M2,EL CAJON LES,-4,-4,-4,-4,-4,-3,20,213,483,684,826,899,897,815,671,464,229,29,-7,-7,-5,-5,-5,-5,257,899,11
,KEARNY MESA,0,0,0,0,0,0,39,241,475,674,812,874,876,799,664,477,258,53,0,0,0,0,0,0,260,876,12
25 NOY,EL CAJON LES,21.16,22.91,24.51,21.82,22.77,C,C,48.66,45.58,29.20,17.90,3.91,2.06,1.72,1.84,6.35,10.29,10.40,10.98,15.21,21.00,21.57,20.24,23.53,18.34,48.66,07
26 NOY-NO,EL CAJON LES,20.13,22.04,22.48,20.44,20.57,C,C,22.75,23.04,17.99,12.27,2.96,1.77,1.56,1.64,5.41,9.12,9.96,10.76,15.15,20.52,20.65,19.61,21.99,14.67,23.04,08
27 NO Trace,EL CAJON LES,1.03,.87,2.02,1.38,2.19,C,C,25.90,22.54,11.21,5.62,.94,.28,.16,.19,.94,1.17,.43,.21,.05,.48,.92,.63,1.54,3.66,25.90,07
28 SO2 Tr PPB,EL CAJON LES,.1,.0,C,C,C,.1,.1,.2,.1,.1,.1,.0,.0,.0,.0,.1,.1,.1,.1,.1,.2,.1,.1,.1,.0,.2,07
29 CO Tr PPB,EL CAJON LES,489.6,473.6,C,C,C,418.9,508.1,588.1,602.3,454.0,356.9,159.3,141.3,135.5,135.9,191.0,258.8,301.0,307.0,360.0,429.9,421.3,440.6,439.0,362.4,602.3,08
BCarbon ug/m3,10TH AVE MARINE TERM,2.84,2.85,1.61,.97,.74,.52,1.18,1.39,1.52,1.33,2.11,.94,.78,.28,.46,.48,.18,.20,.24,.41,1.81,4.11,2.82,2.29,1.34,4.11,21
,ALPINE,.15,.09,.04,.04,.07,.08,.17,.10,.49,.52,.48,.25,.05,.13,.69,.06,.07,.23,.19,.31,.25,.17,.17,.11,.20,.69,14
,CHICANO PARK,1.59,1.19,.85,.48,.33,.53,.89,1.17,.71,1.13,.78,.47,.39,.30,.48,.41,.24,.28,.26,.53,.96,1.58,1.35,1.19,.75,1.59,00
,DOWNTOWN SES,1.71,1.45,.83,.57,.25,.27,.44,1.03,.71,.64,.75,.47,.45,.32,.37,.24,.23,.25,.32,.56,.87,1.69,1.34,1.24,.71,1.71,00
,OCEANVIEW BLVD,2.30,1.44,.92,.68,.46,.54,.51,1.04,.60,.24,.40,.55,.38,.33,.40,.47,.38,.33,.50,.86,.98,1.67,1.51,1.65,.80,2.30,00
,SAN YSIDRO,.706,.811,.676,.331,.318,.750,.833,.923,.332,.180,.225,.227,.164,.177,.153,.123,.175,.248,.395,.463,.491,.593,.720,.868,.453,.923,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
