Current Date:,4/1/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/31/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.052,.053,C,C,.055,.055,.057,.057,.057,.059,.060,.062,.062,.064,.065,.066,.064,.063,.063,.063,.063,.063,.061,.061,.060,.066,15
,CHULA VISTA,.017,.014,C,C,.005,.007,.019,.013,.021,.045,.056,.055,.060,.065,.066,.064,.064,.061,.055,.054,.049,.027,.010,.029,.038,.066,14
,DOWNTOWN SES,.027,.023,C,C,.007,.005,.006,.012,.035,.041,.040,.047,.053,.059,.066,.068,.069,.068,.057,.025,.020,.010,.013,.007,.034,.069,16
,EL CAJON LES,.016,.011,C,C,C,.002,.004,.008,.024,.039,.055,.062,.064,.063,.063,.070,.068,.063,.055,.044,.039,.025,.011,.017,.038,.070,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.017,.016,C,C,.016,.014,.016,.023,.041,.049,.054,.058,.058,.065,.070,.071,.069,.059,.050,.053,.049,.035,.034,.041,.043,.071,15
,OTAY MESA DVN,.016,.018,C,C,.029,.032,.029,.035,.042,.050,.054,.054,.055,.057,.059,.060,.060,.058,.059,.058,.052,.041,.042,.042,.045,.060,15
,PENDLETON,.026,.022,C,C,.012,.006,.008,.016,.015,.030,.036,.040,.031,.038,.047,.056,.059,.054,.034,.037,.045,.039,.039,.031,.032,.059,16
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.001,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.001,.001,.001,.001,.003,06
,CARMEL MT RCH,.022,.023,C,C,.055,.046,.072,.042,.008,.013,.018,.009,.012,.028,.024,.025,.004,.002,.002,.016,.030,.062,.041,.033,.027,.072,06
,CHULA VISTA,.012,.014,C,C,.016,.026,.023,.047,.034,.013,.003,.008,.005,.002,.004,.001,.002,.002,.005,.004,.007,.020,.038,.017,.014,.047,07
