,DOWNTOWN SES,17.9,C,C,13.8,14.4,17.2,18.4,22.7,27.3,24.1,24.2,20.0,24.7,15.7,16.9,17.6,19.3,27.5,11.6,19.5,28.9,15.8,13.2,19.3,19.5,28.9,20
,EL CAJON LES,11.2,C,C,C,12.7,13.4,12.8,11.0,6.3,3.2,3.2,2.4,1.6,<,<,<,<,<,<,<,<,<,<,<,7.7,13.4,05
,KEARNY MESA,4.0,C,C,4.7,5.5,5.2,5.7,3.4,2.4,2.3,2.3,2.0,2.2,2.4,2.6,2.5,2.5,2.7,3.3,5.4,5.2,4.0,10.6,10.8,4.1,10.8,23
,OTAY MESA DVN,45.4,C,C,3.8,5.2,8.8,12.4,11.1,26.8,9.5,3.0,2.0,1.6,1.5,1.6,2.0,2.4,3.0,3.7,10.0,8.3,8.3,7.9,30.4,9.4,45.4,00
,PENDLETON,2.8,C,C,5.5,9.9,9.8,13.6,5.5,4.5,5.3,8.1,7.3,4.4,1.8,3.7,4.8,5.6,2.9,1.9,1.4,2.8,3.7,9.4,7.4,5.5,13.6,06
,SAN YSIDRO,11.5,C,C,12.9,13.4,18.2,17.3,17.7,7.5,6.1,5.9,5.4,6.0,4.1,3.7,3.4,3.9,5.6,5.6,11.6,14.9,8.5,8.4,6.5,9.0,18.2,05
06 CO PPM,CARMEL MT RCH,M,M,M,M,C,C,M,M,M,M,C,C,M,M,M,M,C,C,M,M,M,M,C,C,,M,M
,SAN YSIDRO,.5,C,C,.6,.6,1.0,.9,.8,.4,.4,.4,.3,.3,.3,.3,.3,.3,.3,.3,.4,.6,.3,.3,.3,.5,1.0,05
07 H2S PPB,IB PIER,5.5,4.9,5.5,5.0,8.8,29.8,7.4,8.4,6.1,2.5,1.7,1.5,3.1,2.1,2.0,4.5,3.9,3.3,2.8,12.2,4.4,3.8,4.4,4.1,5.7,29.8,05
,INTRNTL WWTP,190.5,180.8,148.7,144.4,177.6,165.4,81.5,46.0,11.1,1.6,.0,.0,.0,.3,5.1,1.4,9.2,24.5,26.5,87.0,84.0,71.2,104.6,242.6,75.1,242.6,23
,SAN YSIDRO,10.6,69.9,41.2,36.4,38.3,20.5,11.7,11.5,20.7,2.7,.0,.0,.0,.0,.0,.0,2.9,10.8,11.5,6.7,106.0,61.2,47.4,14.3,21.8,106.0,20
,TJ RVR CMPGD,4.6,9.3,22.2,109.8,77.4,42.4,28.2,34.8,1.1,.0,.0,.0,.0,.0,.2,.0,2.7,6.3,9.6,9.5,9.7,13.3,7.8,5.2,16.4,109.8,03
10 INTMP °C,ALPINE,25,25,25,24,24,23,23,24,25,26,27,27,27,27,27,28,28,28,28,27,26,26,25,24,26,28,15
,CARMEL MT RCH,38,38,37,37,36,36,36,36,38,39,41,42,43,44,45,45,45,45,44,43,43,42,41,40,41,45,14
,CHULA VISTA,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,24,25,26,26,27,27,27,27,27,25,25,24,23,23,24,25,27,13
,EL CAJON LES,25,25,25,24,24,25,24,24,24,25,26,28,29,32,33,34,34,34,32,31,30,28,26,24,28,34,15
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,24,24,24,24,24,25,25,25,27,28,30,31,31,32,33,33,32,31,30,28,27,26,26,25,28,33,14
,PENDLETON,24,24,24,24,24,24,24,24,24,24,25,26,26,26,26,26,26,25,25,24,24,24,24,24,25,26,11
,SAN YSIDRO,26,26,26,27,25,24,25,25,24,24,23,23,23,22,22,22,22,22,23,24,24,26,25,26,24,27,03
11 PM2.5 µg/M3,ALPINE,5.7,6.8,9.4,9.4,8.7,8.0,7.3,6.1,6.4,6.0,7.4,7.2,7.4,7.7,9.2,10.6,14.1,11.1,11.6,11.3,10.3,9.4,9.3,7.9,8.6,14.1,16
,CARMEL MT RCH,15.8,16.2,16.0,15.9,14.8,14.0,13.9,14.1,15.0,13.1,14.0,13.5,11.7,12.9,13.7,12.8,13.3,17.5,19.2,18.7,17.6,17.3,17.7,19.9,15.3,19.9,23
,CHULA VISTA,20.7,20.2,20.7,20.7,20.6,20.6,22.2,28.0,25.4,23.2,20.3,19.6,18.9,18.9,19.7,17.0,16.2,15.3,14.8,16.1,17.2,18.2,18.7,17.8,19.6,28.0,07
,DOWNTOWN SES,13.7,14.0,15.1,14.7,15.0,15.6,15.7,15.9,15.2,14.8,15.2,15.0,15.4,16.8,17.5,18.3,16.6,16.1,18.4,18.6,15.5,12.1,11.3,12.8,15.3,18.6,19
,EL CAJON LES,18.7,18.3,18.1,16.4,16.3,17.3,17.8,16.2,13.3,9.3,10.5,11.3,10.0,<,<,<,<,<,<,<,<,<,<,<,14.8,18.7,00
,KEARNY MESA,13.9,14.5,14.9,15.6,15.5,15.4,15.4,16.5,15.2,14.1,14.2,15.1,15.9,15.5,17.0,17.6,20.0,22.5,20.0,17.0,13.8,11.1,14.4,17.4,15.9,22.5,17
,OTAY MESA DVN,57.3,41.0,24.2,18.2,20.3,17.4,18.3,21.9,35.1,20.3,15.1,12.9,12.4,13.3,10.5,14.2,16.3,17.3,17.3,21.8,21.2,28.5,25.4,43.0,22.6,57.3,00
,PENDLETON,12.5,14.2,13.6,15.9,16.6,17.7,17.1,18.6,20.1,14.9,11.6,14.3,16.2,15.1,15.8,15.0,12.2,10.0,10.2,8.7,10.4,10.8,9.4,17.7,14.1,20.1,08
,SAN YSIDRO,16.7,15.9,17.2,17.8,18.1,22.0,23.6,23.7,21.7,19.4,17.5,14.9,15.2,15.0,15.6,15.4,16.2,15.2,14.2,15.3,18.2,16.5,15.4,14.3,17.2,23.7,07
12 VWDR °,ALPINE,97,161,89,94,92,83,117,245,120,94,272,272,11,239,318,139,139,251,66,105,72,87,84,83,0,318,14
,CHULA VISTA,189,29,85,8,132,113,162,228,264,265,256,247,252,236,237,235,260,237,186,176,306,201,165,198,0,306,20
,DOWNTOWN SES,332,354,12,335,327,339,345,251,279,290,301,297,295,288,286,252,242,300,329,95,265,317,329,10,0,354,01
,EL CAJON LES,155,208,154,206,176,132,214,265,267,314,251,248,278,261,287,244,224,259,292,118,352,353,124,161,0,353,21
,KEARNY MESA,334,315,1,291,321,332,349,338,312,301,298,303,305,312,308,293,279,312,296,295,317,322,351,320,0,351,22
,OTAY MESA DVN,119,73,45,356,46,88,86,171,284,286,277,281,275,258,263,294,290,306,338,131,337,9,53,111,0,356,03
,PENDLETON,288,28,56,1,8,30,4,304,272,276,281,284,301,309,283,289,280,262,251,207,166,122,78,89,0,309,13
13 SIGTHETA °,ALPINE,38,53,28,23,16,26,42,69,37,40,53,20,30,47,35,44,19,37,45,17,24,31,36,15,34,69,07
,CHULA VISTA,39,49,57,26,52,65,35,36,35,20,19,23,23,23,20,22,27,25,55,42,42,31,22,36,34,65,05
,DOWNTOWN SES,37,54,52,32,13,39,49,27,29,25,24,21,26,24,23,24,23,34,54,26,31,21,43,50,33,54,01
,EL CAJON LES,63,34,55,27,42,32,32,51,44,33,31,24,42,24,21,21,20,28,46,59,46,34,30,64,38,64,23
,KEARNY MESA,7,15,64,38,7,5,9,11,12,16,12,13,11,13,15,12,12,12,14,6,12,8,17,23,15,64,02
,OTAY MESA DVN,27,39,61,41,37,69,61,45,34,16,13,11,14,16,17,12,18,12,30,41,23,20,35,33,30,69,05
,PENDLETON,32,46,56,14,43,38,45,26,18,16,16,18,16,13,18,19,24,19,16,26,25,24,27,53,27,56,02
14 VWSP MPH,ALPINE,1.7,2.0,2.2,2.4,2.4,1.4,1.4,.4,4.4,2.4,3.9,1.1,3.3,1.0,4.8,5.3,4.2,1.9,.9,2.5,1.9,1.5,1.3,2.6,.0,5.3,15
,CHULA VISTA,.8,.6,.5,2.3,.8,.5,1.0,1.1,1.9,3.5,5.0,5.1,5.2,5.4,6.7,6.8,4.1,3.0,1.5,1.5,.9,1.1,1.7,1.0,.0,6.8,15
,DOWNTOWN SES,1.1,1.0,.6,3.0,3.6,2.7,.5,1.8,2.6,4.5,5.6,6.0,6.3,5.6,5.6,5.3,4.4,4.0,2.8,.4,.5,2.9,1.5,.5,.0,6.3,12
,EL CAJON LES,.3,.4,.5,.8,.6,.4,.5,.9,1.5,2.8,5.2,6.8,4.6,7.1,7.5,7.2,6.3,3.2,2.0,.9,1.1,1.4,1.0,.3,.0,7.5,14
,KEARNY MESA,5.2,4.8,.9,3.1,6.2,7.4,6.4,5.8,6.4,7.4,10.2,11.4,12.2,11.0,10.5,10.7,7.2,7.3,4.0,4.0,5.5,6.0,3.3,3.8,.0,12.2,12
,OTAY MESA DVN,2.9,1.6,1.7,3.0,2.4,.6,.8,.9,3.4,5.8,8.7,10.9,9.8,9.5,9.4,8.4,6.5,5.1,4.1,3.5,3.7,2.5,2.1,2.8,.0,10.9,11
,PENDLETON,.9,2.2,1.3,3.3,.8,.6,.4,2.1,2.4,2.7,3.6,3.9,6.5,8.8,4.8,4.8,3.7,3.7,3.5,2.3,2.3,1.5,1.6,.4,.0,8.8,13
15 SWSP MPH,ALPINE,2.6,2.9,2.7,2.6,2.5,1.8,1.8,1.8,5.1,4.0,5.6,4.0,3.6,2.9,6.3,7.0,4.4,2.5,1.9,2.6,2.2,2.0,1.7,2.7,3.2,7.0,15
,CHULA VISTA,1.1,1.9,1.5,2.4,1.5,.9,1.3,1.4,2.2,3.7,5.3,5.5,5.6,5.9,7.1,7.3,4.6,3.3,2.3,2.2,1.6,1.5,1.8,1.4,3.1,7.3,15
,DOWNTOWN SES,1.3,1.6,1.9,3.3,3.7,2.9,1.7,2.1,2.9,4.8,6.0,6.4,6.9,6.1,6.0,5.8,5.2,4.6,3.3,2.2,1.8,3.2,1.8,1.2,3.6,6.9,12
,EL CAJON LES,.7,1.8,1.8,1.6,1.3,1.0,1.2,1.2,1.9,3.3,6.1,7.4,5.5,7.7,8.3,7.7,6.9,4.0,2.9,1.5,1.9,2.2,1.3,.7,3.3,8.3,14
,KEARNY MESA,5.3,5.3,2.7,3.6,6.2,7.6,6.5,5.9,6.6,7.7,10.5,11.7,12.5,11.4,11.0,11.0,7.6,7.5,4.3,4.0,5.8,6.1,3.6,4.4,7.0,12.5,12
,OTAY MESA DVN,3.3,3.2,3.5,3.8,3.1,1.6,1.5,1.7,3.8,6.0,8.9,11.1,10.1,9.9,9.8,8.9,7.1,5.4,4.6,4.4,3.8,2.8,4.0,3.5,5.2,11.1,11
,PENDLETON,1.2,2.5,2.5,3.6,1.1,1.2,1.2,2.3,2.5,2.8,3.7,4.1,6.8,9.0,5.2,5.3,4.3,4.1,3.6,2.9,2.9,1.9,1.8,1.6,3.3,9.0,13
16 AMBTEMP °F,ALPINE,86.3,86.3,86.4,85.8,85.9,86.4,87.5,92.4,98.2,100.6,95.2,91.0,91.4,97.7,99.5,95.2,93.8,92.4,88.9,85.9,85.6,86.5,85.3,87.1,90.5,100.6,09
,CARMEL MT RCH,79.9,80.8,81.3,80.6,82.5,81.7,83.4,88.8,94.3,100.6,100.7,102.2,103.4,103.3,102.1,101.1,98.3,91.6,88.5,85.9,84.4,83.5,82.4,82.8,90.2,103.4,12
,CHULA VISTA,76.6,76.1,76.1,75.3,74.8,75.0,77.9,82.4,88.1,92.3,94.5,95.9,97.1,96.7,91.8,86.1,83.9,82.6,80.7,81.1,80.7,79.7,78.8,77.5,83.4,97.1,12
,DOWNTOWN SES,78.7,77.9,77.2,76.9,77.0,77.4,80.1,84.8,89.4,93.4,95.3,97.4,97.7,96.1,93.8,92.8,89.5,87.4,86.1,85.1,82.8,82.7,81.7,80.7,85.9,97.7,12
,EL CAJON LES,81.3,80.2,79.7,78.5,77.8,77.2,79.6,86.0,94.9,103.8,106.9,107.5,108.9,107.6,106.9,104.8,98.6,95.7,92.8,89.8,89.4,87.4,84.8,83.2,91.8,108.9,12
,KEARNY MESA,76.0,74.6,75.1,75.1,75.0,75.3,79.1,88.3,94.8,98.9,101.2,101.7,101.2,100.6,99.2,96.3,92.5,89.1,83.8,82.0,80.5,79.9,79.0,78.1,86.6,101.7,11
,OTAY MESA DVN,81.6,83.4,85.1,87.0,88.9,88.5,87.9,92.5,97.2,100.1,101.9,101.1,100.8,104.1,102.8,95.4,90.8,88.1,83.7,85.5,82.2,84.3,83.1,83.6,90.8,104.1,13
,PENDLETON,73.6,72.8,73.1,72.2,72.7,72.8,73.7,76.1,76.3,77.6,77.7,78.7,79.5,81.2,80.2,80.1,80.3,79.9,77.3,76.1,76.5,76.4,76.4,75.6,76.5,81.2,13
,SAN YSIDRO,75.7,74.8,75.1,74.6,74.1,74.2,77.1,81.7,84.4,89.2,90.0,89.3,88.5,89.8,88.1,85.1,84.7,80.8,78.4,80.0,79.2,77.4,76.3,76.8,81.1,90.0,10
17 RELHUM %,ALPINE,33,34,33,34,34,33,34,30,21,18,25,31,31,23,23,24,24,29,33,37,37,35,35,30,30,37,19
,EL CAJON LES,53,56,56,58,60,61,56,46,35,26,25,25,22,22,22,24,33,37,32,46,37,37,41,45,40,61,05
,KEARNY MESA,71,80,79,81,81,79,70,45,35,33,28,28,25,27,31,32,33,38,48,52,52,56,59,60,51,81,03
18 PRES mmHg,EL CAJON LES,743,743,743,743,743,743,743,743,743,743,743,742,742,742,742,742,742,742,743,743,743,744,744,744,743,744,21
,KEARNY MESA,743,743,743,743,743,744,744,744,744,744,744,744,743,743,743,743,743,743,743,744,744,744,744,744,744,744,05
19 SOLAR W/M2,EL CAJON LES,-1,0,0,0,0,12,111,334,548,689,858,877,773,543,595,451,152,61,-1,-1,1,0,0,0,250,877,11
,KEARNY MESA,-1,-1,-1,-1,-1,11,101,352,550,705,799,914,908,762,696,497,236,58,0,-1,-1,-1,-1,-1,274,914,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,1,6,15,26,34,41,44,39,29,30,21,9,3,0,0,0,0,0,0,12,44,11
25 NOY,EL CAJON LES,14.61,13.96,15.88,15.58,C,C,18.77,16.58,10.38,6.55,6.76,5.65,4.23,<,<,<,<,<,<,<,<,9.23,9.44,11.63,11.37,18.77,06
26 NOY-NO,EL CAJON LES,14.63,13.97,15.89,15.50,C,C,16.23,14.30,9.40,6.14,6.47,5.39,4.10,<,<,<,<,<,<,<,<,9.26,9.48,11.64,10.88,16.23,06
27 NO Trace,EL CAJON LES,-.01,.00,-.01,.08,C,C,2.54,2.27,.98,.40,.29,.25,.13,<,<,<,<,<,<,<,<,-.02,-.03,-.01,.49,2.54,06
28 SO2 Tr PPB,EL CAJON LES,C,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
29 CO Tr PPB,EL CAJON LES,533.5,C,C,C,503.9,551.9,550.3,463.3,307.1,209.0,268.4,228.0,189.5,<,<,<,C,C,<,<,<,446.4,475.6,495.0,401.6,551.9,05
BCarbon ug/m3,10TH AVE MARINE TERM,1.26,.60,.54,.60,.61,.79,1.67,<,1.13,<,1.50,<,1.90,2.30,1.06,1.35,1.08,.85,<,<,<,<,1.11,.64,1.12,2.30,13
,ALPINE,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
,BOSTON AVE,1.02,1.14,1.00,.98,.79,1.16,1.68,1.87,1.54,1.25,1.11,1.27,1.17,1.36,.93,.74,.60,.96,.86,1.06,.83,1.31,.80,1.20,1.11,1.87,07
,CHICANO PARK,<,<,.97,.80,.75,1.03,.91,1.68,1.43,<,1.26,<,1.18,1.04,.98,.83,<,1.12,.85,<,2.08,1.20,<,<,1.13,2.08,20
,DOWNTOWN SES,.54,.65,.65,<,<,<,.65,.90,1.37,1.00,1.02,<,.83,.82,.91,.80,.79,1.00,<,.80,1.08,.72,<,.61,.84,1.37,08
,OCEANVIEW BLVD,.86,<,1.10,<,<,<,<,1.02,<,1.17,.89,.59,.62,.69,.92,.80,.66,.80,.71,.75,1.12,.68,<,.87,.84,1.17,09
,OTAY MESA DVN,6.08,3.38,1.55,.83,.55,.60,1.17,2.39,3.50,1.61,.69,.45,.40,.53,.37,.43,.44,.46,.43,1.13,.77,1.05,1.15,4.43,1.43,6.08,00
,SAN YSIDRO,.94,.64,.86,.99,1.02,2.33,2.12,1.61,<,<,.70,<,.52,.51,.50,.45,<,<,.45,.73,.86,.64,.62,<,.92,2.33,05
PM10 STD,ALPINE,21.9,36.8,57.5,55.1,49.3,42.2,35.2,31.2,35.6,27.7,33.5,25.9,25.9,25.2,36.1,28.2,29.0,34.3,34.0,34.0,33.2,31.8,32.0,28.4,34.3,57.5,02
,CARMEL MT RCH,36.8,39.3,40.2,39.8,43.0,45.7,56.7,63.7,65.4,59.7,56.8,56.5,53.4,51.0,48.7,52.4,42.9,53.0,54.3,46.5,45.1,42.6,42.5,51.5,49.4,65.4,08
,CHULA VISTA,43.2,45.9,47.4,42.8,41.3,43.1,48.9,67.8,60.4,64.1,57.4,61.5,61.9,61.6,53.9,44.1,41.1,36.6,39.3,39.1,41.2,44.6,44.1,44.5,48.9,67.8,07
,DOWNTOWN SES,40.5,34.1,36.4,34.5,36.2,38.5,39.8,41.5,45.6,46.7,57.4,63.0,60.5,51.9,53.0,55.5,47.5,43.8,45.9,47.5,42.7,35.8,36.7,36.3,44.6,63.0,11
,EL CAJON LES,41.0,42.6,43.7,34.8,33.4,35.0,41.4,40.4,55.8,46.1,46.4,53.3,43.2,<,<,<,<,<,<,<,<,<,<,<,42.8,55.8,08
,KEARNY MESA,34.3,33.5,32.6,34.7,34.6,33.2,40.0,50.6,65.8,62.4,64.7,67.6,52.7,54.8,57.6,55.3,56.9,56.7,47.2,41.9,37.9,37.3,65.5,65.1,49.2,67.6,11
,OTAY MESA DVN,265.9,151.0,82.7,89.6,144.4,131.3,120.8,153.5,272.0,107.0,71.4,64.8,68.8,70.7,58.7,58.8,54.4,50.6,54.8,105.0,86.6,153.4,105.4,213.0,113.9,272.0,08
,PENDLETON,30.6,33.0,28.0,34.3,36.4,39.6,39.7,43.0,66.0,53.4,40.7,42.6,49.5,49.8,47.0,46.4,43.1,40.2,38.6,26.9,35.7,42.2,32.1,61.5,41.6,66.0,08
,SAN YSIDRO,42.0,42.6,42.0,45.6,48.1,59.2,62.8,62.3,59.3,58.8,50.9,43.0,42.7,40.7,46.9,41.8,49.7,38.2,37.3,40.9,57.2,44.1,40.5,34.2,47.1,62.8,06
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
