Current Date:,9/6/2024,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
9/5/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.062,,,,.067,.068,.069,.07,.073,.073,.073,.072,.069,.068,.067,.067,.066,.065,.063,.063,.062,.061,.06,.057,0.066,0.073,08
,CHULA VISTA,.008,.009,.012,.017,.02,.026,.032,.037,.041,.044,.046,.045,.044,.041,.039,.038,.035,.032,.03,.028,.027,.025,.021,.017,0.029,0.046,10
,DOWNTOWN SES,.011,.012,.013,.016,.019,.023,.028,.032,.037,.04,.043,.044,.043,.041,.039,.038,.035,.033,.03,.028,.027,.025,.022,.018,0.029,0.044,11
,EL CAJON LES,,,,.04,.047,.051,.06,.068,.075,.079,.081,.08,.074,.069,.064,.059,.052,.044,.036,.031,.028,,,,0.057,0.081,10
,KEARNY MESA,.012,.018,.026,.031,.035,.041,.048,.055,.061,.069,.071,.071,.07,.069,.066,.062,.055,.043,.035,.031,.028,.021,.015,.012,0.043,0.071,10
,OTAY MESA DVN,.011,.017,.025,.028,.032,.038,.045,.05,.053,.055,.056,.055,.052,.046,.041,.034,.029,.025,.021,.018,.016,.015,.014,.015,0.032,0.056,10
,PENDLETON,.012,.014,.017,.02,.023,.028,.032,.037,.041,.044,.045,.045,.045,.046,.045,.042,.037,.033,.03,.028,.026,.019,.014,.013,0.03,0.046,13
