Current Date:,9/10/2024,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/9/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.053,.054,C,C,.050,.049,.043,.048,.057,.061,.067,.087,.072,.071,.086,.095,.096,.070,.054,.051,.056,.063,.062,.063,.064,.096,16
,CHULA VISTA,.023,.016,C,C,.002,.005,.007,.021,.034,.048,.059,.063,.057,.058,.064,.068,.047,.043,.037,.034,.028,.033,.030,.025,.036,.068,15
,DOWNTOWN SES,.027,.019,C,C,.014,.010,.006,.009,.021,.035,.046,.050,.057,.062,.072,.062,.039,.034,.031,.032,.031,.023,.027,.032,.033,.072,14
,EL CAJON LES,.030,.028,C,C,C,.011,.012,.025,.053,.067,.083,.089,.076,.084,.105,.128,.089,.046,.042,.038,.033,.027,.025,.025,.053,.128,15
,KEARNY MESA,.033,.023,C,C,.018,.007,.017,.027,.052,.064,.074,.066,.071,.088,.095,.053,.044,.039,.037,.036,.029,.031,.021,.022,.043,.095,14
,OTAY MESA DVN,.017,.014,C,C,.015,.015,.020,.015,.035,.057,.079,.092,.080,.071,.077,.079,.076,.045,.039,.037,.034,.031,.025,.026,.044,.092,11
,PENDLETON,.028,.032,C,C,.024,.014,.007,.018,.026,.030,.040,.042,.046,.051,.049,.044,.039,.039,.040,.039,.036,.028,.023,.016,.032,.051,13
03 NO2 PPB,ALPINE,3.2,2.8,C,C,2.6,2.4,4.9,4.1,2.3,2.5,2.9,4.7,3.3,4.5,8.3,12.3,15.0,10.3,9.7,6.8,5.7,3.6,3.5,2.8,5.3,15.0,16
,CARMEL MT RCH,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,CHULA VISTA,9.0,9.8,C,C,18.6,21.4,21.3,14.7,8.1,9.9,8.3,4.1,3.6,3.9,4.2,4.7,4.8,5.9,6.4,6.7,8.1,3.4,3.2,4.7,8.4,21.4,05
,DOWNTOWN SES,14.8,18.3,C,C,17.8,24.5,29.7,36.0,30.7,23.6,25.6,22.7,16.5,11.5,15.3,9.2,7.4,12.0,11.3,7.6,8.3,16.5,11.0,5.4,17.0,36.0,07
,EL CAJON LES,<,C,C,C,C,<,<,M,10.3,12.3,8.1,4.6,3.6,3.0,3.8,4.0,4.0,4.4,4.8,5.8,6.8,6.5,6.3,5.2,5.8,12.3,09
,KEARNY MESA,9.9,21.3,C,C,16.3,28.0,23.9,20.2,7.2,5.3,4.2,3.1,3.3,2.8,3.2,2.0,1.6,1.9,3.8,2.7,8.6,4.2,13.5,10.1,8.9,28.0,05
,OTAY MESA DVN,29.1,31.2,C,C,23.6,27.7,25.6,41.8,25.2,11.4,6.9,4.1,2.9,2.7,3.4,3.8,4.9,4.2,4.3,4.2,3.2,3.9,6.1,4.7,12.4,41.8,07
,PENDLETON,7.5,5.8,C,C,5.8,16.4,21.0,12.9,6.2,9.3,3.9,3.1,4.3,5.9,2.1,1.5,.9,1.0,1.2,1.9,2.5,7.9,8.8,14.9,6.5,21.0,06
,SAN YSIDRO,6.7,6.2,C,C,16.9,12.3,9.3,10.6,7.0,4.4,3.8,3.3,4.1,4.3,4.3,4.9,4.1,5.9,6.6,7.9,10.0,5.3,2.8,5.1,6.6,16.9,04
06 CO PPM,CARMEL MT RCH,M,M,M,M,C,C,M,M,M,M,C,C,M,M,M,M,C,C,M,M,M,M,C,C,,M,M
,SAN YSIDRO,.3,.2,C,C,.7,.4,.4,.5,.3,.3,.3,.2,.2,.3,.3,.3,.3,.3,.3,.3,.4,.2,.2,.3,.3,.7,04
07 H2S PPB,IB PIER,4.1,29.1,10.7,5.0,6.3,45.9,100.2,9.4,4.6,1.1,.0,.0,.4,.0,.0,.0,.0,1.3,4.2,4.1,18.8,11.3,12.8,13.9,11.8,100.2,06
,INTRNTL WWTP,291.4,142.1,229.7,325.5,147.9,135.0,101.0,55.9,7.5,.0,.0,.0,.0,.0,.0,.0,.5,6.3,7.6,27.5,72.8,60.9,36.4,112.0,73.3,325.5,03
