Current Date:,10/23/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/22/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.057,.061,C,C,.053,.053,.052,.040,.058,.047,.044,.061,.069,.070,.067,.062,.061,.050,.041,.045,.036,.023,.029,.027,.050,.070,13
,CHULA VISTA,.013,.026,C,C,.023,.023,.027,.025,.026,.030,.040,.044,.045,.045,.045,.040,.030,.026,.023,.022,.019,.026,.031,.032,.030,.045,12
,DOWNTOWN SES,.034,.032,C,C,.034,.035,.031,.029,.029,.039,.040,.044,.045,.047,.044,.038,.030,.031,.030,.032,.036,.039,.042,.039,.036,.047,13
,EL CAJON LES,.006,.010,C,C,C,.018,.019,.020,.025,.034,.040,.048,.056,.056,.054,.054,.043,.033,.023,.023,.024,.029,.031,.035,.032,.056,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.036,.037,C,C,.034,.033,.028,.028,.030,.036,.038,.044,.049,.049,.048,.041,.032,.031,.031,.031,.037,.040,.040,.037,.036,.049,12
,OTAY MESA DVN,.009,.003,C,C,.014,.021,.019,.012,.018,.025,.032,.041,.046,.044,.044,.042,.036,.026,.021,.024,.025,.025,.025,.026,.026,.046,12
,PENDLETON,,,,,,,,C,C,C,.036,.038,.039,.039,.039,.035,.038,.037,.035,.034,.028,.020,.020,.020,.032,.039,12
02 NOX PPM,ALPINE,.004,.003,C,C,.003,.005,.005,.016,.008,.009,.010,.008,.008,.008,.006,.004,.005,.007,.010,.008,.008,.011,.007,.006,.007,.016,07
,CARMEL MT RCH,.017,.010,C,C,.007,.005,.006,C,C,C,C,C,C,M,M,.017,.017,.019,.019,.015,.015,.012,.009,.002,.012,.019,17
,CHULA VISTA,.015,.007,C,C,.007,.009,.007,.007,.009,.015,.008,.007,.003,.003,.005,.004,.004,.007,.008,.011,.011,.006,.005,.004,.007,.015,00
,DOWNTOWN SES,.007,.007,C,C,.005,.006,.009,.011,.015,.007,.007,.007,.008,.006,.006,.006,.004,.005,.004,.004,.004,.005,.004,.005,.006,.015,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.004,C,C,.004,.005,.008,.008,.012,.009,.009,.009,.006,.005,.004,.004,.003,.004,.003,.004,.003,.003,.002,.003,.005,.012,08
,OTAY MESA DVN,.015,.027,C,C,.013,.007,.012,.038,.030,.020,.016,.013,.008,.006,.005,.005,.004,.004,.006,.006,.005,.005,.005,.005,.012,.038,07
,PENDLETON,,,,,,,,C,C,C,.004,.003,.005,.005,.004,.010,.003,.003,.004,.004,.007,.012,.007,.006,.006,.012,21
03 NO2 PPM,ALPINE,.003,.003,C,C,.003,.004,.004,.012,.007,.007,.007,.007,.006,.007,.005,.004,.004,.007,.009,.008,.007,.010,.006,.005,.006,.012,07
,CARMEL MT RCH,.012,.009,C,C,.006,.005,.005,C,C,C,C,C,C,M,M,.009,.009,.010,.010,.009,.010,.008,.007,.002,.008,.012,00
,CHULA VISTA,.015,.007,C,C,.007,.009,.007,.007,.008,.012,.007,.005,.003,.003,.004,.003,.004,.007,.008,.008,.011,.006,.005,.004,.007,.015,00
,DOWNTOWN SES,.006,.007,C,C,.005,.005,.008,.009,.013,.006,.006,.006,.007,.005,.005,.005,.004,.005,.004,.004,.004,.005,.004,.004,.006,.013,08
,EL CAJON LES,.013,.011,C,C,C,.006,.005,.005,.007,.007,.007,.007,.006,.005,.004,.004,.004,.006,.008,.009,.008,.004,.004,.002,.006,.013,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.004,C,C,.004,.005,.007,.007,.010,.008,.007,.007,.005,.004,.003,.003,.003,.003,.003,.004,.003,.003,.002,.003,.005,.010,08
,OTAY MESA DVN,.014,.024,C,C,.011,.006,.009,.023,.019,.013,.012,.010,.006,.005,.004,.004,.003,.003,.005,.005,.005,.005,.005,.004,.009,.024,01
,PENDLETON,,,,,,,,C,C,C,.003,.003,.003,.003,.003,.006,.003,.002,.004,.004,.007,.011,.007,.006,.005,.011,21
04 NO PPM,ALPINE,.000,.000,C,C,.001,.001,.001,.004,.001,.002,.003,.001,.001,.001,.001,.001,.000,.000,.000,.001,.000,.000,.000,.000,.001,.004,07
,CARMEL MT RCH,.004,.001,C,C,.001,.000,.001,C,C,C,C,C,C,M,M,.008,.007,.009,.009,.006,.005,.003,.003,.000,.004,.009,17
,CHULA VISTA,.000,.000,C,C,.000,.001,.000,.001,.001,.003,.002,.001,.000,.001,.001,.001,.000,.000,.000,.006,.000,.000,.000,.000,.001,.006,19
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.002,.002,.002,.002,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.001,.000,.000,.001,.002,07
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.001,.002,.001,.002,.002,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,08
,OTAY MESA DVN,.001,.003,C,C,.002,.001,.003,.016,.011,.006,.005,.003,.002,.001,.001,.001,.001,.000,.001,.000,.001,.000,.000,.001,.003,.016,07
,PENDLETON,,,,,,,,C,C,C,.000,.001,.002,.002,.002,.004,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,15
06 CO PPM,CARMEL MT RCH,.4,.3,C,C,C,.2,.3,C,C,C,C,C,C,M,M,.4,.4,.6,.5,.5,.5,.5,.5,.2,.4,.6,17
10 INTMP °C,ALPINE,27,27,27,26,27,27,27,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,27,27,26,27,00
,CARMEL MT RCH,26,26,27,26,26,26,26,26,27,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,26,27,02
,CHULA VISTA,24,24,25,24,25,24,24,24,24,25,24,25,25,25,25,25,24,24,24,25,24,24,25,25,24,25,02
,DOWNTOWN SES,23,24,23,24,24,24,24,23,23,23,23,22,22,22,22,22,23,23,23,23,23,23,24,24,23,24,01
,EL CAJON LES,24,24,24,24,24,24,24,24,25,24,24,24,24,24,23,24,23,24,24,24,24,24,24,24,24,25,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,22,22,23,23,23,23,22,22,22,23,24,25,24,24,24,25,25,25,24,24,23,23,23,23,23,25,11
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,24,25,25,26,26,26,26,26,26,26,00
,PENDLETON,,,,,,,,P,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,08
11 PM2.5 µg/M3,ALPINE,7.2,6.8,6.5,5.5,7.8,5.1,2.1,2.3,-.2,-1.3,3.3,7.1,8.6,7.5,9.4,8.6,8.9,7.3,9.9,20.5,9.3,4.9,6.7,8.6,6.7,20.5,19
,DOWNTOWN SES,4.7,8.0,5.6,9.3,10.9,8.6,9.9,15.9,13.4,12.2,10.5,7.8,6.4,3.5,.9,4.8,3.8,3.9,3.9,2.0,2.8,5.7,5.5,7.6,6.9,15.9,07
,EL CAJON LES,9.4,6.5,10.1,9.0,13.6,10.1,7.8,11.4,8.6,13.1,15.5,13.7,13.8,12.6,8.9,4.3,3.2,4.3,3.8,4.9,7.9,8.2,15.0,3.2,9.1,15.5,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.8,13.8,17.8,11.6,9.3,6.4,9.1,27.8,19.7,16.3,19.8,8.5,7.4,3.3,3.1,4.6,2.9,2.3,-.3,-2.8,3.3,4.5,9.3,5.7,8.8,27.8,07
,PENDLETON,,,,,,,,10.5,6.9,6.6,7.5,5.8,3.4,2.0,.8,7.1,6.2,5.3,8.7,7.4,3.6,7.8,9.5,9.1,6.3,10.5,07
12 VWDR °,ALPINE,115,36,311,277,237,354,92,140,250,289,307,266,291,258,269,280,288,280,98,57,338,108,3,42,0,354,05
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,9,338,323,341,1,9,12,75,302,302,286,282,285,284,290,281,313,345,328,345,340,4,10,62,0,345,17
,EL CAJON LES,75,120,203,96,114,105,88,96,316,246,246,266,259,255,271,256,268,255,259,325,318,326,305,15,0,326,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,352,354,293,317,330,14,74,43,288,318,326,328,303,299,310,290,297,304,300,318,333,334,9,62,0,354,01
,OTAY MESA DVN,87,142,73,360,44,40,147,160,301,312,296,307,293,287,287,282,292,295,311,332,345,359,349,30,0,360,03
,PENDLETON,,,,,,,,P,242,221,245,249,267,265,260,271,284,285,304,313,330,22,22,28,0,330,20
13 SIGTHETA °,ALPINE,28,31,28,39,34,29,16,21,29,28,38,39,43,28,32,29,32,41,24,29,29,55,35,43,33,55,21
,CHULA VISTA,18,22,23,20,31,21,31,36,62,43,30,24,20,20,22,18,17,18,19,27,22,34,22,17,26,62,08
,DOWNTOWN SES,23,18,22,22,23,27,36,49,29,30,33,31,19,19,26,19,23,24,27,23,22,23,22,22,26,49,07
,EL CAJON LES,24,48,26,24,16,16,20,48,29,55,45,52,27,27,31,22,22,17,19,28,18,33,31,36,30,55,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,16,16,16,14,24,29,9,57,28,20,53,25,19,15,14,13,12,15,13,11,14,15,15,13,20,57,07
,OTAY MESA DVN,23,14,52,18,16,19,36,27,29,21,20,23,17,14,16,11,11,18,30,26,29,24,24,22,23,52,02
,PENDLETON,,,,,,,,P,39,22,16,14,15,16,17,18,20,22,18,15,15,9,10,11,17,39,08
14 VWSP MPH,ALPINE,.9,.7,1.0,.0,.0,1.5,1.2,1.3,1.9,3.2,3.1,3.1,4.0,5.2,4.6,3.6,2.6,.9,.7,.6,1.5,.8,1.5,.3,.0,5.2,13
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,2.6,2.9,3.5,4.0,2.9,2.7,1.8,1.2,4.0,5.3,4.8,5.6,8.3,9.4,6.7,8.0,5.8,4.1,3.3,3.3,3.7,2.9,2.7,2.4,.0,9.4,13
,EL CAJON LES,1.2,.7,1.0,2.0,3.0,2.7,3.8,1.4,2.8,2.3,2.5,2.5,5.4,6.8,5.3,5.9,5.6,3.7,2.5,1.5,3.6,1.6,2.1,2.1,.0,6.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.8,2.9,4.0,4.6,3.1,3.1,5.4,.3,4.1,5.6,3.2,5.3,8.2,10.9,9.1,9.7,7.2,4.1,3.6,3.7,3.6,4.1,3.8,2.9,.0,10.9,13
,OTAY MESA DVN,1.1,3.3,.8,2.3,3.1,2.9,.7,3.2,4.3,5.5,6.1,5.9,9.0,11.0,9.4,10.9,8.8,4.4,1.7,2.1,2.9,3.3,3.3,3.1,.0,11.0,13
,PENDLETON,,,,,,,,P,1.2,2.1,4.4,5.7,6.6,7.0,6.8,4.9,4.8,3.9,3.4,4.3,2.5,3.0,4.5,4.2,.0,7.0,13
15 SWSP MPH,ALPINE,.9,.9,1.0,.1,.0,1.6,1.3,1.4,3.0,3.7,3.7,3.9,5.1,5.9,5.4,4.2,3.0,1.0,.9,.7,1.7,1.0,1.7,.5,2.2,5.9,13
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,2.9,3.0,3.7,4.3,3.1,3.0,2.5,2.0,4.7,6.1,5.4,6.4,8.8,10.0,7.5,8.5,6.6,4.4,4.0,3.7,4.1,3.2,3.3,2.7,4.7,10.0,13
,EL CAJON LES,1.5,1.1,1.2,2.2,3.2,2.8,4.2,2.2,3.2,3.3,3.3,3.4,5.9,7.5,6.2,6.2,6.0,3.9,2.7,1.7,3.7,2.1,2.5,2.6,3.4,7.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.0,3.0,4.1,4.8,3.3,3.8,5.5,1.7,4.8,6.0,4.1,6.0,8.9,11.3,9.4,10.0,7.4,4.3,3.7,3.8,3.8,4.4,3.9,3.1,5.2,11.3,13
,OTAY MESA DVN,1.6,3.4,2.8,2.4,3.3,3.0,2.2,3.5,4.9,5.9,6.5,6.4,9.4,11.3,9.7,11.2,9.1,4.7,2.3,2.6,3.2,3.6,3.8,3.9,5.0,11.3,13
,PENDLETON,,,,,,,,P,2.0,2.4,4.6,6.0,6.9,7.3,7.0,5.2,5.3,4.3,3.6,4.5,2.6,3.1,4.5,4.3,4.6,7.3,13
16 AMBTEMP °F,ALPINE,59.7,61.7,61.2,58.8,56.0,55.2,56.9,62.0,67.4,65.6,65.1,69.0,71.9,71.3,68.7,67.2,64.1,59.9,57.9,57.5,54.3,51.7,50.9,50.0,61.0,71.9,12
,CARMEL MT RCH,55.9,54.9,53.6,54.4,54.8,54.3,53.6,54.4,56.9,58.5,61.3,66.3,68.9,67.6,67.0,65.6,61.8,58.2,57.0,56.4,57.2,57.5,57.2,57.1,58.8,68.9,12
,CHULA VISTA,58.6,58.9,58.7,59.1,59.3,59.2,58.3,57.8,58.7,62.3,64.9,67.0,66.9,66.6,67.0,65.2,62.6,60.9,60.6,60.9,60.9,60.4,60.1,60.0,61.5,67.0,11
,DOWNTOWN SES,61.4,60.7,60.5,60.5,60.5,60.3,60.2,60.6,61.6,63.8,65.5,67.1,67.4,66.8,67.2,64.9,62.1,61.8,61.5,60.8,60.7,61.2,61.5,61.6,62.5,67.4,12
,EL CAJON LES,55.2,54.3,53.8,54.0,54.1,54.6,52.9,54.6,60.4,64.2,67.3,71.4,73.6,73.8,72.8,71.4,66.9,62.6,60.0,58.9,58.2,58.5,58.5,58.3,61.3,73.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,59.6,58.6,58.4,58.8,59.0,58.4,56.9,56.5,59.9,60.8,63.2,67.1,68.4,67.3,67.2,64.4,60.7,59.5,58.7,58.2,59.1,59.8,60.0,60.1,60.9,68.4,12
,OTAY MESA DVN,56.4,56.5,55.5,54.5,55.1,54.7,54.4,56.3,59.8,60.0,64.2,68.2,69.0,67.2,66.5,65.4,61.5,58.2,57.9,58.1,57.9,58.0,57.3,56.7,59.6,69.0,12
,PENDLETON,,,,,,,,P,59.2,61.8,64.5,65.9,66.2,65.6,65.0,63.2,62.2,61.7,61.9,61.9,61.7,60.3,58.6,58.8,62.4,66.2,12
17 RELHUM %,ALPINE,50,45,46,47,53,55,53,44,35,46,54,45,39,43,49,54,59,74,82,81,92,99,96,99,60,99,21
,EL CAJON LES,87,91,96,99,100,100,98,91,74,68,63,54,48,48,50,51,63,73,82,84,87,86,86,86,78,100,04
,KEARNY MESA,96,97,97,95,95,95,94,95,88,85,78,67,62,66,67,76,86,90,91,91,89,86,86,86,86,97,01
18 PRES mmHg,EL CAJON LES,750,750,750,750,750,750,750,750,750,750,750,749,748,748,748,748,748,748,748,748,748,748,748,748,749,750,00
,KEARNY MESA,751,751,751,750,751,750,750,751,751,751,751,750,750,749,749,749,749,749,749,749,749,749,749,749,750,751,00
19 SOLAR W/M2,EL CAJON LES,0,2,3,3,3,3,40,251,432,524,696,731,699,608,480,263,48,-1,-2,-1,2,3,3,3,200,731,11
,KEARNY MESA,0,0,0,0,0,0,26,111,226,272,580,685,661,587,466,263,48,1,0,0,0,0,0,0,164,685,11
25 NOY,EL CAJON LES,13.87,12.40,11.11,9.07,8.05,C,C,8.15,11.73,11.35,12.12,11.55,11.03,8.67,6.57,5.76,4.55,6.26,8.18,8.88,8.51,4.73,4.52,3.46,8.66,13.87,00
26 NOY-NO,EL CAJON LES,13.57,12.23,11.04,8.99,7.96,C,C,6.38,8.50,8.77,9.72,9.48,9.53,7.54,5.79,5.00,4.23,6.03,7.93,8.49,8.39,4.49,4.32,3.37,7.80,13.57,00
27 NO Trace,EL CAJON LES,.29,.17,.07,.07,.09,C,C,1.76,3.22,2.57,2.40,2.06,1.49,1.12,.78,.76,.32,.22,.25,.39,.12,.23,.20,.09,.84,3.22,08
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.1,.1,.2,.2,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.2,12
