Current Date:,10/18/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/17/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.054,C,C,.055,.056,.055,.053,.049,.058,.059,.061,.064,.067,.068,.067,.065,.061,.058,.053,.051,.051,.050,.050,.049,.057,.068,13
,CHULA VISTA,.025,C,C,.033,.033,.028,.020,.023,.027,.041,.048,.050,.055,.053,.059,.055,.051,.050,.045,.041,.033,.021,.013,.010,.037,.059,14
,DOWNTOWN SES,.004,C,C,.028,.024,.015,.020,.030,.032,.035,.043,.052,.059,.059,.055,.049,.052,.049,.046,.042,.038,.033,.032,.033,.037,.059,12
,EL CAJON LES,.008,C,C,C,.004,.003,.006,.015,.025,.038,.054,.058,.061,.060,.058,.059,.056,.050,.047,.046,.043,.041,.033,.031,.037,.061,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.035,C,C,.035,.037,.035,.030,.030,.042,.046,.049,.057,.059,.059,.062,.059,.052,.048,.044,.039,.024,.020,.020,.021,.041,.062,14
,OTAY MESA DVN,.041,C,C,.015,.013,.008,.015,.022,.027,.040,.050,.056,.058,.059,.056,.054,.054,.045,.045,.042,.039,.035,.033,.035,.038,.059,13
,PENDLETON,.028,C,C,.024,.025,.029,.027,P,,,,,,,,,,,,,,,,,.026,.029,05
02 NOX PPM,ALPINE,.001,C,C,.001,.001,.002,.002,.004,.002,.002,.002,.004,.004,.003,.003,.003,.004,.005,.003,.003,.003,.003,.002,.002,.003,.005,17
,CARMEL MT RCH,.035,C,C,.023,.027,.047,.035,.023,.022,.019,.025,.024,.018,.013,.014,.014,.011,.013,.016,.011,.008,.005,.007,.016,.019,.047,05
,CHULA VISTA,.011,C,C,.006,.004,.008,.017,.021,.024,.017,.009,.013,.010,.008,.002,.002,.002,.002,.004,.005,.007,.012,.016,.020,.010,.024,08
,DOWNTOWN SES,.062,C,C,.013,.014,.021,.022,.016,.022,.026,.021,.015,.008,.004,.010,.011,.004,.005,.005,.006,.008,.010,.010,.009,.015,.062,00
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,C,C,.005,.004,.007,.010,.016,.007,.010,.017,.011,.005,.004,.002,.002,.002,.002,.002,.004,.013,.014,.012,.011,.008,.017,10
,OTAY MESA DVN,.009,C,C,.024,.024,.037,.025,.029,.030,.023,.012,.004,.006,.004,.003,.003,.003,.004,.003,.002,.004,.005,.004,.003,.012,.037,05
,PENDLETON,.010,C,C,.008,.008,.006,.008,P,,,,,,,,,,,,,,,,,.008,.010,00
03 NO2 PPM,ALPINE,.001,C,C,.001,.001,.001,.002,.003,.002,.001,.002,.003,.003,.003,.003,.002,.003,.005,.003,.003,.003,.002,.002,.002,.002,.005,17
,CARMEL MT RCH,.031,C,C,.021,.024,.032,.025,.017,.015,.013,.016,.016,.012,.009,.009,.010,.007,.009,.011,.008,.007,.004,.006,.013,.014,.032,05
,CHULA VISTA,.011,C,C,.006,.005,.008,.015,.016,.018,.013,.008,.011,.008,.007,.002,.002,.002,.002,.004,.005,.007,.012,.016,.019,.009,.019,23
,DOWNTOWN SES,.039,C,C,.012,.013,.019,.019,.013,.017,.019,.017,.013,.006,.003,.009,.010,.004,.004,.005,.006,.007,.010,.010,.008,.012,.039,00
,EL CAJON LES,.020,C,C,C,.020,.021,.018,.018,.015,.011,.006,.005,.004,.003,.003,.003,.003,.003,.003,.004,.004,.005,.006,.005,.009,.021,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,C,C,.005,.004,.007,.009,.012,.006,.008,.014,.009,.005,.004,.002,.002,.002,.003,.002,.004,.013,.014,.012,.011,.007,.014,10
,OTAY MESA DVN,.009,C,C,.021,.023,.031,.022,.021,.022,.018,.009,.004,.005,.003,.002,.003,.003,.003,.002,.002,.003,.004,.004,.003,.010,.031,05
,PENDLETON,.010,C,C,.008,.008,.007,.007,P,,,,,,,,,,,,,,,,,.008,.010,00
04 NO PPM,ALPINE,.000,C,C,.000,.000,.000,.000,.001,.000,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,CARMEL MT RCH,.005,C,C,.002,.003,.015,.009,.006,.006,.006,.009,.008,.006,.005,.005,.005,.004,.004,.005,.003,.001,.001,.001,.003,.005,.015,05
,CHULA VISTA,.000,C,C,.000,.000,.000,.002,.005,.006,.004,.002,.002,.002,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.006,08
,DOWNTOWN SES,.023,C,C,.000,.000,.001,.003,.003,.005,.007,.004,.003,.001,.001,.002,.002,.000,.000,.000,.000,.000,.000,.000,.000,.003,.023,00
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.000,.000,.000,.001,.004,.001,.002,.003,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,07
,OTAY MESA DVN,.000,C,C,.003,.002,.006,.003,.008,.008,.005,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.000,.002,.008,07
,PENDLETON,.000,C,C,.000,.000,.000,.001,P,,,,,,,,,,,,,,,,,.000,.001,06
06 CO PPM,CARMEL MT RCH,.9,C,C,.4,.6,1.2,.9,.5,.6,.5,.7,.8,.7,.6,.6,.7,.6,.6,.6,.5,.3,.2,.2,.5,.6,1.2,05
10 INTMP °C,ALPINE,26,26,26,27,26,26,27,25,24,24,24,24,24,24,24,24,24,25,25,26,26,26,26,26,25,27,03
,CARMEL MT RCH,26,27,27,27,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,01
,CHULA VISTA,25,25,24,24,24,24,24,25,25,25,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,25,00
,DOWNTOWN SES,23,24,24,24,24,24,24,24,24,23,22,22,22,22,22,22,23,23,23,23,23,23,24,24,23,24,01
,EL CAJON LES,25,24,24,24,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
