Current Date:,10/4/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/3/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.058,C,C,.057,.059,.057,.058,.055,.061,.061,.062,.061,.064,.074,.069,.069,.072,.065,.064,.061,.062,.062,.060,.060,.062,.074,13
,CHULA VISTA,.006,C,C,.024,.027,.030,.023,.030,.033,.040,.046,.059,.058,.075,.074,.074,.075,.064,.054,.036,.012,.017,.012,.013,.040,.075,13
,DOWNTOWN SES,.013,C,C,.011,.017,.026,.017,.032,.034,.043,.046,.059,.071,.072,.069,.069,.066,.058,.039,.019,.015,.003,.007,.011,.036,.072,13
,EL CAJON LES,.020,C,C,C,.008,.006,.011,.021,.036,.049,.058,.065,.068,.073,.066,.067,.064,.052,.043,.033,.034,.031,.023,.020,.040,.073,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.031,C,C,.038,.041,.041,.041,.045,.050,.054,.056,.063,.070,.067,.069,.069,.070,.065,.052,.037,<,<,.033,.037,.051,.070,12
,OTAY MESA DVN,.002,C,C,.020,.023,.036,.028,.028,.039,.048,.051,.064,.070,.066,.066,.063,.065,.061,.053,.030,.033,.029,.008,.038,.041,.070,12
,PENDLETON,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
02 NOX PPM,ALPINE,.001,C,C,.001,.001,.001,.002,.005,.002,.001,.002,.002,.002,.003,.002,.002,.002,.006,.004,.003,.002,.002,.001,.001,.002,.006,17
,CARMEL MT RCH,.028,C,C,.027,.023,.022,.034,.026,.022,.039,.026,.021,.012,.011,.010,.015,.015,.020,.023,.024,.027,.036,.034,.029,.024,.039,09
,CHULA VISTA,.027,C,C,.011,.008,.008,.015,.017,.023,.019,.015,.009,.008,.004,.003,.002,.003,.013,.019,.024,.037,.025,.027,.025,.016,.037,20
,DOWNTOWN SES,.028,C,C,.021,.019,.015,.025,.015,.019,.018,.016,.015,.011,.007,.006,.007,.010,.013,.027,.042,.044,.064,.056,.047,.024,.064,21
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,C,C,.006,.004,.005,.005,.006,.005,.004,.008,.006,.005,.004,.004,.003,.003,.005,.012,.019,<,<,.015,.013,.007,.019,19
,OTAY MESA DVN,.081,C,C,.021,.017,.009,.015,.022,.013,.008,.013,.009,.008,.005,.005,.004,.003,.003,.004,.027,.015,.018,.048,.006,.016,.081,00
,PENDLETON,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
03 NO2 PPM,ALPINE,.001,C,C,.001,.001,.000,.001,.004,.002,.001,.001,.002,.001,.002,.002,.001,.002,.005,.003,.003,.002,.002,.001,.001,.002,.005,17
,CARMEL MT RCH,.026,C,C,.024,.020,.019,.026,.018,.016,.027,.018,.015,.008,.007,.006,.011,.012,.016,.022,.023,.024,.031,.030,.026,.019,.031,21
