Current Date:,10/8/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/7/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.030,.029,C,C,.032,.028,.027,.027,.028,.035,.039,.042,.044,.049,.049,.048,.040,.036,.036,.037,.036,.033,.033,.029,.035,.049,13
,CHULA VISTA,.035,.032,C,C,.032,.027,.031,.036,.037,M,M,.038,.038,.039,.038,.039,.040,.039,.031,.028,.026,.022,.020,.026,.032,.040,16
,DOWNTOWN SES,.039,.039,C,C,.039,.036,.036,.040,.038,.040,.041,.042,.041,.035,.036,.038,.030,.037,.036,.033,.032,.027,.025,.020,.035,.042,11
,EL CAJON LES,.033,.032,C,C,C,.025,.022,.028,.031,.036,.038,.041,.044,.043,.040,.038,.035,.036,.034,.034,.033,.029,.026,.025,.033,.044,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.035,.035,C,C,.032,.029,.024,.031,.037,.038,.037,.041,.041,.039,.038,.037,.037,.035,.034,.030,.027,.027,.023,.023,.033,.041,11
,OTAY MESA DVN,.032,.027,C,C,.021,.024,.019,M,.028,.025,.033,.037,.038,.039,.036,.035,.032,.036,.033,.032,.028,.022,.014,.017,.028,.039,13
,PENDLETON,,,,,,,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
02 NOX PPM,ALPINE,.004,.004,C,C,.004,.005,.006,.006,.006,.004,.004,.005,.006,.005,.005,.005,.007,.006,.004,.003,.003,.003,.004,.004,.005,.007,16
,CARMEL MT RCH,.010,.011,C,C,.022,.009,.018,.010,.008,.028,.037,.026,.024,.032,.030,.020,.019,.021,.018,.008,.016,.012,.013,.007,.018,.037,10
,CHULA VISTA,.002,.004,C,C,.003,.008,.007,.004,.004,M,M,.007,.006,.003,.004,.003,.003,.003,.007,.008,.009,.011,.011,.007,.006,.011,21
,DOWNTOWN SES,.003,.002,C,C,.004,.007,.007,.005,.007,.005,.006,.004,.004,.010,.008,.006,.014,.006,.005,.007,.007,.009,.011,.016,.007,.016,23
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.005,.007,.012,.009,.007,.006,.008,.005,.003,.004,.004,.004,.004,.004,.004,.006,.008,.006,.008,.008,.006,.012,06
,OTAY MESA DVN,.003,.003,C,C,.006,.005,M,M,.008,.017,.014,.005,.004,.004,.005,.004,.008,.004,.003,.003,.004,.009,.016,.012,.007,.017,09
,PENDLETON,,,,,,,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
03 NO2 PPM,ALPINE,.004,.004,C,C,.003,.004,.005,.005,.004,.003,.003,.004,.005,.004,.004,.004,.006,.005,.003,.003,.002,.003,.003,.004,.004,.006,16
,CARMEL MT RCH,.007,.008,C,C,.013,.007,.011,.007,.006,.015,.020,.014,.012,.017,.016,.010,.010,.012,.011,.006,.011,.009,.008,.005,.011,.020,10
,CHULA VISTA,.002,.004,C,C,.003,.008,.007,.004,.004,M,M,.005,.004,.003,.003,.003,.003,.003,.007,.009,.009,.011,.011,.007,.006,.011,21
,DOWNTOWN SES,.002,.002,C,C,.004,.006,.007,.004,.006,.004,.005,.003,.003,.008,.007,.005,.013,.006,.005,.006,.007,.009,.010,.016,.006,.016,23
,EL CAJON LES,.004,.003,C,C,C,.005,.008,.005,.005,.005,M,.004,.003,.003,.005,.006,.004,.004,.005,.004,.004,.005,.005,.007,.005,.008,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.005,.007,.011,.008,.006,.005,.007,.004,.003,.004,.004,.004,.004,.004,.004,.006,.008,.006,.008,.008,.006,.011,06
,OTAY MESA DVN,.002,.003,C,C,.005,.005,M,M,.006,.013,.011,.004,.003,.003,.004,.004,.007,.003,.003,.002,.004,.008,.015,.011,.006,.015,22
,PENDLETON,,,,,,,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.001,.001,05
,CARMEL MT RCH,.002,.004,C,C,.009,.002,.007,.003,.003,.012,.017,.012,.012,.015,.014,.010,.009,.009,.006,.003,.005,.004,.005,.002,.008,.017,10
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.000,.000,M,M,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,11
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.001,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,13
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,OTAY MESA DVN,.000,.000,C,C,.001,.001,M,M,.001,.004,.003,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.001,.001,.000,.001,.004,09
,PENDLETON,,,,,,,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.3,.4,.3,.2,.4,.5,C,M,M,M,M,C,C,M,M,M,M,C,C,.3,.5,10
10 INTMP °C,ALPINE,26,25,25,25,26,26,26,26,25,25,25,25,25,24,24,24,25,25,25,25,25,26,25,26,25,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,26,26,26,27,14
,CHULA VISTA,24,25,25,24,24,25,24,24,24,25,25,25,25,25,25,24,24,24,24,24,24,24,25,24,24,25,01
,DOWNTOWN SES,23,23,23,23,23,23,23,M,23,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,25,25,25,<,<,<,25,25,25,24,25,24,24,24,24,25,25,25,25,25,25,25,25,25,00
,PENDLETON,,,,,,,P,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,P,P
11 PM2.5 µg/M3,ALPINE,10.0,11.1,9.8,9.0,10.6,10.2,9.3,8.3,10.3,6.8,7.5,6.0,10.3,7.9,5.3,3.5,7.8,5.7,3.4,5.4,5.3,4.3,1.3,.1,7.0,11.1,01
,DOWNTOWN SES,5.5,3.7,5.6,7.0,4.6,7.4,5.4,5.3,6.2,5.8,7.3,5.2,4.3,2.3,.3,3.8,6.4,4.5,4.2,6.6,4.8,4.6,7.5,6.1,5.1,7.5,22
,EL CAJON LES,8.0,7.1,8.1,6.4,6.2,8.7,6.7,6.8,14.1,9.8,11.1,7.7,5.6,3.9,2.7,4.2,6.0,5.0,4.7,3.8,7.5,6.6,5.1,10.6,6.9,14.1,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.7,4.0,3.5,2.9,4.6,7.4,13.3,8.3,5.2,9.8,10.6,M,M,5.7,5.2,5.0,3.9,2.2,2.3,4.1,5.0,3.8,13.0,8.8,6.0,13.3,06
,PENDLETON,,,,,,,11.5,9.9,9.1,9.2,10.8,7.4,6.2,7.4,5.5,2.5,2.1,4.2,5.6,3.9,3.3,5.9,5.5,4.1,6.3,11.5,06
12 VWDR °,ALPINE,234,210,213,235,235,126,136,205,264,245,279,278,291,277,226,257,278,288,322,342,317,130,135,277,0,342,19
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,317,301,314,331,332,332,259,250,228,215,242,255,255,278,238,284,283,301,4,349,336,28,274,280,0,349,19
,EL CAJON LES,256,235,247,241,216,153,185,153,223,228,258,244,223,270,230,245,261,285,358,53,305,92,235,257,0,358,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,277,273,273,287,273,190,261,229,231,201,249,247,248,277,252,286,290,307,18,17,323,50,270,289,0,323,20
,OTAY MESA DVN,281,273,283,24,294,<,<,<,294,244,289,285,295,292,288,286,293,311,354,355,328,112,247,338,0,355,19
,PENDLETON,,,,,,,P,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,0,P,P
13 SIGTHETA °,ALPINE,32,24,26,23,30,21,15,49,27,46,32,29,32,29,41,34,27,29,44,60,25,34,37,33,32,60,19
,CHULA VISTA,24,25,30,30,35,20,20,29,27,64,22,22,32,22,23,22,20,23,29,33,28,56,25,49,30,64,09
,DOWNTOWN SES,23,33,28,32,23,51,21,24,28,35,31,30,40,23,26,25,23,30,28,31,39,37,45,26,31,51,05
,EL CAJON LES,17,20,20,56,21,14,31,41,51,35,23,33,31,23,30,24,19,26,27,27,34,25,30,27,29,56,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,9,39,22,20,22,26,50,28,31,21,24,27,21,31,12,12,14,25,27,38,44,41,26,26,50,07
,OTAY MESA DVN,13,13,22,27,33,<,<,<,27,49,16,18,49,15,16,14,13,14,28,18,19,39,21,22,23,49,09
,PENDLETON,,,,,,,P,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,P,P
14 VWSP MPH,ALPINE,1.4,1.9,2.7,2.3,1.5,1.8,3.7,1.1,2.7,2.0,3.8,3.6,3.4,3.7,1.4,3.3,3.5,3.4,1.7,.8,1.2,2.0,2.4,3.1,.0,3.8,10
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,2.5,1.4,1.8,2.0,2.6,1.2,3.8,2.8,3.1,2.9,3.9,4.9,4.1,5.0,4.4,5.2,4.9,2.6,2.1,1.1,2.2,1.5,2.4,2.6,.0,5.2,15
,EL CAJON LES,3.1,2.8,3.0,.9,1.5,1.7,1.4,.7,1.3,2.3,4.5,4.5,4.0,4.8,2.8,4.5,6.6,4.1,2.2,2.1,1.6,2.8,1.8,3.5,.0,6.6,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.5,4.4,2.4,1.0,1.1,.6,.5,1.5,3.6,2.6,5.3,5.7,5.5,5.5,4.3,8.8,6.8,3.5,2.4,1.3,1.9,1.8,4.7,2.8,.0,8.8,15
,OTAY MESA DVN,3.4,2.5,2.0,1.4,1.1,<,<,<,2.8,1.8,7.8,7.2,4.0,7.9,6.3,7.2,7.3,5.0,3.0,2.8,2.3,1.4,2.8,2.0,.0,7.9,13
,PENDLETON,,,,,,,P,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.0,P,P
15 SWSP MPH,ALPINE,1.8,2.3,2.9,2.5,1.7,1.9,3.8,1.8,3.1,3.1,4.8,4.1,4.1,4.8,2.6,3.9,4.0,3.8,2.5,1.4,1.4,3.4,4.4,3.5,3.1,4.8,10
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,2.7,1.8,2.2,2.2,2.8,1.8,4.1,3.1,3.5,3.4,4.6,5.6,5.0,5.3,4.9,5.6,5.4,3.5,2.5,1.8,3.6,1.9,2.8,2.8,3.5,5.6,11
,EL CAJON LES,3.3,3.0,3.2,1.6,1.8,1.7,1.8,1.5,1.9,2.9,4.9,5.3,4.8,5.4,3.4,5.0,6.9,4.5,2.8,2.4,1.9,3.1,2.4,3.9,3.3,6.9,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.5,4.5,2.5,1.2,1.2,1.8,3.5,2.6,4.1,3.5,5.6,6.3,6.1,5.9,4.8,9.0,7.0,4.0,2.7,3.3,3.4,2.7,5.2,3.4,4.1,9.0,15
,OTAY MESA DVN,3.5,2.6,2.2,1.8,1.5,<,<,<,3.1,3.1,8.3,7.8,4.8,8.2,6.6,7.5,7.5,5.3,3.6,3.4,2.6,3.2,3.8,2.9,4.4,8.3,10
,PENDLETON,,,,,,,P,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,P,P
16 AMBTEMP °F,ALPINE,59.9,59.7,59.3,58.7,58.6,58.9,59.4,59.9,60.9,62.9,64.3,63.7,64.3,65.2,64.8,64.9,62.8,59.7,59.1,59.3,59.3,59.3,62.8,58.9,61.1,65.2,13
,CARMEL MT RCH,63.5,63.2,63.2,63.3,63.2,62.9,63.2,64.4,66.6,68.6,67.9,67.7,67.9,69.0,69.3,66.6,65.4,64.8,64.6,64.5,64.3,64.0,63.9,62.8,65.2,69.3,14
,CHULA VISTA,66.4,66.5,66.5,66.2,65.7,65.8,65.8,66.1,67.3,68.5,68.7,69.7,71.1,70.4,70.1,68.7,67.6,67.2,67.4,67.4,67.2,67.3,66.7,66.7,67.5,71.1,12
