Current Date:,10/3/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/2/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,OTAY MESA DVN,.001,.000,C,C,.001,.001,.003,.021,.011,.007,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.001,.011,.002,.004,.003,.021,07
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
06 CO PPM,CARMEL MT RCH,.9,.8,C,C,C,1.1,1.3,1.1,.5,.3,.5,.8,.8,.8,.8,.8,.8,1.2,1.1,1.2,1.2,1.3,1.3,1.2,.9,1.3,06
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,24,24,23,24,24,24,23,24,24,24,24,24,24,24,24,25,24,25,00
,CARMEL MT RCH,26,26,26,27,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,03
,CHULA VISTA,25,25,25,25,24,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,00
,DOWNTOWN SES,23,23,23,23,23,23,24,23,23,23,22,22,22,21,21,21,22,22,22,23,23,23,23,23,23,24,06
,EL CAJON LES,24,25,25,25,25,25,25,25,25,24,24,24,24,24,23,23,24,24,24,24,24,24,24,24,24,25,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,23,23,23,23,23,23,23,23,24,23,24,25,26,26,26,25,25,24,23,24,23,23,23,24,24,26,12
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,24,24,24,23,23,23,23,22,23,23,24,24,24,25,25,24,25,00
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
11 PM2.5 µg/M3,ALPINE,4.8,4.1,3.1,3.3,3.8,4.0,2.7,.8,.7,1.2,1.1,.2,-.1,.0,3.6,6.0,4.4,5.5,9.0,6.6,5.7,6.7,5.0,3.3,3.5,9.0,18
,DOWNTOWN SES,14.3,13.6,11.3,6.5,7.3,8.9,8.5,6.4,7.8,7.1,8.6,6.8,6.2,12.0,12.8,10.3,17.6,15.5,12.5,10.8,16.5,17.6,16.5,22.9,11.5,22.9,23
,EL CAJON LES,15.9,8.8,8.0,11.2,10.3,7.6,8.0,10.0,9.0,5.7,3.9,3.9,7.2,10.7,6.9,5.5,4.5,6.1,12.4,16.8,16.7,18.2,13.8,13.5,9.7,18.2,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,12.5,19.5,16.7,29.7,27.0,14.5,12.8,23.9,16.0,15.3,4.7,2.8,4.1,6.7,6.5,3.5,9.9,8.7,7.7,33.1,23.0,55.4,9.8,37.8,16.7,55.4,21
,PENDLETON,12.5,7.9,9.7,8.7,7.9,6.7,9.4,7.8,9.8,18.4,15.0,12.5,21.7,18.5,16.2,13.0,8.3,11.6,15.2,17.1,15.7,17.6,11.2,14.7,12.7,21.7,12
12 VWDR °,ALPINE,64,102,94,84,104,14,228,113,105,151,146,142,154,166,257,266,276,263,69,43,64,69,81,91,0,276,16
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,354,74,341,25,54,349,319,338,221,269,279,321,310,293,287,278,277,124,188,322,209,324,342,55,0,354,00
,EL CAJON LES,226,213,117,215,115,196,48,322,246,292,298,231,318,266,254,253,263,196,122,94,113,87,94,155,0,322,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,62,30,38,31,57,50,33,66,53,211,204,265,301,301,297,299,318,288,290,106,22,350,349,94,0,350,21
,OTAY MESA DVN,11,175,151,175,103,124,146,143,145,185,165,180,283,275,290,271,264,331,42,55,154,135,12,129,0,331,17
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,0,<,<
13 SIGTHETA °,ALPINE,59,45,38,34,68,63,58,24,30,23,32,51,53,43,33,28,25,39,16,32,12,39,22,15,37,68,04
,CHULA VISTA,21,16,23,24,21,38,28,22,28,38,24,22,24,23,24,21,24,22,27,33,52,42,51,21,28,52,20
,DOWNTOWN SES,40,68,62,36,54,50,27,62,43,26,14,20,19,22,22,19,29,28,17,55,34,48,35,29,36,68,01
,EL CAJON LES,64,44,46,37,33,36,57,66,47,25,46,43,40,28,21,21,18,21,36,64,47,58,42,60,42,66,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,13,10,6,8,5,9,14,34,50,29,26,22,14,11,13,12,23,17,27,19,20,17,17,13,18,50,08
,OTAY MESA DVN,36,45,74,44,71,59,42,41,37,27,25,64,18,20,17,17,29,20,21,35,19,48,22,35,36,74,02
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
14 VWSP MPH,ALPINE,1.0,1.8,1.9,2.1,1.2,1.0,.5,3.2,4.6,6.3,6.5,4.8,4.2,5.4,6.0,6.0,4.4,1.1,1.1,.6,1.4,1.0,1.3,1.5,.0,6.5,10
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,1.1,.2,.3,.4,1.2,1.1,1.0,.4,1.5,2.6,5.0,7.2,7.1,6.3,5.7,5.2,3.0,2.8,3.5,.5,.7,.9,1.3,1.2,.0,7.2,11
,EL CAJON LES,.2,.3,.0,.0,.0,.0,.1,.4,.9,2.1,2.4,3.3,4.0,7.7,8.1,6.0,4.6,1.9,1.0,.5,1.1,.5,.7,.2,.0,8.1,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.5,4.3,5.2,7.2,5.2,5.6,4.8,2.1,.8,3.7,5.2,7.3,12.0,13.5,12.4,7.5,3.8,3.1,2.4,2.1,3.2,4.1,3.0,2.5,.0,13.5,13
