Current Date:,10/11/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/10/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.043,C,C,.050,.047,.044,.044,.042,.050,.055,.056,.057,.060,.063,.061,.060,.059,.054,.051,.046,.049,.051,.053,.055,.052,.063,13
,CHULA VISTA,.009,C,C,.011,.006,.007,.015,.020,.035,.043,.050,.053,.057,.059,.058,.052,.045,.036,.030,.031,.026,.014,.009,.014,.030,.059,13
,DOWNTOWN SES,.012,.013,.012,.008,.009,.010,.015,.024,.031,.039,.040,.047,.056,.058,.057,.053,.053,.048,.041,.040,.030,.016,.009,.008,.030,.058,13
,EL CAJON LES,.010,C,C,C,.007,.006,.007,.022,.029,.040,.053,.059,.061,.060,.059,.058,.056,.051,.041,.032,.020,.016,.014,.016,.034,.061,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.021,C,C,.015,.014,.013,.013,.022,.033,.045,.056,.056,.058,.059,.059,.056,.055,.042,.036,.032,.027,.014,.012,.027,.034,.059,13
,OTAY MESA DVN,.025,C,C,.011,.021,.014,.014,.022,.027,.039,.050,.056,.059,.060,.060,.056,.050,.043,.037,.030,.022,.022,.013,.009,.033,.060,13
,PENDLETON,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
02 NOX PPM,ALPINE,.003,C,C,.002,.002,.002,.004,.005,.006,.003,.002,.001,.002,.002,.002,.002,.002,.004,.006,.005,.003,.002,.002,.001,.003,.006,08
,CARMEL MT RCH,.018,C,C,.016,.012,.024,.025,.015,.006,.014,.017,.016,.015,.013,.013,.012,.014,.016,.013,.014,.015,.012,.020,.032,.016,.032,23
