Current Date:,10/6/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/5/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.039,.043,C,C,.028,.029,.026,.027,.028,.035,.037,.042,.052,.052,.054,.055,.051,.048,.045,.042,.036,.031,.031,.032,.039,.055,15
,CHULA VISTA,.029,.032,C,C,.019,.026,.027,.024,.028,.038,.048,.050,.050,.049,.049,.051,.048,.047,.043,.037,.038,.035,.021,.020,.036,.051,15
,DOWNTOWN SES,.033,.042,C,C,.024,.026,.028,.030,.029,.041,.048,.052,.054,.052,.051,.052,.046,.048,.043,.039,.037,.042,.028,.022,.039,.054,12
,EL CAJON LES,.033,.038,C,C,C,.026,.028,.026,.026,.029,.041,.047,.051,.052,.050,.048,<,.045,.044,.039,.028,.023,.018,.028,.036,.052,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.036,.037,C,C,.008,.013,.011,.023,.033,.036,.042,.051,.053,.051,.050,.050,.048,.043,.032,.030,.027,.025,.022,.012,.033,.053,12
,OTAY MESA DVN,.034,.036,C,C,.017,.015,.017,.020,.023,.026,.035,.045,.046,.048,.047,.044,.046,.043,.039,.035,.032,.028,.030,.022,.033,.048,13
,PENDLETON,<,P,,,,,,P,<,<,,,,,,,,,,,,,,,,P,P
02 NOX PPM,ALPINE,.002,.001,C,C,.005,.006,.007,.008,.009,.004,.005,.004,.007,.005,.003,.004,.005,.005,.004,.005,.005,.008,.007,.005,.005,.009,08
,CARMEL MT RCH,.005,.005,C,C,.021,.018,.011,.013,.012,.021,.042,.034,.033,.026,.024,.016,.019,.020,.018,.020,.021,.025,.019,.015,.020,.042,10
,CHULA VISTA,.006,.003,C,C,.008,.008,.009,.015,.014,.010,.003,.002,.002,.002,.002,.002,.005,.003,.004,.005,.004,.003,.010,.013,.006,.015,07
,DOWNTOWN SES,.006,.003,C,C,.012,.012,.012,.012,.013,.009,.006,.003,.003,.004,.004,.003,.008,.005,.007,.006,.009,.006,.012,.015,.008,.015,23
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
