,DOWNTOWN SES,.009,.004,.005,.007,.006,.006,.013,.009,.013,.009,.006,.004,.007,.004,.004,.005,.004,.005,.004,.006,.007,.008,.010,.014,.007,.014,23
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.007,C,C,.007,.008,.008,.005,.005,.004,.005,M,M,M,.003,.003,.002,.004,.004,.006,.008,.011,.012,.010,.006,.012,22
,OTAY MESA DVN,.008,.007,C,C,.006,.006,.004,.002,.002,.003,.004,.003,.004,.002,.004,.004,.004,.005,.006,.005,.004,.004,.004,.005,.004,.008,00
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
03 NO2 PPM,ALPINE,.005,.004,C,C,.003,.003,.003,.003,.003,.002,.001,.002,.003,.002,.002,.001,.002,.003,.004,.005,.004,.003,.003,.003,.003,.005,00
,CARMEL MT RCH,.007,.004,C,C,.015,.015,.021,.021,.017,.014,.011,.011,.008,.009,.008,.008,.008,.008,.008,.009,.011,.009,.007,.009,.011,.021,06
,CHULA VISTA,.003,.006,C,C,.010,.005,.010,.009,.007,.003,.002,.002,.002,.002,.003,.004,.006,.007,.006,.005,.007,.014,.015,.014,.006,.015,22
,DOWNTOWN SES,.009,.004,.005,.007,.006,.006,.012,.008,.010,.007,.004,.003,.005,.003,.003,.004,.003,.004,.004,.006,.007,.007,.009,.014,.006,.014,23
,EL CAJON LES,.008,.008,C,C,C,.006,.005,.005,.004,.003,.004,.004,.003,.002,.002,.002,.003,.003,.004,.006,.005,.005,.006,.008,.005,.008,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.007,C,C,.006,.008,.008,.004,.004,.003,.004,M,M,M,.002,.003,.002,.004,.004,.005,.008,.010,.011,.009,.006,.011,22
,OTAY MESA DVN,.008,.006,C,C,.005,.005,.004,.001,.001,.002,.003,.002,.002,.002,.003,.003,.003,.005,.006,.005,.004,.003,.004,.004,.004,.008,00
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.000,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,CARMEL MT RCH,.002,.001,C,C,.011,.016,.021,.022,.024,.020,.016,.015,.012,.011,.010,.010,.008,.008,.008,.007,.006,.005,.003,.004,.011,.024,08
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.003,.001,.001,.000,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.001,.003,07
,DOWNTOWN SES,.000,.000,.000,.000,.000,.000,.001,.001,.002,.002,.002,.001,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.001,.002,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.001,.001,.001,M,M,M,.001,.001,.000,.000,.000,.000,.000,.000,.001,.001,.000,.001,08
,OTAY MESA DVN,.001,.001,C,C,.000,.001,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.001,.001,.001,00
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
06 CO PPM,CARMEL MT RCH,M,C,C,C,C,C,M,.5,.5,.5,C,C,M,C,C,C,.7,.6,.5,.6,.6,.6,.4,.5,.5,.7,16
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,CARMEL MT RCH,26,26,26,27,27,26,26,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,27,03
,CHULA VISTA,24,24,24,25,24,25,25,25,25,24,24,24,24,25,25,24,24,24,25,25,25,24,24,24,24,25,03
,DOWNTOWN SES,23,23,23,23,23,23,24,23,23,23,23,23,23,23,22,23,23,23,23,23,23,23,24,24,23,24,06
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,24,25,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,24,25,25,25,24,24,24,24,24,25,24,24,24,24,24,24,24,24,23,23,22,22,22,24,25,00
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,24,24,25,25,25,25,25,25,25,25,00
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
11 PM2.5 µg/M3,ALPINE,2.6,1.8,1.7,2.3,.9,-.6,2.7,2.8,1.5,.5,-2.0,-3.1,-1.5,.3,1.9,7.8,6.2,6.3,5.5,4.0,8.4,6.3,2.9,1.9,2.5,8.4,20
,DOWNTOWN SES,2.9,2.4,2.6,5.0,4.1,1.1,.7,2.6,M,3.7,2.1,-.8,.1,3.3,3.8,4.3,4.1,5.0,2.9,1.1,4.0,1.7,.7,4.6,2.6,5.0,03
,EL CAJON LES,10.0,6.7,4.9,9.8,5.8,2.1,1.1,2.5,10.4,6.3,2.6,2.4,6.4,5.3,4.9,2.3,2.3,5.7,3.8,3.1,5.7,6.5,6.0,6.0,5.1,10.4,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,8.2,6.8,5.3,3.7,5.2,6.2,2.8,2.6,3.4,.8,-.4,.7,.9,-.1,1.3,4.3,6.7,5.7,5.1,2.9,2.2,1.2,.0,.1,3.1,8.2,00
,PENDLETON,2.8,5.6,6.0,4.3,4.9,7.7,6.2,3.3,1.7,1.1,5.1,6.0,3.3,3.3,3.2,1.9,1.3,2.6,6.3,5.9,3.1,4.1,6.4,7.5,4.3,7.7,05
12 VWDR °,ALPINE,299,62,221,234,304,252,273,186,247,200,240,268,280,279,289,270,288,289,281,237,218,183,249,129,0,304,04
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,289,25,329,299,323,340,346,326,278,283,260,269,284,294,309,298,310,302,324,346,349,333,12,349,0,349,20
,EL CAJON LES,209,39,298,261,357,239,201,145,160,138,167,235,251,271,304,298,302,294,278,318,322,1,359,126,0,359,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,278,55,319,276,321,259,56,296,266,249,275,282,294,297,309,307,306,300,301,298,297,63,87,54,0,321,04
,OTAY MESA DVN,19,28,329,272,350,316,334,11,10,286,286,295,289,288,288,286,279,281,292,324,338,331,337,31,0,350,04
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,0,<,<
13 SIGTHETA °,ALPINE,40,61,39,42,41,27,28,33,31,29,34,28,30,28,26,30,26,28,25,29,21,28,37,16,32,61,01
,CHULA VISTA,22,23,34,26,28,40,28,29,37,25,25,25,21,23,21,21,18,16,18,18,27,17,46,22,25,46,22
,DOWNTOWN SES,39,26,41,28,21,26,42,25,30,36,25,24,26,25,26,24,23,21,24,19,18,20,32,50,28,50,23
,EL CAJON LES,56,21,28,39,54,40,38,56,21,45,35,29,23,21,23,31,16,17,19,21,42,40,33,15,32,56,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,51,18,42,16,15,33,62,28,17,18,17,16,13,13,14,13,13,8,7,9,37,19,10,7,21,62,06
,OTAY MESA DVN,21,28,37,29,21,15,17,18,20,34,18,16,16,15,13,14,10,9,9,14,17,16,14,10,18,37,02
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
14 VWSP MPH,ALPINE,.2,.6,1.2,1.5,1.3,2.8,2.5,1.2,1.9,1.3,2.9,3.5,4.2,5.1,4.4,3.6,3.3,1.8,.9,1.1,1.5,1.3,.7,.9,.0,5.1,13
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,2.3,2.7,1.2,1.7,3.2,2.0,1.4,3.4,2.7,2.7,4.1,5.1,6.4,7.7,6.3,6.6,6.3,5.2,4.4,3.3,2.0,2.4,1.1,.3,.0,7.7,13
,EL CAJON LES,.4,2.9,1.4,2.3,1.6,1.3,1.3,.7,1.9,1.5,1.6,4.5,5.3,6.4,6.4,4.1,5.7,4.6,3.7,2.2,1.4,.6,.8,.6,.0,6.4,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.8,5.2,1.2,3.9,3.5,1.3,1.0,2.2,3.8,3.9,5.0,6.8,8.9,10.5,8.5,7.5,7.3,6.6,5.5,3.9,1.7,2.5,1.8,2.0,.0,10.5,13
,OTAY MESA DVN,3.0,3.7,1.9,2.9,3.4,3.4,3.7,4.4,2.7,1.7,5.0,5.3,7.7,9.4,9.5,8.2,9.1,6.8,4.9,3.2,2.8,2.6,2.4,2.4,.0,9.5,14
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.0,<,<
15 SWSP MPH,ALPINE,1.2,1.2,2.2,3.6,2.4,3.3,2.8,1.5,2.3,2.0,3.5,3.9,4.7,5.7,5.0,4.2,3.8,2.0,1.0,1.6,1.8,1.5,.9,.9,2.6,5.7,13
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,3.2,3.1,1.6,2.0,3.9,2.3,2.1,3.9,3.2,3.2,4.6,6.2,7.4,8.5,7.0,7.3,6.8,5.7,4.8,3.4,2.1,2.6,2.0,.3,4.1,8.5,13
,EL CAJON LES,1.0,3.2,2.5,2.7,2.2,1.5,2.4,1.2,2.0,2.0,2.6,5.1,5.7,6.8,6.8,4.8,6.1,4.8,3.9,2.4,1.6,.8,1.0,.6,3.1,6.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.8,5.4,2.7,4.2,4.2,2.7,1.3,2.6,4.0,4.1,5.3,7.1,9.2,10.8,8.8,7.7,7.6,6.7,5.5,4.0,2.0,2.7,1.8,2.1,4.8,10.8,13
,OTAY MESA DVN,3.6,4.7,3.7,3.7,3.9,3.8,4.4,4.7,3.0,2.1,5.3,5.6,8.1,9.8,9.8,8.5,9.3,7.0,5.0,3.4,2.9,2.7,2.5,2.5,5.0,9.8,13
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
16 AMBTEMP °F,ALPINE,58.5,58.3,58.1,57.9,57.6,57.2,56.5,56.6,57.1,58.0,60.1,60.0,60.7,62.1,61.9,62.3,60.8,58.4,56.9,56.0,55.4,55.0,54.7,54.3,58.1,62.3,15
,CARMEL MT RCH,62.9,62.1,61.1,61.0,61.4,61.5,60.9,61.1,61.3,62.4,64.0,65.7,65.7,65.6,65.3,65.7,64.9,62.2,60.8,60.6,60.1,60.4,60.1,59.9,62.4,65.7,11
,CHULA VISTA,66.1,64.5,64.1,64.2,64.2,63.0,63.3,64.0,64.2,65.1,66.8,68.5,69.3,69.5,68.5,68.8,67.6,65.7,64.7,63.9,63.3,62.6,62.7,61.6,65.3,69.5,13
,DOWNTOWN SES,66.5,64.8,64.5,64.5,64.1,63.5,64.2,64.3,65.3,66.4,67.5,68.7,69.4,69.0,69.0,68.6,67.5,65.6,64.8,64.4,64.2,64.0,63.6,62.8,65.7,69.4,12
,EL CAJON LES,64.9,63.8,63.1,63.0,63.0,62.7,61.6,62.2,62.9,63.9,65.6,67.8,69.1,69.6,69.4,69.2,67.6,65.1,63.4,62.3,61.9,62.2,61.4,59.5,64.4,69.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,64.4,63.5,63.2,62.9,63.0,61.4,61.7,62.2,63.4,64.5,65.5,66.6,67.3,67.3,67.4,66.6,65.7,63.1,61.9,61.6,61.4,59.3,59.0,59.4,63.4,67.4,14
,OTAY MESA DVN,63.5,63.1,62.5,61.9,62.0,62.2,61.0,61.7,62.4,63.6,64.2,65.1,66.9,67.8,67.0,66.7,66.3,62.9,61.7,61.2,61.2,61.2,60.6,59.5,63.2,67.8,13
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
17 RELHUM %,ALPINE,99,100,100,100,100,100,100,100,100,100,94,95,92,86,84,79,84,92,97,100,100,100,100,100,96,100,01
,EL CAJON LES,84,91,93,94,93,94,96,97,96,92,85,74,67,64,63,62,65,70,76,79,81,80,82,88,82,97,07
,KEARNY MESA,89,94,96,97,97,97,98,97,92,88,82,77,73,73,69,72,73,81,85,85,85,89,92,92,86,98,06
18 PRES mmHg,EL CAJON LES,751,750,750,750,750,750,751,751,752,752,752,752,751,751,750,750,750,750,750,751,751,751,751,751,751,752,08
,KEARNY MESA,751,751,750,750,750,751,751,752,752,752,752,752,752,751,751,751,751,751,751,751,751,752,751,751,751,752,07
19 SOLAR W/M2,EL CAJON LES,-5,-5,-5,-6,-7,-7,0,50,153,137,276,452,394,406,309,230,92,-4,-7,-6,-5,-4,-6,-7,101,452,11
,KEARNY MESA,0,0,0,0,0,1,7,63,147,213,231,394,348,394,404,202,109,6,0,0,0,0,0,0,105,404,14
25 NOY,EL CAJON LES,8.23,7.70,5.20,6.19,6.27,C,C,4.75,4.26,3.50,4.78,5.31,4.17,2.84,3.22,2.80,3.59,3.33,3.83,5.60,5.17,4.79,5.61,8.30,4.97,8.30,23
26 NOY-NO,EL CAJON LES,8.19,7.67,5.18,6.16,6.24,C,C,4.32,3.59,3.05,3.83,4.10,3.37,2.31,2.59,2.32,3.06,3.15,3.68,5.28,4.95,4.77,5.47,8.19,4.61,8.19,00
27 NO Trace,EL CAJON LES,.03,.03,.01,.02,.02,C,C,.42,.67,.45,.94,1.20,.80,.52,.63,.48,.52,.18,.15,.31,.22,.02,.13,.11,.35,1.20,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,268.9,253.8,C,C,C,210.1,221.2,224.8,193.0,184.0,211.9,190.1,190.7,170.1,185.5,184.5,200.8,199.7,207.7,243.3,233.3,231.0,230.7,284.3,215.2,284.3,23
BCarbon ug/m3,10TH AVE MARINE TERM,.17,.22,.24,.31,.24,.30,.45,.26,.17,.11,.18,.11,.07,.14,.12,.18,.16,.10,.14,.11,.09,.09,.09,.15,.18,.45,06
,ALPINE,.21,.22,.19,.21,.18,.14,.14,.12,.06,.05,.04,.10,.14,.11,.09,.07,.10,.28,.14,.15,.22,.14,.14,.13,.14,.28,17
,CHICANO PARK,.19,.29,.27,.36,.39,.47,.71,.55,.48,.36,.26,.31,.26,.32,.43,.31,.35,.83,.28,.36,.33,.27,.35,.71,.39,.83,17
,DOWNTOWN SES,.25,.20,.27,.31,.23,.22,.55,.27,.36,.24,.15,.12,.18,.16,.17,.19,.17,.19,.19,.33,.46,.35,.45,.58,.27,.58,23
,OCEANVIEW BLVD,.24,.18,.24,.36,.36,.26,.50,.28,.36,.27,.28,.22,.23,.24,.18,.26,.21,.23,.21,.27,.52,.48,.51,1.17,.34,1.17,23
,SAN YSIDRO,.01,<,.01,.01,.02,<,.02,.02,<,<,<,<,<,<,<,<,<,<,.02,.02,.02,.02,.02,.03,.02,.03,23
RAINFALL,EL CAJON LES,.02,.08,.01,.00,.00,.01,.02,.01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.08,01
