Current Date:,10/12/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/11/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.056,.057,C,C,.057,.052,.047,.041,.047,.049,.049,.050,.049,.050,.047,.046,.047,.045,.044,.043,.042,.041,.040,.040,.047,.057,01
,CHULA VISTA,.013,.014,C,C,.003,.005,.008,.011,.027,.040,.040,.041,.042,.043,.042,.043,.041,.040,.041,.041,.040,.036,.036,.035,.031,.043,13
,DOWNTOWN SES,.011,.013,.010,.014,.018,.007,.010,.017,M,.039,.040,.041,.043,.043,.042,.043,.041,.042,.042,.042,.041,.039,.038,.037,.031,.043,12
,EL CAJON LES,.011,.011,C,C,C,.009,.010,.019,.040,.037,.043,.042,.042,.043,.042,.042,.042,.040,.040,.038,.038,.037,.039,.035,.033,.043,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.017,.017,C,C,.011,.004,.010,.020,.029,.041,.040,.041,.043,.043,.042,.043,.040,.041,.041,.039,.038,.038,.038,.036,.032,.043,12
,OTAY MESA DVN,.020,.008,C,C,.010,.021,.016,.020,.033,.037,.038,.038,.040,.041,.039,.040,.039,.037,.037,.038,.035,.033,.032,.033,.031,.041,13
,PENDLETON,<,C,C,C,<,<,M,M,.024,.036,.041,.041,.041,.044,.044,.044,.042,.043,.044,.037,.038,.035,.035,.031,.038,.044,13
02 NOX PPM,ALPINE,.001,.001,C,C,.002,.005,.006,.012,.005,.005,.007,.004,.003,.002,.002,.002,.001,.001,.001,.002,.002,.002,.002,.002,.003,.012,07
,CARMEL MT RCH,.013,.023,C,C,.017,.017,.020,.014,.009,.019,.017,.020,.024,.028,.027,.025,.015,.014,.014,.017,.012,.009,.009,.007,.017,.028,13
,CHULA VISTA,.011,.010,C,C,.028,.026,.030,.041,.022,.003,.003,.002,.002,.002,.001,.001,.001,.001,.002,.002,.002,.004,.004,.003,.009,.041,07
,DOWNTOWN SES,.018,.014,.015,.015,.014,.029,.032,.029,M,.006,.004,.006,.003,.004,.004,.003,.003,.004,.003,.003,.004,.005,.005,.003,.010,.032,06
