03 NO2 PPM,ALPINE,.000,.000,C,C,.001,.002,.002,.007,.004,.003,.004,.007,.006,.004,.004,.006,.011,.009,.009,.006,.005,.004,.003,.002,.005,.011,16
,CARMEL MT RCH,.028,.033,C,C,.040,.038,.042,.021,.042,.037,.040,.030,.035,.034,.023,.018,.017,.018,.017,.013,.012,.007,.013,.005,.026,.042,06
,CHULA VISTA,.012,.011,C,C,.013,.029,.033,.015,.019,.026,.015,.012,.007,.008,.006,.005,.005,.005,.004,.003,.004,.009,.007,.007,.012,.033,06
,DOWNTOWN SES,.044,.034,C,C,.023,.036,.031,M,.031,.030,.018,.013,.010,.012,.011,.008,.010,.012,.007,.004,.008,.007,.005,.007,.017,.044,00
,EL CAJON LES,.014,.014,C,C,C,.022,.024,.029,.019,.010,.017,.009,.009,.011,.009,.010,.007,.008,.009,.005,.003,.004,.006,.005,.012,.029,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.009,C,C,.009,.027,.038,.019,.027,.014,.015,.023,.014,.013,.011,.005,.005,.006,.013,.012,.005,.005,.007,.007,.013,.038,06
,OTAY MESA DVN,.018,.026,C,C,.026,.030,.023,.041,.046,.028,.022,.021,.013,.007,.008,.007,.006,.007,.011,.012,.005,.002,.010,.008,.017,.046,08
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.002,.004,C,C,.025,.031,.034,.007,.035,.025,.024,.018,.019,.016,.008,.009,.007,.005,.005,.004,.002,.002,.004,.001,.013,.035,08
,CHULA VISTA,.000,.000,C,C,.000,.001,.009,.003,.005,.007,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.003,.000,.000,.001,.009,06
,DOWNTOWN SES,.011,.003,C,C,.002,.010,.008,M,.013,.009,.003,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.003,.013,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.022,.005,.008,.003,.002,.003,.001,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.022,06
,OTAY MESA DVN,.000,.002,C,C,.001,.005,.010,.034,.022,.007,.004,.003,.003,.001,.001,.001,.001,.001,.000,.001,.001,.000,.000,.000,.004,.034,07
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
06 CO PPM,CARMEL MT RCH,.9,.7,C,C,C,1.2,1.3,.9,1.0,.7,.7,C,.7,.8,.7,.7,.7,.6,.5,.4,.4,.3,.4,.3,.7,1.3,06
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,25,24,24,24,24,23,24,24,24,24,24,24,24,24,25,25,25,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,26,26,26,25,25,25,25,26,26,26,26,26,26,26,26,00
,CHULA VISTA,24,24,24,25,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,03
,DOWNTOWN SES,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,00
,EL CAJON LES,24,25,24,25,24,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,23,23,23,23,23,23,23,23,23,23,23,23,24,25,25,24,23,24,24,24,24,24,24,24,25,14
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,24,24,24,24,24,23,23,23,23,24,24,24,25,25,25,24,25,00
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
11 PM2.5 µg/M3,ALPINE,7.1,6.5,3.8,4.1,2.7,2.2,4.7,5.8,4.6,5.8,2.5,8.1,9.0,7.2,8.3,8.3,13.6,13.5,12.2,14.0,10.0,8.9,8.8,4.6,7.3,14.0,19
,DOWNTOWN SES,19.8,11.2,7.3,7.7,8.1,9.5,8.8,8.1,14.2,19.9,10.6,12.2,9.4,16.5,9.3,7.9,7.4,9.3,9.0,10.5,6.4,7.6,9.6,9.2,10.3,19.9,09
,EL CAJON LES,10.1,8.7,6.9,7.9,9.3,7.9,11.8,9.5,11.5,6.8,9.3,13.8,12.6,15.5,11.8,10.9,9.9,10.2,17.6,10.4,7.6,6.8,10.3,9.0,10.2,17.6,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,25.1,22.7,18.2,20.3,30.1,30.2,23.4,26.0,27.2,16.7,23.2,19.6,15.3,12.9,14.7,10.9,6.5,6.2,11.6,10.7,7.9,6.6,17.8,12.4,17.3,30.2,05
,PENDLETON,10.5,7.8,7.2,6.9,8.3,10.4,7.8,9.2,11.4,15.5,11.4,12.5,7.1,8.6,10.2,13.6,13.5,12.5,M,14.4,10.7,8.9,11.5,8.5,10.3,15.5,09
12 VWDR °,ALPINE,93,90,71,26,75,101,93,106,183,263,265,237,271,309,299,301,257,240,235,249,142,29,68,39,0,309,13
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,159,355,34,31,342,356,30,351,241,215,208,232,233,248,280,287,274,234,237,183,71,51,287,73,0,356,05
,EL CAJON LES,233,253,233,165,248,123,275,263,237,240,217,218,139,293,275,239,225,228,154,203,171,58,150,67,0,293,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,24,40,50,43,45,28,85,114,233,222,221,204,167,297,294,306,297,253,284,152,139,58,320,75,0,320,22
,OTAY MESA DVN,105,172,27,141,160,126,341,166,185,258,304,324,301,317,288,295,291,277,313,212,140,33,149,72,0,341,06
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,0,<,<
13 SIGTHETA °,ALPINE,18,41,32,57,15,38,16,16,36,29,30,29,35,29,26,31,37,52,54,51,57,43,45,53,36,57,03
,CHULA VISTA,15,38,19,15,31,21,19,39,38,23,21,47,26,26,20,35,23,27,22,32,49,39,52,26,29,52,22
,DOWNTOWN SES,47,35,14,35,36,39,19,27,24,22,22,44,35,33,23,28,21,22,28,27,60,35,39,36,31,60,20
,EL CAJON LES,55,34,40,56,27,40,48,26,42,24,21,25,73,42,30,21,28,41,41,34,35,31,37,47,37,73,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,8,12,6,7,37,51,26,15,21,14,16,52,45,19,14,13,44,60,49,27,20,27,13,25,60,18
,OTAY MESA DVN,32,41,47,50,30,33,45,40,23,37,18,24,13,19,13,20,13,32,32,26,23,47,49,32,31,50,03
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
14 VWSP MPH,ALPINE,2.0,.9,1.2,.7,1.6,.6,1.7,2.2,2.2,4.0,4.2,5.0,2.0,4.0,5.2,4.2,2.8,1.8,2.2,2.4,2.8,2.3,2.2,1.0,.0,5.2,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,.3,1.0,3.5,3.0,1.0,.7,3.2,1.1,2.5,3.7,4.5,1.9,3.2,3.4,5.9,4.3,4.1,3.8,5.1,5.1,1.1,3.9,2.3,3.4,.0,5.9,14
,EL CAJON LES,.5,.5,.5,.3,.9,.8,.0,1.3,1.4,3.6,5.2,4.5,1.0,2.5,2.6,5.7,3.2,1.2,4.0,4.6,2.4,2.0,1.4,1.5,.0,5.7,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.8,3.8,2.4,6.5,4.9,2.9,1.9,2.2,4.3,4.3,6.6,5.5,2.9,1.7,6.5,9.1,6.0,2.3,4.7,5.1,3.3,5.4,2.3,7.0,.0,9.1,15
,OTAY MESA DVN,.7,.5,1.9,1.3,1.6,1.9,.5,2.4,4.1,3.2,6.2,5.0,9.0,7.8,10.6,4.0,7.1,4.3,1.3,4.8,4.6,4.2,2.6,3.3,.0,10.6,14
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.0,<,<
15 SWSP MPH,ALPINE,2.2,1.0,1.3,1.1,1.6,.7,1.8,2.3,3.0,4.7,4.8,6.0,4.1,4.7,5.7,4.8,3.4,3.6,3.1,4.5,4.6,3.7,3.3,2.8,3.3,6.0,11
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,.6,1.4,3.6,3.5,1.8,2.1,3.8,2.4,2.8,4.4,4.9,2.5,3.7,3.9,7.0,5.0,4.5,5.1,5.9,5.8,4.2,5.3,3.9,4.6,3.9,7.0,14
,EL CAJON LES,.7,.7,.6,.5,1.0,1.1,.7,1.7,1.6,4.0,5.6,4.9,3.1,3.1,4.0,6.1,3.7,5.6,5.1,5.3,4.9,3.1,3.6,2.5,3.1,6.1,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.9,3.9,2.5,6.6,5.0,3.0,3.2,3.5,4.6,4.8,6.9,5.7,3.7,3.8,7.9,9.4,6.3,5.2,7.5,6.2,7.5,6.1,6.1,7.3,5.4,9.4,15
,OTAY MESA DVN,1.5,.8,2.3,1.3,1.7,2.8,.8,2.8,4.4,4.3,6.7,5.5,9.4,8.3,11.0,4.4,7.4,5.0,3.0,7.0,6.5,5.3,4.9,5.7,4.7,11.0,14
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
16 AMBTEMP °F,ALPINE,72.8,73.2,73.7,72.7,73.6,72.2,75.3,78.2,83.7,84.6,83.9,84.2,79.9,82.9,84.7,81.9,77.0,73.6,70.2,64.9,61.9,62.9,62.3,60.9,74.6,84.7,14
,CARMEL MT RCH,68.8,68.7,67.9,68.2,68.6,68.8,70.0,75.5,79.9,83.5,85.6,83.0,80.3,76.8,80.0,79.6,77.8,75.0,66.1,65.2,65.7,65.4,64.8,64.6,72.9,85.6,10
,CHULA VISTA,68.4,68.4,68.3,68.5,68.4,68.3,71.4,76.1,79.9,79.7,74.6,74.0,75.7,79.3,75.3,76.0,75.3,73.3,71.1,70.3,68.6,65.6,64.9,64.9,71.9,79.9,08
,DOWNTOWN SES,64.0,63.9,65.1,66.6,64.5,63.6,66.9,72.2,73.4,74.3,68.6,70.3,71.8,75.6,71.8,72.8,71.7,69.4,66.5,68.1,68.1,66.5,66.0,65.3,68.6,75.6,13
,EL CAJON LES,66.0,65.3,64.5,63.7,63.5,62.9,65.0,71.1,78.4,85.3,85.8,82.9,76.2,83.0,84.6,81.1,80.7,75.1,67.6,67.6,66.6,66.0,65.2,64.7,72.2,85.8,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,68.3,71.8,70.8,71.2,71.4,70.9,69.7,80.4,81.0,84.0,83.4,78.7,80.1,84.8,82.3,78.2,76.8,74.9,68.2,68.4,65.3,63.9,64.4,64.3,73.9,84.8,13
,OTAY MESA DVN,71.8,70.7,70.8,70.3,70.3,70.3,71.8,77.0,82.9,86.7,82.8,81.8,81.5,82.7,81.0,78.6,76.4,73.5,69.4,68.5,65.5,64.6,63.8,64.4,74.0,86.7,09
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
17 RELHUM %,ALPINE,20,19,19,20,19,20,18,20,14,14,14,15,17,16,18,24,34,46,58,82,84,74,82,94,35,94,23
,EL CAJON LES,37,39,40,41,42,43,42,33,26,20,19,22,48,31,24,37,36,54,86,91,88,80,91,91,48,91,19
,KEARNY MESA,30,27,28,28,28,28,31,21,22,19,20,27,25,25,36,39,40,39,70,91,87,88,88,93,43,93,23
18 PRES mmHg,EL CAJON LES,747,747,747,747,747,747,747,747,748,748,748,747,747,746,746,746,746,746,747,749,750,749,749,750,747,750,20
,KEARNY MESA,748,748,747,747,747,748,748,748,748,748,748,748,748,747,747,746,746,747,747,749,750,750,750,750,748,750,20
19 SOLAR W/M2,EL CAJON LES,-5,-5,-5,-4,-5,-2,71,291,481,494,462,268,324,648,295,230,148,2,-3,-3,-4,-3,-3,-3,153,648,13
,KEARNY MESA,0,0,0,0,0,2,80,259,324,454,199,212,314,604,135,319,142,16,0,1,1,0,0,0,128,604,13
25 NOY,EL CAJON LES,15.99,14.57,15.43,16.41,20.76,C,C,45.93,25.76,12.34,19.86,12.14,10.20,13.82,12.05,11.68,8.48,8.91,9.54,5.69,3.25,3.90,6.44,5.35,13.56,45.93,07
26 NOY-NO,EL CAJON LES,15.97,14.48,15.39,16.32,20.17,C,C,27.27,18.87,10.29,16.61,11.00,9.32,11.82,11.08,10.84,8.18,8.85,9.47,5.57,3.20,3.90,6.40,5.34,11.83,27.27,07
27 NO Trace,EL CAJON LES,.01,.08,.03,.09,.58,C,C,18.65,6.89,2.04,3.25,1.14,.88,2.00,.96,.83,.30,.06,.06,.11,.04,.00,.03,.00,1.72,18.65,07
28 SO2 Tr PPB,EL CAJON LES,.1,.0,C,C,C,.1,.1,.2,.1,.1,.3,.6,.3,.4,.4,.4,.3,.1,.0,.0,.0,.0,.0,.0,.1,.6,11
29 CO Tr PPB,EL CAJON LES,420.1,401.5,C,C,C,498.4,644.9,821.6,528.7,336.5,399.4,333.9,338.6,391.2,362.3,403.4,361.2,342.1,374.4,270.8,229.8,226.0,282.7,256.8,391.6,821.6,07
BCarbon ug/m3,10TH AVE MARINE TERM,2.65,2.32,1.39,1.04,1.60,1.06,1.23,1.85,2.84,2.97,1.13,1.05,1.34,1.43,.68,.56,.60,.55,.43,.38,.42,.31,.33,.72,1.20,2.97,09
,ALPINE,.20,.20,.18,.19,.22,.23,.23,.53,.29,.28,.26,.66,.70,.60,.60,.70,.97,.86,.81,.68,.46,.39,.28,.23,.45,.97,16
,CHICANO PARK,2.26,1.84,1.21,.64,1.11,1.82,1.90,1.98,2.71,2.83,1.48,1.26,1.24,1.59,.88,.73,.75,.68,.65,.64,.49,.46,.56,.45,1.26,2.83,09
,DOWNTOWN SES,2.78,1.53,.65,.50,.80,1.15,1.11,1.05,2.90,2.99,1.41,1.38,1.28,1.47,.98,.63,.71,.79,.56,.37,.36,.36,.36,.39,1.10,2.99,09
,OCEANVIEW BLVD,1.86,1.45,.97,.75,1.19,1.52,1.74,1.10,2.52,2.28,1.69,1.33,1.20,1.40,1.01,.69,.63,.75,.60,.25,.29,.33,.55,.34,1.10,2.52,08
,SAN YSIDRO,3.39,3.40,3.87,3.67,3.37,3.35,3.44,3.63,4.02,3.04,1.52,1.25,1.08,.86,.64,.43,.44,.47,.70,.55,.31,.46,.57,.63,1.88,4.02,08
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.06,.00,.00,.00,.00,.09,.02,.01,.01,.01,.03,.11,.01,.11,23
