Current Date:,10/10/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/9/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.020,.023,C,C,.022,.024,.019,.024,.031,.038,.041,.044,.047,.050,.051,.050,.050,.047,.046,.046,.036,.038,.034,.035,.037,.051,14
,CHULA VISTA,.008,.007,C,C,.006,.006,.006,.019,.028,.034,.037,.042,.042,.043,.044,.045,.044,.040,.033,.034,.025,.012,.016,.013,.026,.045,15
,DOWNTOWN SES,.019,.010,.005,.005,.004,.006,.008,.019,.032,.037,.039,.042,.042,.046,.046,.048,.046,.040,.041,.035,.032,.028,.028,.018,.028,.048,15
,EL CAJON LES,.008,.005,C,C,C,.005,.005,.014,.023,.035,.039,.043,.046,.046,.047,.048,.048,.046,.045,.040,.035,.022,.017,.014,.030,.048,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.007,C,C,.013,.008,.007,.015,.033,.037,.041,.042,.044,.045,.047,.048,.048,.041,.035,.035,.031,.023,.019,.019,.029,.048,15
,OTAY MESA DVN,.016,.014,C,C,.015,.017,.008,.010,.021,.032,.037,.042,.044,.044,.045,.044,.043,.040,.035,.032,.030,.029,.028,.025,.029,.045,14
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
02 NOX PPM,ALPINE,.003,.002,C,C,.002,.002,.004,.005,.002,.002,.002,.002,.002,.002,.002,.002,.002,.003,.004,.004,.005,.004,.005,.004,.003,.005,07
,CARMEL MT RCH,.023,.017,C,C,.020,.029,.025,.016,.007,.009,.009,.013,.013,.012,.013,.013,.014,.017,.015,.013,.014,.009,.015,.016,.015,.029,05
,CHULA VISTA,.015,.016,C,C,.010,.010,.018,.009,.008,.005,.006,.003,.002,.002,.003,.003,.003,.004,.006,.005,.010,.020,.015,.014,.009,.020,21
,DOWNTOWN SES,.011,.016,.019,.018,.019,.017,.019,.012,.005,.004,.007,.005,.005,.003,.004,.003,.003,.005,.004,.008,.011,.013,.013,.017,.010,.019,02
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,.011,C,C,.007,.010,.012,.009,.002,.003,.002,.002,.002,.002,.002,.002,.003,.004,.004,.004,.007,.011,.012,.009,.006,.012,06
,OTAY MESA DVN,.005,.005,C,C,.004,.004,.026,.029,.009,.004,.002,.003,.003,.003,.003,.002,.003,.002,.003,.004,.004,.005,.004,.006,.006,.029,07
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
03 NO2 PPM,ALPINE,.003,.002,C,C,.002,.002,.003,.003,.001,.002,.002,.001,.001,.001,.002,.002,.002,.003,.004,.004,.005,.004,.004,.004,.003,.005,20
,CARMEL MT RCH,.016,.013,C,C,.012,.014,.012,.007,.003,.005,.005,.006,.006,.006,.007,.007,.009,.012,.010,.010,.011,.008,.013,.014,.009,.016,00
,CHULA VISTA,.014,.015,C,C,.009,.010,.011,.005,.005,.004,.005,.003,.002,.002,.002,.002,.003,.004,.006,.005,.010,.018,.014,.014,.007,.018,21
,DOWNTOWN SES,.011,.014,.015,.016,.016,.015,.013,.008,.004,.003,.005,.004,.004,.003,.003,.003,.003,.004,.004,.008,.010,.013,.013,.016,.009,.016,03
,EL CAJON LES,.008,.009,C,C,C,.005,.006,.002,.004,.002,.002,.002,.001,.001,.001,.002,.002,.003,.004,.005,.007,.011,.010,.009,.005,.011,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,.010,C,C,.007,.009,.009,.006,.002,.003,.002,.002,.002,.002,.002,.002,.003,.004,.004,.004,.007,.011,.011,.009,.006,.011,21
,OTAY MESA DVN,.004,.005,C,C,.004,.003,.014,.014,.006,.003,.002,.003,.002,.002,.002,.002,.002,.002,.003,.003,.004,.005,.003,.006,.004,.014,06
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,07
,CARMEL MT RCH,.007,.005,C,C,.008,.016,.013,.009,.003,.004,.004,.006,.007,.006,.006,.006,.005,.005,.004,.003,.003,.001,.002,.002,.006,.016,05
,CHULA VISTA,.000,.001,C,C,.001,.001,.007,.004,.003,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.001,.000,.001,.007,06
,DOWNTOWN SES,.000,.002,.004,.002,.004,.003,.006,.004,.001,.001,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.001,.002,.006,06
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.001,C,C,.000,.001,.003,.003,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,06
,OTAY MESA DVN,.001,.000,C,C,.001,.001,.012,.015,.003,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.015,07
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
06 CO PPM,CARMEL MT RCH,.6,.9,C,C,C,.9,1.2,.4,.2,.3,.3,.6,.6,.6,.6,.6,.6,.7,.6,.6,.6,.4,.7,1.1,.6,1.2,06
10 INTMP °C,ALPINE,27,26,27,27,27,27,27,26,25,24,24,24,24,24,24,24,25,25,25,26,27,26,27,27,26,27,00
,CARMEL MT RCH,26,26,27,27,27,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,27,02
,CHULA VISTA,24,24,25,25,24,24,24,25,25,24,24,24,24,24,24,24,25,24,25,24,24,24,24,24,24,25,02
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,23,22,22,22,22,22,22,22,23,23,23,23,24,24,24,23,24,00
,EL CAJON LES,25,25,25,25,24,24,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,25,25,25,25,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,21,21,21,21,21,21,20,21,23,24,24,23,23,23,23,23,24,24,24,24,23,23,22,22,22,24,09
,OTAY MESA DVN,25,25,26,26,25,26,25,26,25,25,25,25,24,25,24,24,24,24,24,25,25,25,25,25,25,26,02
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
11 PM2.5 µg/M3,ALPINE,7.4,4.5,.2,5.5,3.8,-.1,2.4,1.9,-1.2,-3.3,-2.7,-1.2,1.0,2.2,4.5,7.9,6.2,3.8,6.7,7.4,8.7,7.0,5.5,12.3,3.7,12.3,23
,DOWNTOWN SES,3.4,1.0,3.9,5.9,6.4,8.3,7.2,8.7,5.9,3.8,6.6,7.1,5.0,3.4,3.4,5.4,5.8,5.0,4.8,8.4,7.0,10.0,8.1,7.5,5.9,10.0,21
,EL CAJON LES,5.5,4.9,3.8,3.8,1.7,6.1,5.5,3.0,5.0,6.7,5.9,6.1,5.5,5.2,6.2,5.4,5.5,7.0,7.0,5.7,6.7,5.3,7.0,9.1,5.5,9.1,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,1.4,6.5,6.1,4.0,5.2,5.2,15.7,15.0,9.0,5.8,4.6,2.9,3.1,2.4,2.2,5.7,7.1,8.1,5.6,5.4,4.4,5.5,5.3,6.7,5.9,15.7,06
,PENDLETON,7.2,4.0,3.9,4.0,3.5,5.2,4.8,2.4,5.3,6.9,6.3,4.9,8.8,11.8,7.3,9.1,10.2,7.1,14.0,15.6,9.2,8.5,7.1,9.8,7.3,15.6,19
12 VWDR °,ALPINE,45,3,97,94,50,34,107,295,290,243,264,270,297,294,278,276,281,294,324,354,86,79,75,85,0,354,19
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,355,16,104,66,46,39,63,79,11,349,297,291,287,282,283,285,285,284,322,336,5,355,13,43,0,355,00
,EL CAJON LES,275,111,93,78,85,111,89,50,4,282,346,245,296,298,295,292,299,301,295,302,319,59,110,102,0,346,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,45,46,57,67,52,59,70,107,338,335,325,317,306,305,303,297,302,297,313,329,11,28,44,69,0,338,08
,OTAY MESA DVN,43,53,92,48,34,40,138,168,299,306,317,300,282,297,290,280,287,292,344,342,356,22,19,112,0,356,20
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,0,<,<
13 SIGTHETA °,ALPINE,20,17,16,18,20,21,45,41,37,35,42,34,47,34,32,30,26,25,22,26,22,37,33,39,30,47,12
,CHULA VISTA,13,12,41,27,21,22,24,27,39,53,33,22,21,20,21,22,18,19,17,17,36,21,17,54,26,54,23
,DOWNTOWN SES,9,60,30,32,20,13,17,25,54,56,43,22,21,19,19,21,24,18,21,19,42,24,22,59,29,60,01
,EL CAJON LES,31,24,26,21,33,48,45,28,48,48,66,51,30,24,25,24,17,20,19,22,42,51,51,54,35,66,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,7,16,13,7,8,10,21,54,30,39,26,16,16,16,15,12,8,9,29,35,14,15,10,18,54,08
,OTAY MESA DVN,39,12,20,16,16,13,16,21,57,26,25,23,15,15,14,12,10,10,21,14,25,26,28,14,20,57,08
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
14 VWSP MPH,ALPINE,.7,1.2,1.2,.9,1.0,1.1,1.2,1.4,2.2,3.1,3.4,4.0,3.4,5.1,4.9,4.9,4.3,2.4,1.7,1.4,1.6,.5,1.5,1.0,.0,5.1,13
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,1.4,.3,.3,.3,2.2,2.5,2.9,2.7,2.0,2.5,4.8,8.6,9.2,9.3,8.8,8.5,5.9,5.6,4.4,2.7,1.7,1.7,1.7,.8,.0,9.3,13
,EL CAJON LES,.5,.6,.3,.8,.9,.5,.2,1.5,1.8,2.4,1.9,3.1,6.2,8.1,6.3,6.8,6.7,4.8,4.2,2.5,1.0,.6,.9,.5,.0,8.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,1.7,2.0,1.5,1.8,3.3,3.1,2.5,2.4,1.8,4.6,4.4,8.0,10.3,10.3,10.7,10.4,8.4,6.3,4.7,3.3,2.1,2.9,2.9,2.7,.0,10.7,14
