03 NO2 PPM,ALPINE,.002,.002,.001,.002,.003,.002,.003,.005,.004,.004,.003,.004,.003,.006,.006,.006,.005,.007,.008,.007,.006,.004,.004,.005,.004,.008,18
,CARMEL MT RCH,.023,.021,C,C,.033,.032,.026,.019,.010,.027,M,M,M,C,C,C,.010,.013,.014,.017,.019,.023,.014,.007,.019,.033,04
,CHULA VISTA,.019,.016,C,C,.016,.025,.024,.014,.013,.012,.020,.007,.006,.004,.003,.003,.003,.008,.013,.015,.020,.024,.021,.020,.014,.025,05
,DOWNTOWN SES,.019,.016,C,C,.019,.021,.024,.025,.026,.030,.018,.010,.009,.007,.005,.006,.006,.009,.011,.014,.013,.011,.015,.010,.015,.030,09
,EL CAJON LES,.012,.013,C,C,C,.017,.018,.018,.016,.011,.006,.009,.007,.006,.005,.005,.005,.008,.012,.017,.019,.018,.018,.016,.012,.019,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.010,C,C,.018,.021,.020,.016,.013,.013,.013,.008,.008,.005,.003,.004,.004,.006,.009,.009,.013,.012,.011,.007,.011,.021,05
,OTAY MESA DVN,.011,.010,C,C,.027,.029,.032,.030,.026,.031,.009,.012,.008,.006,.005,.004,.004,.003,.005,.008,.005,.007,.008,.009,.013,.032,06
,PENDLETON,.012,.010,C,C,.011,.011,.013,.010,.008,.009,.007,,,,,,,,,,,,,,.010,.013,06
04 NO PPM,ALPINE,.000,.000,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.001,.001,.001,04
,CARMEL MT RCH,.003,.003,C,C,.017,.028,.027,.012,.003,.018,M,M,M,C,C,C,.007,.009,.010,.010,.009,.006,.005,.003,.011,.028,05
,CHULA VISTA,.000,.000,C,C,.001,.003,.008,.005,.005,.004,.007,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.005,.016,.010,.003,.016,22
,DOWNTOWN SES,.001,.001,C,C,.002,.002,.009,.014,.016,.017,.005,.003,.002,.002,.002,.001,.001,.000,.000,.001,.001,.001,.001,.000,.004,.017,09
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.001,.003,.006,.004,.003,.003,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.000,.000,.001,.006,07
,OTAY MESA DVN,.001,.000,C,C,.005,.007,.018,.030,.012,.012,.002,.003,.002,.001,.001,.001,.001,.000,.001,.001,.001,.002,.002,.001,.005,.030,07
,PENDLETON,.000,.000,C,C,.002,.001,.003,.004,.004,.003,.004,,,,,,,,,,,,,,.002,.004,07
06 CO PPM,CARMEL MT RCH,.6,.5,C,C,C,1.1,.8,.5,.3,.6,.6,.7,.7,C,C,C,C,.6,.7,.8,.7,.7,.5,.3,.6,1.1,05
10 INTMP °C,ALPINE,27,27,27,27,27,27,27,26,25,24,24,24,24,24,24,24,25,25,25,25,26,26,26,26,26,27,00
,CARMEL MT RCH,26,27,27,27,27,26,27,26,26,25,25,26,26,26,26,26,25,25,26,26,26,26,26,26,26,27,01
,CHULA VISTA,25,25,23,23,23,23,23,25,26,25,25,25,25,25,24,24,25,24,24,25,25,24,24,24,24,26,08
,DOWNTOWN SES,24,24,24,24,24,24,24,23,23,22,22,21,21,22,22,22,22,23,23,23,23,23,23,24,23,24,00
,EL CAJON LES,24,24,24,24,24,24,25,25,25,25,24,24,24,24,24,23,23,24,24,24,24,24,24,24,24,25,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,21,20,21,21,20,19,19,21,23,25,24,24,24,24,24,24,24,25,25,24,24,23,23,22,23,25,09
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,24,24,24,25,25,26,26,26,26,25,26,00
,PENDLETON,25,25,25,25,25,<,24,25,25,25,24,,,,,,,,,,,,,,25,25,00
11 PM2.5 µg/M3,ALPINE,6.2,4.4,4.9,4.4,3.8,2.1,-1.1,-2.3,-4.4,-3.7,-.4,5.3,6.8,4.1,8.5,9.7,8.4,7.3,6.9,5.3,9.5,8.5,10.5,5.8,4.6,10.5,22
,DOWNTOWN SES,9.7,7.0,9.0,7.1,6.9,8.9,8.1,7.1,14.6,12.3,16.5,8.1,9.3,7.2,5.7,3.9,4.6,4.2,4.5,3.7,4.5,3.8,6.5,5.6,7.4,16.5,10
,EL CAJON LES,8.8,12.2,10.5,7.3,5.5,6.1,8.4,10.9,12.0,6.8,9.6,6.9,15.9,9.9,10.2,6.9,8.4,8.5,5.6,6.0,12.1,13.6,12.3,7.8,9.2,15.9,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,10.5,7.7,20.2,26.7,22.0,25.4,24.2,27.9,14.1,23.8,10.6,10.5,10.1,9.1,7.2,5.2,5.6,4.4,2.8,4.1,3.3,6.2,4.7,5.8,12.1,27.9,07
,PENDLETON,8.7,8.4,9.9,10.8,8.4,10.1,12.8,11.2,8.2,8.8,8.4,,,,,,,,,,,,,,9.6,12.8,06
12 VWDR °,ALPINE,353,102,352,49,72,13,356,299,270,225,263,302,284,253,248,260,290,325,97,42,355,4,106,119,0,356,06
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,48,36,53,40,38,33,29,13,238,248,273,279,275,278,273,277,294,315,321,340,336,343,339,353,0,353,23
,EL CAJON LES,107,138,121,192,97,226,261,288,318,281,M,M,M,247,255,247,254,251,301,126,152,107,100,110,0,318,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,55,58,56,56,57,46,53,47,297,293,283,303,315,304,306,308,296,302,315,316,331,4,351,336,0,351,22
,OTAY MESA DVN,16,23,76,119,127,121,144,260,179,248,305,294,293,285,288,290,286,311,3,106,5,358,27,132,0,358,21
,PENDLETON,69,65,54,59,62,<,62,68,96,218,278,,,,,,,,,,,,,,0,278,10
13 SIGTHETA °,ALPINE,26,36,21,36,43,20,56,46,39,30,32,32,36,P,28,31,26,28,38,16,28,26,57,14,32,57,22
,CHULA VISTA,15,13,17,30,22,34,37,20,46,48,22,21,23,18,18,20,19,17,30,32,16,36,16,22,25,48,09
,DOWNTOWN SES,48,22,46,35,17,13,47,59,47,26,23,18,17,17,14,14,20,22,22,16,15,15,12,21,25,59,07
,EL CAJON LES,48,38,41,37,45,40,25,50,66,60,M,M,M,22,20,21,19,18,31,52,31,46,23,27,36,66,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,13,6,6,6,8,4,13,45,70,33,23,14,18,15,13,15,10,8,7,7,7,5,9,14,15,70,08
,OTAY MESA DVN,14,12,24,11,12,12,57,77,25,52,18,14,15,15,13,13,10,16,35,26,18,20,19,62,25,77,07
,PENDLETON,6,8,12,7,6,<,7,13,27,22,17,,,,,,,,,,,,,,13,27,08
14 VWSP MPH,ALPINE,1.1,.3,.3,.5,.5,2.1,.1,.6,1.5,2.6,3.3,4.7,4.2,4.2,5.2,3.8,2.5,.7,.4,.9,.7,.5,.2,2.0,.0,5.2,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,.7,1.8,.7,.9,2.6,2.9,1.1,.1,1.3,3.7,5.3,8.1,8.9,9.3,8.6,7.0,5.8,3.6,2.2,2.8,2.8,2.5,1.9,2.3,.0,9.3,13
,EL CAJON LES,.6,.3,.5,.2,.7,.9,.5,.8,.3,1.1,M,M,M,6.1,6.4,5.2,5.0,3.3,1.0,.4,.5,.1,.6,.6,.0,6.4,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.5,3.2,4.8,4.6,3.6,3.9,2.4,.4,.8,3.5,5.5,10.4,9.1,10.1,9.5,8.2,7.6,4.5,3.4,2.2,2.6,3.7,3.7,3.5,.0,10.4,11
,OTAY MESA DVN,4.3,3.5,1.4,2.8,2.8,3.0,.6,.4,2.2,.6,4.7,8.5,8.5,8.7,8.8,7.5,7.5,4.8,1.3,.6,2.3,2.0,1.7,.3,.0,8.8,14
,PENDLETON,3.7,5.2,5.0,4.8,6.1,<,5.3,4.3,2.8,3.5,4.2,,,,,,,,,,,,,,.0,6.1,04
15 SWSP MPH,ALPINE,1.2,.3,.4,.6,.5,2.2,.1,.6,1.9,3.0,3.8,5.2,5.0,5.1,5.8,4.6,2.8,.9,.5,1.3,.8,.6,.2,2.1,2.1,5.8,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,.8,1.9,.8,.9,2.6,3.0,1.2,.2,1.6,4.3,5.7,8.4,9.3,9.7,8.9,7.2,6.3,3.9,2.4,2.9,2.9,2.6,2.0,2.4,3.8,9.7,13
,EL CAJON LES,.7,1.0,.9,.6,1.1,1.0,.6,1.1,1.0,1.7,M,M,M,6.6,6.8,5.7,5.3,3.5,1.8,.5,1.1,.2,.6,.9,2.0,6.8,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.6,3.2,4.8,4.8,3.6,4.0,2.5,.7,1.5,4.0,5.9,10.7,9.5,10.5,9.9,8.6,7.8,4.6,3.4,2.2,2.7,3.7,3.9,3.7,5.0,10.7,11
,OTAY MESA DVN,4.5,3.6,2.6,2.8,2.9,3.1,.7,.6,2.5,2.6,5.0,8.8,8.8,9.0,9.1,7.7,7.6,5.1,1.7,.8,2.5,2.1,1.9,1.0,4.0,9.1,14
,PENDLETON,3.7,5.3,5.1,4.8,6.2,<,5.4,4.5,3.1,4.2,4.4,,,,,,,,,,,,,,4.7,6.2,04
16 AMBTEMP °F,ALPINE,59.3,58.0,59.3,57.3,58.7,59.7,60.6,65.1,68.9,73.2,75.2,75.5,76.7,77.8,76.1,73.0,69.7,65.1,62.7,62.8,62.6,61.5,60.7,60.0,65.8,77.8,13
,CARMEL MT RCH,53.4,52.9,52.2,52.6,52.7,52.6,52.2,57.6,64.1,69.7,72.9,73.0,74.1,74.3,72.0,71.2,67.6,63.0,61.4,60.7,59.2,58.1,57.9,56.8,61.8,74.3,13
,CHULA VISTA,55.7,55.3,55.6,54.7,55.2,54.3,55.1,59.6,64.5,68.5,69.7,69.5,70.7,69.8,68.9,68.1,65.5,64.2,63.1,61.5,60.4,59.5,58.1,57.8,61.9,70.7,12
,DOWNTOWN SES,57.8,57.8,56.6,55.9,55.9,55.6,56.2,61.5,65.2,67.9,70.4,69.7,70.7,70.1,69.1,68.8,66.1,64.6,63.5,62.5,61.7,61.1,60.5,60.9,62.9,70.7,12
,EL CAJON LES,53.0,51.9,50.9,50.1,49.6,48.9,50.1,54.2,61.0,68.7,75.5,78.4,78.9,79.6,77.8,76.0,72.7,68.0,65.1,63.0,60.5,59.6,58.0,56.3,62.8,79.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,54.0,54.0,53.7,53.2,53.4,53.5,55.1,60.6,66.7,71.4,74.5,73.2,73.0,72.3,71.2,70.4,66.0,61.7,60.1,58.9,57.6,57.5,55.8,57.3,61.9,74.5,10
,OTAY MESA DVN,55.6,56.8,55.7,55.9,55.7,54.5,55.4,59.4,65.4,70.8,74.3,74.0,72.4,72.4,69.8,67.8,65.6,61.7,60.3,59.9,58.8,58.2,57.3,57.0,62.3,74.3,10
,PENDLETON,55.9,54.7,54.3,53.2,52.3,<,52.9,57.2,62.5,65.4,66.3,,,,,,,,,,,,,,57.5,66.3,10
17 RELHUM %,ALPINE,48,47,41,49,45,36,34,29,24,20,21,24,22,27,30,36,42,53,59,59,57,58,58,53,41,59,18
,EL CAJON LES,84,86,87,87,86,88,86,77,57,40,34,34,38,33,36,41,43,55,65,68,76,81,85,87,65,88,05
,KEARNY MESA,91,93,94,91,89,86,82,75,60,47,43,47,48,51,55,52,73,87,91,95,97,97,98,98,77,98,22
18 PRES mmHg,EL CAJON LES,752,752,752,751,751,752,752,752,752,752,752,751,751,750,750,750,750,750,751,751,751,751,751,751,751,752,00
,KEARNY MESA,752,752,752,752,752,752,752,753,753,753,752,752,752,751,751,751,751,751,751,751,751,751,751,751,752,753,07
19 SOLAR W/M2,EL CAJON LES,2,2,2,2,2,2,51,294,481,631,725,M,M,607,459,271,54,0,-2,-1,0,0,0,0,163,725,10
,KEARNY MESA,0,0,0,0,0,1,74,252,425,573,657,694,659,593,448,250,96,2,-1,-1,0,0,0,0,197,694,11
25 NOY,EL CAJON LES,13.00,14.16,13.44,13.80,14.20,C,C,33.70,25.91,M,M,M,M,M,8.59,6.87,6.90,8.31,11.56,16.84,19.51,19.60,18.88,18.79,15.53,33.70,07
26 NOY-NO,EL CAJON LES,12.86,13.94,13.04,13.36,13.46,C,C,17.31,16.10,M,M,M,M,M,7.67,6.30,6.58,8.16,11.41,16.63,18.76,18.94,17.78,17.55,13.52,18.94,21
27 NO Trace,EL CAJON LES,.13,.22,.40,.43,.73,C,C,16.38,9.71,M,M,M,M,M,.92,.57,.32,.14,.15,.20,.74,.66,1.09,1.24,2.00,16.38,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.1,.1,.1,.2,.2,.3,.3,.2,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.3,12
29 CO Tr PPB,EL CAJON LES,386.6,404.9,C,C,C,568.7,728.9,621.7,479.2,360.3,317.7,387.6,374.4,342.7,297.2,244.8,255.9,259.0,303.4,379.6,419.9,465.6,419.3,454.6,403.4,728.9,06
BCarbon ug/m3,10TH AVE MARINE TERM,.85,1.14,.84,.89,.83,.77,1.01,1.33,1.74,1.43,.79,.60,.49,.32,.20,.16,.17,.22,.49,.52,.50,.56,.33,.55,.70,1.74,08
,ALPINE,.21,.18,.17,.17,.24,.21,.21,.25,.21,.21,.22,.31,.26,.46,.50,.46,.37,.30,.35,.43,.38,.29,.29,.31,.29,.50,14
,CHICANO PARK,1.02,.94,1.01,1.13,1.35,1.59,1.62,1.60,2.11,1.42,1.62,.67,.65,.40,.41,.45,.37,.59,.48,.61,.87,.59,.62,.64,.95,2.11,08
,DOWNTOWN SES,.77,.86,.73,.66,.78,.87,1.46,1.67,1.74,1.78,1.22,.71,.57,.42,.27,.34,.28,.34,.46,.58,.87,.69,.63,.39,.80,1.78,09
,OCEANVIEW BLVD,.98,.82,.77,.94,1.04,1.07,1.07,.96,1.11,1.69,1.72,.79,.65,.58,.39,.32,.40,.36,.51,.70,.80,.84,.82,.72,.84,1.72,10
,SAN YSIDRO,.69,.95,.76,1.42,5.74,6.69,6.76,5.66,3.79,2.65,1.04,.61,.59,.29,.15,.12,.25,.16,.20,.32,.36,.41,.69,.69,1.71,6.76,06
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
