Current Date:,10/19/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/18/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.047,.046,C,C,.041,.042,M,.043,.043,.041,.043,.042,.043,.042,.045,.044,.042,.039,.040,.040,.040,.039,.035,.033,.041,.047,00
,CHULA VISTA,.024,.020,C,C,.020,.019,.013,.022,.034,.042,.042,.043,.043,.042,.042,.041,.040,.039,.039,.034,.028,.022,.016,.020,.031,.043,11
,DOWNTOWN SES,.028,.019,C,C,.024,.019,.030,.032,.038,.043,.043,.044,.044,.042,.036,.038,.043,.042,.039,.034,.031,.022,.017,.019,.033,.044,11
,EL CAJON LES,.031,.031,C,C,C,.035,.031,.029,.033,.036,.041,.040,.041,.041,.040,.040,.039,.037,.038,.038,.035,.030,.021,.018,.034,.041,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.021,.017,C,C,.015,.017,.020,.021,.026,.039,.041,.041,.042,.042,.041,.041,.041,.037,.034,.026,.019,.021,.013,.023,.029,.042,12
,OTAY MESA DVN,.034,.030,C,C,.019,.021,.020,.024,.024,.037,.039,.040,.039,.040,.039,.039,.039,.037,.035,.035,.033,.031,.031,.029,.032,.040,11
,PENDLETON,,,,,,P,C,C,C,.043,.043,.044,.042,.041,.044,.042,.043,.042,.041,.039,.024,.021,.022,.024,.037,.044,11
02 NOX PPM,ALPINE,.002,.002,C,C,.004,.003,M,.002,.002,.004,.004,.003,.003,.003,.002,.002,.003,.004,.003,.002,.002,.001,.002,.002,.003,.004,04
,CARMEL MT RCH,.006,.006,C,C,.012,.007,.010,M,M,.047,.020,.023,.018,.021,.023,.023,.021,.019,.024,.025,.027,.035,.030,.014,.021,.047,09
,CHULA VISTA,.010,.010,C,C,.014,.016,.024,.020,.009,.003,.001,.002,.002,.002,.002,.002,.002,.003,.003,.005,.009,.012,.015,.011,.008,.024,06
,DOWNTOWN SES,.009,.015,C,C,.012,.020,.012,.013,.008,.003,.003,.003,.003,.005,.012,.009,.002,.003,.006,.009,.011,.018,.020,.018,.010,.020,05
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.011,C,C,.014,.016,.017,.017,.016,.005,.003,.003,.003,.003,.003,.002,.003,.004,.006,.012,.014,.013,.018,.007,.009,.018,22
,OTAY MESA DVN,.003,.004,C,C,.022,.024,.022,.021,.026,.006,.002,.002,.003,.003,.003,.003,.002,.002,.003,.003,.003,.004,.005,.004,.008,.026,08
,PENDLETON,,,,,,P,C,C,C,.002,.001,.001,.004,.005,.001,.001,.001,.001,.001,.001,.011,.013,.012,.007,.004,.013,21
03 NO2 PPM,ALPINE,.002,.002,C,C,.004,.003,M,.001,.002,.004,.003,.003,.002,.003,.001,.002,.002,.003,.003,.002,.002,.001,.002,.002,.002,.004,04
,CARMEL MT RCH,.005,.006,C,C,.008,.006,.008,M,M,.022,.009,.010,.008,.010,.011,.011,.011,.010,.014,.016,.019,.024,.024,.011,.012,.024,21
,CHULA VISTA,.010,.010,C,C,.014,.016,.022,.017,.008,.002,.001,.001,.002,.002,.002,.002,.002,.003,.003,.005,.009,.012,.015,.012,.008,.022,06
,DOWNTOWN SES,.009,.015,C,C,.012,.019,.011,.011,.007,.003,.003,.003,.002,.004,.009,.008,.002,.003,.006,.008,.011,.017,.020,.017,.009,.020,22
,EL CAJON LES,.005,.004,C,C,C,.003,.006,.007,.008,.006,.003,.003,.003,.003,.003,.002,.003,.004,.003,.004,.005,.008,.010,.009,.005,.010,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.011,C,C,.013,.016,.016,.015,.014,.005,.002,.003,.002,.002,.002,.002,.003,.004,.006,.012,.014,.013,.017,.007,.009,.017,22
,OTAY MESA DVN,.003,.003,C,C,.019,.020,.020,.017,.019,.005,.002,.002,.002,.002,.002,.002,.002,.002,.003,.002,.003,.003,.005,.003,.006,.020,05
,PENDLETON,,,,,,P,C,C,C,.001,.001,.001,.002,.003,.001,.001,.001,.001,.001,.001,.011,.011,.009,.007,.003,.011,20
04 NO PPM,ALPINE,.000,.000,C,C,.001,.000,M,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,04
,CARMEL MT RCH,.001,.001,C,C,.004,.001,.003,M,M,.024,.011,.012,.010,.012,.012,.012,.010,.009,.010,.009,.008,.012,.006,.002,.008,.024,09
,CHULA VISTA,.000,.000,C,C,.000,.000,.002,.003,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,07
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.001,.002,.001,.001,.001,.001,.001,.001,.003,.001,.000,.000,.000,.001,.000,.001,.001,.001,.001,.003,14
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.001,.002,.002,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.002,07
,OTAY MESA DVN,.000,.000,C,C,.003,.004,.002,.004,.007,.001,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.001,.001,.001,.001,.001,.007,08
,PENDLETON,,,,,,P,C,C,C,.001,.000,.000,.002,.002,.000,.000,.000,.000,.000,.000,.000,.001,.003,.000,.001,.003,22
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.2,.3,M,M,.5,.4,.4,.4,.5,.5,.6,.6,.6,.6,.5,.5,.6,.6,.4,.5,.6,15
10 INTMP °C,ALPINE,27,26,26,27,27,26,26,26,26,26,25,26,26,25,26,26,26,26,27,27,26,27,27,27,26,27,00
,CARMEL MT RCH,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,26,27,03
,CHULA VISTA,24,25,24,25,25,25,25,24,25,25,24,24,24,24,24,24,24,24,24,25,24,24,24,23,24,25,01
,DOWNTOWN SES,24,24,23,24,24,24,24,24,23,24,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,23,23,23,23,23,23,23,23,23,24,24,24,25,25,25,25,25,24,24,23,22,21,20,19,23,25,12
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,25,25,25,26,25,25,25,25,25,25,25,25,25,26,26,26,26,00
,PENDLETON,,,,,,P,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,06
11 PM2.5 µg/M3,ALPINE,8.4,6.8,5.8,11.4,7.5,4.5,5.5,5.8,5.1,2.6,-.6,4.3,5.6,2.8,.1,.6,2.0,5.5,9.6,9.0,4.7,2.1,1.2,-1.9,4.5,11.4,03
,DOWNTOWN SES,7.2,9.5,7.5,5.6,9.9,11.3,12.3,10.8,10.1,7.5,7.4,5.2,4.5,5.1,3.2,4.2,3.9,4.4,4.0,4.6,5.8,7.5,9.4,9.6,7.1,12.3,06
,EL CAJON LES,6.6,6.6,9.5,7.4,13.8,12.0,8.7,12.4,11.3,10.0,11.2,7.0,8.5,9.0,4.8,4.0,6.2,8.1,5.1,5.1,8.0,6.8,6.4,5.2,8.0,13.8,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.1,5.9,8.3,6.4,15.0,13.9,12.3,10.5,13.0,6.8,5.9,4.6,4.4,5.0,4.1,1.6,.5,4.0,3.0,-.5,.7,2.6,6.4,7.6,6.2,15.0,04
,PENDLETON,,,,,,8.8,8.2,9.0,11.0,10.0,6.5,8.1,9.9,8.1,5.3,6.0,3.4,3.6,5.2,3.7,7.3,6.5,6.6,4.2,6.9,11.0,08
12 VWDR °,ALPINE,305,199,126,120,144,183,172,206,203,219,243,275,274,242,219,249,283,264,237,296,335,348,118,116,0,348,21
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,61,86,82,102,101,120,178,172,236,261,264,262,260,270,280,274,277,282,323,354,6,4,349,59,0,354,19
,EL CAJON LES,84,136,139,135,118,153,192,159,184,231,251,260,267,250,253,280,265,246,274,311,336,294,101,224,0,336,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,88,97,106,115,133,151,130,147,195,264,273,263,256,272,283,283,283,290,300,4,50,30,42,67,0,300,18
,OTAY MESA DVN,32,146,126,151,169,150,153,149,167,238,267,272,274,261,276,287,286,296,295,291,336,341,41,55,0,341,21
,PENDLETON,,,,,,P,98,102,264,262,257,254,262,261,253,251,253,254,251,220,95,49,53,52,0,264,08
13 SIGTHETA °,ALPINE,49,34,18,14,19,29,19,21,24,26,31,28,30,28,25,26,25,31,27,32,23,20,21,13,26,49,00
