Current Date:,10/8/2021,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
10/7/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.028,.028,.029,.03,.032,.033,.036,.039,.041,.043,.043,.043,.042,.041,.039,.037,.035,.033,.032,.031,.03,.028,.027,.027,0.034,0.043,09
,CHULA VISTA,.032,.032,,,.033,.034,.036,.037,.038,.038,.038,.037,.036,.035,.032,.03,.029,.028,.026,.025,.025,.023,.024,.024,0.031,0.038,08
,DOWNTOWN SES,.038,.038,.038,.038,.039,.039,.039,.039,.038,.037,.037,.036,.035,.034,.033,.032,.03,.03,.029,.027,.026,.025,.025,.025,0.033,0.039,04
,EL CAJON LES,,,,.03,.031,.033,.035,.037,.038,.039,.039,.038,.038,.036,.034,.033,.031,.029,.027,.026,.025,,,,0.033,0.039,09
,KEARNY MESA,.031,.031,.031,.032,.033,.034,.036,.037,.038,.038,.038,.037,.036,.034,.033,.031,.029,.028,.026,.024,.024,.022,.022,.022,0.031,0.038,08
,OTAY MESA DVN,,,,.025,.026,.029,.031,.033,.033,.034,.035,.035,.035,.033,.031,.029,.026,.025,.023,.022,.02,.019,.018,.02,0.027,0.035,10
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
