Current Date:,9/21/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
9/20/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,,,,,,,,,P,.036,.047,.060,.069,.076,.081,.075,.063,.053,.044,.037,.032,.029,.040,.062,.053,.081,14
,CHULA VISTA,.036,.035,C,C,.031,.029,.026,.024,.026,.031,M,.044,.044,.044,.043,.041,.041,.041,.041,.040,.037,.031,.015,.014,.034,.044,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.022,.021,C,C,C,.023,.024,.025,.029,.036,.044,.050,.058,.061,.057,.052,.048,.043,.039,.036,.034,.032,.029,.023,.037,.061,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.019,C,C,.026,.027,.028,.029,.031,.034,.041,.050,.053,.052,.046,.044,.044,.042,.038,.035,.038,.026,.016,.015,.034,.053,12
,OTAY MESA DVN,.030,.027,C,C,.024,.019,.011,.015,.025,.033,.041,.048,.052,.054,.050,.046,.043,.040,.038,.036,.035,.030,.032,.031,.034,.054,13
,PENDLETON,.028,.024,C,C,.036,.034,.033,.035,M,M,M,M,M,M,.042,.043,.043,.042,.041,.041,.041,.043,.036,.033,.037,.043,15
02 NOX PPM,ALPINE,,,,,,,,,P,.011,.007,.007,.008,.007,.006,.006,.006,.006,.005,.006,.007,.008,.006,.001,.006,.011,09
,CARMEL MT RCH,.021,.024,C,C,C,.011,.012,.023,.029,.036,.031,.036,.035,.033,.027,.021,.023,.026,.019,.015,.019,.020,.015,.017,.023,.036,09
,CHULA VISTA,.002,.002,C,C,.003,.005,.007,.009,.010,.009,M,.003,.002,.002,.002,.001,.002,.002,.002,.003,.005,.006,.021,.018,.006,.021,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,.006,C,C,C,.005,.004,.006,.010,.011,.012,.010,.008,.006,.005,.006,.005,.005,.005,.006,.006,.005,.005,.006,.007,.012,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.010,C,C,.006,.007,.009,.012,.015,.015,.012,.007,.005,.005,.004,.005,.006,.004,.006,.007,.006,.014,.016,.015,.009,.016,22
,OTAY MESA DVN,.002,.004,C,C,.004,.006,.016,.022,.015,.010,.008,.005,.005,.004,.003,.003,.003,.003,.003,.002,.002,.002,.002,.001,.006,.022,07
,PENDLETON,.007,.010,C,C,.004,.014,.007,.005,M,M,M,M,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.004,.005,.004,.014,05
03 NO2 PPM,ALPINE,,,,,,,,,P,.008,.006,.006,.007,.007,.006,.006,.006,.006,.006,.006,.007,.008,.007,.002,.006,.008,09
,CARMEL MT RCH,.017,.018,C,C,C,.008,.008,.011,.014,.018,.016,.021,.021,.020,.017,.013,.014,.015,.011,.010,.012,.014,.011,.012,.014,.021,11
,CHULA VISTA,.002,.002,C,C,.003,.004,.006,.008,.008,.007,M,.002,.001,.001,.001,.001,.001,.002,.002,.003,.005,.006,.021,.018,.005,.021,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,.006,C,C,C,.004,.004,.005,.007,.008,.009,.008,.007,.005,.004,.004,.004,.004,.005,.006,.006,.005,.005,.006,.006,.009,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.010,C,C,.006,.007,.009,.010,.011,.011,.009,.006,.004,.004,.004,.004,.005,.004,.006,.007,.006,.014,.016,.014,.008,.016,22
,OTAY MESA DVN,.001,.004,C,C,.003,.006,.014,.015,.010,.007,.006,.004,.004,.003,.002,.002,.002,.003,.003,.002,.002,.002,.002,.001,.004,.015,07
,PENDLETON,.007,.009,C,C,.004,.011,.006,.005,M,M,M,M,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.003,.005,.004,.011,05
04 NO PPM,ALPINE,,,,,,,,,P,.003,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,09
,CARMEL MT RCH,.004,.005,C,C,C,.003,.004,.012,.015,.018,.015,.015,.015,.013,.011,.008,.009,.011,.008,.005,.007,.006,.004,.005,.009,.018,09
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,.002,.002,M,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.003,.003,.003,.002,.001,.001,.001,.001,.001,.001,.000,.001,.001,.000,.000,.000,.001,.003,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.002,.004,.004,.003,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.004,08
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.003,.007,.004,.003,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.007,07
,PENDLETON,.000,.001,C,C,.000,.003,.001,.001,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,05
