Current Date:,9/27/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
9/26/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.023,.037,C,C,.042,.033,.025,.023,M,.028,.037,M,M,M,.078,.079,.070,.060,.052,.043,.032,.044,.062,.064,.046,.079,15
,CHULA VISTA,.034,.034,C,C,.030,.026,.024,.024,.024,.027,.036,.044,.051,.052,.051,.050,.047,.045,.045,.045,.044,.040,.038,.033,.038,.052,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.023,.019,C,C,C,.022,.019,.018,.023,.029,.036,.048,.059,.064,.067,.061,.054,.050,.042,.038,.036,.033,.029,.028,.038,.067,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.038,.038,.038,.037,.038,.035,.035,.032,.033,.037,.041,.047,.056,.057,.055,.055,.052,.047,.046,.047,.047,.047,.043,.040,.043,.057,13
,OTAY MESA DVN,.024,.022,C,C,.020,.020,.023,.023,.030,M,M,M,M,M,M,.058,.053,.048,.045,.044,.042,.040,.032,.027,.034,.058,15
,PENDLETON,.026,.024,C,C,.015,.024,.023,.025,.024,.030,.041,.048,M,M,M,.055,.050,.048,.047,.049,.048,.046,.046,.047,.037,.055,15
02 NOX PPM,ALPINE,.005,.002,C,C,.000,.011,.016,.021,M,.010,.008,M,M,M,.005,.006,.007,.006,.006,.006,.013,.011,.003,.002,.008,.021,07
,CARMEL MT RCH,.007,.009,C,C,C,.034,.029,.034,.032,.014,.025,.026,.025,.023,.026,.022,.018,.020,.018,.015,.017,.011,.013,.013,.021,.034,05
,CHULA VISTA,.002,.002,C,C,.003,.005,.006,.007,.010,.014,.010,.007,.004,.004,.004,.003,.003,.003,.003,.003,.003,.005,.005,.006,.005,.014,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.005,.005,.008,.010,.010,.010,.009,.009,.008,.007,.007,.007,.008,.009,.009,.008,.006,.007,.010,.008,.010,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.002,.002,.002,.002,.005,.005,.007,.008,.007,.007,.006,.006,.005,.004,.005,.004,.005,.005,.004,.003,.002,.003,.003,.004,.008,08
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,.004,.003,.002,.002,.002,.003,.004,.004,.003,.003,.004,15
,PENDLETON,.006,.005,C,C,.012,.008,.009,.007,.010,.008,.006,.004,M,M,M,.002,.004,.005,.005,.002,.003,.004,.004,.003,.006,.012,04
03 NO2 PPM,ALPINE,.006,.003,C,C,.001,.008,.012,.013,M,.007,.006,M,M,M,.005,.006,.007,.006,.006,.007,.013,.011,.003,.002,.007,.013,07
,CARMEL MT RCH,.006,.007,C,C,C,.018,.015,.017,.016,.009,.014,.015,.015,.015,.016,.014,.012,.013,.012,.011,.012,.009,.010,.010,.013,.018,05
,CHULA VISTA,.002,.002,C,C,.003,.005,.006,.006,.009,.010,.008,.005,.004,.003,.003,.003,.003,.003,.003,.003,.003,.005,.005,.006,.005,.010,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.005,.005,.007,.008,.008,.007,.007,.007,.007,.006,.006,.007,.008,.008,.009,.008,.006,.007,.010,.007,.010,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.002,.002,.002,.002,.004,.005,.007,.007,.005,.005,.005,.005,.005,.004,.004,.004,.005,.005,.004,.003,.002,.003,.003,.004,.007,07
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,.004,.003,.002,.003,.003,.004,.004,.004,.003,.003,.004,15
,PENDLETON,.005,.004,C,C,.011,.008,.008,.006,.008,.006,.005,.003,M,M,M,.001,.003,.004,.004,.001,.002,.004,.003,.003,.005,.011,04
04 NO PPM,ALPINE,.000,.000,C,C,.000,.004,.004,.008,M,.003,.002,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.008,07
,CARMEL MT RCH,.002,.002,C,C,C,.016,.014,.017,.016,.005,.011,.011,.010,.008,.010,.007,.006,.007,.006,.004,.005,.003,.003,.002,.008,.017,07
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,.002,.004,.003,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.002,.002,.003,.002,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.001,.003,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,.000,.000,.000,.000,.000,.001,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,15
,PENDLETON,.000,.000,C,C,.001,.000,.001,.001,.003,.002,.001,.000,M,M,M,.000,.001,.001,.001,.000,.000,.000,.000,.000,.001,.003,08
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.5,.5,.5,.4,.2,C,.5,.5,.4,.5,.4,.4,.6,.5,.5,.4,.4,.4,.3,.4,.6,17
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,25,25,25,25,24,24,23,24,24,24,23,24,24,24,24,24,25,25,25,25,24,26,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,24,24,25,24,24,24,24,25,25,25,25,25,25,25,25,00
,CHULA VISTA,24,24,25,25,25,24,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,27,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,27,27,27,27,27,27,27,27,27,27,26,26,26,25,25,25,25,26,26,26,26,27,26,26,27,01
,PENDLETON,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,23,23,23,23,23,23,23,23,23,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,6.8,7.9,6.1,7.2,5.9,3.8,1.9,4.7,8.1,8.5,7.4,8.5,12.1,19.9,18.4,18.5,22.6,23.3,15.2,13.6,20.6,24.7,13.5,14.3,12.2,24.7,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,7.1,8.2,6.7,7.0,7.7,10.1,12.3,15.8,19.1,16.4,M,19.6,17.4,21.8,20.1,16.2,15.6,12.5,15.9,15.7,10.3,14.6,14.1,11.2,13.7,21.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.2,5.4,6.1,13.1,8.5,8.3,14.0,19.8,11.4,15.9,21.2,18.2,14.7,16.9,9.8,16.6,15.1,10.9,10.8,10.9,10.0,17.0,13.4,10.6,12.7,21.2,10
,PENDLETON,8.5,7.3,8.4,8.0,10.3,11.4,18.2,18.6,23.8,25.4,19.8,19.7,17.5,13.7,14.6,12.2,15.0,11.8,10.5,12.1,11.9,11.9,17.1,12.4,14.1,25.4,09
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,13,29,45,92,31,6,4,256,267,270,261,267,273,285,250,286,302,324,321,43,89,13,53,4,158,324,17
,CHULA VISTA,358,11,5,14,37,65,71,67,357,301,274,266,266,269,265,278,270,275,277,276,280,349,319,329,220,358,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,42,77,53,13,47,73,86,106,54,22,3,240,241,217,263,270,254,265,261,252,234,121,118,322,151,322,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,358,355,351,336,339,303,282,278,286,314,307,272,280,277,269,280,286,274,292,287,298,341,313,310,304,358,00
,OTAY MESA DVN,11,33,16,19,18,354,311,24,357,328,309,298,296,293,293,298,285,292,306,325,321,342,66,18,217,357,08
,PENDLETON,20,26,26,26,14,316,315,301,299,309,296,276,270,266,259,258,243,226,234,170,203,36,341,16,198,341,22
13 SIGTHETA °,ALPINE,52,28,70,34,33,78,51,33,22,24,29,33,34,31,32,29,30,22,25,50,64,45,25,41,38,78,05
,CHULA VISTA,21,22,26,21,21,19,22,29,52,42,32,24,22,25,23,23,21,20,20,26,31,39,40,19,27,52,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,23,19,40,37,35,50,18,27,66,47,67,60,31,22,21,20,21,16,21,18,18,20,32,45,32,67,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,19,13,15,23,21,26,28,42,39,29,31,21,16,18,18,21,15,11,14,13,18,43,14,10,22,43,21
,OTAY MESA DVN,16,19,9,12,21,20,53,36,18,24,24,25,18,17,17,15,13,12,14,15,14,21,54,11,21,54,22
,PENDLETON,11,11,10,10,14,20,22,27,25,20,19,15,14,13,14,14,16,21,45,19,31,27,25,36,20,45,18
14 VWSP MPH,ALPINE,.6,1.0,.6,1.4,1.1,.3,.5,1.7,2.9,3.5,3.7,4.0,4.5,4.9,4.6,3.8,3.0,2.2,.9,.4,.5,.8,1.1,1.3,2.1,4.9,13
,CHULA VISTA,3.2,3.0,2.9,3.3,2.8,3.3,2.6,2.2,.9,2.5,4.7,6.4,6.2,6.4,6.4,6.1,5.5,4.7,4.0,2.5,2.0,1.1,.8,1.2,3.5,6.4,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.3,1.3,.5,1.6,1.6,1.0,2.7,2.0,.9,2.1,1.1,2.3,4.8,7.0,6.4,6.4,5.2,5.2,3.4,3.0,1.8,1.3,.5,.4,2.7,7.0,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.3,5.8,5.9,3.4,3.9,2.9,2.5,2.4,2.6,4.7,5.3,7.6,9.5,9.3,7.6,6.7,7.6,6.2,4.9,4.3,3.0,1.7,3.2,3.4,4.9,9.5,12
,OTAY MESA DVN,3.4,2.9,3.8,3.9,2.4,1.7,.5,1.1,4.4,5.2,5.6,5.9,8.0,7.3,7.5,7.7,8.3,6.0,4.5,4.1,3.8,3.0,.3,2.7,4.3,8.3,16
,PENDLETON,3.4,4.1,4.2,4.3,3.0,2.8,2.7,2.5,2.6,3.7,3.7,4.5,5.1,5.5,5.4,5.0,4.6,3.6,1.9,1.6,1.3,1.6,1.7,2.0,3.4,5.5,13
15 SWSP MPH,ALPINE,1.0,1.3,1.2,1.7,1.8,.7,1.1,1.9,3.1,3.9,4.1,4.6,5.3,5.6,5.3,4.4,3.3,2.4,1.0,.8,.7,.9,1.5,1.4,2.5,5.6,13
,CHULA VISTA,3.4,3.2,3.1,3.5,3.1,3.5,2.8,2.4,1.6,3.2,5.4,6.9,6.8,7.0,6.9,6.6,5.9,5.0,4.3,2.8,2.3,1.8,1.2,1.3,3.9,7.0,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.7,1.5,1.0,2.1,1.9,1.6,2.8,2.4,1.7,2.5,2.3,3.6,5.8,7.6,6.8,6.8,5.6,5.4,3.7,3.2,2.3,1.4,1.1,.9,3.2,7.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.8,6.1,6.2,3.8,4.3,3.3,3.0,3.1,3.8,5.5,6.2,8.2,9.9,9.9,8.0,7.2,7.9,6.3,5.0,4.4,3.1,2.1,3.3,3.5,5.4,9.9,12
,OTAY MESA DVN,3.5,3.0,3.9,4.0,2.7,1.8,1.3,1.8,4.7,5.8,6.0,6.4,8.4,7.6,7.9,8.0,8.6,6.2,4.7,4.3,4.0,3.2,.6,2.7,4.6,8.6,16
,PENDLETON,3.5,4.2,4.2,4.4,3.1,3.1,2.9,2.7,2.9,3.9,4.0,4.6,5.3,5.6,5.6,5.2,4.8,3.9,2.1,1.9,1.5,1.8,2.0,2.3,3.6,5.6,13
16 AMBTEMP °F,ALPINE,58.7,63.8,65.9,65.5,70.6,69.6,70.1,70.5,71.7,75.7,80.3,83.4,85.6,86.5,84.8,81.6,76.5,71.0,67.3,65.9,66.0,67.8,71.5,73.9,72.7,86.5,13
,CARMEL MT RCH,62.2,62.1,61.8,61.8,62.1,62.5,62.9,64.0,65.7,69.2,73.2,76.2,76.8,76.2,76.5,73.4,70.5,67.1,65.1,64.3,64.0,64.0,63.5,62.7,67.0,76.8,12
,CHULA VISTA,65.7,65.4,64.8,64.5,64.0,64.0,64.4,65.2,66.5,69.1,72.0,72.8,72.6,73.2,72.1,70.8,69.7,67.1,65.9,66.1,66.2,66.5,66.4,66.0,67.5,73.2,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,62.2,61.5,61.3,62.1,61.8,62.0,61.7,62.7,63.9,66.2,72.1,78.2,81.9,80.9,80.2,79.2,76.5,72.2,69.1,67.1,65.9,64.7,64.4,64.2,68.4,81.9,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,64.7,64.5,64.5,64.6,64.5,64.7,64.9,65.5,66.8,69.0,72.1,73.6,73.8,73.1,72.2,72.3,70.0,67.0,66.0,65.7,65.7,65.7,65.4,64.9,67.6,73.8,12
,OTAY MESA DVN,61.6,61.0,60.7,60.5,59.9,60.5,60.9,61.6,63.6,66.6,71.4,75.3,75.4,74.9,74.3,72.2,70.2,66.8,65.2,64.8,64.8,64.8,63.7,62.9,66.0,75.4,12
,PENDLETON,65.2,63.4,62.8,62.9,63.4,64.5,64.0,64.1,64.5,65.2,66.8,68.1,68.8,69.0,68.5,68.1,67.9,67.1,66.9,66.8,66.9,66.8,66.6,66.0,66.0,69.0,13
17 RELHUM %,ALPINE,89,57,44,42,34,36,39,45,52,50,42,40,36,36,42,47,57,69,77,80,79,73,63,55,54,89,00
,EL CAJON LES,86,86,87,89,90,90,89,88,86,81,68,56,50,53,54,56,61,70,77,82,84,87,87,88,77,90,04
,KEARNY MESA,87,88,89,89,90,90,89,87,83,77,69,67,67,70,71,71,78,85,87,88,88,88,89,90,82,90,04
18 PRES mmHg,KEARNY MESA,747,747,747,747,747,747,747,748,748,748,748,747,747,747,746,746,746,746,747,747,747,747,747,747,747,748,07
19 SOLAR W/M2,KEARNY MESA,-3,-3,-3,-3,-3,-1,22,80,207,606,769,807,785,704,542,433,182,10,-3,-3,-3,-3,-3,-3,213,807,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.1,.1,.2,.2,.2,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.2,12
29 CO Tr PPB,EL CAJON LES,196.4,192.8,C,C,C,205.3,217.9,256.7,274.0,276.5,276.4,298.0,298.5,293.6,293.5,287.9,296.7,289.5,294.1,297.5,279.6,255.5,263.9,262.5,266.9,298.5,12
