Current Date:,9/22/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
9/21/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.065,.066,C,C,.052,.046,.041,M,M,.051,.054,.061,.075,.082,.084,.075,.069,.057,.048,.034,.028,.026,.038,.047,.054,.084,14
,CHULA VISTA,.015,.013,C,C,.007,.001,.004,.016,.020,.038,.048,.051,.049,.045,.043,.043,.041,.040,.038,.035,.030,.022,.022,.006,.028,.051,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.018,.017,C,C,C,.004,.007,.014,.024,.037,.050,.056,.067,.070,.062,.056,.053,.046,.036,.030,.027,.024,.019,.016,.034,.070,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.013,C,C,.001,.001,.009,.028,.027,.037,.049,.055,.055,.054,.051,.049,.045,.042,.035,.032,.028,.028,.030,.026,.032,.055,11
,OTAY MESA DVN,.026,,,,,,,,P,.038,M,.057,.060,.058,.053,.049,.046,.043,.039,.037,.035,.034,.031,.028,.042,.060,12
,PENDLETON,.025,.024,C,C,.009,.012,.008,.016,.032,.036,.041,.046,.047,.047,.046,.046,.046,.046,.045,.044,.035,.020,.024,.023,.032,.047,12
02 NOX PPM,ALPINE,.001,.000,C,C,.001,.008,.007,M,M,.006,.008,.008,.006,.005,.004,.004,.004,.005,.007,.015,.019,.018,.010,.005,.007,.019,20
,CARMEL MT RCH,.027,.028,C,C,C,.033,.045,.045,.043,M,.038,.029,.027,.024,.025,.020,.019,.022,.024,.022,.018,.014,.013,.020,.027,.045,06
,CHULA VISTA,.015,.016,C,C,.018,.032,.043,.023,.025,.009,.006,.005,.004,.004,.003,.003,.004,.004,.005,.005,.007,.012,.011,.029,.013,.043,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,.005,C,C,C,.017,.019,.024,.018,.013,.012,.014,.011,.007,.006,.007,.007,.007,.010,.011,.010,.011,.013,.012,.011,.024,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,.015,C,C,.042,.058,.035,.011,.015,.011,.010,.009,.006,.006,.006,.005,.004,.005,.007,.006,.008,.007,.005,.008,.013,.058,05
,OTAY MESA DVN,.003,,,,,,,,P,.011,M,M,M,.005,.004,.003,.003,.003,.002,.002,.003,.004,.004,.004,.004,.011,09
,PENDLETON,.007,.008,C,C,.018,.019,.017,.012,.004,.003,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.006,.019,.013,.012,.007,.019,05
03 NO2 PPM,ALPINE,.001,.000,C,C,.001,.006,.006,M,M,.006,.007,.007,.006,.005,.004,.004,.004,.005,.007,.015,.018,.018,.010,.005,.007,.018,20
,CARMEL MT RCH,.021,.021,C,C,C,.018,.022,.021,.020,M,.021,.016,.016,.015,.015,.012,.012,.014,.016,.014,.012,.010,.010,.015,.016,.022,06
,CHULA VISTA,.015,.015,C,C,.016,.019,.018,.017,.016,.007,.005,.004,.003,.003,.003,.002,.003,.003,.004,.005,.007,.012,.011,.022,.010,.022,23
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.006,.005,C,C,C,.012,.012,.014,.012,.010,.009,.011,.009,.006,.005,.006,.006,.006,.009,.010,.010,.011,.012,.011,.009,.014,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,.015,C,C,.024,.028,.024,.009,.011,.008,.008,.007,.005,.005,.005,.004,.004,.005,.007,.006,.008,.007,.005,.008,.010,.028,05
