Current Date:,9/5/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
9/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.016,.017,C,C,.017,.016,.018,.022,.025,.032,M,.047,.050,.051,M,.054,.052,.047,.044,.039,.030,.024,.025,.025,.032,.054,15
,CHULA VISTA,.029,.028,.028,.030,.031,.029,.028,.028,.029,.034,.037,.038,.038,.039,.040,.040,.039,.036,.033,.034,.035,.036,.036,.036,.033,.040,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.032,.030,C,C,C,.024,.024,.025,.027,.031,.034,.038,.039,.044,.046,.049,.046,.045,.041,.037,.034,.034,.032,.034,.035,.049,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.023,.018,C,C,.035,.033,.031,.032,.031,.033,.036,.037,.039,.039,.040,.043,.043,.039,.040,.036,.031,.036,.039,.043,.035,.043,15
,OTAY MESA DVN,.031,.028,C,C,.025,.030,.030,.029,.032,.034,.035,.040,.043,.042,.046,.050,.047,.040,.036,.033,.030,.029,.027,.032,.034,.050,15
,PENDLETON,.037,.034,C,C,.016,.014,.014,.016,.029,.040,.043,.043,.043,.043,.043,.042,.041,.041,.042,.043,.043,.044,.044,.045,.036,.045,23
02 NOX PPM,ALPINE,.010,.009,C,C,.011,.010,.011,.009,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.010,.011,04
,CARMEL MT RCH,.010,.010,C,C,C,.035,.019,.014,.022,.029,.029,.031,.027,.029,.029,.022,.019,.019,.015,.015,.015,.013,.010,.008,.020,.035,05
,CHULA VISTA,.004,.005,.004,.003,.002,.004,.005,.005,.005,.005,.003,.003,.003,.003,.003,.003,.003,.003,.004,.005,.004,.004,.003,.003,.004,.005,01
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,.004,C,C,C,.004,.005,.005,.005,.006,.007,.006,.007,.007,.006,.005,.005,.005,.005,.005,.005,.004,.004,.003,.005,.007,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.007,C,C,.002,.004,.005,.005,.008,.009,.006,.005,.006,.005,.004,.003,.003,.004,.002,.003,.006,.003,.004,.002,.005,.009,09
,OTAY MESA DVN,.001,.001,C,C,.002,.001,.001,.003,.003,.002,.003,.003,.002,.002,.002,.002,.003,.002,.001,.002,.003,.004,.004,.002,.002,.004,21
,PENDLETON,.002,.003,C,C,.011,.013,.010,.011,.007,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.013,05
03 NO2 PPM,ALPINE,.007,.006,C,C,.007,.006,.006,.004,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.006,.007,00
,CARMEL MT RCH,.007,.007,C,C,C,.018,.011,.009,.012,.016,.015,.016,.014,.014,.014,.011,.011,.011,.009,.009,.010,.008,.007,.006,.011,.018,05
,CHULA VISTA,.004,.005,.004,.003,.002,.004,.004,.004,.005,.004,.002,.003,.002,.002,.002,.002,.002,.002,.004,.005,.004,.004,.003,.003,.003,.005,01
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,.004,C,C,C,.004,.004,.004,.004,.005,.006,.005,.005,.005,.005,.004,.004,.005,.005,.004,.005,.004,.004,.003,.004,.006,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.007,C,C,.002,.003,.005,.004,.007,.008,.005,.004,.006,.004,.003,.003,.003,.003,.002,.003,.006,.003,.003,.002,.004,.008,09
,OTAY MESA DVN,.001,.001,C,C,.002,.001,.001,.002,.002,.002,.003,.002,.002,.001,.002,.002,.002,.002,.001,.002,.003,.004,.003,.002,.002,.004,21
,PENDLETON,.002,.002,C,C,.010,.012,.009,.009,.007,.002,.001,.001,.001,.001,.001,.001,.000,.000,.001,.001,.001,.001,.001,.001,.003,.012,05
04 NO PPM,ALPINE,.003,.003,C,C,.004,.004,.004,.004,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.004,.004,04
,CARMEL MT RCH,.003,.003,C,C,C,.017,.008,.005,.010,.014,.014,.015,.013,.015,.014,.011,.008,.008,.007,.006,.006,.005,.003,.002,.009,.017,05
,CHULA VISTA,.000,.000,.000,.000,.000,.000,.000,.001,.001,.001,.001,.001,.000,.000,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,.000,.000,.001,.001,.001,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,09
,PENDLETON,.000,.000,C,C,.001,.001,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.5,.4,.3,.3,.4,.4,.5,.5,.5,.6,.5,.6,.6,.4,.4,.3,.3,.3,.3,.4,.6,14
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,25,24,23,23,23,23,23,24,24,24,24,24,25,25,25,25,24,26,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,24,24,24,24,24,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,26,27,27,27,25,27,26,26,26,27,27,26,26,26,26,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,25,26,25,26,25,25,26,25,25,25,25,25,25,25,25,25,24,24,25,25,25,25,25,25,26,00
,PENDLETON,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,23,23,23,23,23,23,23,23,23,23,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,10.1,9.8,12.4,8.5,9.1,7.9,10.0,10.7,17.4,15.9,11.0,11.6,16.5,9.6,12.3,14.2,14.2,13.0,10.3,9.6,11.4,14.5,9.6,10.6,11.6,17.4,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,10.6,7.0,8.2,11.7,16.1,14.1,9.5,9.6,M,M,8.4,8.4,12.0,9.8,8.5,7.4,10.2,8.8,13.0,12.2,9.0,8.1,8.6,8.7,9.9,16.1,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,16.9,13.9,13.7,10.9,14.8,12.7,9.5,12.9,12.8,11.7,9.2,13.3,12.7,11.9,M,16.7,2.0,2.3,4.0,6.7,8.8,10.9,7.7,7.2,10.5,16.9,00
,PENDLETON,5.4,7.6,8.9,7.6,7.7,9.6,12.3,14.5,12.1,9.5,8.9,M,M,M,6.2,6.0,4.5,4.5,5.0,5.9,6.4,6.6,4.3,3.8,7.4,14.5,07
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,354,326,105,25,329,311,192,226,286,255,254,247,284,269,257,279,285,291,320,4,138,278,190,77,233,354,00
,CHULA VISTA,336,17,66,24,330,24,67,125,217,285,274,274,277,263,282,272,269,283,289,299,314,310,294,335,230,336,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,311,347,131,123,49,93,109,108,84,356,244,251,251,249,255,322,320,317,306,305,317,318,340,349,244,356,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,M,M,M,M,M,M,M,M,M,274,254,269,258,267,331,304,305,308,299,297,290,307,347,294,347,23
,OTAY MESA DVN,348,343,19,55,25,14,280,311,343,323,302,289,289,296,325,313,293,285,289,322,25,57,15,356,230,356,23
,PENDLETON,3,9,10,33,58,69,57,79,192,279,268,270,271,262,256,261,268,286,291,319,315,312,310,311,200,319,19
13 SIGTHETA °,ALPINE,48,37,18,48,58,41,59,42,39,39,40,41,33,32,31,37,32,29,21,30,34,35,49,71,39,71,23
,CHULA VISTA,22,17,24,27,35,26,29,35,43,32,19,21,22,22,29,23,21,19,21,23,24,35,18,27,26,43,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,18,35,21,20,31,19,26,31,48,49,46,28,22,21,27,35,30,21,17,18,16,20,19,17,26,49,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,11,22,21,32,34,30,21,27,41,20,14,15,27,17,20,20,17,12,11,9,10,14,15,20,20,41,08
,OTAY MESA DVN,14,16,19,17,18,41,37,49,44,22,18,13,16,13,19,17,16,12,11,17,19,13,20,17,21,49,07
,PENDLETON,11,11,20,12,12,12,12,16,25,30,12,12,12,10,11,11,12,15,15,14,11,12,10,9,14,30,09
14 VWSP MPH,ALPINE,.1,.2,1.3,.2,.5,.6,.2,1.3,2.2,2.9,3.7,4.4,4.6,4.9,4.4,3.7,3.3,2.5,1.6,.4,.5,.3,.3,.1,1.8,4.9,13
,CHULA VISTA,2.1,1.3,1.2,1.0,1.4,1.8,1.8,1.6,1.2,4.4,5.5,5.1,4.4,4.8,4.8,5.3,5.6,5.3,3.6,3.0,2.6,1.7,3.7,2.6,3.2,5.6,16
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.5,.2,1.8,1.6,1.5,2.4,2.7,2.2,1.4,1.5,1.5,4.3,5.7,5.9,4.9,3.7,4.7,4.1,4.3,3.6,2.6,2.8,2.6,3.0,3.0,5.9,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,M,M,M,M,M,M,M,M,M,6.9,6.9,4.1,6.4,6.0,5.0,5.1,6.5,6.2,5.3,3.6,3.3,2.8,3.1,5.1,6.9,10
,OTAY MESA DVN,3.6,2.5,1.4,1.6,2.3,.8,1.6,1.2,2.2,4.6,5.6,8.3,7.6,8.3,6.0,6.1,8.2,8.2,6.0,2.7,1.2,1.9,2.2,4.0,4.1,8.3,11
,PENDLETON,2.8,1.9,1.6,2.7,2.8,3.1,3.5,2.3,.9,2.7,5.2,5.3,5.6,7.1,7.6,6.3,4.7,3.7,3.2,4.1,4.9,5.5,6.2,5.8,4.1,7.6,14
15 SWSP MPH,ALPINE,.6,.5,1.3,.4,.5,.7,.7,1.8,2.6,3.6,4.4,5.5,5.5,6.0,5.2,4.4,3.9,2.8,1.7,1.1,.8,.5,.8,.6,2.3,6.0,13
,CHULA VISTA,2.3,1.5,1.3,1.1,1.6,2.1,2.0,2.0,1.7,4.6,5.8,5.4,4.8,5.2,5.4,5.7,6.0,5.6,3.8,3.2,2.9,2.0,3.9,3.3,3.5,6.0,16
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.6,1.3,2.1,1.8,1.9,2.8,3.0,2.7,2.1,2.1,3.1,4.6,6.2,6.3,5.3,4.1,5.3,4.4,4.5,3.8,2.8,3.0,2.8,3.1,3.4,6.3,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,M,M,M,M,M,M,M,M,M,7.1,7.2,4.6,6.6,6.4,5.4,5.4,6.7,6.3,5.4,3.6,3.4,3.0,3.4,5.3,7.2,11
,OTAY MESA DVN,3.9,2.7,1.6,1.7,2.4,1.7,2.0,1.7,2.6,4.8,6.2,8.8,7.9,8.5,6.6,6.5,8.5,8.4,6.1,3.0,1.5,2.0,2.4,4.2,4.4,8.8,11
,PENDLETON,2.8,1.9,1.7,2.7,3.0,3.2,3.7,2.6,1.8,2.9,5.3,5.5,5.8,7.2,7.7,6.4,4.9,3.8,3.4,4.2,5.0,5.6,6.3,5.9,4.3,7.7,14
16 AMBTEMP °F,ALPINE,60.3,59.7,59.0,59.8,59.3,58.8,59.3,61.1,63.7,67.7,73.5,77.4,79.3,78.5,76.7,76.0,74.7,71.0,66.7,64.8,63.9,62.8,61.5,61.7,66.6,79.3,12
,CARMEL MT RCH,65.6,65.9,66.7,66.7,67.0,67.3,67.6,68.0,68.4,69.1,69.1,69.7,70.2,70.1,70.4,71.0,70.6,69.3,68.2,67.8,67.8,67.9,68.0,68.0,68.4,71.0,15
,CHULA VISTA,68.4,67.5,68.0,68.4,68.7,68.8,69.3,69.8,70.2,70.4,70.2,70.0,69.6,70.3,72.2,72.5,72.0,71.2,70.2,70.7,70.8,70.6,70.2,70.0,70.0,72.5,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,66.3,66.0,65.8,66.3,67.1,66.9,67.1,67.8,68.5,70.4,72.2,73.1,71.3,73.2,74.0,76.3,76.1,74.3,71.2,69.7,68.8,68.7,68.9,68.9,70.0,76.3,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,65.7,66.7,68.8,68.6,68.7,68.6,69.1,69.4,70.1,70.1,70.0,69.1,70.4,71.6,71.7,72.4,71.7,70.6,69.9,69.2,68.6,69.5,69.8,70.0,69.6,72.4,15
,OTAY MESA DVN,66.2,65.7,65.3,64.9,65.3,65.8,66.3,67.2,68.3,69.3,71.2,71.0,70.5,69.6,70.7,72.2,72.8,70.4,68.1,67.4,67.0,67.3,67.6,67.9,68.3,72.8,16
,PENDLETON,70.8,70.5,69.7,68.2,67.4,67.5,68.2,70.0,71.4,71.6,71.4,72.1,72.8,72.7,71.9,71.2,71.0,71.2,71.5,71.8,71.7,71.6,71.3,71.0,70.8,72.8,12
17 RELHUM %,ALPINE,91,93,94,93,94,96,97,95,88,76,64,56,54,57,61,63,66,75,86,92,92,93,96,98,82,98,23
,EL CAJON LES,83,84,84,82,82,81,81,80,79,76,73,73,79,74,71,65,66,70,77,80,82,83,83,83,78,84,01
,KEARNY MESA,85,83,82,82,83,83,82,82,81,84,85,87,83,78,77,77,79,80,81,83,86,85,84,83,82,87,11
18 PRES mmHg,KEARNY MESA,745,744,744,744,744,745,745,746,746,746,746,746,745,745,745,744,744,745,745,745,746,746,746,746,745,746,07
19 SOLAR W/M2,KEARNY MESA,-3,-3,-3,-3,-3,3,34,62,93,131,165,144,184,192,186,215,75,23,-2,-3,-3,-3,-3,-3,61,215,15
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.1,.0,.1,.0,.1,.1,.0,.1,.1,.1,.1,.1,.0,.0,.0,.0,.1,09
29 CO Tr PPB,EL CAJON LES,191.5,190.5,C,C,C,209.2,218.5,212.3,213.4,244.7,257.6,262.7,M,263.1,274.6,250.6,238.7,230.3,246.2,210.5,215.9,206.2,207.4,190.8,226.7,274.6,14
