Current Date:,1/21/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
1/20/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.033,C,C,.035,.036,.034,.035,.031,.030,.024,.029,.032,.036,.036,.041,.037,.029,.036,.027,.030,.032,.031,.028,.026,.032,.041,14
,CHULA VISTA,.006,C,C,.011,.008,.009,.009,.007,.012,.013,.014,.025,.031,.031,.032,.033,.025,.017,.010,.004,.002,.001,.001,.001,.013,.033,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,C,C,C,.002,.002,.002,.002,.005,.008,.013,.021,.034,.039,.037,.032,.031,.028,.018,.007,.005,.003,.003,.003,.014,.039,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.020,C,C,.025,.022,.016,.015,.011,.013,.013,.021,.028,.038,.031,.033,.034,.027,.018,.013,.011,.005,.005,.004,.007,.018,.038,12
,OTAY MESA DVN,.030,C,C,.026,.025,.022,.018,.016,.013,.016,.021,.025,.032,.035,.036,.034,.032,.026,.020,.016,.023,.009,.014,.013,.022,.036,14
,PENDLETON,.020,C,C,.018,.016,.016,.016,.015,.014,.016,.020,.025,.029,.029,.031,.030,.032,.029,.025,.025,.025,.022,.023,.028,.022,.032,16
02 NOX PPM,ALPINE,.000,C,C,.000,.000,.000,.000,.002,.001,.007,.005,.003,.002,.002,.002,.009,.014,.007,.010,.008,.009,.008,.006,.006,.005,.014,16
,CARMEL MT RCH,.019,C,C,C,.017,.009,.020,.021,.024,.012,.025,.011,.012,.012,.014,.019,.011,.019,.016,.038,.037,.028,.015,.012,.019,.038,19
,CHULA VISTA,.021,C,C,.009,.011,.010,.012,.018,.014,.023,.020,.015,.014,.013,.012,.008,.020,.022,.026,.030,.034,.038,.035,.027,.020,.038,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.040,C,C,C,.033,.035,.036,.046,.042,.037,.027,.017,.004,.005,.011,.013,.010,.012,.016,.023,.029,.026,.026,.023,.024,.046,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,C,C,.002,.004,.007,.008,.014,.010,.013,.005,.007,.003,.015,.011,.008,.014,.020,.016,.018,.024,.022,.017,.013,.012,.024,20
,OTAY MESA DVN,.001,C,C,.000,.001,.005,.011,.011,.019,.016,.005,.004,.007,.008,.007,.006,.006,.015,.019,.021,.010,.024,.016,.012,.010,.024,21
,PENDLETON,.004,C,C,.004,.004,.004,.004,.005,.006,.007,.011,.011,.006,.009,.012,.008,.003,.006,.010,.008,.001,.000,.000,.000,.006,.012,14
03 NO2 PPM,ALPINE,.000,C,C,.000,.000,.000,.000,.002,.001,.005,.003,.002,.001,.002,.002,.008,.013,.007,.010,.008,.008,.007,.006,.006,.004,.013,16
,CARMEL MT RCH,.015,C,C,C,.013,.007,.013,.012,.013,.008,.011,.006,.007,.006,.008,.012,.008,.014,.014,.022,.021,.020,.012,.009,.012,.022,19
,CHULA VISTA,.019,C,C,.008,.009,.010,.011,.012,.009,.014,.011,.010,.010,.009,.009,.006,.018,.021,.025,.028,.028,.024,.024,.022,.015,.028,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.015,C,C,C,.009,.009,.009,.011,.014,.016,.013,.010,.003,.004,.009,.011,.010,.011,.015,.019,.020,.020,.018,.018,.013,.020,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,C,C,.002,.003,.006,.008,.010,.007,.008,.004,.005,.003,.011,.009,.007,.013,.019,.015,.017,.023,.020,.015,.012,.010,.023,20
,OTAY MESA DVN,.001,C,C,.000,.001,.003,.010,.010,.013,.011,.004,.003,.005,.006,.006,.005,.006,.015,.019,.020,.010,.023,.016,.012,.009,.023,21
,PENDLETON,.004,C,C,.003,.003,.003,.003,.004,.004,.003,.006,.006,.004,.006,.009,.007,.002,.006,.009,.007,.001,.000,-.001,.000,.004,.009,14
04 NO PPM,ALPINE,.000,C,C,.000,.000,.000,.000,.000,.000,.002,.001,.001,.000,.000,.000,.001,.001,.000,.000,.000,.001,.000,.000,.000,.000,.002,09
,CARMEL MT RCH,.004,C,C,C,.004,.002,.008,.009,.010,.004,.014,.005,.005,.005,.006,.007,.003,.005,.002,.016,.016,.008,.003,.003,.007,.016,19
,CHULA VISTA,.002,C,C,.001,.001,.001,.001,.006,.005,.010,.008,.005,.004,.004,.003,.002,.002,.001,.001,.002,.006,.014,.011,.005,.004,.014,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.025,C,C,C,.024,.026,.027,.035,.027,.021,.013,.007,.001,.001,.002,.002,.001,.000,.001,.004,.009,.006,.007,.004,.012,.035,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.000,.000,.001,.001,.004,.003,.005,.002,.002,.001,.004,.002,.001,.001,.001,.001,.001,.002,.002,.003,.001,.002,.005,09
