Current Date:,1/22/2019,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
1/21/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.031,.034,.037,.038,.038,.039,.041,.042,.043,.044,.044,.043,.043,.043,.042,.04,.039,.038,.036,.036,.035,.035,.034,.033,0.038,0.044,09
,CHULA VISTA,.032,.037,.04,.04,.04,.04,.041,.042,.042,.042,.042,.041,.039,.035,.031,.027,.024,.022,.019,.017,.016,.018,.019,.017,0.031,0.042,07
,EL CAJON LES,,,,.036,.037,.038,.04,.042,.043,.044,.044,.043,.04,.035,.031,.027,.021,.016,.011,.008,.007,,,,0.031,0.044,09
,KEARNY MESA,.03,.035,.038,.039,.039,.04,.041,.042,.043,.043,.043,.043,.042,.039,.035,.032,.029,.026,.024,.022,.021,.019,.019,.017,0.033,0.043,08
,OTAY MESA DVN,.029,.033,.037,.038,.038,.039,.039,.04,.041,.041,.041,.041,.041,.04,.039,.038,.037,.035,.033,.033,.032,.03,.029,.025,0.036,0.041,08
,PENDLETON,.04,.041,.042,.042,.042,.042,.042,.042,.042,.043,.043,.043,.043,.04,.037,.034,.03,.029,.028,.027,.024,.023,.021,.019,0.035,0.043,09
