Current Date:,1/13/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
1/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,OTAY MESA DVN,.001,.002,C,C,.000,.000,.000,.000,.005,.006,.003,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.006,09
,PENDLETON,.000,.000,C,C,.000,.000,.001,.002,.002,.002,.001,.001,.001,.009,.000,.001,.000,.000,.001,.001,.001,.000,.000,.000,.001,.009,13
06 CO PPM,CARMEL MT RCH,.3,.4,C,C,C,.2,.2,.5,.3,.1,.4,.6,.4,.4,.4,.5,.5,.5,.5,.6,.4,.8,.8,.8,.5,.8,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,25,25,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,25,25,26,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,25,25,25,26,26,26,26,26,26,26,26,00
,CHULA VISTA,24,24,24,25,24,24,24,24,24,24,25,25,26,26,25,25,26,25,25,25,24,24,23,23,25,26,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,26,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,27,27,26,26,26,26,25,26,26,26,26,25,26,26,27,11
,PENDLETON,25,25,25,25,25,24,24,24,24,24,24,24,24,23,23,23,24,24,25,25,24,24,24,23,24,25,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,8.2,9.6,18.6,20.5,12.0,14.0,10.9,4.1,3.4,4.0,4.4,3.8,8.2,6.3,2.1,4.3,6.8,4.1,1.5,12.3,10.1,5.8,3.9,3.9,7.6,20.5,03
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,30.3,23.9,26.9,26.1,21.3,17.8,14.6,18.0,15.3,7.1,6.9,3.9,1.4,2.0,2.1,2.1,3.5,8.3,16.9,17.5,31.4,24.7,24.6,23.2,15.4,31.4,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,55.6,60.1,37.9,18.7,16.2,7.3,11.2,9.5,15.5,18.0,6.5,6.4,2.6,-1.5,3.6,4.6,3.6,6.2,5.3,5.0,6.9,8.1,7.3,7.1,13.4,60.1,01
,PENDLETON,18.3,25.5,23.4,5.1,1.3,-.7,-.5,1.8,3.4,1.8,-.3,-2.5,-.1,2.4,-1.2,-3.4,-2.2,-.9,2.0,8.9,9.3,7.8,5.0,2.4,4.4,25.5,01
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,107,283,1,105,68,24,101,153,128,149,217,264,243,217,255,287,284,287,100,155,7,37,68,24,149,287,15
,CHULA VISTA,107,129,113,121,112,93,82,59,150,235,244,260,276,276,261,265,271,214,160,94,75,85,107,78,161,276,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,115,81,110,79,95,89,71,222,11,296,239,245,250,249,254,235,243,225,165,131,191,104,103,176,166,296,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,131,74,80,116,28,79,89,82,114,171,190,170,253,270,261,260,277,268,95,46,47,68,58,71,137,277,16
,OTAY MESA DVN,128,122,101,120,81,93,262,124,215,170,250,271,300,319,280,283,294,314,41,45,43,63,113,68,171,319,13
,PENDLETON,74,71,68,303,56,55,62,54,79,152,238,196,249,256,230,221,240,220,5,65,64,49,39,39,129,303,03
13 SIGTHETA °,ALPINE,35,44,56,50,25,48,22,55,14,12,24,26,32,25,32,22,25,26,31,41,33,38,38,27,33,56,02
,CHULA VISTA,23,60,14,26,14,15,30,26,21,19,21,22,29,21,20,22,21,15,19,16,35,57,15,20,24,60,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,28,51,35,51,70,27,47,30,54,22,26,22,21,21,26,21,19,33,25,43,47,35,53,54,36,70,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,18,36,35,16,26,11,9,14,14,20,19,15,17,12,9,8,10,16,28,8,8,15,9,10,16,36,01
,OTAY MESA DVN,55,32,36,15,64,31,58,64,36,19,16,14,19,32,16,13,10,24,18,11,10,10,6,31,27,64,04
,PENDLETON,15,18,14,33,15,15,14,14,14,20,13,27,25,20,18,15,15,24,24,12,11,15,11,10,17,33,03
14 VWSP MPH,ALPINE,3.1,1.5,1.4,1.5,1.5,.3,3.2,2.7,5.5,7.7,4.0,4.2,4.8,5.4,2.8,3.1,2.1,1.2,.6,.5,1.0,.9,.9,.6,2.5,7.7,09
,CHULA VISTA,3.1,.6,3.7,3.7,4.0,4.8,1.4,.9,2.0,3.9,4.2,4.1,4.0,5.7,5.6,5.0,3.6,1.6,1.6,1.0,1.1,.7,3.2,1.7,3.0,5.7,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.3,.4,1.8,2.0,.7,2.5,1.6,1.0,.2,2.0,2.9,4.4,6.0,5.3,4.5,4.8,3.3,1.3,2.4,1.4,.5,1.0,.7,.3,2.2,6.0,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.6,1.3,2.8,5.6,5.3,7.6,7.2,4.6,3.3,3.4,5.5,4.1,5.8,8.2,6.7,6.7,4.6,2.8,1.2,3.7,4.2,2.4,3.1,2.7,4.5,8.2,13
,OTAY MESA DVN,2.9,1.3,3.6,4.8,.6,2.9,1.3,1.3,1.5,4.9,6.1,6.8,5.9,3.2,7.3,7.5,6.1,2.9,2.5,3.2,3.4,3.8,3.0,.9,3.7,7.5,15
,PENDLETON,4.0,3.9,5.5,3.1,6.3,9.4,6.5,5.2,4.6,1.9,6.1,1.5,1.9,2.5,3.7,4.6,4.7,1.2,1.2,2.8,4.6,5.0,5.7,6.4,4.3,9.4,05
15 SWSP MPH,ALPINE,3.6,3.5,2.0,1.8,2.2,1.6,3.6,3.4,5.7,7.9,5.1,4.7,5.5,5.9,3.7,3.4,2.3,1.3,.8,1.0,1.2,1.7,1.2,1.0,3.1,7.9,09
,CHULA VISTA,3.5,.9,3.8,4.2,4.2,5.0,1.6,1.3,2.3,4.5,4.5,4.4,4.5,6.2,6.0,5.3,4.0,1.8,1.7,1.1,1.3,.9,3.3,2.0,3.3,6.2,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
