Current Date:,1/9/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
1/8/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.034,.036,C,C,.037,.036,.037,.038,.038,.039,.041,.042,.041,.039,.044,.044,.035,.028,.027,.032,.033,.031,.033,.035,.036,.044,14
,CHULA VISTA,.014,.007,C,C,.004,.001,.001,.002,.021,.033,.033,.033,.032,.034,.036,.036,.034,.017,.006,.012,.001,.000,.000,.000,.016,.036,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.002,C,C,C,.002,.002,.002,.004,.008,.018,.025,.035,.041,.038,.037,.035,.024,.010,.005,.004,.003,.003,.003,.014,.041,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.016,.018,C,C,.018,.015,.009,.005,.016,.025,.028,.029,.035,.038,.035,.036,.033,.016,.007,.019,.018,.012,.008,.011,.020,.038,13
,OTAY MESA DVN,.023,.022,C,C,.033,.034,.041,.039,.039,.039,.038,.038,.037,M,.033,.030,.028,.027,.027,.025,.007,.005,.004,.003,.027,.041,06
,PENDLETON,.012,.014,C,C,.010,.007,.007,.007,.010,.016,.016,.021,.025,.032,.042,.045,.040,.036,.020,.017,.012,.009,.014,.013,.019,.045,15
02 NOX PPM,ALPINE,.001,.001,C,C,.002,.003,.004,.005,.003,.003,.002,.002,.004,.011,.011,.008,.008,.013,.014,.012,.005,.005,.005,.003,.006,.014,18
,CARMEL MT RCH,.034,.028,C,C,C,.077,.096,.129,.150,.109,.037,M,M,M,.049,.047,.045,.031,.039,.029,.061,.052,.032,.063,.062,.150,08
,CHULA VISTA,.011,.018,C,C,.022,.037,.052,.071,.030,.012,.013,.010,.010,.008,.008,.007,.009,.023,.032,.026,.044,.045,.042,.045,.026,.071,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.028,.024,C,C,C,.037,.057,.072,.069,.063,.043,.026,.019,.010,.006,.007,.008,.018,.026,.029,.035,.029,.033,.035,.032,.072,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.007,C,C,.010,.014,.024,.047,.031,.018,.020,.023,.017,.010,.011,.008,.012,.027,.036,.019,.020,.024,.028,.021,.020,.047,07
,OTAY MESA DVN,.004,.008,C,C,.003,.003,.000,.001,.001,.002,.002,.003,M,M,.009,.010,.009,.010,.008,.009,.039,.049,.042,.050,.013,.050,23
,PENDLETON,.008,.006,C,C,.009,.014,.016,.025,.034,.017,.033,.011,.023,.020,.006,.005,.010,.010,.025,.025,.027,.031,.019,.015,.018,.034,08
03 NO2 PPM,ALPINE,.002,.001,C,C,.002,.003,.004,.004,.003,.002,.001,.001,.003,.008,.009,.007,.007,.012,.012,.009,.005,.005,.005,.003,.005,.012,17
,CARMEL MT RCH,.024,.022,C,C,C,.033,.039,.044,.043,.041,.020,M,M,M,.025,.024,.025,.021,.030,.025,.038,.032,.025,.034,.030,.044,07
,CHULA VISTA,.010,.015,C,C,.019,.024,.030,.030,.018,.009,.009,.007,.007,.005,.005,.006,.008,.021,.029,.024,.030,.027,.027,.029,.018,.030,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.014,.014,C,C,C,.013,.012,.014,.019,.022,.021,.016,.013,.007,.005,.005,.007,.015,.023,.025,.022,.020,.021,.020,.016,.025,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.006,C,C,.009,.013,.021,.029,.018,.012,.014,.016,.013,.008,.009,.007,.011,.025,.030,.018,.020,.022,.026,.020,.016,.030,18
,OTAY MESA DVN,.004,.008,C,C,.003,.003,.000,.001,.001,.001,.002,.002,M,M,.007,.009,.009,.010,.008,.009,.030,.033,.032,.032,.010,.033,21
,PENDLETON,.007,.006,C,C,.008,.010,.011,.013,.012,.008,.011,.006,.009,.011,.004,.004,.008,.009,.024,.022,.025,.026,.017,.014,.012,.026,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.001,.001,.001,.000,.001,.001,.003,.002,.001,.000,.001,.002,.002,.000,.000,.000,.000,.001,.003,13
