Current Date:,1/23/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
1/22/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.035,.032,C,C,.039,.032,.030,.032,.035,.037,.042,.044,.044,.045,.044,.044,.043,.042,.042,.039,.041,.044,.043,.043,.039,.045,13
,CHULA VISTA,.024,.019,C,C,.019,.018,.002,.004,.010,.019,.027,.028,C,C,.037,.036,.035,.030,.020,.002,.001,.002,.007,.016,.017,.037,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.002,C,C,C,.002,.003,.003,.009,.019,.033,.039,.042,.032,.038,.039,.036,.024,.009,.010,.012,.004,.004,.003,.017,.042,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.022,.025,C,C,.015,.011,.011,.009,.015,.017,.027,.033,.036,.039,.040,.040,.039,.030,.023,.021,.023,.020,.025,.035,.025,.040,14
,OTAY MESA DVN,.028,.026,C,C,.026,.027,.013,.011,.012,.013,.021,.031,.032,.033,.033,.035,.032,.028,.012,.008,.013,.025,.032,.033,.023,.035,15
,PENDLETON,.023,.024,C,C,.016,.015,.012,.011,.024,.033,.035,.036,.040,.036,.037,.040,.033,.023,.011,.021,.030,.022,.022,.023,.025,.040,12
02 NOX PPM,ALPINE,.001,.002,C,C,.001,.004,.005,.007,.005,.005,.001,.001,.001,.001,.001,.001,.002,.002,.003,.005,.004,.001,.001,.001,.003,.007,07
,CARMEL MT RCH,.019,.019,C,C,C,.040,.033,.054,.010,.043,.015,M,M,M,.030,.031,.030,.040,.059,.050,.018,.062,.045,.033,.035,.062,21
,CHULA VISTA,.008,.011,C,C,.007,.008,.034,.042,.038,.032,.019,.022,C,C,.008,.010,.012,.015,.021,.042,.048,.046,.027,.016,.023,.048,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.021,.022,C,C,C,.026,.031,.046,.032,.020,.010,.007,.004,.015,.007,.006,.008,.017,.031,.027,.022,.033,.039,.038,.022,.046,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.005,C,C,.008,.011,.012,.019,.019,.028,.021,.013,.009,.007,.007,.007,.008,.015,.018,.018,.014,.016,.011,.005,.013,.028,09
,OTAY MESA DVN,.002,.002,C,C,.002,.005,.017,.025,.034,.038,.028,.012,.014,.012,.011,.007,.007,.009,.031,.033,.024,.012,.004,.003,.015,.038,09
,PENDLETON,.007,.003,C,C,.007,.008,.012,.038,.015,.008,.008,.005,.002,.020,.018,.008,.011,.018,.032,.017,.009,.014,.010,.008,.013,.038,07
03 NO2 PPM,ALPINE,.002,.002,C,C,.001,.004,.004,.005,.004,.003,.001,.001,.001,.001,.001,.001,.002,.001,.002,.004,.003,.001,.001,.001,.002,.005,07
,CARMEL MT RCH,.014,.014,C,C,C,.019,.014,.020,.006,.020,.008,M,M,M,.015,.016,.017,.027,.037,.028,.015,.037,.030,.023,.020,.037,18
,CHULA VISTA,.007,.010,C,C,.006,.006,.023,.022,.020,.018,.012,.014,C,C,.006,.007,.009,.013,.019,.035,.036,.032,.025,.015,.017,.036,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.016,.016,C,C,C,.012,.015,.015,.015,.011,.007,.005,.002,.010,.005,.005,.007,.016,.026,.022,.020,.025,.024,.023,.014,.026,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.005,C,C,.007,.010,.010,.013,.011,.015,.013,.009,.006,.005,.005,.006,.007,.014,.018,.018,.014,.016,.011,.005,.010,.018,18
,OTAY MESA DVN,.002,.001,C,C,.001,.005,.015,.016,.018,.020,.017,.008,.010,.009,.008,.005,.007,.009,.026,.032,.024,.012,.004,.003,.011,.032,19
,PENDLETON,.005,.003,C,C,.006,.006,.009,.017,.007,.005,.004,.003,.001,.008,.008,.004,.009,.016,.026,.015,.008,.012,.009,.007,.009,.026,18
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.002,.001,.001,.000,.000,.000,.000,.000,.001,.001,.001,.001,.001,.002,.000,.000,.000,.001,.002,07
,CARMEL MT RCH,.004,.005,C,C,C,.021,.018,.033,.004,.023,.007,M,M,M,.015,.015,.013,.013,.023,.023,.003,.025,.015,.010,.015,.033,07
,CHULA VISTA,.001,.001,C,C,.001,.001,.012,.019,.018,.014,.007,.008,C,C,.003,.003,.002,.002,.001,.007,.011,.014,.002,.001,.006,.019,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.006,C,C,C,.014,.015,.031,.018,.010,.003,.002,.001,.005,.002,.001,.001,.001,.005,.005,.002,.008,.015,.015,.008,.031,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.002,.002,.006,.008,.013,.007,.004,.002,.002,.002,.002,.001,.001,.001,.000,.000,.001,.000,.000,.002,.013,09
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.002,.009,.016,.018,.011,.004,.004,.003,.003,.001,.001,.000,.005,.002,.000,.000,.000,.000,.004,.018,09
,PENDLETON,.002,.000,C,C,.001,.002,.003,.021,.007,.004,.003,.002,.001,.011,.009,.004,.002,.001,.006,.002,.001,.002,.001,.001,.004,.021,07
06 CO PPM,CARMEL MT RCH,.5,.4,C,C,C,.7,.6,.8,.3,.6,.3,C,M,M,.4,.5,.4,.6,.8,.8,.3,.7,.5,.4,.5,.8,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,26,25,25,26,26,25,25,26,26,25,25,26,25,26,27,27,26,26,26,26,25,26,27,17
,CARMEL MT RCH,26,26,26,26,26,26,25,25,25,25,24,24,24,24,25,25,25,25,26,26,26,26,26,26,25,26,00
,CHULA VISTA,23,23,22,22,22,22,22,22,23,24,25,25,25,25,26,26,26,25,25,24,24,23,22,22,24,26,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,27,27,26,26,27,26,26,26,26,26,25,25,25,25,26,26,26,26,26,26,26,27,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,24,24,24,24,25,24,24,24,24,24,24,24,24,25,25,25,25,25,24,24,25,00
,OTAY MESA DVN,27,27,27,27,27,26,26,26,27,26,26,25,26,26,26,26,25,25,26,26,26,26,25,26,26,27,00
,PENDLETON,23,22,22,22,22,21,20,20,20,21,22,23,23,23,23,23,24,24,24,24,24,24,23,22,22,24,16
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,2.5,.8,1.1,6.0,4.4,3.5,1.8,.1,.5,.7,.1,-.5,-.7,-.6,-.7,-1.1,1.7,1.5,2.0,3.1,-.2,-2.6,-2.1,-1.8,.8,6.0,03
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,13.6,13.0,9.0,7.7,6.9,6.4,6.5,7.3,9.1,9.2,5.2,2.0,.7,M,M,2.9,4.8,8.2,17.7,16.3,12.3,13.8,18.6,17.9,9.5,18.6,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.7,4.6,6.8,8.8,6.7,10.9,18.5,19.8,22.3,29.1,10.9,6.7,6.2,7.0,7.1,10.8,7.4,6.9,23.0,12.1,14.9,10.5,8.0,8.3,11.4,29.1,09
,PENDLETON,4.1,3.1,2.0,2.9,2.5,3.3,3.7,5.7,4.2,2.9,.2,-1.4,-.3,1.3,3.3,2.0,1.8,5.1,4.9,2.5,-.4,-.6,4.7,5.3,2.6,5.7,07
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,95,86,74,80,52,72,87,66,248,292,35,39,46,25,49,54,51,75,49,38,31,74,21,21,73,292,09
,CHULA VISTA,100,88,78,49,58,56,50,202,117,141,203,270,275,279,268,268,323,349,116,106,102,101,73,64,156,349,17
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,248,238,89,258,36,234,71,220,250,195,316,323,295,M,M,149,342,298,103,105,129,262,162,111,202,342,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,58,49,50,48,49,60,63,60,78,201,323,298,293,293,305,307,308,329,350,20,56,69,60,78,159,350,18
,OTAY MESA DVN,119,7,83,312,51,61,93,327,315,272,304,317,294,283,282,288,277,66,127,107,235,78,28,35,182,327,07
,PENDLETON,41,24,45,54,51,61,70,44,42,52,48,21,269,293,286,288,309,331,83,35,54,55,75,74,113,331,17
13 SIGTHETA °,ALPINE,22,36,44,26,16,28,44,36,65,30,42,34,40,41,52,33,32,24,26,32,19,28,38,49,35,65,08
