Current Date:,1/26/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
1/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.045,.045,C,C,.046,.045,.044,.045,.041,.045,.045,.047,.048,.049,.048,.046,.042,.034,.035,.029,.035,.038,.045,.048,.042,.049,13
,CHULA VISTA,.012,.016,C,C,.027,.021,.008,.013,.024,.025,.036,.036,.040,.039,.040,.030,.035,.016,.009,.001,.002,.002,.003,.004,.019,.040,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.004,C,C,C,.002,.002,.003,.007,.012,.016,.037,.045,.046,.044,.042,.038,.025,.009,.008,.005,.004,.003,.003,.017,.046,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.030,.031,C,C,.025,.016,.018,.023,.024,.031,.034,.034,.038,.042,.039,.045,.041,.026,.008,.007,.017,.017,.016,.021,.026,.045,15
,OTAY MESA DVN,.032,.034,C,C,.037,.036,.035,.030,.035,.033,.039,.042,<,<,<,.034,.032,.030,.018,.005,.012,.007,.025,.033,.028,.042,11
,PENDLETON,.028,.026,C,C,.026,.026,.023,.023,.023,.028,.030,.027,.032,.036,.032,.035,.022,.003,.003,.002,.001,.001,.007,.013,.020,.036,13
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.004,.004,.004,.007,.003,.003,.002,.002,.002,.003,.007,.009,.012,.012,.013,.008,.005,.002,.001,.005,.013,19
,CARMEL MT RCH,.026,.039,C,C,C,.020,.036,.066,.104,.054,M,M,M,M,.035,.033,.032,.045,.063,.049,.055,.059,.049,.053,.048,.104,08
,CHULA VISTA,.021,.017,C,C,.008,.014,.034,.033,.018,.019,.011,.020,.015,.019,.016,.023,.017,.040,.042,.079,.057,.041,.052,.036,.029,.079,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.024,.023,C,C,C,.039,.061,.077,.067,.053,.056,.016,.007,.008,.012,.010,.015,.024,.034,.031,.032,.036,.039,.040,.034,.077,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.006,C,C,.011,.021,.020,.018,.023,.013,.016,.021,.016,.012,.012,.008,.011,.023,.039,.040,.028,.024,.019,.015,.018,.040,19
,OTAY MESA DVN,.008,.004,C,C,.001,.004,.005,.018,.007,.009,.005,.003,<,<,<,.015,.013,.013,.024,.048,.030,.035,.013,.005,.014,.048,19
,PENDLETON,.006,.005,C,C,.007,.008,.010,.011,.015,.011,.011,.017,.015,.011,.012,.011,.026,.050,.050,.053,.050,.044,.030,.016,.021,.053,19
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.003,.002,.003,.005,.003,.002,.002,.002,.001,.003,.006,.008,.011,.011,.012,.008,.005,.002,.001,.004,.012,19
,CARMEL MT RCH,.022,.032,C,C,C,.018,.026,.037,.039,.025,M,M,M,M,.018,.018,.021,.031,.041,.038,.040,.039,.034,.034,.030,.041,18
,CHULA VISTA,.020,.016,C,C,.007,.013,.027,.024,.013,.013,.008,.014,.010,.014,.012,.018,.014,.031,.038,.044,.038,.034,.036,.028,.021,.044,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.019,.019,C,C,C,.018,.020,.021,.023,.024,.027,.012,.006,.006,.009,.008,.013,.021,.031,.027,.027,.027,.025,.024,.019,.031,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.006,C,C,.011,.019,.019,.015,.016,.010,.012,.015,.012,.009,.009,.007,.010,.022,.035,.037,.028,.023,.018,.014,.016,.037,19
,OTAY MESA DVN,.007,.004,C,C,.001,.004,.005,.012,.005,.007,.004,.002,<,<,<,.012,.012,.013,.024,.041,.029,.032,.012,.005,.012,.041,19
,PENDLETON,.005,.005,C,C,.006,.007,.008,.009,.008,.007,.006,.010,.009,.007,.008,.008,.022,.043,.043,.040,.037,.034,.025,.015,.016,.043,17
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,.001,.000,.000,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.001,05
,CARMEL MT RCH,.004,.007,C,C,C,.003,.010,.028,.065,.029,M,M,M,M,.017,.015,.012,.014,.022,.012,.015,.020,.015,.019,.018,.065,08
,CHULA VISTA,.001,.001,C,C,.001,.001,.007,.008,.005,.007,.004,.006,.004,.005,.004,.006,.003,.009,.005,.035,.019,.006,.016,.008,.007,.035,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.005,C,C,C,.021,.042,.056,.045,.029,.029,.005,.002,.002,.003,.002,.002,.003,.003,.004,.005,.009,.014,.016,.014,.056,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.002,.001,.003,.007,.004,.005,.006,.004,.003,.003,.002,.001,.001,.004,.003,.000,.001,.001,.000,.002,.007,08
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.001,.005,.002,.002,.001,.001,<,<,<,.003,.001,.000,.001,.007,.001,.003,.002,.000,.002,.007,19
,PENDLETON,.001,.000,C,C,.002,.001,.002,.003,.007,.005,.005,.007,.006,.004,.004,.003,.004,.007,.008,.013,.014,.011,.005,.001,.005,.014,20
06 CO PPM,CARMEL MT RCH,.4,.4,C,C,C,.3,.4,.6,.9,.5,C,C,M,M,.6,.5,.3,.7,1.0,.8,.9,1.0,.7,1.0,.6,1.0,18
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,27,27,27,27,27,27,26,26,26,25,24,24,25,25,25,24,25,25,25,27,26,27,27,27,26,27,00
,CARMEL MT RCH,26,26,27,27,27,26,26,26,26,25,25,25,25,25,25,25,24,25,25,26,26,26,27,27,26,27,02
,CHULA VISTA,23,23,22,22,22,22,22,22,23,25,25,25,25,25,25,25,25,25,25,26,26,26,26,25,24,26,19
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,26,27,26,26,26,26,26,27,26,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,27,<,26,26,25,24,24,24,25,25,26,26,26,26,26,27,10
,PENDLETON,24,24,24,24,23,23,22,22,22,23,24,24,24,24,25,25,25,26,26,26,26,25,25,25,24,26,17
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,-.8,-1.0,-.6,1.4,1.7,2.3,2.7,.8,-1.1,-2.4,-4.3,-1.7,2.1,1.4,-.7,.3,.8,1.0,.6,5.7,4.8,3.4,3.5,2.8,.9,5.7,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,12.9,11.8,13.2,10.1,9.3,11.3,6.9,12.4,17.1,8.0,15.1,5.4,4.6,2.7,M,6.8,7.6,4.2,13.1,19.1,12.5,16.9,19.3,25.1,11.5,25.1,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,6.5,10.0,6.7,4.3,4.1,5.0,1.9,.7,7.6,7.4,6.3,5.4,1.3,-1.0,1.7,7.4,8.6,9.0,11.5,19.4,15.6,18.4,4.4,6.7,7.0,19.4,19
,PENDLETON,1.0,.3,.2,-.3,-1.8,-1.2,2.4,2.7,.5,.0,-.1,-1.4,-.5,3.4,3.6,4.6,5.9,12.8,8.8,7.3,10.4,13.5,10.8,9.0,3.8,13.5,21
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,34,62,308,299,1,355,15,337,264,286,296,300,255,311,303,302,302,18,76,90,86,79,32,63,186,355,05
,CHULA VISTA,69,72,51,96,43,99,58,56,54,12,342,296,300,301,269,293,316,338,60,93,100,98,59,88,148,342,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,120,135,150,120,105,119,128,112,253,5,319,65,11,351,312,302,313,294,104,107,178,207,206,121,172,351,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,47,68,58,50,55,68,48,33,8,50,228,263,286,288,302,307,306,319,4,36,14,64,77,46,126,319,17
,OTAY MESA DVN,39,24,98,96,10,69,53,91,3,340,336,<,318,315,315,287,298,10,85,107,114,141,25,78,141,340,09
,PENDLETON,56,68,59,59,67,61,68,64,61,52,318,265,304,311,296,314,266,324,358,84,105,81,47,60,156,358,18
13 SIGTHETA °,ALPINE,44,34,55,34,35,51,41,54,37,22,26,37,47,56,28,24,26,19,27,24,39,29,37,53,37,56,13
,CHULA VISTA,21,32,21,21,19,17,40,35,28,21,23,32,26,26,18,18,18,32,41,41,42,32,46,39,29,46,22
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,35,65,58,62,59,68,60,55,66,48,40,62,63,53,51,22,17,65,45,42,42,43,41,59,51,68,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,16,10,6,8,6,7,11,9,12,32,29,39,46,27,16,13,10,18,45,12,17,25,17,24,19,46,12
,OTAY MESA DVN,24,52,19,32,47,48,38,44,30,21,13,<,20,18,19,13,13,14,22,11,8,45,37,34,27,52,01
,PENDLETON,35,31,12,11,12,13,12,12,14,14,26,16,17,12,19,12,20,17,27,42,49,16,20,38,21,49,20
14 VWSP MPH,ALPINE,1.0,2.2,1.6,1.7,2.2,1.4,1.8,.6,1.9,2.8,3.6,2.4,1.9,1.7,3.5,4.0,2.0,1.1,1.2,1.8,1.4,2.4,1.3,1.5,2.0,4.0,15
,CHULA VISTA,1.5,1.2,1.8,2.9,3.0,2.8,1.7,3.0,3.4,2.2,3.1,3.4,3.9,4.4,5.6,6.1,3.7,1.2,.4,.9,1.8,2.1,2.0,1.6,2.7,6.1,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.1,.4,.7,.6,.7,.3,.7,.1,.6,.5,1.5,.5,.8,1.8,3.1,5.4,4.5,1.7,1.5,2.2,.6,.8,.5,.5,1.3,5.4,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.7,5.2,6.6,5.5,5.4,5.2,5.6,5.5,2.8,1.4,2.3,2.9,2.6,4.3,8.8,8.3,6.6,3.2,.5,2.8,5.2,3.0,3.0,5.4,4.5,8.8,14
,OTAY MESA DVN,3.8,3.6,2.6,2.3,1.5,1.7,1.5,2.8,3.1,3.6,6.3,<,4.9,6.7,5.6,8.3,5.1,5.4,3.3,2.9,4.4,1.7,3.4,3.0,3.8,8.3,15
,PENDLETON,5.2,5.8,8.3,8.2,9.0,8.7,9.4,9.5,8.2,7.3,3.6,3.1,6.2,8.8,4.5,6.2,2.3,3.1,2.5,2.6,2.0,6.8,4.8,1.6,5.7,9.5,07
15 SWSP MPH,ALPINE,2.8,3.2,2.7,2.3,2.7,1.9,2.1,2.0,2.1,3.3,4.2,3.7,3.2,2.6,3.8,4.3,2.2,1.7,1.4,1.9,2.1,3.1,1.8,2.3,2.6,4.3,15
,CHULA VISTA,1.7,1.3,1.9,3.1,3.1,3.0,2.3,3.4,3.7,2.5,3.4,3.8,4.4,4.9,5.9,6.4,4.0,1.3,1.4,1.2,2.1,2.4,2.3,2.0,3.0,6.4,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.1,1.7,1.7,1.1,1.0,1.3,1.6,1.0,1.0,1.2,1.9,1.6,2.2,2.5,3.7,5.9,4.7,2.5,1.7,2.7,2.1,1.6,1.4,1.2,2.1,5.9,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6.0,5.3,6.7,5.7,5.5,5.2,5.8,5.6,2.9,2.2,3.5,3.9,3.1,4.8,9.2,8.6,6.8,3.6,1.5,2.9,5.4,3.2,3.3,5.6,4.8,9.2,14
,OTAY MESA DVN,4.2,4.1,3.2,2.7,3.0,2.7,2.2,3.4,3.5,3.8,6.5,<,5.2,7.0,6.1,8.5,5.3,5.5,4.4,2.9,4.5,2.4,4.3,4.0,4.3,8.5,15
,PENDLETON,5.8,6.4,8.4,8.4,9.2,8.9,9.6,9.8,8.4,7.8,4.9,3.2,6.5,8.9,4.7,6.3,2.6,3.3,2.9,3.4,2.7,7.1,5.2,2.3,6.1,9.8,07
16 AMBTEMP °F,ALPINE,54.3,54.0,55.2,53.6,53.4,53.0,52.9,56.1,60.3,64.7,66.9,68.2,70.9,72.8,72.7,71.1,68.1,61.1,59.6,55.2,56.4,55.1,59.0,59.0,60.6,72.8,13
,CARMEL MT RCH,57.6,54.0,52.3,51.9,50.6,49.6,51.5,52.4,57.6,63.8,67.4,69.7,72.3,74.9,72.3,71.3,69.1,64.9,62.3,60.2,57.0,55.9,53.3,54.5,60.3,74.9,13
,CHULA VISTA,52.1,50.8,50.7,51.7,51.7,50.6,50.1,53.2,59.0,65.1,69.8,72.0,73.6,75.2,74.2,71.4,71.3,67.2,63.3,59.0,57.6,56.5,56.1,53.4,60.7,75.2,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,45.4,43.3,41.7,40.2,39.0,38.0,37.5,39.0,46.0,54.5,64.3,70.3,74.0,75.9,77.6,76.3,72.2,66.1,59.6,56.4,54.0,51.4,49.3,47.3,55.0,77.6,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,55.1,53.5,51.7,52.7,52.1,49.6,51.5,54.6,61.4,67.2,70.3,71.8,73.2,74.4,72.9,70.9,68.6,63.6,59.9,58.8,59.3,56.7,54.7,55.9,60.9,74.4,13
,OTAY MESA DVN,57.9,57.3,57.6,57.2,55.4,56.3,57.2,60.2,61.8,65.0,68.8,<,73.1,74.5,75.5,71.4,68.6,65.2,62.1,60.7,59.6,57.9,56.7,59.4,62.6,75.5,14
,PENDLETON,58.3,55.0,54.0,53.2,52.7,53.2,51.3,52.7,56.8,64.7,65.8,64.1,65.9,65.9,65.1,65.0,63.3,61.3,60.6,58.6,55.4,54.4,54.5,53.9,58.6,65.9,12
17 RELHUM %,ALPINE,23,21,18,20,21,22,22,18,16,13,15,12,12,11,15,17,22,37,32,37,34,27,20,14,21,37,17
,EL CAJON LES,65,70,74,77,81,83,84,81,64,46,30,17,12,12,12,16,21,24,35,43,50,57,63,67,49,84,06
,KEARNY MESA,41,43,46,42,43,49,42,37,31,24,18,20,18,17,24,23,27,37,44,46,44,47,54,49,36,54,22
18 PRES mmHg,KEARNY MESA,750,750,750,749,749,749,750,750,750,750,751,750,749,749,748,748,748,748,749,750,750,751,751,751,750,751,10
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,0,3,94,307,483,611,663,660,590,474,305,106,3,0,0,0,0,0,0,179,663,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.1,.2,.2,.3,.2,.2,.0,.0,.0,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1,.3,08
29 CO Tr PPB,EL CAJON LES,397.6,420.1,C,C,C,492.0,822.0,918.4,883.4,768.6,724.1,268.8,208.2,213.1,265.5,254.3,292.0,420.4,523.7,541.8,605.2,624.9,708.6,714.1,526.9,918.4,07
