Current Date:,6/20/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENDLETON,.001,.001,C,C,.003,.004,.004,.002,.002,.007,.001,.003,.002,.003,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,.007,09
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.5,.5,.4,.3,M,.3,.4,.3,.5,.4,.5,.6,.5,.4,.4,.4,.4,.4,.3,.4,.6,16
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,27,27,27,26,26,26,25,25,24,24,24,24,24,24,24,24,24,24,25,25,26,26,26,25,27,01
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,25,26,26,26,26,25,25,25,26,25,25,26,26,25,25,25,25,25,25,25,25,25,25,26,25,26,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,26,26,26,26,26,<,<,27,26,26,27,26,26,26,26,26,26,26,26,26,26,27,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,24,23,24,24,24,24,24,24,24,00
,PENDLETON,23,23,23,24,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,24,03
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,5.5,8.6,6.1,3.0,.8,3.9,5.3,5.7,6.7,7.6,5.8,9.0,14.4,M,M,18.1,15.1,15.4,10.3,9.7,7.1,9.1,-6.7,9.7,7.7,18.1,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,3.0,1.3,4.8,5.6,7.5,6.4,5.7,,7.4,7.4,5.8,8.8,10.7,8.7,11.1,8.2,7.4,8.7,7.2,3.7,3.5,7.3,5.8,3.8,6.5,11.1,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.6,6.7,6.4,4.8,6.4,10.5,8.3,5.9,7.0,10.2,11.4,M,12.1,18.6,13.2,9.4,9.8,9.9,10.4,11.6,13.3,7.3,5.3,6.3,9.1,18.6,13
,PENDLETON,7.3,3.8,3.1,6.4,7.3,10.7,10.7,12.9,12.0,16.7,15.8,12.2,11.4,20.5,12.9,9.0,8.0,9.1,6.8,7.5,10.6,9.8,6.7,8.4,9.9,20.5,13
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,74,110,286,359,325,313,323,257,257,247,253,250,246,256,262,270,245,274,268,316,295,344,83,86,250,359,03
,CHULA VISTA,68,69,50,53,52,53,50,45,116,277,264,264,269,270,258,249,254,251,274,307,242,277,269,234,188,307,19
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,47,90,91,90,104,105,59,<,<,315,319,292,258,261,269,233,208,224,244,216,203,339,5,227,191,339,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7,49,53,346,358,330,343,320,327,289,302,275,277,276,271,250,247,252,251,284,333,310,351,304,267,358,04
,OTAY MESA DVN,4,42,34,37,79,63,32,21,334,305,300,297,296,288,292,290,289,292,289,291,298,318,315,278,212,334,08
,PENDLETON,15,22,36,32,34,21,14,329,266,265,261,261,256,257,249,241,234,233,257,256,228,252,10,62,170,329,07
13 SIGTHETA °,ALPINE,44,17,55,41,46,36,46,37,37,44,42,40,36,32,33,33,26,26,27,22,21,24,52,58,36,58,23
,CHULA VISTA,18,20,22,20,19,19,23,28,73,40,23,20,21,24,23,21,24,21,21,43,27,24,23,15,26,73,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,17,16,24,25,47,60,<,<,60,73,66,32,22,37,28,19,24,20,25,23,22,19,30,33,73,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,25,17,22,24,21,20,30,39,31,36,27,19,25,23,19,17,14,13,12,40,11,39,6,23,40,20
,OTAY MESA DVN,16,20,25,19,12,22,24,23,21,24,24,17,17,16,24,22,17,16,12,13,13,14,24,28,19,28,23
,PENDLETON,9,10,10,11,11,11,15,19,10,12,12,11,12,13,12,15,17,21,26,32,27,33,17,22,16,33,21
14 VWSP MPH,ALPINE,.2,.7,.7,.6,.4,1.4,1.1,2.0,3.0,3.1,3.7,4.5,4.7,5.9,5.8,4.8,5.3,4.6,3.3,2.3,1.1,.9,.5,.3,2.5,5.9,13
,CHULA VISTA,1.0,2.2,2.3,3.0,3.8,3.5,2.6,3.0,.4,4.4,7.0,8.6,8.5,7.6,7.1,6.9,5.9,5.3,4.8,2.3,2.0,2.1,1.7,1.7,4.1,8.6,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.0,1.8,2.7,3.0,3.0,1.4,1.3,<,<,1.4,1.2,2.8,6.6,7.8,4.9,6.0,8.3,6.0,5.6,2.8,2.5,2.2,2.4,.9,3.4,8.3,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.4,1.4,2.5,2.0,2.4,2.4,3.6,3.1,2.8,4.6,5.7,8.2,10.2,8.3,7.5,8.1,8.8,7.7,6.7,4.0,1.4,2.8,1.6,2.8,4.7,10.2,12
,OTAY MESA DVN,1.9,2.2,2.6,3.9,5.5,3.2,3.0,4.1,5.9,6.2,7.0,9.2,10.3,10.4,7.9,7.2,8.7,7.6,7.1,5.3,4.7,3.8,2.0,1.9,5.5,10.4,13
,PENDLETON,4.1,4.0,4.1,4.4,4.9,4.3,3.6,2.8,5.4,5.9,6.2,7.5,8.3,7.4,7.8,6.9,6.2,4.8,3.1,1.8,2.1,1.1,3.8,1.6,4.7,8.3,12
15 SWSP MPH,ALPINE,.3,.7,.9,1.0,.9,1.6,1.5,2.7,3.8,3.9,4.5,5.4,5.6,7.1,6.8,5.5,5.9,5.0,3.7,2.5,1.3,1.3,.9,.5,3.1,7.1,13
,CHULA VISTA,1.1,2.3,2.4,3.2,4.0,3.6,2.9,3.4,1.7,5.2,7.5,9.1,9.1,8.2,7.7,7.3,6.4,5.6,5.2,2.8,2.2,2.3,1.8,1.8,4.5,9.1,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.4,1.9,2.8,3.4,3.2,1.9,2.6,<,<,2.8,3.1,4.6,7.5,8.4,5.9,6.9,8.9,6.6,5.9,3.1,2.8,2.9,2.5,1.3,4.1,8.9,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.4,1.4,2.5,3.4,2.7,2.9,3.9,3.5,3.3,5.5,6.8,8.9,10.8,9.1,8.1,8.6,9.3,7.9,6.9,4.3,1.7,2.9,1.9,2.8,5.1,10.8,12
,OTAY MESA DVN,2.3,2.5,3.0,4.1,5.6,3.7,3.6,4.5,6.5,6.8,7.6,9.6,10.7,10.8,8.6,7.7,9.1,8.0,7.3,5.5,4.8,4.0,2.4,2.0,5.9,10.8,13
,PENDLETON,4.1,4.1,4.1,4.4,5.0,4.4,3.8,4.2,5.5,6.1,6.4,7.6,8.5,7.6,8.0,7.1,6.5,5.1,3.5,2.2,2.4,1.7,4.0,2.0,4.9,8.5,12
16 AMBTEMP °F,ALPINE,52.6,52.2,53.6,53.4,52.7,52.4,53.9,58.6,63.3,68.5,73.2,76.4,79.3,80.4,78.7,78.4,75.7,72.1,65.4,60.0,58.0,57.1,58.0,59.0,63.9,80.4,13
,CARMEL MT RCH,60.8,60.9,60.6,60.6,61.3,62.1,62.6,63.1,64.8,68.1,73.0,74.3,72.9,73.5,73.5,74.0,72.4,67.7,64.2,62.6,62.1,61.6,61.2,60.5,65.8,74.3,11
,CHULA VISTA,60.8,62.8,63.3,63.4,63.5,63.6,64.1,65.5,68.1,70.9,73.0,73.4,72.6,72.7,72.9,71.0,68.8,66.1,64.6,64.0,63.8,62.7,62.0,61.3,66.5,73.4,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,60.7,60.9,61.3,61.1,60.8,61.0,61.8,<,<,68.9,73.0,77.0,78.2,76.4,77.3,76.7,72.8,70.1,66.2,63.9,63.5,64.0,63.6,62.6,67.4,78.2,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,61.8,61.9,63.3,63.4,63.2,63.5,63.7,64.5,65.6,67.6,71.2,72.1,72.0,71.2,71.5,70.8,69.0,66.3,64.5,63.9,64.1,63.1,62.6,61.3,65.9,72.1,11
,OTAY MESA DVN,60.0,60.7,61.1,61.1,60.4,60.4,60.7,61.7,64.3,67.9,70.8,71.9,71.9,71.4,71.3,71.3,69.1,66.6,63.5,62.2,62.2,61.7,60.7,59.6,64.7,71.9,11
,PENDLETON,59.9,58.6,59.1,58.8,58.7,59.7,63.1,65.5,66.6,67.9,68.8,68.8,69.3,69.2,69.3,67.8,66.3,65.5,64.6,64.3,64.6,64.5,64.2,63.7,64.5,69.3,12
17 RELHUM %,ALPINE,94,94,94,96,97,97,94,79,68,57,49,43,38,40,44,45,50,57,71,84,90,92,88,85,73,97,04
,EL CAJON LES,82,80,79,79,80,80,78,<,<,62,55,49,49,52,51,52,59,64,72,78,79,77,78,80,69,82,00
,KEARNY MESA,80,79,78,78,79,78,78,76,74,70,62,61,62,63,62,63,68,73,78,80,80,82,82,85,74,85,23
18 PRES mmHg,KEARNY MESA,748,747,747,747,747,747,748,748,748,748,748,747,747,747,747,747,746,747,747,747,747,747,747,747,747,748,00
19 SOLAR W/M2,KEARNY MESA,-2,-2,-2,-2,-1,17,64,127,224,546,977,990,989,930,799,640,442,195,22,-2,-2,-2,-2,-2,289,990,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,<,<,.0,.0,.1,.1,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.1,11
29 CO Tr PPB,EL CAJON LES,154.5,147.8,C,C,C,147.9,155.6,<,<,180.7,189.2,210.5,217.0,194.6,200.0,218.3,207.1,177.8,174.8,179.9,185.9,182.2,162.1,187.7,182.8,218.3,15
