Current Date:,6/12/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
6/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.04,.041,.043,.045,.048,.052,.056,.061,.065,.069,.071,.07,.067,.062,.056,.05,.046,.043,.041,.04,.039,.041,.043,.044,0.051,0.071,10
,CHULA VISTA,.017,.019,.023,.025,.028,.031,.035,.038,.041,.042,.042,.042,.041,.04,.038,.036,.034,.032,.029,.027,.026,.025,.025,.024,0.031,0.042,09
,EL CAJON LES,,,,.027,.032,.036,.042,.048,.052,.055,.055,.054,.051,.047,.043,.039,.036,.032,.029,.028,.027,,,,0.04,0.055,09
,KEARNY MESA,.015,.018,.023,.027,.03,.036,.04,.043,.046,.047,.048,.048,.046,.043,.041,.038,.035,.03,.026,.023,.021,.019,.018,.018,0.032,0.048,10
,OTAY MESA DVN,.018,.018,.022,.026,.029,.035,.04,.044,.048,.051,.052,.051,.049,.047,.043,.04,.038,.034,.032,.03,.029,.028,.026,.024,0.035,0.052,10
,PENDLETON,.016,.019,.022,.025,.027,.031,.036,.038,.041,.041,.042,.041,.04,.04,.04,.037,.034,.032,.03,.028,.027,.024,.022,.025,0.031,0.042,10
