Current Date:,5/5/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
5/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.049,.049,.049,.05,.051,.052,.054,.058,.061,.063,.064,.064,.065,.063,.062,.061,.06,.059,.059,.059,.058,.061,.062,.06,0.058,0.065,12
,CHULA VISTA,.01,.013,.016,.02,.024,.03,.036,.043,.048,.05,.052,.052,.05,.048,.046,.043,.039,.035,.031,.03,.029,.023,.017,.013,0.033,0.052,10
,EL CAJON LES,,,,.027,.032,.036,.044,.051,.057,.061,.063,.065,.065,.061,.057,.052,.047,.042,.036,.032,.027,,,,0.047,0.065,11
,KEARNY MESA,.016,.02,.025,.028,.032,.039,.047,.053,.058,.062,.067,.07,.071,.07,.069,.065,.06,.054,.047,.044,.04,.034,.029,.026,0.046,0.071,12
,OTAY MESA DVN,.021,.021,.026,.028,.032,.036,.042,.048,.054,.058,.059,.059,.057,.053,.049,.045,.038,.032,.026,.023,.021,.018,.015,.014,0.036,0.059,10
,PENDLETON,.016,.018,.02,.023,.025,.029,.034,.039,.044,.048,.053,.055,.056,.056,.054,.052,.047,.041,.035,.032,.03,.026,.023,.021,0.036,0.056,12
