Current Date:,5/24/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
5/23/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.038,.036,C,C,.036,.035,.036,.038,.040,.042,.047,.051,.055,.057,.059,.059,.057,.049,.043,.040,.039,.039,.038,.037,.044,.059,14
,CHULA VISTA,.027,.028,C,C,.030,.030,.029,.028,.032,.036,.037,.039,.042,.042,.044,.042,.041,.040,.039,.038,.037,.037,.035,.035,.035,.044,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.038,.039,C,C,C,.035,.035,.037,.039,.042,.045,.046,.050,.053,.053,.052,.050,.045,.043,.041,.041,.041,.039,.041,.043,.053,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.023,.024,C,C,.033,.036,.037,.037,.037,.037,.039,.043,.046,.047,.047,.046,.044,.043,.040,.041,.042,.041,.041,.039,.039,.047,13
,OTAY MESA DVN,.029,.029,C,C,.032,.032,.032,.032,.033,.036,.041,.045,.048,.050,.049,.049,.047,.046,.044,.040,.040,.037,.036,.035,.039,.050,13
,PENDLETON,.029,.032,C,C,.033,.025,.026,.028,.031,.034,.041,.042,.038,.041,.042,.040,.041,.042,.044,.044,.043,.042,.043,.041,.037,.044,18
02 NOX PPM,ALPINE,.002,.002,C,C,.002,.003,.003,.002,.002,.003,.002,.003,.004,.004,.004,.004,.003,.004,.005,.004,.004,.003,.003,.003,.003,.005,18
,CARMEL MT RCH,.014,.014,C,C,C,.011,.010,.017,.045,.041,.030,.026,.023,.024,.021,.016,.018,.017,.015,.014,.015,.010,.010,.010,.019,.045,08
,CHULA VISTA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,.001,.001,.001,.002,.003,.004,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.001,-.001,.002,.004,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.006,C,C,.006,.005,.004,.004,.006,.006,.005,.003,.003,.002,.002,.002,.002,.002,.003,.003,.001,.002,.001,.001,.003,.006,00
,OTAY MESA DVN,.005,.004,C,C,.002,.002,.002,.002,.001,.001,.002,.002,.001,.001,.001,.001,.001,.000,.001,.001,.000,.001,.000,.000,.001,.005,00
,PENDLETON,.005,.004,C,C,.005,.011,.009,.009,.009,.020,.003,.004,.011,.004,.003,.009,.005,.003,.002,.001,.001,.001,.001,.001,.006,.020,09
03 NO2 PPM,ALPINE,.002,.002,C,C,.002,.003,.003,.002,.002,.002,.002,.003,.003,.004,.003,.003,.003,.004,.005,.004,.004,.003,.003,.003,.003,.005,18
,CARMEL MT RCH,.011,.011,C,C,C,.008,.007,.011,.024,.021,.016,.013,.012,.013,.011,.009,.009,.009,.010,.009,.009,.006,.007,.007,.011,.024,08
,CHULA VISTA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,.001,.001,.000,.001,.002,.002,.001,.001,.001,.001,.001,.001,.002,.002,.001,.002,.001,-.001,.001,.002,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.006,C,C,.006,.004,.004,.004,.005,.005,.004,.002,.002,.001,.001,.001,.001,.002,.003,.003,.001,.001,.001,.001,.003,.006,01
,OTAY MESA DVN,.005,.004,C,C,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.001,.005,00
,PENDLETON,.004,.003,C,C,.004,.010,.008,.008,.006,.009,.002,.002,.005,.002,.002,.005,.003,.002,.001,.001,.000,.000,.000,.001,.004,.010,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.000,.000,.001,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.003,.003,C,C,C,.004,.004,.007,.022,.020,.014,.013,.011,.012,.010,.008,.009,.007,.006,.005,.006,.003,.003,.003,.008,.022,08
,CHULA VISTA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.001,06
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
,PENDLETON,.001,.001,C,C,.001,.001,.002,.002,.003,.011,.001,.002,.005,.002,.002,.004,.002,.001,.001,.001,.001,.001,.001,.001,.002,.011,09
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.2,.2,.3,.4,.4,.3,.4,.4,.4,.4,.3,.3,.4,.5,.3,.3,.3,.2,.2,.3,.5,18
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,27,27,27,26,27,27,27,27,26,25,24,24,24,24,24,24,25,25,25,25,25,26,25,26,25,27,00
,CARMEL MT RCH,25,25,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,03
,CHULA VISTA,24,24,24,25,25,25,25,25,25,25,25,25,23,24,25,25,25,25,24,24,25,25,25,25,25,25,03
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,24,24,25,00
,PENDLETON,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,5.2,6.2,5.6,6.5,14.3,10.2,9.6,7.5,5.7,3.6,4.8,4.2,2.0,9.7,9.9,10.2,7.6,6.1,6.3,7.0,7.4,7.9,4.6,8.0,7.0,14.3,04
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.3,3.8,4.1,4.6,5.0,3.7,4.2,2.2,2.9,5.1,5.1,7.4,9.1,5.8,.8,2.2,3.7,1.8,.5,3.7,3.0,1.8,2.0,2.4,3.6,9.1,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.2,14.3,10.6,6.3,7.8,7.9,10.8,16.6,9.9,11.6,M,,M,11.2,6.7,4.0,2.4,-1.1,.2,6.4,8.8,4.7,1.6,-1.3,6.9,16.6,07
,PENDLETON,5.5,4.7,4.5,2.4,6.8,6.3,5.6,5.9,7.2,3.9,3.6,4.9,5.5,3.9,8.2,4.8,2.5,3.4,5.8,8.5,5.9,3.8,4.3,4.1,5.0,8.5,19
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,315,158,158,274,296,294,325,8,276,271,296,277,268,263,267,256,256,236,247,240,244,248,226,261,248,325,06
,CHULA VISTA,137,146,207,29,33,193,199,35,260,245,268,263,256,263,262,262,266,266,255,258,266,253,248,282,215,282,23
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,149,96,146,15,72,201,138,170,114,1,278,284,253,257,261,254,258,265,258,246,264,234,220,206,193,284,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,101,147,145,123,101,131,143,145,157,233,281,287,285,281,284,287,289,299,298,278,290,269,242,244,223,299,17
,OTAY MESA DVN,40,244,332,256,186,324,11,315,294,296,295,294,296,288,288,292,290,292,289,300,287,266,281,339,266,339,23
,PENDLETON,52,72,83,119,13,22,34,122,203,250,M,M,M,M,270,273,272,270,269,256,260,248,226,233,177,273,15
