Current Date:,5/23/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
5/22/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.035,.035,C,C,.034,.036,.037,.036,.039,.043,.045,.050,.054,.052,.053,.051,.050,.046,.042,.039,.036,.036,.037,.038,.042,.054,12
,CHULA VISTA,.037,.036,C,C,.031,.030,.032,.034,.035,M,M,M,M,M,M,.036,.036,.036,.035,.035,.034,.031,.029,.026,.033,.037,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.039,.039,C,C,C,.035,.036,.038,.041,.044,.047,.047,.047,.048,.047,.045,.044,.042,.041,.038,.035,.033,.034,.036,.040,.048,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.039,.039,C,C,.036,.033,.034,.035,.036,.039,.041,M,M,.042,.043,.045,.047,.044,.044,.040,.037,.032,.019,.023,.037,.047,16
,OTAY MESA DVN,.033,.037,C,C,.035,.032,.031,.032,M,.040,.042,.042,.044,.043,.041,.040,.040,.039,.037,.035,.035,.032,.032,.028,.036,.044,12
,PENDLETON,.042,.039,C,C,.039,.039,.039,.038,.038,.035,.041,.043,.041,.041,.044,.045,.043,.040,.041,.042,.041,.040,.033,.026,.039,.045,15
02 NOX PPM,ALPINE,.001,.001,C,C,.003,.003,.002,.003,.003,.002,.002,.003,.003,.003,.003,.003,.003,.004,.004,.004,.005,.004,.003,.003,.003,.005,20
,CARMEL MT RCH,.009,.004,C,C,C,.013,.018,.028,.026,M,.029,.029,.024,.028,.027,.017,.017,.018,.015,.017,.016,.014,.022,.015,.019,.029,10
,CHULA VISTA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,-.001,-.002,C,C,C,.002,.002,.001,.000,.000,.001,.002,.001,.001,.001,.002,.003,.003,.002,.002,.003,.003,.001,.000,.001,.003,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.001,C,C,.002,.005,.005,.005,.005,.004,.004,M,M,.002,.002,.002,.002,.003,.002,.003,.004,.007,.016,.009,.004,.016,22
,OTAY MESA DVN,.001,.000,C,C,.001,.004,.006,.008,M,.006,.004,.003,.004,.002,.001,.001,.001,.000,.000,.001,.001,.002,.002,.004,.002,.008,07
,PENDLETON,.001,.003,C,C,.001,.002,.001,.003,.006,.011,.002,.001,.003,.009,.004,.002,.001,.002,.001,.001,.002,.001,.005,.009,.003,.011,09
03 NO2 PPM,ALPINE,.001,.001,C,C,.003,.003,.002,.003,.002,.002,.002,.002,.002,.003,.003,.003,.003,.003,.004,.004,.005,.004,.003,.003,.003,.005,20
,CARMEL MT RCH,.007,.003,C,C,C,.009,.011,.014,.014,M,.015,.015,.012,.014,.014,.010,.010,.011,.009,.011,.011,.009,.018,.013,.012,.018,22
,CHULA VISTA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,-.001,-.002,C,C,C,.001,.001,.000,-.001,.000,.000,.001,.000,.000,.000,.001,.001,.002,.002,.002,.002,.002,.001,.001,.001,.002,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.002,.004,.004,.003,.003,.003,.003,M,M,.001,.001,.001,.001,.002,.002,.003,.003,.006,.016,.008,.003,.016,22
,OTAY MESA DVN,.001,.000,C,C,.001,.004,.006,.007,M,.004,.003,.002,.003,.001,.001,.001,.000,.000,.001,.001,.001,.002,.002,.004,.002,.007,07
,PENDLETON,.000,.002,C,C,.001,.001,.000,.002,.003,.005,.001,.001,.001,.003,.001,.001,.000,.001,.000,.001,.001,.001,.005,.008,.002,.008,23
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.001,.001,.000,.000,.000,.000,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,CARMEL MT RCH,.002,.000,C,C,C,.005,.007,.014,.012,M,.015,.014,.012,.013,.013,.007,.008,.007,.006,.006,.005,.004,.004,.002,.008,.015,10
,CHULA VISTA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,.001,.001,.001,.000,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.001,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,M,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.001,05
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.001,.002,M,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,07
,PENDLETON,.001,.001,C,C,.001,.001,.001,.001,.003,.007,.001,.001,.002,.006,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.007,09
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.3,.4,.4,.4,M,.4,.4,.3,.4,.4,.3,.5,.5,.4,.4,.3,.3,.4,.3,.4,.5,16
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,27,27,27,26,26,26,25,24,25,24,24,24,24,25,25,25,26,26,26,26,27,25,27,03
